Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,2690.010750,217.007259,1278.997456,4.284788,1.180787,-1.311928,1.513347,1.215288
2,2697.621237,220.414386,1287.512248,4.292053,1.123877,-1.315684,1.524960,1.159581
3,2686.007096,217.997020,1287.212244,4.292053,1.123877,-1.315684,1.524960,1.159645
4,2674.392746,215.584651,1286.912240,4.292053,1.123877,-1.315684,1.524960,1.160414
5,2662.778605,213.167286,1286.602237,4.292053,1.123877,-1.315684,1.524960,1.159645
6,2651.164255,210.754916,1286.302233,4.292053,1.123877,-1.315684,1.524960,1.160478
7,2639.549906,208.342546,1285.992229,4.292053,1.123877,-1.315684,1.524960,1.160414
8,2627.940760,205.925390,1285.682226,4.292053,1.123877,-1.315684,1.524960,1.159645
9,2616.321415,203.512811,1285.382222,4.292053,1.123877,-1.315684,1.524960,1.160479
10,2604.712061,201.100651,1285.072218,4.292053,1.123877,-1.315684,1.524960,1.160478
11,2593.097711,198.688281,1284.762214,4.292053,1.123877,-1.315684,1.524960,1.160895
12,2581.488357,196.276120,1284.447211,4.292053,1.123877,-1.315684,1.524960,1.160830
13,2569.869220,193.858546,1284.132207,4.292053,1.123877,-1.315684,1.524960,1.160543
14,2558.259657,191.451381,1283.822203,4.292053,1.123877,-1.315684,1.524960,1.161247
15,2546.645516,189.034016,1283.502199,4.292053,1.123877,-1.315684,1.524960,1.160543
16,2535.030958,186.626642,1283.192196,4.292053,1.123877,-1.315684,1.524960,1.161247
17,2523.416817,184.209277,1282.872192,4.292053,1.123877,-1.315684,1.524960,1.161376
18,2511.807254,181.802112,1282.552188,4.292053,1.123877,-1.315684,1.524960,1.161246
19,2500.188117,179.384537,1282.232184,4.292053,1.123877,-1.315684,1.524960,1.161376
20,2488.578554,176.977372,1281.912181,4.292053,1.123877,-1.315684,1.524960,1.161375
21,2476.963996,174.569998,1281.592177,4.292053,1.123877,-1.315684,1.524960,1.161246
22,2465.344859,172.152424,1281.272173,4.292053,1.123877,-1.315684,1.524960,1.162210
23,2453.735296,169.745259,1280.942169,4.292053,1.123877,-1.315684,1.524960,1.161247
24,2442.121155,167.327894,1280.622166,4.292053,1.123877,-1.315684,1.524960,1.162208
25,2430.506597,164.920520,1280.292162,4.292053,1.123877,-1.315684,1.524960,1.162208
26,2418.892038,162.513146,1279.962158,4.292053,1.123877,-1.315684,1.524960,1.161729
27,2407.282684,160.100985,1279.637154,4.292053,1.123877,-1.315684,1.524960,1.162143
28,2395.663338,157.688407,1279.307151,4.292053,1.123877,-1.315684,1.524960,1.162626
29,2384.053775,155.281242,1278.972147,4.292053,1.123877,-1.315684,1.524960,1.162144
30,2372.439426,152.868872,1278.642143,4.292053,1.123877,-1.315684,1.524960,1.162210
31,2360.829863,150.461707,1278.312140,4.292053,1.123877,-1.315684,1.524960,1.162975
32,2349.210517,148.049128,1277.972136,4.292053,1.123877,-1.315684,1.524960,1.162210
33,2337.600954,145.641963,1277.642132,4.292053,1.123877,-1.315684,1.524960,1.163041
34,2325.986396,143.234589,1277.302128,4.292053,1.123877,-1.315684,1.524960,1.162977
35,2314.372046,140.822220,1276.962125,4.292053,1.123877,-1.315684,1.524960,1.162625
36,2302.757487,138.414846,1276.627121,4.292053,1.123877,-1.315684,1.524960,1.163043
37,2291.147924,136.007681,1276.287117,4.292053,1.123877,-1.315684,1.524960,1.163456
38,2279.528370,133.600098,1275.942113,4.292053,1.123877,-1.315684,1.524960,1.162978
39,2267.919016,131.187937,1275.602110,4.292053,1.123877,-1.315684,1.524960,1.163041
40,2256.304457,128.780563,1275.262106,4.292053,1.123877,-1.315684,1.524960,1.163874
41,2244.689898,126.373189,1274.912102,4.292053,1.123877,-1.315684,1.524960,1.163041
42,2233.075340,123.965815,1274.572098,4.292053,1.123877,-1.315684,1.524960,1.163874
43,2221.460781,121.558441,1274.222095,4.292053,1.123877,-1.315684,1.524960,1.163876
44,2209.851218,119.151276,1273.872091,4.292053,1.123877,-1.315684,1.524960,1.163872
45,2198.231664,116.743693,1273.522087,4.292053,1.123877,-1.315684,1.524960,1.163876
46,2186.622101,114.336528,1273.172083,4.292053,1.123877,-1.315684,1.524960,1.163938
47,2175.007333,111.934149,1272.822080,4.292053,1.123877,-1.315684,1.524960,1.163874
