Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,2672.954599,223.419376,1274.073713,4.245928,1.216321,-1.277836,1.517268,1.253380
2,2661.449527,221.026590,1273.778710,4.245928,1.216321,-1.277836,1.517268,1.253540
3,2649.835386,218.609224,1273.478706,4.245928,1.216321,-1.277836,1.517268,1.253604
4,2638.221036,216.196855,1273.178702,4.245928,1.216321,-1.277836,1.517268,1.254373
5,2626.606895,213.779489,1272.868698,4.245928,1.216321,-1.277836,1.517268,1.253604
6,2614.992546,211.367120,1272.568695,4.245928,1.216321,-1.277836,1.517268,1.254437
7,2603.378196,208.954750,1272.258691,4.245928,1.216321,-1.277836,1.517268,1.254373
8,2591.769051,206.537594,1271.948687,4.245928,1.216321,-1.277836,1.517268,1.253604
9,2580.149705,204.125015,1271.648683,4.245928,1.216321,-1.277836,1.517268,1.254437
10,2568.540351,201.712855,1271.338680,4.245928,1.216321,-1.277836,1.517268,1.254437
11,2556.926001,199.300485,1271.028676,4.245928,1.216321,-1.277836,1.517268,1.254854
12,2545.316647,196.888324,1270.713672,4.245928,1.216321,-1.277836,1.517268,1.254788
13,2533.697511,194.470750,1270.398668,4.245928,1.216321,-1.277836,1.517268,1.254502
14,2522.087948,192.063585,1270.088665,4.245928,1.216321,-1.277836,1.517268,1.255205
15,2510.473807,189.646220,1269.768661,4.245928,1.216321,-1.277836,1.517268,1.254501
16,2498.859248,187.238846,1269.458657,4.245928,1.216321,-1.277836,1.517268,1.255205
17,2487.245107,184.821481,1269.138653,4.245928,1.216321,-1.277836,1.517268,1.255335
18,2475.635544,182.414316,1268.818650,4.245928,1.216321,-1.277836,1.517268,1.255205
19,2464.016408,179.996741,1268.498646,4.245928,1.216321,-1.277836,1.517268,1.255335
20,2452.406845,177.589576,1268.178642,4.245928,1.216321,-1.277836,1.517268,1.255334
21,2440.792286,175.182202,1267.858639,4.245928,1.216321,-1.277836,1.517268,1.255205
22,2429.173150,172.764628,1267.538635,4.245928,1.216321,-1.277836,1.517268,1.256168
23,2417.563586,170.357463,1267.208631,4.245928,1.216321,-1.277836,1.517268,1.255205
24,2405.949446,167.940098,1266.888627,4.245928,1.216321,-1.277836,1.517268,1.256167
25,2394.334887,165.532724,1266.558624,4.245928,1.216321,-1.277836,1.517268,1.256167
26,2382.720328,163.125350,1266.228620,4.245928,1.216321,-1.277836,1.517268,1.255687
27,2371.110974,160.713189,1265.903616,4.245928,1.216321,-1.277836,1.517268,1.256101
28,2359.491629,158.300611,1265.573612,4.245928,1.216321,-1.277836,1.517268,1.256585
29,2347.882066,155.893446,1265.238609,4.245928,1.216321,-1.277836,1.517268,1.256102
30,2336.267716,153.481076,1264.908605,4.245928,1.216321,-1.277836,1.517268,1.256168
31,2324.658153,151.073911,1264.578601,4.245928,1.216321,-1.277836,1.517268,1.256934
32,2313.038808,148.661332,1264.238597,4.245928,1.216321,-1.277836,1.517268,1.256168
33,2301.429245,146.254167,1263.908594,4.245928,1.216321,-1.277836,1.517268,1.257000
34,2289.814686,143.846793,1263.568590,4.245928,1.216321,-1.277836,1.517268,1.256935
35,2278.200336,141.434424,1263.228586,4.245928,1.216321,-1.277836,1.517268,1.256583
36,2266.585777,139.027050,1262.893582,4.245928,1.216321,-1.277836,1.517268,1.257001
37,2254.976214,136.619885,1262.553579,4.245928,1.216321,-1.277836,1.517268,1.257414
38,2243.356660,134.212302,1262.208575,4.245928,1.216321,-1.277836,1.517268,1.256937
39,2231.747306,131.800141,1261.868571,4.245928,1.216321,-1.277836,1.517268,1.257000
40,2220.132747,129.392767,1261.528567,4.245928,1.216321,-1.277836,1.517268,1.257832
41,2208.518189,126.985393,1261.178564,4.245928,1.216321,-1.277836,1.517268,1.257000
42,2196.903630,124.578019,1260.838560,4.245928,1.216321,-1.277836,1.517268,1.257832
43,2185.289071,122.170645,1260.488556,4.245928,1.216321,-1.277836,1.517268,1.257834
44,2173.679508,119.763480,1260.138552,4.245928,1.216321,-1.277836,1.517268,1.257831
45,2162.059954,117.355897,1259.788549,4.245928,1.216321,-1.277836,1.517268,1.257834
46,2150.450391,114.948732,1259.438545,4.245928,1.216321,-1.277836,1.517268,1.257897
47,2138.835623,112.546353,1259.088541,4.245928,1.216321,-1.277836,1.517268,1.257832
48,2127.221065,110.138979,1258.738538,4.245928,1.216321,-1.277836,1.517268,1.258249
49,2115.606506,107.731605,1258.383534,4.245928,1.216321,-1.277836,1.517268,1.258251
50,2103.996943,105.324440,1258.028530,4.245928,1.216321,-1.277836,1.517268,1.258247
51,2092.377389,102.916857,1257.673526,4.245928,1.216321,-1.277836,1.517268,1.258251
52,2080.767826,100.509692,1257.318523,4.245928,1.216321,-1.277836,1.517268,1.258665
53,2069.153267,98.102318,1256.958519,4.245928,1.216321,-1.277836,1.517268,1.258667
54,2057.543704,95.695153,1256.598515,4.245928,1.216321,-1.277836,1.517268,1.258727
55,2045.923941,93.292566,1256.238511,4.245928,1.216321,-1.277836,1.517268,1.258732
56,2034.314169,90.890397,1255.878508,4.245928,1.216321,-1.277836,1.517268,1.259082
57,2022.699610,88.483023,1255.513504,4.245928,1.216321,-1.277836,1.517268,1.259082
58,2011.085052,86.075649,1255.148500,4.245928,1.216321,-1.277836,1.517268,1.259146
59,1999.470284,83.673270,1254.783496,4.245928,1.216321,-1.277836,1.517268,1.259149
60,1987.860512,81.271101,1254.418493,4.245928,1.216321,-1.277836,1.517268,1.259495
61,1976.240958,78.863518,1254.048489,4.245928,1.216321,-1.277836,1.517268,1.259565
62,1964.631186,76.461348,1253.678485,4.245928,1.216321,-1.277836,1.517268,1.259562
63,1953.016418,74.058970,1253.308481,4.245928,1.216321,-1.277836,1.517268,1.259500
64,1941.406855,71.651805,1252.938478,4.245928,1.216321,-1.277836,1.517268,1.259560
65,1929.787092,69.249218,1252.568474,4.245928,1.216321,-1.277836,1.517268,1.259982
66,1918.177320,66.847048,1252.193470,4.245928,1.216321,-1.277836,1.517268,1.259979
67,1906.562553,64.444670,1251.818466,4.245928,1.216321,-1.277836,1.517268,1.259914
68,1894.947994,62.037296,1251.443463,4.245928,1.216321,-1.277836,1.517268,1.259979
