x,y,z,qx,qy,qz,qw
314.150000,-1286.350000,-1938.645000,0.695561,0.072947,-0.074551,0.710856
327.750000,-1286.350000,-1941.530000,0.695746,0.071156,-0.072721,0.711046
341.365000,-1286.350000,-1944.345000,0.695890,0.069733,-0.071266,0.711193
354.995000,-1286.350000,-1947.105000,0.696027,0.068359,-0.069862,0.711332
368.630000,-1286.350000,-1949.810000,0.696177,0.066813,-0.068282,0.711485
382.280000,-1286.350000,-1952.455000,0.696321,0.065291,-0.066726,0.711633
395.940000,-1286.350000,-1955.040000,0.696453,0.063868,-0.065273,0.711768
409.615000,-1286.350000,-1957.570000,0.696600,0.062244,-0.063613,0.711918
423.295000,-1286.350000,-1960.035000,0.696724,0.060844,-0.062182,0.712045
436.985000,-1286.350000,-1962.445000,0.696857,0.059298,-0.060602,0.712181
450.690000,-1286.350000,-1964.795000,0.696975,0.057898,-0.059171,0.712301
464.405000,-1286.350000,-1967.090000,0.697118,0.056147,-0.057381,0.712447
478.125000,-1286.350000,-1969.315000,0.697221,0.054849,-0.056056,0.712553
491.860000,-1286.350000,-1971.490000,0.697338,0.053344,-0.054517,0.712672
505.600000,-1286.350000,-1973.605000,0.697453,0.051819,-0.052958,0.712790
519.350000,-1286.350000,-1975.660000,0.697563,0.050312,-0.051418,0.712903
533.105000,-1286.350000,-1977.655000,0.697666,0.048875,-0.049950,0.713007
546.880000,-1286.350000,-1979.595000,0.697768,0.047385,-0.048427,0.713112
560.655000,-1286.350000,-1981.475000,0.697878,0.045735,-0.046741,0.713225
574.440000,-1286.350000,-1983.290000,0.697967,0.044366,-0.045342,0.713315
588.225000,-1286.350000,-1985.050000,0.698064,0.042809,-0.043751,0.713414
602.030000,-1286.350000,-1986.750000,0.698154,0.041314,-0.042223,0.713506
615.835000,-1286.350000,-1988.390000,0.698242,0.039804,-0.040679,0.713596
629.645000,-1286.350000,-1989.970000,0.698320,0.038403,-0.039248,0.713676
643.465000,-1286.350000,-1991.495000,0.698408,0.036767,-0.037576,0.713766
