Time,X,Y,Z,Force
0.000000,0.050000,0.000000,0.099995,0.000000
0.010000,0.049996,0.000628,0.099674,0.000000
0.020000,0.049984,0.001257,0.098881,0.000000
0.030000,0.049964,0.001885,0.097643,0.000000
0.040000,0.049937,0.002512,0.095992,0.000000
0.050000,0.049901,0.003140,0.093960,0.000000
0.060000,0.049858,0.003766,0.091577,0.000000
0.070000,0.049807,0.004393,0.088878,0.000000
0.080000,0.049748,0.005018,0.085893,0.000000
0.090000,0.049681,0.005643,0.082656,0.000000
0.100000,0.049606,0.006267,0.079197,0.000000
0.110000,0.049523,0.006890,0.075548,0.000000
0.120000,0.049433,0.007511,0.071737,0.000000
0.130000,0.049334,0.008132,0.067793,0.000000
0.140000,0.049228,0.008751,0.063743,0.000000
0.150000,0.049114,0.009369,0.059612,0.000000
0.160000,0.048993,0.009985,0.055423,0.000000
0.170000,0.048863,0.010600,0.051199,0.000000
0.180000,0.048726,0.011214,0.046960,0.000000
0.190000,0.048582,0.011825,0.042725,0.000000
0.200000,0.048429,0.012434,0.038509,0.000000
0.210000,0.048269,0.013042,0.034329,0.000000
0.220000,0.048101,0.013648,0.030196,0.000000
0.230000,0.047926,0.014251,0.026124,0.000000
0.240000,0.047743,0.014852,0.022121,0.000000
0.250000,0.047553,0.015451,0.018195,0.000000
0.260000,0.047355,0.016047,0.014355,0.000000
0.270000,0.047150,0.016641,0.010604,0.000000
0.280000,0.046937,0.017232,0.006947,0.000000
0.290000,0.046716,0.017821,0.003387,0.000000
0.300000,0.046489,0.018406,-0.000075,0.000000
0.310000,0.046254,0.018989,-0.003438,0.000000
0.320000,0.046012,0.019569,-0.006703,0.000000
0.330000,0.045762,0.020145,-0.009872,0.000000
0.340000,0.045505,0.020719,-0.012945,0.000000
0.350000,0.045241,0.021289,-0.015927,0.000000
0.360000,0.044970,0.021856,-0.018820,0.000000
0.370000,0.044692,0.022419,-0.021628,0.000000
0.380000,0.044407,0.022979,-0.024356,0.000000
0.390000,0.044115,0.023535,-0.027008,0.000000
0.400000,0.043815,0.024088,-0.029589,0.000000
0.410000,0.043509,0.024636,-0.032104,0.000000
0.420000,0.043196,0.025181,-0.034559,0.000000
0.430000,0.042876,0.025722,-0.036958,0.000000
0.440000,0.042550,0.026259,-0.039307,0.000000
0.450000,0.042216,0.026791,-0.041611,0.000000
0.460000,0.041876,0.027320,-0.043876,0.000000
0.470000,0.041530,0.027844,-0.046105,0.000000
0.480000,0.041177,0.028363,-0.048305,0.000000
0.490000,0.040817,0.028879,-0.050480,0.000000
0.500000,0.040451,0.029389,-0.052633,0.000000
0.510000,0.040078,0.029895,-0.054770,0.000000
0.520000,0.039700,0.030397,-0.056893,0.000000
0.530000,0.039314,0.030893,-0.059008,0.000000
0.540000,0.038923,0.031385,-0.061116,0.000000
0.550000,0.038526,0.031871,-0.063222,0.000000
0.560000,0.038122,0.032353,-0.065328,0.000000
0.570000,0.037713,0.032829,-0.067436,0.000000
0.580000,0.037297,0.033301,-0.069548,0.000000
0.590000,0.036876,0.033767,-0.071667,0.000000
0.600000,0.036448,0.034227,-0.073794,0.000000
0.610000,0.036015,0.034683,-0.075931,0.000000
0.620000,0.035577,0.035132,-0.078079,0.000000
0.630000,0.035132,0.035577,-0.080238,0.000000
0.640000,0.034683,0.036015,-0.082409,0.000000
0.650000,0.034227,0.036448,-0.084594,0.000000
0.660000,0.033767,0.036876,-0.086791,0.000000
0.670000,0.033301,0.037297,-0.089002,0.000000
0.680000,0.032829,0.037713,-0.091226,0.000000
0.690000,0.032353,0.038122,-0.093462,0.000000
0.700000,0.031871,0.038526,-0.095712,0.000000
0.710000,0.031385,0.038923,-0.097974,0.000000
0.720000,0.030893,0.039314,-0.100247,0.000000
0.730000,0.030397,0.039700,-0.102532,0.000000
0.740000,0.029895,0.040078,-0.104827,0.000000
0.750000,0.029389,0.040451,-0.107132,0.000000
0.760000,0.028879,0.040817,-0.109445,0.000000
0.770000,0.028363,0.041177,-0.111767,0.000000
0.780000,0.027844,0.041530,-0.114096,0.000000
0.790000,0.027320,0.041876,-0.116432,0.000000
0.800000,0.026791,0.042216,-0.118773,0.000000
0.810000,0.026259,0.042550,-0.121119,0.000000
0.820000,0.025722,0.042876,-0.123468,0.000000
0.830000,0.025181,0.043196,-0.125821,0.000000
0.840000,0.024636,0.043509,-0.128176,0.000000
0.850000,0.024088,0.043815,-0.130533,0.000000
0.860000,0.023535,0.044115,-0.132891,0.000000
0.870000,0.022979,0.044407,-0.135248,0.000000
0.880000,0.022419,0.044692,-0.137606,0.000000
0.890000,0.021856,0.044970,-0.139962,0.000000
0.900000,0.021289,0.045241,-0.142316,0.000000
0.910000,0.020719,0.045505,-0.144669,0.000000
0.920000,0.020145,0.045762,-0.147018,0.000000
0.930000,0.019569,0.046012,-0.149365,0.000000
0.940000,0.018989,0.046254,-0.151709,0.000000
0.950000,0.018406,0.046489,-0.154048,0.000000
0.960000,0.017821,0.046716,-0.156384,0.000000
0.970000,0.017232,0.046937,-0.158716,0.000000
0.980000,0.016641,0.047150,-0.161043,0.000000
0.990000,0.016047,0.047355,-0.163366,0.000000
1.000000,0.015451,0.047553,-0.165684,0.000000
1.010000,0.014852,0.047743,-0.167997,0.000000
1.020000,0.014251,0.047926,-0.170306,0.000000
1.030000,0.013648,0.048101,-0.172610,0.000000
1.040000,0.013042,0.048269,-0.174908,0.000000
1.050000,0.012434,0.048429,-0.177203,0.000000
1.060000,0.011825,0.048582,-0.179492,0.000000
1.070000,0.011214,0.048726,-0.181777,0.000000
1.080000,0.010600,0.048863,-0.184057,0.000000
1.090000,0.009986,0.048993,-0.186333,0.000000
1.100000,0.009369,0.049114,-0.188604,0.000000
1.110000,0.008751,0.049228,-0.190871,0.000000
1.120000,0.008132,0.049334,-0.193135,0.000000
1.130000,0.007511,0.049433,-0.195394,0.000000
1.140000,0.006890,0.049523,-0.197649,0.000000
1.150000,0.006267,0.049606,-0.199900,0.000000
1.160000,0.005643,0.049681,-0.202148,0.000000
1.170000,0.005018,0.049748,-0.204393,0.000000
1.180000,0.004393,0.049807,-0.206634,0.000000
1.190000,0.003766,0.049858,-0.208872,0.000000
1.200000,0.003140,0.049901,-0.211107,0.000000
1.210000,0.002512,0.049937,-0.213339,0.000000
1.220000,0.001885,0.049964,-0.215569,0.000000
1.230000,0.001257,0.049984,-0.217796,0.000000
1.240000,0.000628,0.049996,-0.220020,0.000000
1.250000,0.000000,0.050000,-0.222242,0.000000
1.260000,-0.000628,0.049996,-0.224461,0.000000
1.270000,-0.001257,0.049984,-0.226678,0.000000
1.280000,-0.001885,0.049964,-0.228893,0.000000
1.290000,-0.002512,0.049937,-0.231106,0.000000
1.300000,-0.003140,0.049901,-0.233317,0.000000
1.310000,-0.003766,0.049858,-0.235525,0.000000
1.320000,-0.004393,0.049807,-0.237732,0.000000
1.330000,-0.005018,0.049748,-0.239937,0.000000
1.340000,-0.005643,0.049681,-0.242140,0.000000
1.350000,-0.006267,0.049606,-0.244341,0.000000
1.360000,-0.006890,0.049523,-0.246541,0.000000
1.370000,-0.007511,0.049433,-0.248738,0.000000
1.380000,-0.008132,0.049334,-0.250934,0.000000
1.390000,-0.008751,0.049228,-0.253128,0.000000
1.400000,-0.009369,0.049114,-0.255320,0.000000
1.410000,-0.009985,0.048993,-0.257510,0.000000
1.420000,-0.010600,0.048863,-0.259699,0.000000
1.430000,-0.011214,0.048726,-0.261885,0.000000
1.440000,-0.011825,0.048582,-0.264070,0.000000
1.450000,-0.012434,0.048429,-0.266254,0.000000
1.460000,-0.013042,0.048269,-0.268435,0.000000
1.470000,-0.013648,0.048101,-0.270614,0.000000
1.480000,-0.014251,0.047926,-0.272792,0.000000
1.490000,-0.014852,0.047743,-0.274967,0.000000
1.500000,-0.015451,0.047553,-0.277141,0.000000
1.510000,-0.016047,0.047355,-0.279313,0.000000
1.520000,-0.016641,0.047150,-0.281483,0.000000
1.530000,-0.017232,0.046937,-0.283651,0.000000
1.540000,-0.017821,0.046716,-0.285817,0.000000
1.550000,-0.018406,0.046489,-0.287980,0.000000
1.560000,-0.018989,0.046254,-0.290142,0.000000
1.570000,-0.019569,0.046012,-0.292302,0.000000
1.580000,-0.020145,0.045762,-0.294460,0.000000
1.590000,-0.020719,0.045505,-0.296615,0.000000
1.600000,-0.021289,0.045241,-0.298769,0.000000
1.610000,-0.021856,0.044970,-0.300920,0.000000
1.620000,-0.022419,0.044692,-0.303070,0.000000
1.630000,-0.022979,0.044407,-0.305217,0.000000
1.640000,-0.023535,0.044115,-0.307362,0.000000
1.650000,-0.024088,0.043815,-0.309505,0.000000
1.660000,-0.024636,0.043509,-0.311645,0.000000
1.670000,-0.025181,0.043196,-0.313784,0.000000
1.680000,-0.025722,0.042876,-0.315920,0.000000
1.690000,-0.026259,0.042550,-0.318054,0.000000
1.700000,-0.026791,0.042216,-0.320186,0.000000
1.710000,-0.027320,0.041876,-0.322316,0.000000
1.720000,-0.027844,0.041530,-0.324444,0.000000
1.730000,-0.028363,0.041177,-0.326569,0.000000
1.740000,-0.028879,0.040817,-0.328692,0.000000
1.750000,-0.029389,0.040451,-0.330814,0.000000
1.760000,-0.029895,0.040078,-0.332932,0.000000
1.770000,-0.030397,0.039700,-0.335049,0.000000
1.780000,-0.030893,0.039314,-0.337164,0.000000
1.790000,-0.031385,0.038923,-0.339276,0.000000
1.800000,-0.031871,0.038526,-0.341386,0.000000
1.810000,-0.032353,0.038122,-0.343494,0.000000
1.820000,-0.032829,0.037713,-0.345600,0.000000
1.830000,-0.033301,0.037297,-0.347703,0.000000
1.840000,-0.033767,0.036876,-0.349805,0.000000
1.850000,-0.034227,0.036448,-0.351904,0.000000
1.860000,-0.034683,0.036015,-0.354002,0.000000
1.870000,-0.035132,0.035577,-0.356097,0.000000
1.880000,-0.035577,0.035132,-0.358190,0.000000
1.890000,-0.036015,0.034683,-0.360280,0.000000
1.900000,-0.036448,0.034227,-0.362369,0.000000
1.910000,-0.036876,0.033767,-0.364456,0.000000
1.920000,-0.037297,0.033301,-0.366540,0.000000
1.930000,-0.037713,0.032829,-0.368623,0.000000
1.940000,-0.038122,0.032353,-0.370703,0.000000
1.950000,-0.038526,0.031871,-0.372781,0.000000
