Type,SourceX,SourceY,SourceZ,SegmentID
Parametric,-1707.84,1723.43,-2831.9,6
Parametric,-1676.59,1702.75,-2827.59,6
Parametric,-1645.11,1682.45,-2823.24,6
Parametric,-1613.4,1662.52,-2818.86,6
Parametric,-1581.47,1642.95,-2814.45,6
Parametric,-1549.31,1623.77,-2810.01,6
Parametric,-1516.93,1604.96,-2805.54,6
Parametric,-1484.34,1586.53,-2801.04,6
Parametric,-1451.53,1568.49,-2796.51,6
Parametric,-1418.53,1550.83,-2791.95,6
Parametric,-1385.32,1533.56,-2787.36,6
Parametric,-1351.91,1516.67,-2782.75,6
Parametric,-1318.32,1500.19,-2778.11,6
Parametric,-1284.53,1484.09,-2773.44,6
Parametric,-1250.57,1468.39,-2768.75,6
Parametric,-1216.42,1453.1,-2764.04,6
Parametric,-1182.11,1438.2,-2759.3,6
Parametric,-1147.62,1423.7,-2754.54,6
Parametric,-1112.97,1409.61,-2749.75,6
Parametric,-1078.16,1395.93,-2744.95,6
Parametric,-1043.19,1382.66,-2740.12,6
Parametric,-1008.08,1369.79,-2735.27,6
Parametric,-972.82,1357.34,-2730.4,6
Parametric,-937.41,1345.3,-2725.51,6
Parametric,-901.88,1333.68,-2720.6,6
Parametric,-866.21,1322.48,-2715.68,6
Parametric,-830.41,1311.69,-2710.73,6
Parametric,-794.49,1301.32,-2705.77,6
Parametric,-758.46,1291.38,-2700.8,6
Parametric,-722.31,1281.86,-2695.81,6
Parametric,-686.06,1272.76,-2690.8,6
Parametric,-649.71,1264.08,-2685.78,6
Parametric,-613.25,1255.84,-2680.74,6
Parametric,-576.71,1248.02,-2675.7,6
Parametric,-540.08,1240.63,-2670.64,6
Parametric,-503.36,1233.67,-2665.57,6
Parametric,-466.57,1227.14,-2660.49,6
Parametric,-429.71,1221.04,-2655.4,6
Parametric,-392.78,1215.37,-2650.3,6
Parametric,-355.78,1210.14,-2645.19,6
Parametric,-318.73,1205.34,-2640.07,6
Parametric,-281.62,1200.97,-2634.95,6
Parametric,-244.47,1197.04,-2629.82,6
Parametric,-207.27,1193.54,-2624.68,6
Parametric,-170.04,1190.48,-2619.54,6
Parametric,-132.78,1187.86,-2614.39,6
Parametric,-95.48,1185.67,-2609.24,6
Parametric,-58.17,1183.92,-2604.09,6
Parametric,-20.83,1182.61,-2598.93,6
Parametric,1765.27,1702.75,-2555.42,6
Parametric,1796.81,1723.43,-2555.42,6
Parametric,-1689.67,1750.86,-2829.39,5
Parametric,-1658.74,1730.4,-2825.12,5
Parametric,-1627.59,1710.31,-2820.82,5
Parametric,-1596.2,1690.58,-2816.48,5
Parametric,-1564.59,1671.22,-2812.12,5
Parametric,-1532.75,1652.23,-2807.72,5
Parametric,-1500.71,1633.61,-2803.3,5
Parametric,-1468.45,1615.37,-2798.84,5
Parametric,-1435.98,1597.51,-2794.36,5
Parametric,-1403.31,1580.04,-2789.85,5
Parametric,-1370.44,1562.94,-2785.31,5
Parametric,-1337.37,1546.23,-2780.74,5
Parametric,-1304.12,1529.91,-2776.15,5
Parametric,-1270.68,1513.99,-2771.53,5
Parametric,-1237.06,1498.45,-2766.89,5
Parametric,-1203.27,1483.31,-2762.22,5
Parametric,-1169.3,1468.56,-2757.53,5
Parametric,-1135.16,1454.22,-2752.82,5
Parametric,-1100.87,1440.27,-2748.08,5
Parametric,-1066.41,1426.73,-2743.32,5
Parametric,-1031.8,1413.59,-2738.54,5
Parametric,-997.04,1400.86,-2733.74,5
Parametric,-962.14,1388.54,-2728.92,5
Parametric,-927.1,1376.62,-2724.09,5
Parametric,-891.93,1365.12,-2719.23,5
Parametric,-856.62,1354.03,-2714.35,5
Parametric,-821.19,1343.35,-2709.46,5
Parametric,-785.64,1333.09,-2704.55,5
Parametric,-749.98,1323.25,-2699.63,5
Parametric,-714.2,1313.83,-2694.68,5
Parametric,-678.32,1304.82,-2689.73,5
Parametric,-642.33,1296.24,-2684.76,5
Parametric,-606.25,1288.07,-2679.78,5
Parametric,-570.08,1280.34,-2674.78,5
Parametric,-533.82,1273.02,-2669.78,5
Parametric,-497.48,1266.13,-2664.76,5
Parametric,-461.07,1259.67,-2659.73,5
Parametric,-424.58,1253.63,-2654.69,5
Parametric,-388.02,1248.02,-2649.64,5
Parametric,-351.41,1242.84,-2644.58,5
Parametric,-314.73,1238.09,-2639.52,5
Parametric,-278.01,1233.77,-2634.45,5
Parametric,-241.23,1229.88,-2629.37,5
Parametric,-204.42,1226.42,-2624.29,5
Parametric,-167.56,1223.39,-2619.2,5
Parametric,-130.68,1220.8,-2614.1,5
Parametric,-93.77,1218.63,-2609.01,5
Parametric,-56.83,1216.9,-2603.91,5
Parametric,-19.88,1215.6,-2598.8,5
Parametric,1747.25,1730.4,-2555.42,5
Parametric,1778.47,1750.86,-2555.42,5
Parametric,-1851.36,1750.86,-1658.5,4
Parametric,-1848.19,1750.86,-1681.46,4
Parametric,-1845.02,1750.86,-1704.42,4
Parametric,-1841.85,1750.86,-1727.38,4
Parametric,-1838.68,1750.86,-1750.34,4
Parametric,-1835.51,1750.86,-1773.29,4
Parametric,-1832.34,1750.86,-1796.25,4
Parametric,-1829.17,1750.86,-1819.21,4
Parametric,-1826,1750.86,-1842.17,4
Parametric,-1822.83,1750.86,-1865.13,4
Parametric,-1819.66,1750.86,-1888.09,4
Parametric,-1816.49,1750.86,-1911.05,4
Parametric,-1813.32,1750.86,-1934.01,4
Parametric,-1810.15,1750.86,-1956.96,4
Parametric,-1806.98,1750.86,-1979.92,4
Parametric,-1803.81,1750.86,-2002.88,4
Parametric,-1800.64,1750.86,-2025.84,4
Parametric,-1797.46,1750.86,-2048.8,4
Parametric,-1794.29,1750.86,-2071.76,4
Parametric,-1791.12,1750.86,-2094.72,4
Parametric,-1787.95,1750.86,-2117.67,4
Parametric,-1784.78,1750.86,-2140.63,4
Parametric,-1781.61,1750.86,-2163.59,4
Parametric,-1778.44,1750.86,-2186.55,4
Parametric,-1775.27,1750.86,-2209.51,4
Parametric,-1772.1,1750.86,-2232.47,4
Parametric,-1768.93,1750.86,-2255.43,4
Parametric,-1765.76,1750.86,-2278.39,4
Parametric,-1762.59,1750.86,-2301.34,4
Parametric,-1759.42,1750.86,-2324.3,4
Parametric,-1756.25,1750.86,-2347.26,4
Parametric,-1753.08,1750.86,-2370.22,4
Parametric,-1749.91,1750.86,-2393.18,4
Parametric,-1746.74,1750.86,-2416.14,4
Parametric,-1743.57,1750.86,-2439.1,4
Parametric,-1740.4,1750.86,-2462.05,4
