Time,Z_Trad,Z_Int,F_Trad,F_Int,Integral
0.000000,0.099990,0.099990,0.000000,0.000000,-0.010000
0.010000,0.099362,0.099348,0.000000,0.000000,-0.109945
0.020000,0.097845,0.097761,0.000000,0.000000,-0.209790
0.030000,0.095538,0.095286,0.000000,0.000000,-0.309535
0.040000,0.092539,0.091985,0.000000,0.000000,-0.409181
0.050000,0.088943,0.087920,0.000000,0.000000,-0.508727
0.060000,0.084841,0.083155,0.000000,0.000000,-0.608174
0.070000,0.080320,0.077756,0.000000,0.000000,-0.707521
0.080000,0.075465,0.071787,0.000000,0.000000,-0.806769
0.090000,0.070352,0.065312,0.000000,0.000000,-0.905917
0.100000,0.065057,0.058395,0.000000,0.000000,-1.004967
0.110000,0.059646,0.051096,0.000000,0.000000,-1.103917
0.120000,0.054182,0.043474,0.000000,0.000000,-1.202769
0.130000,0.048724,0.035586,0.000000,0.000000,-1.301521
0.140000,0.043322,0.027486,0.000000,0.000000,-1.400176
0.150000,0.038022,0.019223,0.000000,0.000000,-1.498731
0.160000,0.032866,0.010846,0.000000,0.000000,-1.597188
0.170000,0.027889,0.002398,0.000000,0.000000,-1.695547
0.180000,0.023122,-0.006080,0.000000,0.000000,-1.793807
0.190000,0.018589,-0.014551,0.000000,0.000000,-1.891969
0.200000,0.014312,-0.022982,0.000000,0.000000,-1.990033
0.210000,0.010308,-0.031343,0.000000,0.000000,-2.087999
0.220000,0.006587,-0.039607,0.000000,0.000000,-2.185867
0.230000,0.003160,-0.047753,0.000000,0.000000,-2.283637
0.240000,0.000030,-0.055759,0.000000,0.000000,-2.381309
0.250000,-0.002801,-0.063609,0.000000,0.000000,-2.478884
0.260000,-0.005334,-0.071290,0.000000,0.000000,-2.576361
0.270000,-0.007574,-0.078792,0.000000,0.000000,-2.673741
0.280000,-0.009528,-0.086105,0.000000,0.000000,-2.771023
0.290000,-0.011204,-0.093226,0.000000,0.000000,-2.868209
0.300000,-0.012612,-0.100150,0.000000,0.000000,-2.965297
0.310000,-0.013766,-0.106877,0.000000,0.000000,-3.062288
0.320000,-0.014677,-0.113407,0.000000,0.000000,-3.159182
0.330000,-0.015361,-0.119743,0.000000,0.000000,-3.255979
0.340000,-0.015834,-0.125890,0.000000,0.000000,-3.352680
0.350000,-0.016109,-0.131853,0.000000,0.000000,-3.449283
0.360000,-0.016204,-0.137639,0.000000,0.000000,-3.545791
0.370000,-0.016136,-0.143256,0.000000,0.000000,-3.642202
0.380000,-0.015920,-0.148711,0.000000,0.000000,-3.738516
0.390000,-0.015572,-0.154015,0.000000,0.000000,-3.834734
0.400000,-0.015109,-0.159177,0.000000,0.000000,-3.930856
0.410000,-0.014546,-0.164208,0.000000,0.000000,-4.026882
0.420000,-0.013897,-0.169117,0.000000,0.000000,-4.122812
0.430000,-0.013178,-0.173916,0.000000,0.000000,-4.218646
0.440000,-0.012402,-0.178614,0.000000,0.000000,-4.314384
0.450000,-0.011581,-0.183223,0.000000,0.000000,-4.410027
0.460000,-0.010729,-0.187752,0.000000,0.000000,-4.505574
0.470000,-0.009855,-0.192211,0.000000,0.000000,-4.601025
0.480000,-0.008971,-0.196610,0.000000,0.000000,-4.696381
0.490000,-0.008085,-0.200959,0.000000,0.000000,-4.791642
0.500000,-0.007207,-0.205266,0.000000,0.000000,-4.886808
0.510000,-0.006344,-0.209539,0.000000,0.000000,-4.981878
0.520000,-0.005503,-0.213787,0.000000,0.000000,-5.076853
0.530000,-0.004690,-0.218016,0.000000,0.000000,-5.171734
0.540000,-0.003910,-0.222233,0.000000,0.000000,-5.266519
0.550000,-0.003167,-0.226444,0.000000,0.000000,-5.361210
0.560000,-0.002465,-0.230655,0.000000,0.000000,-5.455807
0.570000,-0.001806,-0.234871,0.000000,0.000000,-5.550308
0.580000,-0.001193,-0.239096,0.000000,0.000000,-5.644715
0.590000,-0.000628,-0.243334,0.000000,0.000000,-5.739028
0.600000,-0.000110,-0.247589,0.000000,0.000000,-5.833247
0.610000,0.000359,-0.251862,0.000000,0.000000,-5.927371
0.620000,0.000780,-0.256158,0.000000,0.000000,-6.021402
0.630000,0.001153,-0.260476,0.000000,0.000000,-6.115338
0.640000,0.001480,-0.264819,0.000000,0.000000,-6.209180
0.650000,0.001761,-0.269187,0.000000,0.000000,-6.302929
0.660000,0.001998,-0.273582,0.000000,0.000000,-6.396584
0.670000,0.002194,-0.278003,0.000000,0.000000,-6.490145
0.680000,0.002350,-0.282451,0.000000,0.000000,-6.583613
0.690000,0.002468,-0.286925,0.000000,0.000000,-6.676987
0.700000,0.002552,-0.291424,0.000000,0.000000,-6.770268
