x,y,z,qx,qy,qz,qw
838.328097,-935.594422,-1462.050139,0.757259,0.059405,0.062934,0.647355
850.211922,-933.523197,-1461.827689,0.757257,0.059437,0.062906,0.647358
862.095748,-931.451973,-1461.605239,0.757254,0.05947,0.062878,0.647361
873.977061,-929.383271,-1461.385254,0.757261,0.059386,0.06295,0.647354
885.858375,-927.314569,-1461.165269,0.757267,0.059303,0.063021,0.647347
897.742291,-925.248347,-1460.940326,0.757267,0.059303,0.063021,0.647347
909.626207,-923.182125,-1460.715384,0.757267,0.059303,0.063021,0.647347
921.510123,-921.115903,-1460.490442,0.757273,0.059231,0.063082,0.647341
933.394039,-919.049681,-1460.265499,0.757279,0.059159,0.063144,0.647335
945.275506,-916.980992,-1460.035515,0.757282,0.059121,0.063176,0.647332
957.156973,-914.912303,-1459.805531,0.757285,0.059083,0.063209,0.647328
969.040978,-912.843591,-1459.573086,0.757285,0.059076,0.063215,0.647328
980.924984,-910.774879,-1459.340641,0.757286,0.05907,0.06322,0.647327
992.806515,-908.708693,-1459.108161,0.757292,0.058987,0.063291,0.64732
1004.688047,-906.642507,-1458.875681,0.757299,0.058903,0.063362,0.647313
1016.572181,-904.578801,-1458.638244,0.757298,0.058916,0.063352,0.647314
1028.456316,-902.515095,-1458.400807,0.757297,0.058928,0.063342,0.647315
1040.340398,-900.446389,-1458.163362,0.757304,0.058838,0.063419,0.647308
1052.22448,-898.377684,-1457.925918,0.757311,0.058748,0.063496,0.6473
1064.106192,-896.314011,-1457.683442,0.757314,0.058709,0.063528,0.647297
1075.987903,-894.250337,-1457.440967,0.757317,0.058671,0.063561,0.647294
1087.872153,-892.186641,-1457.196031,0.757317,0.058671,0.063561,0.647294
1099.756402,-890.122945,-1456.951094,0.757317,0.058671,0.063561,0.647294
1099.756497,-890.127654,-1456.94816,0.760364,0.02687,0.023715,0.648508
1099.756591,-890.132364,-1456.945226,0.761426,-0.005,-0.016194,0.64803
1099.756685,-890.137073,-1456.942292,0.760502,-0.036858,-0.05606,0.645861
1099.75678,-890.141782,-1456.939358,0.757592,-0.068619,-0.09578,0.642006
1099.756874,-890.146492,-1456.936424,0.752706,-0.100202,-0.135249,0.636475
1099.756968,-890.151201,-1456.93349,0.745855,-0.131523,-0.174366,0.629284
1099.757063,-890.155911,-1456.930556,0.737058,-0.1625,-0.213028,0.62045
1099.757157,-890.16062,-1456.927622,0.726337,-0.193054,-0.251134,0.609997
1099.757251,-890.16533,-1456.924688,0.713721,-0.223103,-0.288585,0.597952
