Metric,GA
AverageTime(ms),22.403919
SuccessRate150(%),96.610169
JointLimitCost,0.557783
VelocitySmoothness,35.851507
OverallSuccessRate(%),100.000000
TotalLimitApproaches,7.000000
TotalVelocityViolations,2.000000
Joint1_AvgMovement,21.989795
Joint1_AvgVelocity,6.556381
Joint1_LimitApproaches,6
Joint1_VelocityViolations,0
Joint2_AvgMovement,17.396313
Joint2_AvgVelocity,4.362620
Joint2_LimitApproaches,0
Joint2_VelocityViolations,0
Joint3_AvgMovement,10.884842
Joint3_AvgVelocity,1.387932
Joint3_LimitApproaches,0
Joint3_VelocityViolations,0
Joint4_AvgMovement,0.042615
Joint4_AvgVelocity,0.054304
Joint4_LimitApproaches,0
Joint4_VelocityViolations,0
Joint5_AvgMovement,0.013749
Joint5_AvgVelocity,0.020173
Joint5_LimitApproaches,0
Joint5_VelocityViolations,0
Joint6_AvgMovement,0.019466
Joint6_AvgVelocity,0.054985
Joint6_LimitApproaches,0
Joint6_VelocityViolations,1
Joint7_AvgMovement,0.027088
Joint7_AvgVelocity,0.054227
Joint7_LimitApproaches,1
Joint7_VelocityViolations,0
Joint8_AvgMovement,0.019917
Joint8_AvgVelocity,0.061736
Joint8_LimitApproaches,0
Joint8_VelocityViolations,1
