Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,0,7.574600,0.509922,1,301.425685,2.030119,1042.530414,7.021502,1013.003370,6.822635,1.989594,0.134000,0.358519,0.024146,-1.317473,-0.088733,-0.608014,-0.040950,-0.390503,-0.026301
GA,1,4.431200,0.509949,1,299.401662,-1.664261,1054.520431,9.858842,1012.780889,-0.182936,1.989803,0.001714,0.358519,0.000000,-1.317616,-0.001176,-0.608202,-0.001545,-0.390503,0.000000
GA,2,5.730900,0.509979,1,297.379040,-1.662753,1066.513332,9.859099,1012.558560,-0.182771,1.990017,0.001764,0.358519,0.000000,-1.317762,-0.001202,-0.608397,-0.001605,-0.390503,0.000000
GA,3,5.202400,0.509966,1,295.187343,-1.855445,1078.118379,9.824590,1012.338508,-0.186292,1.989474,-0.004598,0.358519,0.000000,-1.317390,0.003154,-0.607904,0.004168,-0.390503,0.000000
GA,4,5.555600,0.509955,1,292.998437,-1.852248,1089.729368,9.825197,1012.118588,-0.186095,1.988943,-0.004496,0.358519,0.000000,-1.317023,0.003103,-0.607423,0.004073,-0.390503,0.000000
GA,5,4.297500,0.509977,1,290.932215,-1.712675,1101.613284,9.850481,1011.893645,-0.186453,1.988943,0.000000,0.358519,0.000000,-1.317023,0.000000,-0.607423,0.000000,-0.390503,0.000000
GA,6,3.594600,0.510001,1,288.865993,-1.712675,1113.497200,9.850481,1011.668703,-0.186453,1.988943,0.000000,0.358519,0.000000,-1.317023,0.000000,-0.607423,0.000000,-0.390503,0.000000
GA,7,4.209600,0.509999,1,286.695767,-1.831043,1125.147044,9.829100,1011.443690,-0.189846,1.988483,-0.003883,0.358519,0.000000,-1.316706,0.002675,-0.607005,0.003528,-0.390503,0.000000
GA,8,4.405300,0.509998,1,284.524795,-1.831991,1136.794652,9.828923,1011.218694,-0.189864,1.988019,-0.003917,0.358519,0.000000,-1.316387,0.002694,-0.606585,0.003546,-0.390503,0.000000
GA,9,4.864900,0.510013,1,282.402048,-1.776079,1148.554260,9.839132,1010.988728,-0.192410,1.987779,-0.002005,0.358519,0.000000,-1.316221,0.001391,-0.606367,0.001822,-0.390503,0.000000
GA,10,4.717200,0.510029,1,280.277171,-1.778571,1160.308626,9.838677,1010.758588,-0.192632,1.987530,-0.002088,0.358519,0.000000,-1.316051,0.001421,-0.606141,0.001889,-0.390503,0.000000
GA,11,4.025800,0.510058,1,278.199583,-1.724598,1172.172646,9.848279,1010.526346,-0.192783,1.987490,-0.000326,0.358519,0.000000,-1.316021,0.000247,-0.606106,0.000290,-0.390503,0.000000
GA,12,3.732900,0.510090,1,276.121301,-1.725391,1184.035000,9.848133,1010.293715,-0.193131,1.987448,-0.000353,0.358519,0.000000,-1.315994,0.000226,-0.606067,0.000327,-0.390503,0.000000
GA,13,3.491200,0.510094,1,273.936414,-1.848598,1195.648124,9.825679,1010.061301,-0.196642,1.986921,-0.004460,0.358519,0.000000,-1.315629,0.003092,-0.605590,0.004038,-0.390503,0.000000
GA,14,3.499200,0.510100,1,271.750606,-1.849700,1207.258977,9.825468,1009.828734,-0.196805,1.986389,-0.004500,0.358519,0.000000,-1.315260,0.003115,-0.605106,0.004089,-0.390503,0.000000
GA,15,3.517300,0.510143,1,269.704190,-1.691297,1219.181987,9.853984,1009.591299,-0.196232,1.986466,0.000634,0.358519,0.000000,-1.315315,-0.000449,-0.605178,-0.000588,-0.390503,0.000000
GA,16,3.488900,0.510189,1,267.657409,-1.691672,1231.104397,9.853920,1009.353877,-0.196230,1.986541,0.000622,0.358519,0.000000,-1.315367,-0.000432,-0.605246,-0.000567,-0.390503,0.000000
GA,17,3.380600,0.510197,1,265.460944,-1.860921,1242.698896,9.823262,1009.116536,-0.201084,1.985972,-0.004816,0.358519,0.000000,-1.314972,0.003350,-0.604732,0.004360,-0.390503,0.000000
GA,18,3.652800,0.510207,1,263.263774,-1.861830,1254.291254,9.823086,1008.879003,-0.201280,1.985400,-0.004851,0.358519,0.000000,-1.314575,0.003357,-0.604213,0.004396,-0.390503,0.000000
GA,19,3.536000,0.510238,1,261.146549,-1.771456,1266.051625,9.839755,1008.636558,-0.202851,1.985161,-0.001996,0.358519,0.000000,-1.314408,0.001403,-0.603995,0.001823,-0.390503,0.000000
GA,20,3.457400,0.510272,1,259.028746,-1.772200,1277.810107,9.839621,1008.394120,-0.202875,1.984920,-0.002022,0.358519,0.000000,-1.314240,0.001405,-0.603777,0.001824,-0.390503,0.000000
GA,21,3.458300,0.510321,1,256.965050,-1.710540,1289.694357,9.850525,1008.149184,-0.203021,1.984920,0.000000,0.358519,0.000000,-1.314240,0.000000,-0.603777,0.000000,-0.390503,0.000000
GA,22,3.234700,0.510372,1,254.901354,-1.710540,1301.578606,9.850525,1007.904247,-0.203021,1.984920,0.000000,0.358519,0.000000,-1.314240,0.000000,-0.603777,0.000000,-0.390503,0.000000
GA,23,3.162400,0.509610,1,289.801381,3.903047,1383.889193,9.205211,1007.409998,-0.055274,2.125568,0.157294,0.358519,0.000000,-1.345139,-0.034556,-0.636212,-0.036274,-0.390503,0.000000
GA,24,3.370600,0.510848,1,341.934814,5.257018,1468.231801,8.504919,1007.169812,-0.024220,2.284433,0.160196,0.358519,0.000000,-1.381169,-0.036331,-0.686318,-0.050525,-0.390503,0.000000
GA,25,3.338300,0.515556,1,418.587365,6.679088,1553.619431,7.440215,1007.185838,0.001396,2.472487,0.163860,0.358519,0.000000,-1.425555,-0.038675,-0.764480,-0.068106,-0.390503,0.000000
GA,26,4.301400,0.528824,1,541.998945,8.209128,1639.416333,5.707064,1007.458159,0.018114,2.726854,0.169200,0.358519,0.000000,-1.490293,-0.043063,-0.905649,-0.093903,-0.390503,0.000000
GA,27,6.322900,0.545319,1,618.254885,8.228285,1686.350819,5.064397,1031.283155,2.570801,2.869435,0.153850,0.293949,-0.069674,-1.548161,-0.062441,-0.940703,-0.037824,-0.329523,0.065800
