Time,Z_TCP,F_Z,Z_Offset,Integral
0,0.199995,0,-5.025e-06,-0.005
0.01,0.199674,0,-0.000325867,-0.0549725
0.02,0.198881,0,-0.00111945,-0.104895
0.03,0.197643,0,-0.00235684,-0.154768
0.04,0.195992,0,-0.0040076,-0.204591
0.05,0.19396,0,-0.00604023,-0.254364
0.06,0.191577,0,-0.00842256,-0.304087
0.07,0.188878,0,-0.0111222,-0.35376
0.08,0.185893,0,-0.0141066,-0.403384
0.09,0.182656,0,-0.0173439,-0.452959
0.1,0.179197,0,-0.0208025,-0.502483
0.11,0.175548,0,-0.024452,-0.551959
0.12,0.171737,0,-0.0282629,-0.601384
0.13,0.167793,0,-0.0322068,-0.650761
0.14,0.163743,0,-0.0362571,-0.700088
0.15,0.159612,0,-0.0403883,-0.749366
0.16,0.155423,0,-0.0445769,-0.798594
0.17,0.151199,0,-0.0488008,-0.847773
0.18,0.14696,0,-0.0530398,-0.896903
0.19,0.142725,0,-0.0572754,-0.945984
0.2,0.138509,0,-0.0614909,-0.995016
0.21,0.134329,0,-0.0656714,-1.044
0.22,0.130196,0,-0.0698037,-1.09293
0.23,0.126124,0,-0.0738763,-1.14182
0.24,0.122121,0,-0.0778794,-1.19065
0.25,0.118195,0,-0.0818046,-1.23944
0.26,0.114355,0,-0.0856452,-1.28818
0.27,0.110604,0,-0.0893959,-1.33687
0.28,0.106947,0,-0.0930527,-1.38551
0.29,0.103387,0,-0.0966129,-1.4341
0.3,0.099925,0,-0.100075,-1.48265
0.31,0.0965617,0,-0.103438,-1.53114
0.32,0.0932965,0,-0.106703,-1.57959
0.33,0.0901283,0,-0.109872,-1.62799
0.34,0.0870548,0,-0.112945,-1.67634
0.35,0.0840733,0,-0.115927,-1.72464
0.36,0.0811804,0,-0.11882,-1.7729
0.37,0.0783722,0,-0.121628,-1.8211
0.38,0.0756444,0,-0.124356,-1.86926
0.39,0.0729924,0,-0.127008,-1.91737
0.4,0.0704113,0,-0.129589,-1.96543
0.41,0.0678961,0,-0.132104,-2.01344
0.42,0.0654414,0,-0.134559,-2.06141
0.43,0.0630421,0,-0.136958,-2.10932
0.44,0.060693,0,-0.139307,-2.15719
0.45,0.0583887,0,-0.141611,-2.20501
0.46,0.0561242,0,-0.143876,-2.25279
0.47,0.0538946,0,-0.146105,-2.30051
0.48,0.0516948,0,-0.148305,-2.34819
0.49,0.0495205,0,-0.15048,-2.39582
0.5,0.0473671,0,-0.152633,-2.4434
0.51,0.0452304,0,-0.15477,-2.49094
0.52,0.0431067,0,-0.156893,-2.53843
0.53,0.0409922,0,-0.159008,-2.58587
0.54,0.0388837,0,-0.161116,-2.63326
0.55,0.036778,0,-0.163222,-2.68061
0.56,0.0346724,0,-0.165328,-2.7279
0.57,0.0325645,0,-0.167436,-2.77515
0.58,0.0304519,0,-0.169548,-2.82236
0.59,0.0283328,0,-0.171667,-2.86951
0.6,0.0262056,0,-0.173794,-2.91662
0.61,0.0240688,0,-0.175931,-2.96369
0.62,0.0219212,0,-0.178079,-3.0107
0.63,0.0197621,0,-0.180238,-3.05767
0.64,0.0175906,0,-0.182409,-3.10459
0.65,0.0154063,0,-0.184594,-3.15146
0.66,0.0132089,0,-0.186791,-3.19829
0.67,0.0109983,0,-0.189002,-3.24507
0.68,0.00877443,0,-0.191226,-3.29181
0.69,0.00653762,0,-0.193462,-3.33849
0.7,0.00428811,0,-0.195712,-3.38513
0.71,0.00202634,0,-0.197974,-3.43173
0.72,-0.000247157,0,-0.200247,-3.47828
0.73,-0.00253178,0,-0.202532,-3.52478
0.74,-0.00482685,0,-0.204827,-3.57123
0.75,-0.00713163,0,-0.207132,-3.61764
0.76,-0.00944534,0,-0.209445,-3.664
0.77,-0.0117672,0,-0.211767,-3.71031
0.78,-0.0140963,0,-0.214096,-3.75658
0.79,-0.0164318,0,-0.216432,-3.80281
0.8,-0.0187729,0,-0.218773,-3.84898
0.81,-0.0211187,0,-0.221119,-3.89511
0.82,-0.0234684,0,-0.223468,-3.9412
0.83,-0.0258213,0,-0.225821,-3.98724
0.84,-0.0281764,0,-0.228176,-4.03323
0.85,-0.0305331,0,-0.230533,-4.07917
0.86,-0.0328906,0,-0.232891,-4.12507
0.87,-0.0352483,0,-0.235248,-4.17093
0.88,-0.0376055,0,-0.237606,-4.21674
0.89,-0.0399617,0,-0.239962,-4.2625
0.9,-0.0423162,0,-0.242316,-4.30822
0.91,-0.0446686,0,-0.244669,-4.35389
0.92,-0.0470183,0,-0.247018,-4.39951
0.93,-0.0493651,0,-0.249365,-4.44509
0.94,-0.0517086,0,-0.251709,-4.49063
0.95,-0.0540484,0,-0.254048,-4.53612
0.96,-0.0563842,0,-0.256384,-4.58156
0.97,-0.0587158,0,-0.258716,-4.62696
0.98,-0.061043,0,-0.261043,-4.67231
0.99,-0.0633658,0,-0.263366,-4.71762
1,-0.0656838,0,-0.265684,-4.76288
1.01,-0.0679972,0,-0.267997,-4.8081
1.02,-0.0703058,0,-0.270306,-4.85327
1.03,-0.0726095,0,-0.27261,-4.89839
1.04,-0.0749085,0,-0.274908,-4.94348
1.05,-0.0772027,0,-0.277203,-4.98851
1.06,-0.0794921,0,-0.279492,-5.0335
1.07,-0.0817769,0,-0.281777,-5.07845
1.08,-0.0840572,0,-0.284057,-5.12335
1.09,-0.0863329,0,-0.286333,-5.16821
1.1,-0.0886043,0,-0.288604,-5.21302
1.11,-0.0908715,0,-0.290871,-5.25779
1.12,-0.0931345,0,-0.293135,-5.30251
1.13,-0.0953936,0,-0.295394,-5.34719
1.14,-0.0976488,0,-0.297649,-5.39182
1.15,-0.0999004,0,-0.2999,-5.43641
1.16,-0.102148,0,-0.302148,-5.48095
1.17,-0.104393,0,-0.304393,-5.52545
1.18,-0.106634,0,-0.306634,-5.5699
1.19,-0.108872,0,-0.308872,-5.61431
1.2,-0.111107,0,-0.311107,-5.65868
1.21,-0.113339,0,-0.313339,-5.703
1.22,-0.115569,0,-0.315569,-5.74728
1.23,-0.117796,0,-0.317796,-5.79151
1.24,-0.12002,0,-0.32002,-5.8357
1.25,-0.122242,0,-0.322242,-5.87984
1.26,-0.124461,0,-0.324461,-5.92394
1.27,-0.126678,0,-0.326678,-5.968
1.28,-0.128893,0,-0.328893,-6.01201
1.29,-0.131106,0,-0.331106,-6.05598
1.3,-0.133317,0,-0.333317,-6.0999
1.31,-0.135525,0,-0.335525,-6.14378
1.32,-0.137732,0,-0.337732,-6.18762
1.33,-0.139937,0,-0.339937,-6.23141
1.34,-0.14214,0,-0.34214,-6.27516
1.35,-0.144341,0,-0.344341,-6.31887
1.36,-0.146541,0,-0.346541,-6.36253
1.37,-0.148738,0,-0.348738,-6.40615
1.38,-0.150934,0,-0.350934,-6.44972
1.39,-0.153128,0,-0.353128,-6.49325
1.4,-0.15532,0,-0.35532,-6.53674
1.41,-0.15751,0,-0.35751,-6.58018
1.42,-0.159699,0,-0.359699,-6.62358
1.43,-0.161885,0,-0.361885,-6.66694
1.44,-0.16407,0,-0.36407,-6.71025
1.45,-0.166254,0,-0.366254,-6.75352
1.46,-0.168435,0,-0.368435,-6.79675
1.47,-0.170614,0,-0.370614,-6.83993
1.48,-0.172792,0,-0.372792,-6.88308
1.49,-0.174967,0,-0.374967,-6.92617
1.5,-0.177141,0,-0.377141,-6.96923
1.51,-0.179313,0,-0.379313,-7.01224
1.52,-0.181483,0,-0.381483,-7.05521
1.53,-0.183651,0,-0.383651,-7.09813
1.54,-0.185817,0,-0.385817,-7.14102
1.55,-0.18798,0,-0.38798,-7.18386
1.56,-0.190142,0,-0.390142,-7.22665
1.57,-0.192302,0,-0.392302,-7.26941
1.58,-0.19446,0,-0.39446,-7.31212
1.59,-0.196615,0,-0.396615,-7.35479
1.6,-0.198769,0,-0.398769,-7.39741
1.61,-0.20092,0,-0.40092,-7.44
1.62,-0.20307,0,-0.40307,-7.48254
1.63,-0.205217,0,-0.405217,-7.52503
1.64,-0.207362,0,-0.407362,-7.56749
1.65,-0.209505,0,-0.409505,-7.6099
1.66,-0.211645,0,-0.411645,-7.65228
1.67,-0.213784,0,-0.413784,-7.6946
1.68,-0.21592,0,-0.41592,-7.73689
1.69,-0.218054,0,-0.418054,-7.77913
1.7,-0.220186,0,-0.420186,-7.82134
1.71,-0.222316,0,-0.422316,-7.8635
1.72,-0.224444,0,-0.424444,-7.90561
1.73,-0.226569,0,-0.426569,-7.94769
1.74,-0.228692,0,-0.428692,-7.98972
1.75,-0.230814,0,-0.430814,-8.03171
1.76,-0.232932,0,-0.432932,-8.07366
1.77,-0.235049,0,-0.435049,-8.11557
1.78,-0.237164,0,-0.437164,-8.15744
1.79,-0.239276,0,-0.439276,-8.19926
1.8,-0.241386,0,-0.441386,-8.24104
1.81,-0.243494,0,-0.443494,-8.28278
1.82,-0.2456,0,-0.4456,-8.32448
1.83,-0.247703,0,-0.447703,-8.36614
1.84,-0.249805,0,-0.449805,-8.40775
1.85,-0.251904,0,-0.451904,-8.44933
1.86,-0.254002,0,-0.454002,-8.49086
1.87,-0.256097,0,-0.456097,-8.53235
1.88,-0.25819,0,-0.45819,-8.5738
1.89,-0.26028,0,-0.46028,-8.6152
1.9,-0.262369,0,-0.462369,-8.65657
1.91,-0.264456,0,-0.464456,-8.6979
1.92,-0.26654,0,-0.46654,-8.73918
1.93,-0.268623,0,-0.468623,-8.78042
1.94,-0.270703,0,-0.470703,-8.82162
1.95,-0.272781,0,-0.472781,-8.86278
1.96,-0.274857,0,-0.474857,-8.9039
1.97,-0.276931,0,-0.476931,-8.94498
1.98,-0.279003,0,-0.479003,-8.98602
1.99,-0.281073,0,-0.481073,-9.02701
2,-0.283141,0,-0.483141,-9.06797
2.01,-0.285206,0,-0.485206,-9.10888
2.02,-0.28727,0,-0.48727,-9.14975
2.03,-0.289332,0,-0.489332,-9.19058
2.04,-0.291391,0,-0.491391,-9.23137
2.05,-0.293449,0,-0.493449,-9.27212
2.06,-0.295504,0,-0.495504,-9.31283
2.07,-0.297558,0,-0.497558,-9.3535
2.08,-0.299609,0,-0.499609,-9.39413
2.09,-0.301658,0,-0.501658,-9.43472
2.1,-0.303706,0,-0.503706,-9.47527
2.11,-0.305751,0,-0.505751,-9.51577
2.12,-0.307794,0,-0.507794,-9.55624
2.13,-0.309835,0,-0.509835,-9.59666
2.14,-0.311875,0,-0.511875,-9.63705
2.15,-0.313912,0,-0.513912,-9.67739
2.16,-0.315947,0,-0.515947,-9.7177
2.17,-0.31798,0,-0.51798,-9.75796
2.18,-0.320011,0,-0.520011,-9.79819
