Time,X,Y,Z,F_Z
0,0.4,0,0.199992,0
0.01,0.399996,0.000628302,0.199479,0
0.02,0.399984,0.0012565,0.198209,0
0.03,0.399964,0.00188451,0.196229,0
0.04,0.399937,0.00251222,0.193588,0
0.05,0.399901,0.00313953,0.190336,0
0.06,0.399858,0.00376634,0.186524,0
0.07,0.399807,0.00439256,0.182205,0
0.08,0.399748,0.00501809,0.177429,0
0.09,0.399681,0.00564282,0.17225,0
0.1,0.399606,0.00626666,0.166716,0
0.11,0.399523,0.00688951,0.160877,0
0.12,0.399433,0.00751128,0.154779,0
0.13,0.399334,0.00813186,0.148469,0
0.14,0.399228,0.00875115,0.141989,0
0.15,0.399114,0.00936907,0.135379,0
0.16,0.398993,0.0099855,0.128677,0
0.17,0.398863,0.0106004,0.121919,0
0.18,0.398726,0.0112135,0.115136,0
0.19,0.398582,0.0118249,0.108359,0
0.2,0.398429,0.0124345,0.101615,0
0.21,0.398269,0.0130421,0.0949257,0
0.22,0.398101,0.0136476,0.088314,0
0.23,0.397926,0.014251,0.0817979,0
0.24,0.397743,0.0148521,0.075393,0
0.25,0.397553,0.0154508,0.0691127,0
0.26,0.397355,0.0160472,0.0629677,0
0.27,0.39715,0.016641,0.0569665,0
0.28,0.396937,0.0172321,0.0511156,0
0.29,0.396716,0.0178206,0.0454193,0
0.3,0.396489,0.0184062,0.03988,0
0.31,0.396254,0.018989,0.0344987,0
0.32,0.396012,0.0195687,0.0292745,0
0.33,0.395762,0.0201453,0.0242053,0
0.34,0.395505,0.0207188,0.0192877,0
0.35,0.395241,0.021289,0.0145173,0
0.36,0.39497,0.0218558,0.00988863,0
0.37,0.394692,0.0224192,0.00539551,0
0.38,0.394407,0.022979,0.00103106,0
0.39,0.394115,0.0235352,-0.00321212,0
0.4,0.393815,0.0240877,-0.00734187,0
0.41,0.393509,0.0246364,-0.0113663,0
0.42,0.393196,0.0251812,-0.0152937,0
0.43,0.392876,0.025722,-0.0191326,0
0.44,0.39255,0.0262587,-0.0228912,0
0.45,0.392216,0.0267913,-0.026578,0
0.46,0.391876,0.0273197,-0.0302012,0
0.47,0.39153,0.0278438,-0.0337687,0
0.48,0.391177,0.0283634,-0.0372882,0
0.49,0.390817,0.0288786,-0.0407672,0
0.5,0.390451,0.0293893,-0.0442127,0
0.51,0.390078,0.0298952,-0.0476313,0
0.52,0.3897,0.0303965,-0.0510293,0
0.53,0.389314,0.030893,-0.0544124,0
0.54,0.388923,0.0313846,-0.0577861,0
0.55,0.388526,0.0318712,-0.0611552,0
0.56,0.388122,0.0323528,-0.0645241,0
0.57,0.387713,0.0328293,-0.0678969,0
0.58,0.387297,0.0333006,-0.071277,0
0.59,0.386876,0.0337666,-0.0746675,0
0.6,0.386448,0.0342274,-0.0780711,0
0.61,0.386015,0.0346827,-0.08149,0
0.62,0.385577,0.0351325,-0.084926,0
0.63,0.385132,0.0355768,-0.0883807,0
0.64,0.384683,0.0360155,-0.0918551,0
0.65,0.384227,0.0364484,-0.0953499,0
0.66,0.383767,0.0368757,-0.0988658,0
0.67,0.383301,0.0372971,-0.102403,0
0.68,0.382829,0.0377126,-0.105961,0
0.69,0.382353,0.0381221,-0.10954,0
0.7,0.381871,0.0385257,-0.113139,0
0.71,0.381385,0.0389231,-0.116758,0
0.72,0.380893,0.0393144,-0.120395,0
0.73,0.380397,0.0396995,-0.124051,0
0.74,0.379895,0.0400783,-0.127723,0
0.75,0.379389,0.0404508,-0.131411,0
0.76,0.378879,0.040817,-0.135113,0
0.77,0.378363,0.0411766,-0.138827,0
0.78,0.377844,0.0415298,-0.142554,0
0.79,0.37732,0.0418764,-0.146291,0
0.8,0.376791,0.0422164,-0.150037,0
0.81,0.376259,0.0425497,-0.15379,0
0.82,0.375722,0.0428763,-0.15755,0
0.83,0.375181,0.0431962,-0.161314,0
0.84,0.374636,0.0435092,-0.165082,0
0.85,0.374088,0.0438153,-0.168853,0
0.86,0.373535,0.0441146,-0.172625,0
0.87,0.372979,0.0444068,-0.176397,0
0.88,0.372419,0.0446921,-0.180169,0
0.89,0.371856,0.0449703,-0.183939,0
0.9,0.371289,0.0452414,-0.187706,0
0.91,0.370719,0.0455053,-0.19147,0
0.92,0.370145,0.0457621,-0.195229,0
0.93,0.369569,0.0460116,-0.198984,0
0.94,0.368989,0.0462539,-0.202734,0
0.95,0.368406,0.0464888,-0.206477,0
0.96,0.367821,0.0467164,-0.210215,0
0.97,0.367232,0.0469367,-0.213945,0
0.98,0.366641,0.0471495,-0.217669,0
0.99,0.366047,0.0473549,-0.221385,0
1,0.365451,0.0475528,-0.225094,0
1.01,0.364852,0.0477432,-0.228795,0
1.02,0.364251,0.0479261,-0.232489,0
1.03,0.363648,0.0481014,-0.236175,0
1.04,0.363042,0.0482691,-0.239854,0
1.05,0.362434,0.0484292,-0.243524,0
1.06,0.361825,0.0485816,-0.247187,0
1.07,0.361214,0.0487263,-0.250843,0
1.08,0.3606,0.0488634,-0.254491,0
1.09,0.359986,0.0489928,-0.258133,0
1.1,0.359369,0.0491144,-0.261767,0
1.11,0.358751,0.0492282,-0.265394,0
1.12,0.358132,0.0493343,-0.269015,0
1.13,0.357511,0.0494326,-0.27263,0
1.14,0.35689,0.0495231,-0.276238,0
1.15,0.356267,0.0496057,-0.279841,0
1.16,0.355643,0.0496806,-0.283437,0
1.17,0.355018,0.0497476,-0.287029,0
1.18,0.354393,0.0498067,-0.290615,0
1.19,0.353766,0.0498579,-0.294196,0
1.2,0.35314,0.0499013,-0.297772,0
1.21,0.352512,0.0499368,-0.301343,0
1.22,0.351885,0.0499645,-0.30491,0
1.23,0.351257,0.0499842,-0.308473,0
1.24,0.350628,0.0499961,-0.312032,0
1.25,0.35,0.05,-0.315587,0
1.26,0.349372,0.0499961,-0.319138,0
1.27,0.348743,0.0499842,-0.322685,0
1.28,0.348115,0.0499645,-0.326229,0
1.29,0.347488,0.0499368,-0.329769,0
1.3,0.34686,0.0499013,-0.333307,0
1.31,0.346234,0.0498579,-0.336841,0
1.32,0.345607,0.0498067,-0.340372,0
1.33,0.344982,0.0497476,-0.343899,0
1.34,0.344357,0.0496806,-0.347424,0
1.35,0.343733,0.0496057,-0.350946,0
1.36,0.34311,0.0495231,-0.354465,0
1.37,0.342489,0.0494326,-0.357981,0
1.38,0.341868,0.0493343,-0.361494,0
1.39,0.341249,0.0492282,-0.365004,0
1.4,0.340631,0.0491144,-0.368512,0
1.41,0.340015,0.0489928,-0.372016,0
1.42,0.3394,0.0488634,-0.375518,0
1.43,0.338786,0.0487263,-0.379017,0
1.44,0.338175,0.0485816,-0.382513,0
1.45,0.337566,0.0484292,-0.386006,0
1.46,0.336958,0.0482691,-0.389496,0
1.47,0.336352,0.0481014,-0.392983,0
1.48,0.335749,0.0479261,-0.396467,0
1.49,0.335148,0.0477432,-0.399948,0
1.5,0.334549,0.0475528,-0.403426,0
1.51,0.333953,0.0473549,-0.406901,0
1.52,0.333359,0.0471495,-0.410373,0
1.53,0.332768,0.0469367,-0.413841,0
1.54,0.332179,0.0467164,-0.417307,0
1.55,0.331594,0.0464888,-0.420769,0
1.56,0.331011,0.0462539,-0.424228,0
1.57,0.330431,0.0460116,-0.427683,0
1.58,0.329855,0.0457621,-0.431136,0
1.59,0.329281,0.0455053,-0.434585,0
1.6,0.328711,0.0452414,-0.43803,0
1.61,0.328144,0.0449703,-0.441473,0
1.62,0.327581,0.0446921,-0.444912,0
1.63,0.327021,0.0444068,-0.448347,0
1.64,0.326465,0.0441146,-0.451779,0
1.65,0.325912,0.0438153,-0.455208,0
1.66,0.325364,0.0435092,-0.458633,0
1.67,0.324819,0.0431962,-0.462054,0
1.68,0.324278,0.0428763,-0.465472,0
1.69,0.323741,0.0425497,-0.468887,0
1.7,0.323209,0.0422164,-0.472298,0
1.71,0.32268,0.0418764,-0.475706,0
1.72,0.322156,0.0415298,-0.47911,0
1.73,0.321637,0.0411766,-0.482511,0
1.74,0.321121,0.040817,-0.485908,0
1.75,0.320611,0.0404509,-0.489302,0
1.76,0.320105,0.0400784,-0.492692,0
1.77,0.319603,0.0396995,-0.496078,0
1.78,0.319107,0.0393144,-0.499462,0
1.79,0.318615,0.0389231,-0.502841,0
1.8,0.318129,0.0385257,-0.506218,0
1.81,0.317647,0.0381221,-0.50959,0
1.82,0.317171,0.0377126,-0.51296,0
1.83,0.316699,0.0372971,-0.516326,0
1.84,0.316233,0.0368757,-0.519688,0
1.85,0.315773,0.0364484,-0.523047,0
1.86,0.315317,0.0360155,-0.526402,0
1.87,0.314868,0.0355768,-0.529755,0
1.88,0.314423,0.0351325,-0.533103,0
1.89,0.313985,0.0346827,-0.536449,0
1.9,0.313552,0.0342274,-0.53979,0
1.91,0.313124,0.0337666,-0.543129,0
1.92,0.312703,0.0333006,-0.546464,0
1.93,0.312287,0.0328293,-0.549796,0
1.94,0.311878,0.0323528,-0.553124,0
1.95,0.311474,0.0318712,-0.55645,0
1.96,0.311077,0.0313846,-0.559771,0
1.97,0.310686,0.030893,-0.56309,0
1.98,0.3103,0.0303965,-0.566405,0
1.99,0.309922,0.0298953,-0.569717,0
2,0.309549,0.0293893,-0.573025,0
2.01,0.309183,0.0288786,-0.57633,0
2.02,0.308823,0.0283634,-0.579632,0
2.03,0.30847,0.0278438,-0.582931,0
2.04,0.308124,0.0273197,-0.586226,0
2.05,0.307784,0.0267913,-0.589518,0
2.06,0.30745,0.0262587,-0.592807,0
2.07,0.307124,0.025722,-0.596092,0
2.08,0.306804,0.0251812,-0.599375,0
2.09,0.306491,0.0246364,-0.602653,0
2.1,0.306185,0.0240877,-0.605929,0
2.11,0.305885,0.0235352,-0.609202,0
2.12,0.305593,0.022979,-0.612471,0
2.13,0.305308,0.0224192,-0.615737,0
2.14,0.30503,0.0218558,-0.618999,0
2.15,0.304759,0.021289,-0.622259,0
2.16,0.304495,0.0207188,-0.625515,0
2.17,0.304238,0.0201453,-0.628768,0
2.18,0.303988,0.0195687,-0.632018,0
2.19,0.303746,0.018989,-0.635264,0
2.2,0.303511,0.0184062,-0.638507,0
2.21,0.303284,0.0178206,-0.641747,0
2.22,0.303063,0.0172321,-0.644984,0
2.23,0.30285,0.016641,-0.648218,0
2.24,0.302645,0.0160472,-0.651448,0
2.25,0.302447,0.0154509,-0.654675,0
2.26,0.302257,0.0148521,-0.657899,0
2.27,0.302074,0.014251,-0.66112,0
2.28,0.301899,0.0136476,-0.664337,0
2.29,0.301731,0.0130421,-0.667551,0
2.3,0.301571,0.0124345,-0.670762,0
2.31,0.301418,0.011825,-0.67397,0
2.32,0.301274,0.0112135,-0.677175,0
2.33,0.301137,0.0106004,-0.680376,0
2.34,0.301007,0.0099855,-0.683574,0
2.35,0.300886,0.00936907,-0.68677,0
2.36,0.300772,0.00875116,-0.689961,0
2.37,0.300666,0.00813186,-0.69315,0
2.38,0.300567,0.00751128,-0.696335,0
2.39,0.300477,0.00688952,-0.699518,0
2.4,0.300394,0.00626666,-0.702697,0
2.41,0.300319,0.00564282,-0.705873,0
2.42,0.300252,0.00501809,-0.709046,0
2.43,0.300193,0.00439256,-0.712215,0
2.44,0.300142,0.00376634,-0.715381,0
2.45,0.300099,0.00313953,-0.718545,0
2.46,0.300063,0.00251222,-0.721705,0
2.47,0.300036,0.00188451,-0.724862,0
2.48,0.300016,0.00125651,-0.728015,0
2.49,0.300004,0.000628305,-0.731166,0
2.5,0.3,2.67949e-09,-0.734313,0
2.51,0.300004,-0.000628299,-0.737458,0
2.52,0.300016,-0.0012565,-0.740599,0
2.53,0.300036,-0.00188451,-0.743737,0
2.54,0.300063,-0.00251221,-0.746872,0
2.55,0.300099,-0.00313952,-0.750003,0
2.56,0.300142,-0.00376634,-0.753132,0
2.57,0.300193,-0.00439256,-0.756258,0
2.58,0.300252,-0.00501808,-0.75938,0
2.59,0.300319,-0.00564282,-0.762499,0
2.6,0.300394,-0.00626666,-0.765615,0
2.61,0.300477,-0.00688951,-0.768728,0
2.62,0.300567,-0.00751128,-0.771838,0
2.63,0.300666,-0.00813186,-0.774945,0
2.64,0.300772,-0.00875115,-0.778048,0
2.65,0.300886,-0.00936906,-0.781149,0
2.66,0.301007,-0.0099855,-0.784246,0
2.67,0.301137,-0.0106004,-0.787341,0
2.68,0.301274,-0.0112135,-0.790432,0
2.69,0.301418,-0.0118249,-0.79352,0
2.7,0.301571,-0.0124345,-0.796605,0
2.71,0.301731,-0.0130421,-0.799687,0
2.72,0.301899,-0.0136476,-0.802766,0
2.73,0.302074,-0.014251,-0.805842,0
2.74,0.302257,-0.0148521,-0.808915,0
2.75,0.302447,-0.0154508,-0.811985,0
2.76,0.302645,-0.0160472,-0.815051,0
2.77,0.30285,-0.016641,-0.818115,0
2.78,0.303063,-0.0172321,-0.821175,0
2.79,0.303284,-0.0178206,-0.824233,0
2.8,0.303511,-0.0184062,-0.827287,0
2.81,0.303746,-0.018989,-0.830338,0
2.82,0.303988,-0.0195687,-0.833387,0
2.83,0.304238,-0.0201453,-0.836432,0
2.84,0.304495,-0.0207188,-0.839474,0
2.85,0.304759,-0.021289,-0.842513,0
2.86,0.30503,-0.0218558,-0.845549,0
2.87,0.305308,-0.0224192,-0.848582,0
2.88,0.305593,-0.022979,-0.851613,0
