Time,Eta,Z,Force
0,0,0.199995,0
0.03,0,0.197769,0
0.06,0,0.19242,0
0.09,0,0.185176,0
0.12,0,0.177091,0
0.15,0,0.169011,0
0.18,0,0.161561,0
0.21,0,0.155154,0
0.24,0,0.150015,0
0.27,0,0.146213,0
0.3,0,0.143694,0
0.33,0,0.142319,0
0.36,0,0.141898,0
0.39,0,0.142214,0
0.42,0,0.143051,0
0.45,0,0.144209,0
0.48,0,0.145515,0
0.51,0,0.146828,0
0.54,0,0.148045,0
0.57,0,0.149097,0
0.6,0,0.149945,0
0.63,0,0.150577,0
0.66,0,0.150999,0
0.69,0,0.151234,0
0.72,0,0.151312,0
0.75,0,0.151269,0
0.78,0,0.151138,0
0.81,0,0.150953,0
0.84,0,0.150742,0
0.87,0,0.150529,0
0.9,0,0.15033,0
0.93,0,0.150158,0
0.96,0,0.150018,0
0.99,0,0.149913,0
1.02,0,0.149842,0
1.05,0,0.149802,0
1.08,0,0.149788,0
1.11,0,0.149793,0
1.14,0,0.149814,0
1.17,0,0.149843,0
1.2,0,0.149877,0
1.23,0,0.149912,0
1.26,0,0.149944,0
1.29,0,0.149973,0
1.32,0,0.149996,0
1.35,0,0.150013,0
1.38,0,0.150025,0
1.41,0,0.150032,0
1.44,0,0.150034,0
1.47,0,0.150034,0
1.5,0,0.15003,0
1.53,0,0.150026,0
1.56,0,0.15002,0
1.59,0,0.150015,0
1.62,0,0.150009,0
1.65,0,0.150005,0
1.68,0,0.150001,0
1.71,0,0.149998,0
1.74,0,0.149996,0
1.77,0,0.149995,0
1.8,0,0.149994,0
1.83,0,0.149995,0
1.86,0,0.149995,0
1.89,0,0.149996,0
1.92,0,0.149997,0
1.95,0,0.149998,0
1.98,0,0.149998,0
2.01,0,0.149999,0
2.04,0,0.15,0
2.07,0,0.15,0
2.1,0,0.150001,0
2.13,0,0.150001,0
2.16,0,0.150001,0
2.19,0,0.150001,0
2.22,0,0.150001,0
2.25,0,0.150001,0
2.28,0,0.150001,0
2.31,0,0.15,0
2.34,0,0.15,0
2.37,0,0.15,0
2.4,0,0.15,0
2.43,0,0.15,0
2.46,0,0.15,0
2.49,0,0.15,0
2.52,0,0.15,0
2.55,0,0.15,0
2.58,0,0.15,0
2.61,0,0.15,0
2.64,0,0.15,0
2.67,0,0.15,0
2.7,0,0.15,0
2.73,0,0.15,0
2.76,0,0.15,0
2.79,0,0.15,0
2.82,0,0.15,0
2.85,0,0.15,0
2.88,0,0.15,0
2.91,0,0.15,0
2.94,0,0.15,0
2.97,0,0.15,0
0,2,0.199995,0
0.03,2,0.197719,0
0.06,2,0.192083,0
0.09,2,0.184168,0
0.12,2,0.17495,0
0.15,2,0.165251,0
0.18,2,0.155721,0
0.21,2,0.146824,0
0.24,2,0.138857,0
0.27,2,0.131969,0
0.3,2,0.126186,0
0.33,2,0.121443,0
0.36,2,0.117611,0
0.39,2,0.114525,0
0.42,2,0.112007,0
0.45,2,0.109881,0
0.48,2,0.107987,0
0.51,2,0.106189,0
0.54,2,0.10438,0
0.57,2,0.102484,0
0.6,2,0.100449,0
0.63,2,0.0982508,0
0.66,2,0.095883,0
0.69,2,0.0933556,0
0.72,2,0.0906886,0
0.75,2,0.0879085,0
0.78,2,0.0850442,0
0.81,2,0.0821243,0
0.84,2,0.0791748,0
0.87,2,0.076218,0
0.9,2,0.0732716,0
0.93,2,0.0703485,0
0.96,2,0.0674569,0
0.99,2,0.0646013,0
1.02,2,0.0617829,0
1.05,2,0.059,0
1.08,2,0.0562496,0
1.11,2,0.0535274,0
1.14,2,0.0508287,0
1.17,2,0.0481488,0
1.2,2,0.0454834,0
1.23,2,0.0428288,0
1.26,2,0.0401822,0
1.29,2,0.0375412,0
1.32,2,0.0349045,0
1.35,2,0.0322714,0
1.38,2,0.0296415,0
1.41,2,0.027015,0
1.44,2,0.0243925,0
1.47,2,0.0217745,0
1.5,2,0.0191618,0
1.53,2,0.0165552,0
1.56,2,0.0139553,0
1.59,2,0.0113626,0
1.62,2,0.00877775,0
1.65,2,0.00620095,0
1.68,2,0.00363244,0
1.71,2,0.00107233,0
1.74,2,-0.00147936,0
1.77,2,-0.00402268,0
1.8,2,-0.00655774,0
1.83,2,-0.00908466,0
1.86,2,-0.0116036,0
1.89,2,-0.0141147,0
1.92,2,-0.0166181,0
1.95,2,-0.0191139,0
1.98,2,-0.0216022,0
2.01,2,-0.0240831,0
2.04,2,-0.0265566,0
2.07,2,-0.0290229,0
2.1,2,-0.0314819,0
2.13,2,-0.0339337,0
2.16,2,-0.0363782,0
2.19,2,-0.0388155,0
2.22,2,-0.0412455,0
2.25,2,-0.0436683,0
2.28,2,-0.0460839,0
2.31,2,-0.0484923,0
2.34,2,-0.0508935,0
2.37,2,-0.0532874,0
2.4,2,-0.0556742,0
2.43,2,-0.0580538,0
2.46,2,-0.0604263,0
2.49,2,-0.0627916,0
2.52,2,-0.0651498,0
2.55,2,-0.067501,0
2.58,2,-0.0698451,0
2.61,2,-0.0721821,0
2.64,2,-0.0745122,0
2.67,2,-0.0768352,0
2.7,2,-0.0791514,0
2.73,2,-0.0814605,0
2.76,2,-0.0837628,0
2.79,2,-0.0860582,0
2.82,2,-0.0883467,0
2.85,2,-0.0906283,0
2.88,2,-0.0929031,0
2.91,2,-0.0951711,0
2.94,2,-0.0974323,0
2.97,2,-0.0996868,0
0,5,0.199995,0
0.03,5,0.197643,0
0.06,5,0.191577,0
0.09,5,0.182656,0
0.12,5,0.171737,0
0.15,5,0.159612,0
0.18,5,0.14696,0
0.21,5,0.134329,0
0.24,5,0.122121,0
0.27,5,0.110604,0
0.3,5,0.099925,0
0.33,5,0.0901283,0
0.36,5,0.0811804,0
0.39,5,0.0729924,0
0.42,5,0.0654414,0
0.45,5,0.0583887,0
0.48,5,0.0516948,0
0.51,5,0.0452304,0
0.54,5,0.0388837,0
0.57,5,0.0325645,0
0.6,5,0.0262056,0
0.63,5,0.0197621,0
0.66,5,0.0132089,0
0.69,5,0.00653762,0
0.72,5,-0.000247157,0
0.75,5,-0.00713163,0
0.78,5,-0.0140963,0
0.81,5,-0.0211187,0
0.84,5,-0.0281764,0
0.87,5,-0.0352483,0
0.9,5,-0.0423162,0
0.93,5,-0.0493651,0
0.96,5,-0.0563842,0
0.99,5,-0.0633658,0
1.02,5,-0.0703058,0
1.05,5,-0.0772027,0
1.08,5,-0.0840572,0
1.11,5,-0.0908715,0
1.14,5,-0.0976488,0
1.17,5,-0.104393,0
1.2,5,-0.111107,0
1.23,5,-0.117796,0
1.26,5,-0.124461,0
1.29,5,-0.131106,0
1.32,5,-0.137732,0
1.35,5,-0.144341,0
1.38,5,-0.150934,0
1.41,5,-0.15751,0
1.44,5,-0.16407,0
1.47,5,-0.170614,0
1.5,5,-0.177141,0
1.53,5,-0.183651,0
1.56,5,-0.190142,0
1.59,5,-0.196615,0
1.62,5,-0.20307,0
1.65,5,-0.209505,0
1.68,5,-0.21592,0
1.71,5,-0.222316,0
1.74,5,-0.228692,0
1.77,5,-0.235049,0
1.8,5,-0.241386,0
1.83,5,-0.247703,0
1.86,5,-0.254002,0
1.89,5,-0.26028,0
1.92,5,-0.26654,0
1.95,5,-0.272781,0
1.98,5,-0.279003,0
2.01,5,-0.285206,0
2.04,5,-0.291391,0
2.07,5,-0.297558,0
2.1,5,-0.303706,0
2.13,5,-0.309835,0
2.16,5,-0.315947,0
2.19,5,-0.32204,0
2.22,5,-0.328115,0
2.25,5,-0.334172,0
2.28,5,-0.340211,0
2.31,5,-0.346231,0
2.34,5,-0.352234,0
2.37,5,-0.358219,0
2.4,5,-0.364186,0
2.43,5,-0.370134,0
2.46,5,-0.376065,0
2.49,5,-0.381979,0
2.52,5,-0.387874,0
2.55,5,-0.393752,0
2.58,5,-0.399612,0
2.61,5,-0.405455,0
2.64,5,-0.41128,0
2.67,5,-0.417088,0
2.7,5,-0.422878,0
2.73,5,-0.428651,0
2.76,5,-0.434407,0
2.79,5,-0.440145,0
2.82,5,-0.445867,0
2.85,5,-0.451571,0
2.88,5,-0.457258,0
2.91,5,-0.462928,0
2.94,5,-0.468581,0
2.97,5,-0.474217,0
0,10,0.199995,0
0.03,10,0.197517,0
0.06,10,0.190734,0
0.09,10,0.180136,0
0.12,10,0.166383,0
0.15,10,0.150212,0
0.18,10,0.13236,0
0.21,10,0.113503,0
0.24,10,0.0942261,0
0.27,10,0.0749953,0
