x,y,z,qx,qy,qz,qw
-88.482102,-1097.559662,-1475.243239,0.757005,0.062566,0.060231,0.647612
-76.602444,-1095.475836,-1475.120721,0.757005,0.06256,0.060236,0.647612
-64.722786,-1093.392009,-1474.998202,0.757006,0.062554,0.060241,0.647611
-52.843102,-1091.310682,-1474.875687,0.757012,0.062482,0.060302,0.647606
-40.963419,-1089.229355,-1474.753173,0.757018,0.062411,0.060363,0.6476
-29.081184,-1087.145509,-1474.625693,0.757018,0.062411,0.060363,0.6476
-17.19895,-1085.061662,-1474.498214,0.757018,0.062411,0.060363,0.6476
-5.316716,-1082.977816,-1474.370735,0.757024,0.062327,0.060435,0.647593
6.565518,-1080.893969,-1474.243255,0.757031,0.062244,0.060506,0.647587
18.447855,-1078.812629,-1474.11078,0.757034,0.062205,0.060539,0.647583
30.330192,-1076.731289,-1473.978305,0.757038,0.062166,0.060573,0.64758
42.212568,-1074.649952,-1473.84333,0.75704,0.062133,0.060601,0.647578
54.094944,-1072.568615,-1473.708355,0.757043,0.062101,0.060629,0.647575
65.977332,-1070.484782,-1473.570877,0.757044,0.062089,0.060639,0.647574
77.85972,-1068.400948,-1473.433399,0.757045,0.062077,0.060649,0.647573
89.74216,-1066.322114,-1473.295928,0.757051,0.062005,0.06071,0.647567
101.6246,-1064.243281,-1473.158457,0.757057,0.061933,0.060772,0.647562
113.504591,-1062.161979,-1473.015945,0.75706,0.061895,0.060805,0.647559
125.384583,-1060.080678,-1472.873432,0.757063,0.061856,0.060838,0.647555
137.267112,-1057.999354,-1472.728459,0.757067,0.061811,0.060876,0.647552
149.149641,-1055.91803,-1472.583485,0.75707,0.061767,0.060914,0.647548
161.032235,-1053.839209,-1472.436015,0.75707,0.061773,0.060909,0.647549
172.914829,-1051.760388,-1472.288545,0.757069,0.061779,0.060904,0.647549
184.797397,-1049.679068,-1472.141072,0.757076,0.061695,0.060976,0.647543
196.679965,-1047.597747,-1471.993599,0.757083,0.061611,0.061047,0.647536
208.560136,-1045.518958,-1471.841091,0.757086,0.061573,0.06108,0.647533
220.440307,-1043.44017,-1471.688584,0.757089,0.061534,0.061113,0.64753
232.323016,-1041.361359,-1471.533615,0.757089,0.061534,0.061113,0.64753
244.205726,-1039.282547,-1471.378646,0.757089,0.061534,0.061113,0.64753
256.088435,-1037.203736,-1471.223677,0.757092,0.061495,0.061147,0.647526
267.971144,-1035.124925,-1471.068708,0.757096,0.061456,0.06118,0.647523
279.851392,-1033.046143,-1470.911201,0.757106,0.061334,0.061284,0.647513
291.73164,-1030.967361,-1470.753694,0.757115,0.061212,0.061389,0.647503
303.614529,-1028.891062,-1470.58873,0.757112,0.061251,0.061356,0.647507
315.497418,-1026.814764,-1470.423766,0.757109,0.061289,0.061322,0.64751
327.380269,-1024.738462,-1470.261302,0.757115,0.061218,0.061384,0.647504
339.263119,-1022.66216,-1470.098837,0.757121,0.061146,0.061445,0.647498
351.143521,-1020.583391,-1469.931332,0.757124,0.061101,0.061483,0.647495
363.023923,-1018.504622,-1469.763826,0.757128,0.061057,0.061521,0.647491
374.906889,-1016.42833,-1469.593862,0.757128,0.061057,0.061521,0.647491
386.789855,-1014.352038,-1469.423899,0.757128,0.061057,0.061521,0.647491
398.672821,-1012.275746,-1469.253936,0.757134,0.060979,0.061588,0.647485
410.555787,-1010.199454,-1469.083972,0.75714,0.060902,0.061654,0.647478
422.43883,-1008.123168,-1468.909009,0.757141,0.060896,0.061659,0.647478
434.321873,-1006.046883,-1468.734046,0.757141,0.060889,0.061665,0.647477
446.202442,-1003.973123,-1468.559049,0.757147,0.060818,0.061726,0.647471
458.083011,-1001.899363,-1468.384051,0.757153,0.060747,0.061787,0.647466
469.966131,-999.823084,-1468.204089,0.757156,0.060702,0.061825,0.647462
481.849251,-997.746805,-1468.024127,0.75716,0.060657,0.061863,0.647458
493.732435,-995.673029,-1467.841668,0.75716,0.060657,0.061863,0.647458
505.615619,-993.599252,-1467.65921,0.75716,0.060657,0.061863,0.647458
517.496304,-991.525502,-1467.476713,0.757169,0.060547,0.061958,0.647449
529.376989,-989.451752,-1467.294216,0.757178,0.060437,0.062052,0.64744
541.260262,-987.375486,-1467.104255,0.757178,0.060431,0.062057,0.64744
553.143536,-985.29922,-1466.914294,0.757179,0.060425,0.062062,0.647439
565.026835,-983.225453,-1466.724337,0.757179,0.060418,0.062067,0.647439
576.910135,-981.151687,-1466.534379,0.75718,0.060412,0.062073,0.647438
588.790961,-979.080446,-1466.344387,0.757186,0.060335,0.062139,0.647432
600.671787,-977.009206,-1466.154395,0.757192,0.060258,0.062205,0.647426
612.555189,-974.937945,-1465.959442,0.757191,0.060264,0.0622,0.647426
624.438592,-972.866685,-1465.764488,0.757191,0.06027,0.062195,0.647427
636.321968,-970.792925,-1465.569532,0.757194,0.060231,0.062228,0.647423
648.205345,-968.719165,-1465.374575,0.757197,0.060192,0.062261,0.64742
660.08626,-966.645434,-1465.17708,0.757207,0.060063,0.062371,0.64741
671.967176,-964.571704,-1464.979585,0.757218,0.059935,0.06248,0.647399
683.850758,-962.502956,-1464.774636,0.757214,0.05998,0.062442,0.647403
695.73434,-960.434209,-1464.569688,0.75721,0.060025,0.062404,0.647406
707.617858,-958.362958,-1464.367236,0.757217,0.059947,0.06247,0.6474
719.501376,-956.291708,-1464.164783,0.757223,0.059869,0.062537,0.647394
731.382471,-954.22049,-1463.957293,0.757226,0.059831,0.06257,0.64739
743.263566,-952.149272,-1463.749803,0.757229,0.059792,0.062603,0.647387
755.1472,-950.078031,-1463.539852,0.757229,0.059786,0.062608,0.647387
767.030833,-948.00679,-1463.3299,0.75723,0.05978,0.062613,0.647386
778.914492,-945.938049,-1463.119952,0.757236,0.059703,0.062679,0.64738
790.798151,-943.869308,-1462.910004,0.757242,0.059625,0.062746,0.647373
802.679388,-941.8006,-1462.695019,0.757242,0.059625,0.062746,0.647373
814.560625,-939.731891,-1462.480033,0.757242,0.059625,0.062745,0.647373
826.444361,-937.663157,-1462.265086,0.757251,0.059515,0.06284,0.647364
838.328097,-935.594422,-1462.050139,0.757259,0.059405,0.062934,0.647355
850.211922,-933.523197,-1461.827689,0.757257,0.059437,0.062906,0.647358
862.095748,-931.451973,-1461.605239,0.757254,0.05947,0.062878,0.647361
873.977061,-929.383271,-1461.385254,0.757261,0.059386,0.06295,0.647354
885.858375,-927.314569,-1461.165269,0.757267,0.059303,0.063021,0.647347
897.742291,-925.248347,-1460.940326,0.757267,0.059303,0.063021,0.647347
909.626207,-923.182125,-1460.715384,0.757267,0.059303,0.063021,0.647347
921.510123,-921.115903,-1460.490442,0.757273,0.059231,0.063082,0.647341
933.394039,-919.049681,-1460.265499,0.757279,0.059159,0.063144,0.647335
945.275506,-916.980992,-1460.035515,0.757282,0.059121,0.063176,0.647332
957.156973,-914.912303,-1459.805531,0.757285,0.059083,0.063209,0.647328
