Algorithm,AverageTime(ms),SR150(%),OverallSuccessRate(%),AvgJointLimitCost,SuccessfulPoints,TotalPoints,TotalLimitApproaches,TotalVelocityViolations
GA,1.814904,100.000000,100.000000,0.561773,335,335,2,0
ISGA,1.924475,100.000000,100.000000,0.566672,335,335,1,0
MOEAD,1.767755,100.000000,100.000000,0.563908,335,335,0,0
NSGA,1.845795,100.000000,100.000000,0.549552,335,335,6,0

Algorithm,Joint,AvgMovement(rad),AvgVelocity,MaxVelocity,LimitApproaches,VelocityViolations
GA,Joint1,10.028105,4.432362,9.978200,1,0
GA,Joint2,10.798894,6.801957,9.884153,1,0
GA,Joint3,5.486514,0.874439,9.650693,0,0
GA,Joint4,0.015203,0.026843,0.164980,0,0
GA,Joint5,0.006470,0.010647,0.277891,0,0
GA,Joint6,0.014239,0.040835,1.758339,0,0
GA,Joint7,0.010571,0.038756,1.357286,0,0
GA,Joint8,0.011968,0.028573,1.730503,0,0
ISGA,Joint1,10.295047,4.671381,9.998840,1,0
ISGA,Joint2,10.105830,6.377639,9.884274,0,0
ISGA,Joint3,5.245430,0.773291,9.552680,0,0
ISGA,Joint4,0.013603,0.016755,0.209411,0,0
ISGA,Joint5,0.005147,0.007735,0.271575,0,0
ISGA,Joint6,0.013354,0.032112,1.684117,0,0
ISGA,Joint7,0.009229,0.025545,1.312242,0,0
ISGA,Joint8,0.008848,0.019936,1.658690,0,0
MOEAD,Joint1,9.857107,4.031717,9.996667,0,0
MOEAD,Joint2,11.828208,7.376043,9.943291,0,0
MOEAD,Joint3,7.004468,1.094359,9.805985,0,0
MOEAD,Joint4,0.016318,0.036133,0.199685,0,0
MOEAD,Joint5,0.010840,0.017054,0.307865,0,0
MOEAD,Joint6,0.016232,0.036733,1.686285,0,0
MOEAD,Joint7,0.012922,0.045088,0.748854,0,0
MOEAD,Joint8,0.016739,0.034088,1.688157,0,0
NSGA,Joint1,10.008253,4.348364,9.999374,6,0
NSGA,Joint2,11.131880,7.153404,9.884156,0,0
NSGA,Joint3,4.869371,0.757419,9.615724,0,0
NSGA,Joint4,0.015732,0.029967,0.222747,0,0
NSGA,Joint5,0.004897,0.006312,0.301388,0,0
NSGA,Joint6,0.007819,0.014875,0.413298,0,0
NSGA,Joint7,0.010683,0.054629,1.323364,0,0
NSGA,Joint8,0.007133,0.014481,0.446149,0,0
