Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,1307.915097,417.587759,620.116448,5.913959,0.705041,0.196935,-0.714446,-0.194708
2,1304.645273,622.416352,609.544443,5.915241,0.727118,0.205685,-0.704308,-0.166848
3,1336.492896,428.607152,821.319670,5.864127,0.705041,0.196935,-0.723879,-0.229398
4,1124.332640,429.764564,613.767143,5.879870,0.727118,0.205685,-0.737437,-0.164960
5,1319.952559,428.121037,615.937382,5.886965,0.727118,0.205685,-0.754460,-0.155338
6,1360.929433,440.754221,696.422242,5.875627,0.775054,0.275419,-0.749587,-0.238431
7,923.436561,429.510016,808.621019,5.881120,0.727118,0.205685,-0.732839,-0.151015
8,1342.350615,428.241089,826.729078,5.886384,0.727118,0.205685,-0.757219,-0.171936
9,932.481143,427.059515,616.127230,5.870829,0.705041,0.196935,-0.718921,-0.150411
10,1263.287394,429.618035,900.514961,5.880244,0.727118,0.205685,-0.752088,-0.138817
11,857.309919,576.617030,700.180197,5.873202,0.432506,0.238294,-0.422684,-0.268419
12,1167.405047,406.435317,952.779112,5.871661,0.611344,0.234457,-0.686792,-0.169588
13,972.746390,443.716825,596.788658,5.860253,0.775054,0.275419,-0.801335,-0.155544
14,1062.858625,446.646596,839.459518,5.847923,0.775054,0.275419,-0.779451,-0.172259
15,905.343322,591.478076,676.271761,5.853118,0.510653,0.334820,-0.535246,-0.290852
16,1046.883079,393.150962,819.006649,5.846968,0.510653,0.334820,-0.526465,-0.287079
17,1230.061967,383.470144,818.505290,5.844448,0.448790,0.423551,-0.455203,-0.398960
18,1068.705088,381.581610,735.108401,5.849173,0.448790,0.423551,-0.510314,-0.401795
19,755.688672,391.624127,876.295061,5.852540,0.510653,0.334820,-0.535434,-0.291168
20,1137.195056,408.275103,605.009897,5.864644,0.611344,0.234457,-0.629432,-0.205136
21,722.784949,443.644346,590.762222,5.862233,0.775054,0.275419,-0.753700,-0.169214
22,1223.381300,428.358721,565.824362,5.885833,0.727118,0.205685,-0.797770,-0.110823
23,817.685458,641.830444,799.069761,5.868530,0.775054,0.275419,-0.819364,-0.194104
24,772.272480,429.418409,616.507154,5.881005,0.727118,0.205685,-0.794727,-0.129843
25,551.414997,589.904338,693.449973,5.880339,1.279297,0.176278,-1.251561,-0.087767
26,613.193963,439.896474,591.022149,5.879327,0.775054,0.275419,-0.755755,-0.143678
27,418.972744,642.643327,603.103013,5.864758,0.775054,0.275419,-0.851265,-0.160262
28,672.070046,443.377368,594.530418,5.862250,0.775054,0.275419,-0.783489,-0.255033
29,517.160915,441.516271,796.876934,5.870243,0.775054,0.275419,-0.802032,-0.264322
30,569.011038,350.004636,802.526295,5.873681,0.176170,0.391107,-0.247132,-0.365083
31,467.099356,634.227957,601.683270,5.870677,0.747489,0.320066,-0.759067,-0.285898
32,573.650867,436.825793,602.867820,5.858587,0.747489,0.320066,-0.768504,-0.274821
33,430.401792,639.465882,798.819806,5.848211,0.747489,0.320066,-0.736246,-0.194290
34,436.357705,449.353623,787.553477,5.838754,0.775054,0.275419,-0.728306,-0.233279
35,561.083121,593.848046,674.249923,5.844621,0.510653,0.334820,-0.518885,-0.291048
36,457.223645,392.242936,675.595828,5.850347,0.510653,0.334820,-0.529776,-0.284724
37,604.546428,579.663263,692.201541,5.859806,0.448790,0.423551,-0.444316,-0.395051
38,501.263235,389.744387,675.314691,5.860267,0.510653,0.334820,-0.527501,-0.275496
39,818.017730,441.755195,791.171914,5.870651,0.775054,0.275419,-0.756940,-0.172487
40,857.078127,376.574082,697.060813,5.874568,0.432506,0.238294,-0.397914,-0.172324
41,553.268332,575.258977,908.822618,5.876724,0.432506,0.238294,-0.491293,-0.228645
42,886.522372,384.011500,678.085957,5.882991,0.510653,0.334820,-0.549926,-0.335352
43,639.917025,606.683406,645.559248,5.871020,0.611344,0.234457,-0.638192,-0.194017
44,686.898993,605.962180,652.738399,5.873708,0.611344,0.234457,-0.694937,-0.226969
45,619.518927,627.982208,806.683136,5.888473,0.727118,0.205685,-0.717637,-0.190885
46,717.573895,627.247612,605.658516,5.892127,0.727118,0.205685,-0.709598,-0.109541
47,774.434116,623.864236,610.939460,5.886103,0.705041,0.196935,-0.678244,-0.144354
48,749.188559,580.206650,894.865302,5.882275,0.470518,0.196001,-0.518458,-0.150462
49,996.510306,587.778636,674.321225,5.868509,0.510653,0.334820,-0.519462,-0.301196
50,1223.174897,576.353167,824.785896,5.874364,0.432506,0.238294,-0.419554,-0.273331
51,943.442642,608.149517,646.253560,5.864847,0.611344,0.234457,-0.643675,-0.191124
52,933.938672,604.252302,843.978828,5.881578,0.611344,0.234457,-0.625712,-0.195406
53,1240.841754,584.737920,633.557216,5.879160,0.510653,0.334820,-0.602906,-0.297332
54,1349.741795,573.491928,708.641053,5.884447,0.432506,0.238294,-0.453644,-0.225034
55,1156.489963,579.080295,661.067847,5.863628,0.432506,0.238294,-0.425285,-0.156958
56,1066.310761,580.274213,730.912434,5.855678,0.448790,0.423551,-0.475296,-0.339361
57,1038.690840,578.400639,838.951635,5.863396,0.448790,0.423551,-0.468779,-0.403111
58,1086.139154,590.646660,921.248934,5.856531,0.510653,0.334820,-0.531501,-0.293595
59,1172.101084,586.952669,984.137221,5.869990,0.510653,0.334820,-0.590259,-0.282872
60,1288.144054,588.928798,970.472103,5.862166,0.510653,0.334820,-0.573774,-0.273736
61,1365.917659,608.090241,858.147017,5.865691,0.611344,0.234457,-0.619144,-0.186924
62,1401.381720,591.689261,782.298531,5.852339,0.510653,0.334820,-0.534006,-0.291691
63,1036.187121,574.588218,497.459730,5.856533,0.747489,0.320066,-0.741985,-0.223999
64,1156.945069,441.923178,596.985968,5.863361,0.432506,0.238294,-0.413839,-0.172698
65,1163.764599,807.910730,546.720686,5.878767,0.611344,0.234457,-0.663796,-0.173975
66,1071.004091,753.517056,542.569852,5.874095,0.611344,0.234457,-0.631010,-0.193069
67,1330.419199,509.395717,540.712174,5.888301,0.611344,0.234457,-0.616342,-0.184436
68,1388.085800,594.439379,570.080239,5.875945,0.510653,0.334820,-0.501971,-0.229257
69,840.603370,487.518358,572.432698,5.878049,0.510653,0.334820,-0.521012,-0.290761
70,883.505973,506.142625,540.884199,5.882621,0.611344,0.234457,-0.617700,-0.120085
71,831.000502,683.915682,574.390353,5.892708,0.510653,0.334820,-0.536853,-0.233894
72,437.511456,486.274073,568.882424,5.884715,0.510653,0.334820,-0.492271,-0.280781
73,484.989476,506.757339,542.336919,5.879675,0.611344,0.234457,-0.629171,-0.196331
74,470.096461,721.870301,543.234197,5.819677,0.611344,0.234457,-0.636256,-0.162156
75,551.007363,557.967217,494.786411,5.808872,0.775054,0.275419,-0.801949,-0.184622
76,605.442709,552.914009,505.899055,5.799287,0.747489,0.320066,-0.809233,-0.227682
77,559.009640,755.143136,511.044535,5.790488,0.747489,0.320066,-0.850294,-0.210751
78,651.377975,557.919919,489.405482,5.796571,0.768970,0.373314,-0.755874,-0.288535
79,701.412483,550.767343,501.446421,5.808506,0.747489,0.320066,-0.773751,-0.223857
80,648.348788,749.469408,503.129519,5.813350,0.747489,0.320066,-0.787161,-0.217572
81,750.466838,550.344594,501.608737,5.810153,0.747489,0.320066,-0.775045,-0.251303
82,827.729232,503.458723,574.522138,5.815876,0.510653,0.334820,-0.537919,-0.320347
83,779.231751,692.596461,593.792206,5.817405,0.448790,0.423551,-0.474960,-0.366451
84,947.557745,748.977217,500.239430,5.815986,0.747489,0.320066,-0.764135,-0.225134
85,954.159321,551.991651,500.571932,5.803881,0.747489,0.320066,-0.766784,-0.228098
