x,y,z,qx,qy,qz,qw
329.67173,-1279.917197,-841.327234,-0.710715,0.075881,0.074248,-0.695423
350.182199,-1272.600096,-831.60515,-0.711046,0.072721,0.071156,-0.695746
366.409744,-1269.387575,-849.150836,-0.711332,0.069862,0.068359,-0.696027
382.183078,-1271.40186,-882.978497,-0.711633,0.066726,0.065291,-0.696321
401.533557,-1277.939302,-906.895904,-0.711918,0.063613,0.062244,-0.6966
427.235405,-1286.716185,-903.61121,-0.712181,0.060602,0.059298,-0.696857
459.886354,-1294.666492,-880.6364,-0.712447,0.057381,0.056147,-0.697118
497.644084,-1299.012952,-863.350001,-0.712672,0.054517,0.053344,-0.697338
536.909555,-1298.23722,-871.705387,-0.712903,0.051418,0.050312,-0.697563
573.574256,-1292.610283,-901.849534,-0.713112,0.048427,0.047385,-0.697768
604.437173,-1284.097791,-929.680873,-0.713315,0.045342,0.044366,-0.697967
628.344502,-1275.673404,-933.013565,-0.713506,0.042223,0.041314,-0.698154
646.577706,-1270.28,-911.959657,-0.713676,0.039248,0.038403,-0.69832
662.419117,-1269.801653,-888.841467,-0.713846,0.036018,0.035243,-0.698487
679.987067,-1274.405462,-887.653148,-0.71399,0.033055,0.032344,-0.698627
702.805493,-1282.483184,-912.015976,-0.714126,0.029964,0.029319,-0.698761
732.586177,-1291.213038,-941.82856,-0.714249,0.026872,0.026294,-0.698881
768.589261,-1297.545436,-951.77878,-0.714359,0.023788,0.023277,-0.698988
807.934721,-1299.268289,-934.574419,-0.714451,0.020832,0.020383,-0.699078
846.561927,-1295.779754,-907.683804,-0.714534,0.017739,0.017357,-0.69916
880.679652,-1288.298477,-897.265106,-0.714607,0.014519,0.014207,-0.699231
908.072201,-1279.437883,-914.09583,-0.714661,0.011567,0.011318,-0.699284
928.863413,-1272.293234,-943.695235,-0.714704,0.008481,0.008298,-0.699326
945.508168,-1269.360359,-959.622461,-0.714734,0.005397,0.005281,-0.699355
961.898312,-1271.663798,-947.780726,-0.714751,0.002313,0.002264,-0.699372
982.011384,-1278.398891,-919.388249,-0.714754,-0.000771,-0.000754,-0.699375
1008.547649,-1287.212879,-900.659271,-0.714744,-0.003856,-0.003773,-0.699365
1041.937059,-1295.02678,-908.702799,-0.714721,-0.006939,-0.00679,-0.699342
1080.228819,-1299.110975,-935.792669,-0.714686,-0.009897,-0.009684,-0.699308
1119.752855,-1298.038737,-956.475942,-0.714634,-0.013107,-0.012825,-0.699258
1156.420131,-1292.184629,-950.963817,-0.714571,-0.016199,-0.01585,-0.699196
1187.109559,-1283.59366,-923.330766,-0.714501,-0.019022,-0.018612,-0.699128
1210.816299,-1275.266902,-897.783887,-0.714408,-0.022242,-0.021764,-0.699037
1228.948018,-1270.113132,-896.3758,-0.714301,-0.025463,-0.024915,-0.698931
1244.859658,-1269.932709,-918.750376,-0.714194,-0.0283,-0.027691,-0.698827
1262.679712,-1274.788661,-942.480563,-0.71406,-0.031498,-0.03082,-0.698696
1285.868023,-1282.984664,-943.651507,-0.713917,-0.0346,-0.033856,-0.698555
1315.988907,-1291.657618,-918.888964,-0.713767,-0.037562,-0.036754,-0.698409
1352.1862,-1297.777811,-888.430762,-0.713597,-0.040664,-0.039789,-0.698243
1391.47234,-1299.207283,-877.540636,-0.713412,-0.043782,-0.04284,-0.698062
1429.767008,-1295.446679,-893.265465,-0.713225,-0.046741,-0.045735,-0.697878
1463.330756,-1287.809686,-917.971805,-0.713005,-0.049986,-0.04891,-0.697663
1490.066302,-1278.964125,-925.542595,-0.712788,-0.052977,-0.051837,-0.697452
1510.241172,-1272.000005,-905.404465,-0.712551,-0.056076,-0.054869,-0.69722
1526.410751,-1269.350094,-872.24344,-0.712301,-0.059171,-0.057898,-0.696975
1542.525614,-1271.940081,-852.487274,-0.712045,-0.062182,-0.060844,-0.696724
1562.519972,-1278.865211,-860.044102,-0.711766,-0.065296,-0.063891,-0.696451
1588.972094,-1287.706335,-883.47416,-0.711485,-0.068282,-0.066813,-0.696177
1622.18865,-1295.374994,-896.538253,-0.71119,-0.071292,-0.069758,-0.695888
1660.097575,-1299.192306,-882.316549,-0.710859,-0.074524,-0.072921,-0.695563
1698.971907,-1297.824774,-848.738787,-0.710718,-0.075854,-0.074222,-0.695426
