Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,LimitCost
0,425.855430,15.475415,1036.819961,1.797822,0.328903,-1.205373,-0.427004,-0.453047,0.529056
1,423.769641,27.346656,1036.697637,1.797806,0.328903,-1.205353,-0.426991,-0.453047,0.528947
2,421.682966,39.213941,1036.574921,1.797783,0.328903,-1.205332,-0.426970,-0.453047,0.528838
3,419.572622,50.968730,1036.452385,1.797555,0.328903,-1.205088,-0.426767,-0.453047,0.528722
4,417.462147,62.721763,1036.329815,1.797323,0.328903,-1.204841,-0.426563,-0.453047,0.528606
5,415.378301,74.603998,1036.202335,1.797323,0.328903,-1.204841,-0.426563,-0.453047,0.528499
6,413.294454,86.486232,1036.074856,1.797323,0.328903,-1.204841,-0.426563,-0.453047,0.528393
7,411.177034,98.221772,1035.947736,1.797054,0.328903,-1.204547,-0.426326,-0.453047,0.528277
8,409.059588,109.958605,1035.820190,1.796788,0.328903,-1.204264,-0.426091,-0.453047,0.528161
9,406.962592,121.772046,1035.687795,1.796662,0.328903,-1.204126,-0.425978,-0.453047,0.528052
10,404.864745,133.583019,1035.555009,1.796532,0.328903,-1.203994,-0.425864,-0.453047,0.527943
11,402.770795,145.410554,1035.420311,1.796431,0.328903,-1.203881,-0.425775,-0.453047,0.527836
12,400.675989,157.233972,1035.285190,1.796323,0.328903,-1.203769,-0.425681,-0.453047,0.527729
13,398.587407,169.095705,1035.147705,1.796286,0.328903,-1.203728,-0.425647,-0.453047,0.527626
14,396.498824,180.957440,1035.010221,1.796248,0.328903,-1.203687,-0.425613,-0.453047,0.527524
15,394.391157,192.714131,1034.872711,1.796017,0.328903,-1.203440,-0.425408,-0.453047,0.527415
16,392.283361,204.470707,1034.735199,1.795787,0.328903,-1.203195,-0.425206,-0.453047,0.527307
17,390.186738,216.283568,1034.592729,1.795664,0.328903,-1.203063,-0.425099,-0.453047,0.527204
18,388.089935,228.095002,1034.450289,1.795539,0.328903,-1.202925,-0.424987,-0.453047,0.527103
19,385.990709,239.900076,1034.305189,1.795397,0.328903,-1.202775,-0.424861,-0.453047,0.527001
20,383.892009,251.705614,1034.160446,1.795256,0.328903,-1.202619,-0.424737,-0.453047,0.526901
21,381.815293,263.598181,1034.012785,1.795274,0.328903,-1.202643,-0.424754,-0.453047,0.526808
22,379.739075,275.491366,1033.865514,1.795294,0.328903,-1.202660,-0.424771,-0.453047,0.526716
23,377.624270,287.227910,1033.717983,1.795027,0.328903,-1.202375,-0.424536,-0.453047,0.526615
24,375.509727,298.964864,1033.570447,1.794760,0.328903,-1.202087,-0.424299,-0.453047,0.526514
25,373.415750,310.778199,1033.417975,1.794638,0.328903,-1.201955,-0.424192,-0.453047,0.526421
26,371.321783,322.591770,1033.265535,1.794516,0.328903,-1.201822,-0.424084,-0.453047,0.526329
27,369.242972,334.474479,1033.110566,1.794516,0.328903,-1.201822,-0.424084,-0.453047,0.526243
28,367.164160,346.357189,1032.955597,1.794516,0.328903,-1.201822,-0.424084,-0.453047,0.526159
29,365.069631,358.169786,1032.800694,1.794388,0.328903,-1.201683,-0.423971,-0.453047,0.526070
30,362.974991,369.983687,1032.645399,1.794262,0.328903,-1.201553,-0.423859,-0.453047,0.525984
31,360.848115,381.652177,1032.487851,1.793874,0.328903,-1.201134,-0.423517,-0.453047,0.525889
32,358.721710,393.321404,1032.330685,1.793489,0.328903,-1.200711,-0.423177,-0.453047,0.525795
33,356.660637,405.272237,1032.165661,1.793613,0.328903,-1.200848,-0.423288,-0.453047,0.525722
34,354.599763,417.223569,1032.000667,1.793738,0.328903,-1.200981,-0.423396,-0.453047,0.525652
35,352.494879,428.979914,1031.838103,1.793507,0.328903,-1.200735,-0.423194,-0.453047,0.525569
36,350.390412,440.738481,1031.675567,1.793279,0.328903,-1.200489,-0.422992,-0.453047,0.525487
37,348.294757,452.544443,1031.508310,1.793143,0.328903,-1.200336,-0.422872,-0.453047,0.525411
38,346.198272,464.346326,1031.340628,1.793000,0.328903,-1.200184,-0.422745,-0.453047,0.525336
39,344.121980,476.229292,1031.170664,1.793000,0.328903,-1.200184,-0.422745,-0.453047,0.525268
40,342.045688,488.112258,1031.000701,1.793000,0.328903,-1.200184,-0.422745,-0.453047,0.525202
41,339.939110,499.861104,1030.830849,1.792754,0.328903,-1.199916,-0.422530,-0.453047,0.525128
42,337.832794,511.610146,1030.660963,1.792509,0.328903,-1.199648,-0.422314,-0.453047,0.525055
43,335.753958,523.482700,1030.485797,1.792490,0.328903,-1.199632,-0.422297,-0.453047,0.524994
44,333.675254,535.354232,1030.311054,1.792469,0.328903,-1.199604,-0.422278,-0.453047,0.524934
45,331.573585,547.110859,1030.135943,1.792243,0.328903,-1.199360,-0.422078,-0.453047,0.524867
46,329.472143,558.869226,1029.960827,1.792019,0.328903,-1.199121,-0.421882,-0.453047,0.524802
47,327.378989,570.676694,1029.781103,1.791881,0.328903,-1.198964,-0.421760,-0.453047,0.524742
48,325.285178,582.481922,1029.600988,1.791738,0.328903,-1.198811,-0.421633,-0.453047,0.524684
49,323.211402,594.365106,1029.418529,1.791738,0.328903,-1.198811,-0.421633,-0.453047,0.524633
50,321.137625,606.248290,1029.236071,1.791738,0.328903,-1.198811,-0.421633,-0.453047,0.524584
51,319.021000,617.937819,1029.053497,1.791389,0.328903,-1.198433,-0.421326,-0.453047,0.524523
52,316.904865,629.629515,1028.870917,1.791044,0.328903,-1.198057,-0.421021,-0.453047,0.524463
53,314.826752,641.504643,1028.681143,1.791029,0.328903,-1.198038,-0.421009,-0.453047,0.524419
54,312.747794,653.375871,1028.490979,1.791007,0.328903,-1.198017,-0.420988,-0.453047,0.524376
55,310.672175,665.251241,1028.301240,1.790992,0.328903,-1.197995,-0.420975,-0.453047,0.524334
56,308.595355,677.120611,1028.111078,1.790967,0.328903,-1.197973,-0.420953,-0.453047,0.524295
57,306.494720,688.870146,1027.921141,1.790727,0.328903,-1.197710,-0.420742,-0.453047,0.524248
58,304.394146,700.619815,1027.731200,1.790487,0.328903,-1.197447,-0.420531,-0.453047,0.524203
59,302.325398,712.513633,1027.536451,1.790506,0.328903,-1.197464,-0.420548,-0.453047,0.524170
60,300.256143,724.406766,1027.341311,1.790524,0.328903,-1.197488,-0.420564,-0.453047,0.524139
61,298.167566,736.223108,1027.146395,1.790401,0.328903,-1.197351,-0.420455,-0.453047,0.524104
62,296.079170,748.041090,1026.951478,1.790282,0.328903,-1.197219,-0.420349,-0.453047,0.524071
63,293.956767,759.704046,1026.754078,1.789883,0.328903,-1.196780,-0.419999,-0.453047,0.524028
64,291.834059,771.365148,1026.556248,1.789481,0.328903,-1.196344,-0.419643,-0.453047,0.523986
65,289.782507,783.325880,1026.351470,1.789622,0.328903,-1.196497,-0.419769,-0.453047,0.523969
66,287.730813,795.285062,1026.146691,1.789761,0.328903,-1.196646,-0.419891,-0.453047,0.523953
67,285.629793,807.035889,1025.943918,1.789518,0.328903,-1.196385,-0.419676,-0.453047,0.523924
68,283.529150,818.787265,1025.741532,1.789277,0.328903,-1.196119,-0.419464,-0.453047,0.523896
69,281.443280,830.601469,1025.534044,1.789155,0.328903,-1.195985,-0.419357,-0.453047,0.523874
70,279.357583,842.417518,1025.326585,1.789036,0.328903,-1.195853,-0.419252,-0.453047,0.523855
71,277.284528,854.293085,1025.116819,1.789021,0.328903,-1.195833,-0.419239,-0.453047,0.523841
72,275.210640,866.164767,1024.906661,1.788999,0.328903,-1.195813,-0.419219,-0.453047,0.523829
73,273.112998,877.918232,1024.696743,1.788761,0.328903,-1.195551,-0.419010,-0.453047,0.523810
74,271.014897,889.668592,1024.486852,1.788518,0.328903,-1.195281,-0.418796,-0.453047,0.523791
75,268.946189,901.549829,1024.271867,1.788518,0.328903,-1.195281,-0.418796,-0.453047,0.523785
76,266.877836,913.432943,1024.056881,1.788521,0.328903,-1.195283,-0.418797,-0.453047,0.523781
77,264.767394,925.128106,1023.841798,1.788177,0.328903,-1.194908,-0.418496,-0.453047,0.523764
78,262.658100,936.827715,1023.627100,1.787840,0.328903,-1.194531,-0.418200,-0.453047,0.523749
79,260.598734,948.766152,1023.404451,1.787940,0.328903,-1.194644,-0.418287,-0.453047,0.523754
80,258.540054,960.706691,1023.182160,1.788043,0.328903,-1.194756,-0.418378,-0.453047,0.523760
81,256.439710,972.444796,1022.962016,1.787782,0.328903,-1.194471,-0.418148,-0.453047,0.523754
82,254.340464,984.187008,1022.742228,1.787528,0.328903,-1.194186,-0.417925,-0.453047,0.523748
83,252.274242,996.070924,1022.517285,1.787528,0.328903,-1.194186,-0.417925,-0.453047,0.523756
84,250.208020,1007.954840,1022.292343,1.787528,0.328903,-1.194186,-0.417925,-0.453047,0.523765
85,248.115045,1019.717601,1022.067259,1.787306,0.328903,-1.193942,-0.417729,-0.453047,0.523766
86,246.021767,1031.478605,1021.842170,1.787082,0.328903,-1.193697,-0.417532,-0.453047,0.523769
87,243.939211,1043.297244,1021.612174,1.786967,0.328903,-1.193570,-0.417430,-0.453047,0.523779
88,241.856166,1055.112480,1021.382176,1.786846,0.328903,-1.193436,-0.417324,-0.453047,0.523789
89,239.785319,1066.986861,1021.149945,1.786829,0.328903,-1.193413,-0.417310,-0.453047,0.523806
90,237.714009,1078.859018,1020.917292,1.786807,0.328903,-1.193392,-0.417290,-0.453047,0.523825
91,235.617538,1090.602031,1020.684995,1.786554,0.328903,-1.193108,-0.417067,-0.453047,0.523834
92,233.520464,1102.343122,1020.452335,1.786297,0.328903,-1.192825,-0.416840,-0.453047,0.523846
93,231.461119,1114.246813,1020.214893,1.786333,0.328903,-1.192867,-0.416873,-0.453047,0.523872
94,229.401773,1126.150738,1019.977482,1.786370,0.328903,-1.192907,-0.416906,-0.453047,0.523900
95,227.300110,1137.884666,1019.740036,1.786096,0.328903,-1.192603,-0.416665,-0.453047,0.523916
96,225.198378,1149.617215,1019.502587,1.785819,0.328903,-1.192295,-0.416422,-0.453047,0.523933
97,223.120987,1161.436670,1019.260121,1.785705,0.328903,-1.192165,-0.416319,-0.453047,0.523959
98,221.043261,1173.254057,1019.017624,1.785587,0.328903,-1.192036,-0.416217,-0.453047,0.523987
99,218.979565,1185.138307,1018.772688,1.785587,0.328903,-1.192036,-0.416217,-0.453047,0.524021
100,216.915869,1197.022556,1018.527751,1.785587,0.328903,-1.192036,-0.416217,-0.453047,0.524058
101,233.133100,1273.398270,1018.033564,1.902944,0.328903,-1.215621,-0.426889,-0.453047,0.520958
102,259.769048,1351.074208,1017.793490,2.027679,0.328903,-1.241022,-0.445085,-0.453047,0.518566
103,298.283360,1428.996064,1017.809326,2.161257,0.328903,-1.268393,-0.472238,-0.453047,0.517064
104,350.447427,1505.703540,1018.081832,2.305661,0.328903,-1.297991,-0.510291,-0.453047,0.516730
105,366.610780,1510.583556,982.440753,2.310444,0.431165,-1.008066,-0.469836,-0.757035,0.556737
106,353.418080,1535.214327,1043.455985,2.305116,0.262830,-1.217393,-0.305672,-0.508667,0.540542
107,391.970898,1581.681604,1049.348572,2.388837,0.249590,-1.206889,-0.286873,-0.530321,0.548173
108,397.528008,1594.385484,1060.841677,2.388798,0.221918,-1.078779,-0.188865,-0.652233,0.585499
109,399.199481,1606.345598,1095.030090,2.382593,0.134600,-1.308868,-0.060836,-0.416086,0.571060
110,445.512104,1648.939813,1103.774804,2.468880,0.115855,-1.341631,-0.044419,-0.395298,0.575153
111,537.979537,1711.909250,1105.617352,2.640025,0.115855,-1.361736,-0.115096,-0.395298,0.573823
112,552.392902,1722.312246,1119.970229,2.648060,0.083289,-1.202477,-0.021177,-0.556097,0.619006
113,688.785624,1776.645522,1111.385072,2.879742,0.111600,-1.240014,-0.158922,-0.539851,0.601721
114,790.168671,1797.898013,1113.655961,3.036843,0.111600,-1.251299,-0.217893,-0.539851,0.602613
115,807.465505,1803.119083,1130.051501,3.045395,0.074620,-1.150596,-0.125895,-0.636744,0.641048
116,901.465116,1807.663023,1137.129141,3.185594,0.062420,-1.212585,-0.165330,-0.578860,0.633514
117,901.465116,1807.663023,1137.129141,3.185594,0.062420,-1.212585,-0.165330,-0.578860,0.633514
118,956.869123,1807.128997,1159.934195,3.237044,0.016410,-1.279456,-0.110507,-0.505202,0.638822
119,968.576403,1807.311611,1162.687174,3.235361,0.016410,-1.275148,-0.108945,-0.505202,0.638631
120,968.576403,1807.311611,1162.687174,3.235361,0.016410,-1.275148,-0.108945,-0.505202,0.638631
121,968.576403,1807.311611,1162.687174,3.235361,0.016410,-1.275148,-0.108945,-0.505202,0.638631
122,968.576403,1807.311611,1162.687174,3.235361,0.016410,-1.275148,-0.108945,-0.505202,0.638631
123,968.576403,1807.311611,1162.687174,3.235361,0.016410,-1.275148,-0.108945,-0.505202,0.638631
124,968.576403,1807.311611,1162.687174,3.235361,0.016410,-1.275148,-0.108945,-0.505202,0.638631
125,1039.684576,1808.340935,1178.036007,3.226335,0.016410,-1.248772,-0.100313,-0.505202,0.637508
126,1039.684576,1808.340935,1178.036007,3.226335,0.016410,-1.248772,-0.100313,-0.505202,0.637508
127,1063.707967,1808.662213,1182.707423,3.223728,0.016410,-1.240221,-0.097814,-0.505202,0.637160
128,1075.642801,1808.829814,1184.960648,3.222274,0.016410,-1.235404,-0.096463,-0.505202,0.636966
129,1087.739868,1808.986051,1187.153897,3.221067,0.016410,-1.231605,-0.095425,-0.505202,0.636816
130,1099.740841,1809.149633,1189.297245,3.219693,0.016410,-1.226537,-0.094078,-0.505202,0.636616
131,1099.740841,1809.149633,1189.297245,3.219693,0.016410,-1.226537,-0.094078,-0.505202,0.636616
132,1099.740841,1809.149633,1189.297245,3.219693,0.016410,-1.226537,-0.094078,-0.505202,0.636616
133,1136.183714,1809.611653,1195.377191,3.216228,0.016410,-1.213616,-0.090817,-0.505202,0.636119
134,1148.465501,1809.757617,1197.290579,3.215270,0.016410,-1.209745,-0.089887,-0.505202,0.635974
135,1160.587292,1809.915893,1199.153946,3.214027,0.016410,-1.204677,-0.088699,-0.505202,0.635783
136,1172.834708,1810.066131,1200.952384,3.212983,0.016410,-1.200374,-0.087718,-0.505202,0.635623
137,1172.834708,1810.066131,1200.952384,3.212983,0.016410,-1.200374,-0.087718,-0.505202,0.635623
138,1172.834708,1810.066131,1200.952384,3.212983,0.016410,-1.200374,-0.087718,-0.505202,0.635623
139,1209.737671,1810.510296,1206.017810,3.210061,0.016410,-1.187904,-0.085001,-0.505202,0.635172
140,1209.737671,1810.510296,1206.017810,3.210061,0.016410,-1.187904,-0.085001,-0.505202,0.635172
141,1209.737671,1810.510296,1206.017810,3.210061,0.016410,-1.187904,-0.085001,-0.505202,0.635172
142,1209.737671,1810.510296,1206.017810,3.210061,0.016410,-1.187904,-0.085001,-0.505202,0.635172
143,1258.971521,1811.112981,1211.991701,3.206032,0.016410,-1.169780,-0.081357,-0.505202,0.634533
144,1273.390861,1811.053615,1209.845511,3.208657,0.025585,-1.084821,-0.087596,-0.586606,0.648180
145,1283.818171,1811.403740,1214.638760,3.204361,0.016410,-1.161227,-0.079752,-0.505202,0.634242
146,1296.204908,1811.552910,1215.877232,3.203445,0.016410,-1.156974,-0.078978,-0.505202,0.634099
147,1308.634566,1811.700082,1217.060938,3.202595,0.016410,-1.152332,-0.078156,-0.505202,0.633943
148,1308.634566,1811.700082,1217.060938,3.202595,0.016410,-1.152332,-0.078156,-0.505202,0.633943
149,1333.456703,1811.999261,1219.252993,3.200804,0.016410,-1.143439,-0.076626,-0.505202,0.633650
150,1346.043480,1812.139619,1220.261586,3.200198,0.016410,-1.139566,-0.075980,-0.505202,0.633526
151,1358.493850,1812.288878,1221.220332,3.199349,0.016410,-1.134927,-0.075226,-0.505202,0.633376
152,1358.493850,1812.288878,1221.220332,3.199349,0.016410,-1.134927,-0.075226,-0.505202,0.633376
153,1383.446487,1812.586629,1222.962699,3.197722,0.016410,-1.126083,-0.073829,-0.505202,0.633095
154,1396.010718,1812.731310,1223.746335,3.197060,0.016410,-1.121808,-0.073173,-0.505202,0.632963
155,1408.582277,1812.876872,1224.474959,3.196393,0.016410,-1.117573,-0.072536,-0.505202,0.632832
156,1421.085435,1813.026763,1225.148671,3.195608,0.016410,-1.112936,-0.071854,-0.505202,0.632689
157,1421.085435,1813.026763,1225.148671,3.195608,0.016410,-1.112936,-0.071854,-0.505202,0.632689
158,1421.085435,1813.026763,1225.148671,3.195608,0.016410,-1.112936,-0.071854,-0.505202,0.632689
159,1458.801274,1813.470203,1226.819857,3.193574,0.016410,-1.100216,-0.070054,-0.505202,0.632308
160,1458.801274,1813.470203,1226.819857,3.193574,0.016410,-1.100216,-0.070054,-0.505202,0.632308
161,1458.801274,1813.470203,1226.819857,3.193574,0.016410,-1.100216,-0.070054,-0.505202,0.632308
162,1496.557180,1813.917893,1227.986125,3.191583,0.016410,-1.086724,-0.068252,-0.505202,0.631912
163,1509.178336,1814.066826,1228.259873,3.190975,0.016410,-1.082485,-0.067707,-0.505202,0.631792
164,1521.723113,1814.220185,1228.478561,3.190235,0.016410,-1.077859,-0.067122,-0.505202,0.631659
165,1534.445211,1814.365767,1228.637299,3.189792,0.016410,-1.074009,-0.066645,-0.505202,0.631554
166,1534.445211,1814.365767,1228.637299,3.189792,0.016410,-1.074009,-0.066645,-0.505202,0.631554
167,1559.618271,1814.671610,1228.790040,3.188456,0.016410,-1.065147,-0.065579,-0.505202,0.631308
168,1559.618271,1814.671610,1228.790040,3.188456,0.016410,-1.065147,-0.065579,-0.505202,0.631308
169,1584.866461,1814.976917,1228.717465,3.187231,0.016410,-1.055898,-0.064502,-0.505202,0.631054
170,1597.580421,1815.126236,1228.591236,3.186783,0.016410,-1.052044,-0.064066,-0.505202,0.630955
171,1610.144882,1815.283008,1228.415051,3.186076,0.016410,-1.047036,-0.063510,-0.505202,0.630819
172,1622.866054,1815.433493,1228.173974,3.185639,0.016410,-1.043185,-0.063092,-0.505202,0.630722
173,1635.546679,1815.586404,1227.882946,3.185132,0.016410,-1.038551,-0.062597,-0.505202,0.630600
174,1635.546679,1815.586404,1227.882946,3.185132,0.016410,-1.038551,-0.062597,-0.505202,0.630600
175,1660.871027,1815.895725,1227.120631,3.184072,0.016410,-1.030064,-0.061711,-0.505202,0.630386
176,1673.488646,1816.053017,1226.659384,3.183474,0.016410,-1.025459,-0.061241,-0.505202,0.630269
177,1686.216383,1816.206598,1226.138311,3.183057,0.016410,-1.021191,-0.060815,-0.505202,0.630164
178,1698.874106,1816.363398,1225.561964,3.182536,0.016410,-1.016976,-0.060398,-0.505202,0.630062
179,1698.874106,1816.363398,1225.561964,3.182536,0.016410,-1.016976,-0.060398,-0.505202,0.630062
