Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,LimitCost
0,493.069298,163.420646,1013.778795,2.090599,0.393562,-1.339758,-0.707619,-0.417586,0.513642
1,490.973512,175.279453,1013.656471,2.090556,0.393562,-1.339728,-0.707580,-0.417586,0.513537
2,488.875216,187.133822,1013.533755,2.090503,0.393562,-1.339697,-0.707532,-0.417586,0.513433
3,486.636628,198.738861,1013.411219,2.089930,0.393562,-1.339335,-0.707016,-0.417586,0.513294
4,484.396856,210.340941,1013.288649,2.089350,0.393562,-1.338970,-0.706495,-0.417586,0.513157
5,482.313010,222.223176,1013.161169,2.089350,0.393562,-1.338970,-0.706495,-0.417586,0.513058
6,480.229163,234.105410,1013.033690,2.089350,0.393562,-1.338970,-0.706495,-0.417586,0.512961
7,477.959068,245.660616,1012.906570,2.088668,0.393562,-1.338534,-0.705882,-0.417586,0.512819
8,475.694277,257.225269,1012.779024,2.088006,0.393562,-1.338116,-0.705288,-0.417586,0.512680
9,473.525816,268.954135,1012.646629,2.087686,0.393562,-1.337911,-0.704999,-0.417586,0.512565
10,471.358438,280.685176,1012.513843,2.087371,0.393562,-1.337716,-0.704717,-0.417586,0.512452
11,469.206912,292.444012,1012.379145,2.087113,0.393562,-1.337549,-0.704486,-0.417586,0.512343
12,467.053763,304.199669,1012.244024,2.086850,0.393562,-1.337384,-0.704249,-0.417586,0.512235
13,464.944055,316.036494,1012.106539,2.086755,0.393562,-1.337323,-0.704163,-0.417586,0.512140
14,462.834360,327.873334,1011.969055,2.086660,0.393562,-1.337263,-0.704078,-0.417586,0.512046
15,460.599220,339.480042,1011.831545,2.086085,0.393562,-1.336897,-0.703560,-0.417586,0.511922
16,458.365553,351.089091,1011.694033,2.085516,0.393562,-1.336537,-0.703050,-0.417586,0.511800
17,456.201488,362.822570,1011.551563,2.085211,0.393562,-1.336343,-0.702777,-0.417586,0.511696
18,454.034441,374.550531,1011.409123,2.084895,0.393562,-1.336139,-0.702492,-0.417586,0.511593
19,451.858273,386.265456,1011.264023,2.084546,0.393562,-1.335919,-0.702178,-0.417586,0.511489
20,449.680747,397.977033,1011.119280,2.084190,0.393562,-1.335689,-0.701859,-0.417586,0.511387
21,447.615816,409.884539,1010.971619,2.084242,0.393562,-1.335725,-0.701906,-0.417586,0.511313
22,445.548607,421.787393,1010.824348,2.084284,0.393562,-1.335749,-0.701944,-0.417586,0.511240
23,443.288589,433.353107,1010.676817,2.083625,0.393562,-1.335330,-0.701353,-0.417586,0.511122
24,441.028289,444.917728,1010.529281,2.082964,0.393562,-1.334907,-0.700758,-0.417586,0.511005
25,438.867920,456.652626,1010.376809,2.082662,0.393562,-1.334714,-0.700488,-0.417586,0.510914
26,436.706963,468.386568,1010.224369,2.082358,0.393562,-1.334519,-0.700214,-0.417586,0.510824
27,434.628152,480.269277,1010.069400,2.082358,0.393562,-1.334519,-0.700214,-0.417586,0.510756
28,432.549340,492.151987,1009.914431,2.082358,0.393562,-1.334519,-0.700214,-0.417586,0.510690
29,430.384765,503.881400,1009.759528,2.082040,0.393562,-1.334314,-0.699929,-0.417586,0.510604
30,428.223966,515.618274,1009.604233,2.081737,0.393562,-1.334124,-0.699656,-0.417586,0.510521
31,425.887384,527.038199,1009.446685,2.080781,0.393562,-1.333511,-0.698797,-0.417586,0.510396
32,423.550925,538.456812,1009.289519,2.079823,0.393562,-1.332892,-0.697938,-0.417586,0.510272
33,421.557922,550.489146,1009.124495,2.080133,0.393562,-1.333093,-0.698218,-0.417586,0.510235
34,419.563440,562.518808,1008.959501,2.080437,0.393562,-1.333287,-0.698488,-0.417586,0.510199
35,417.335550,574.129953,1008.796937,2.079874,0.393562,-1.332927,-0.697984,-0.417586,0.510107
36,415.108815,585.743231,1008.634401,2.079314,0.393562,-1.332568,-0.697481,-0.417586,0.510016
37,412.938251,597.459034,1008.467144,2.078973,0.393562,-1.332344,-0.697175,-0.417586,0.509942
38,410.766161,609.171718,1008.299462,2.078625,0.393562,-1.332123,-0.696863,-0.417586,0.509870
39,408.689869,621.054684,1008.129498,2.078625,0.393562,-1.332123,-0.696863,-0.417586,0.509822
40,406.613577,632.937650,1007.959535,2.078625,0.393562,-1.332123,-0.696863,-0.417586,0.509776
41,404.375424,644.529527,1007.789683,2.078022,0.393562,-1.331733,-0.696322,-0.417586,0.509691
42,402.137640,656.121350,1007.619797,2.077418,0.393562,-1.331342,-0.695780,-0.417586,0.509608
43,400.050144,667.984532,1007.444631,2.077377,0.393562,-1.331318,-0.695743,-0.417586,0.509565
44,397.958467,679.839526,1007.269888,2.077319,0.393562,-1.331278,-0.695691,-0.417586,0.509522
45,395.737130,691.453870,1007.094777,2.076767,0.393562,-1.330923,-0.695196,-0.417586,0.509448
46,393.518488,703.073080,1006.919661,2.076226,0.393562,-1.330575,-0.694712,-0.417586,0.509376
47,391.349783,714.788931,1006.739937,2.075879,0.393562,-1.330347,-0.694400,-0.417586,0.509318
48,389.181105,726.504983,1006.559822,2.075533,0.393562,-1.330124,-0.694089,-0.417586,0.509263
49,387.107329,738.388167,1006.377363,2.075533,0.393562,-1.330124,-0.694089,-0.417586,0.509232
