x,y,z,qx,qy,qz,qw
0.033405,-1.407450,1.198235,0.705710,-0.044389,-0.052569,0.705152
0.070565,-1.412585,1.197800,0.705441,-0.048479,-0.048480,0.705445
0.107730,-1.417715,1.197800,0.705148,-0.052568,-0.044389,0.705714
0.144895,-1.422850,1.198235,0.704832,-0.056656,-0.040296,0.705959
0.182050,-1.427980,1.199105,0.704491,-0.060743,-0.036201,0.706181
0.219190,-1.433110,1.200410,0.704127,-0.064827,-0.032106,0.706379
0.256320,-1.438235,1.202150,0.703734,-0.068964,-0.027954,0.706556
0.293420,-1.443360,1.204330,0.703331,-0.072956,-0.023944,0.706703
0.330495,-1.448480,1.206935,0.702890,-0.077088,-0.019790,0.706832
0.367540,-1.453595,1.209980,0.702430,-0.081179,-0.015675,0.706935
0.404545,-1.458705,1.213460,0.701951,-0.085221,-0.011606,0.707013
0.441510,-1.463810,1.217370,0.701441,-0.089316,-0.007479,0.707069
0.478425,-1.468905,1.221715,0.700914,-0.093367,-0.003395,0.707100
0.515285,-1.474000,1.226490,0.700363,-0.097410,0.000686,0.707108
0.552095,-1.479080,1.231695,0.699779,-0.101520,0.004838,0.707092
0.588835,-1.484155,1.237335,0.699179,-0.105575,0.008937,0.707052
0.625510,-1.489220,1.243405,0.698563,-0.109580,0.012988,0.706989
0.662120,-1.494275,1.249900,0.697910,-0.113659,0.017118,0.706901
0.698645,-1.499320,1.256825,0.697234,-0.117737,0.021250,0.706789
0.735085,-1.504350,1.264180,0.696554,-0.121698,0.025267,0.706657
0.771450,-1.509375,1.271955,0.695825,-0.125797,0.029427,0.706496
0.807715,-1.514380,1.280160,0.695081,-0.129844,0.033538,0.706313
0.843880,-1.519375,1.288790,0.694316,-0.133876,0.037637,0.706106
0.879950,-1.524360,1.297845,0.693538,-0.137851,0.041680,0.705879
0.915910,-1.529325,1.307315,0.692728,-0.141865,0.045768,0.705626
0.951760,-1.534270,1.317205,0.691883,-0.145928,0.049908,0.705345
0.987495,-1.539205,1.327520,0.691022,-0.149955,0.054016,0.705042
1.023110,-1.544125,1.338255,0.690150,-0.153918,0.058060,0.704721
1.058595,-1.549025,1.349400,0.689249,-0.157903,0.062131,0.704374
1.093955,-1.553910,1.360960,0.688304,-0.161971,0.066290,0.703994
1.129175,-1.558775,1.372940,0.687367,-0.165904,0.070314,0.703604
1.164255,-1.563620,1.385325,0.686386,-0.169916,0.074423,0.703181
1.199195,-1.568445,1.398125,0.685387,-0.173902,0.078508,0.702737
1.233975,-1.573245,1.411330,0.684378,-0.177832,0.082540,0.702275
1.268610,-1.578025,1.424940,0.683323,-0.181845,0.086659,0.701778
1.303085,-1.582790,1.438960,0.682260,-0.185791,0.090713,0.701266
1.337395,-1.587525,1.453380,0.681165,-0.189768,0.094803,0.700725
1.371540,-1.592240,1.468205,0.680072,-0.193649,0.098797,0.700173
1.405510,-1.596935,1.483420,0.678919,-0.197653,0.102921,0.699578
1.439305,-1.601600,1.499040,0.677763,-0.201580,0.106969,0.698971
