x,y,z,qx,qy,qz,qw
539.695000,-2468.372500,-1706.582500,0.496901,0.572801,0.503124,0.414555
537.735000,-2456.475000,-1706.280000,0.496905,0.572797,0.503127,0.414551
535.777500,-2444.577500,-1705.977500,0.496959,0.572750,0.503166,0.414503
533.820000,-2432.680000,-1705.675000,0.497013,0.572703,0.503206,0.414455
531.860000,-2420.780000,-1705.367500,0.497013,0.572703,0.503206,0.414455
529.900000,-2408.880000,-1705.060000,0.497013,0.572703,0.503206,0.414455
527.940000,-2396.980000,-1704.752500,0.497076,0.572648,0.503251,0.414400
525.980000,-2385.080000,-1704.445000,0.497140,0.572593,0.503297,0.414344
524.022500,-2373.180000,-1704.132500,0.497169,0.572568,0.503318,0.414319
522.065000,-2361.280000,-1703.820000,0.497198,0.572542,0.503339,0.414293
520.107500,-2349.380000,-1703.505000,0.497223,0.572521,0.503357,0.414271
518.150000,-2337.480000,-1703.190000,0.497248,0.572499,0.503375,0.414249
516.190000,-2325.580000,-1702.872500,0.497257,0.572491,0.503382,0.414241
514.230000,-2313.680000,-1702.555000,0.497266,0.572484,0.503388,0.414233
512.275000,-2301.780000,-1702.237500,0.497320,0.572436,0.503428,0.414186
510.320000,-2289.880000,-1701.920000,0.497374,0.572389,0.503467,0.414138
508.362500,-2277.982500,-1701.597500,0.497403,0.572364,0.503488,0.414112
506.405000,-2266.085000,-1701.275000,0.497433,0.572339,0.503509,0.414087
504.447500,-2254.185000,-1700.950000,0.497467,0.572309,0.503534,0.414057
502.490000,-2242.285000,-1700.625000,0.497500,0.572280,0.503558,0.414027
500.535000,-2230.385000,-1700.297500,0.497496,0.572284,0.503555,0.414031
498.580000,-2218.485000,-1699.970000,0.497491,0.572288,0.503552,0.414035
496.622500,-2206.585000,-1699.642500,0.497555,0.572233,0.503597,0.413980
494.665000,-2194.685000,-1699.315000,0.497618,0.572178,0.503643,0.413924
492.710000,-2182.787500,-1698.982500,0.497647,0.572152,0.503664,0.413898
490.755000,-2170.890000,-1698.650000,0.497676,0.572127,0.503685,0.413872
488.800000,-2158.990000,-1698.315000,0.497676,0.572127,0.503685,0.413872
486.845000,-2147.090000,-1697.980000,0.497676,0.572127,0.503685,0.413872
484.890000,-2135.190000,-1697.645000,0.497706,0.572101,0.503706,0.413847
482.935000,-2123.290000,-1697.310000,0.497735,0.572076,0.503728,0.413821
480.980000,-2111.392500,-1696.972500,0.497827,0.571995,0.503794,0.413739
479.025000,-2099.495000,-1696.635000,0.497920,0.571915,0.503861,0.413658
477.072500,-2087.595000,-1696.290000,0.497890,0.571941,0.503840,0.413684
475.120000,-2075.695000,-1695.945000,0.497861,0.571966,0.503819,0.413710
473.167500,-2063.795000,-1695.602500,0.497915,0.571919,0.503858,0.413662
471.215000,-2051.895000,-1695.260000,0.497969,0.571872,0.503897,0.413614
469.260000,-2039.997500,-1694.912500,0.498003,0.571843,0.503922,0.413585
467.305000,-2028.100000,-1694.565000,0.498037,0.571813,0.503946,0.413555
465.352500,-2016.200000,-1694.215000,0.498037,0.571813,0.503946,0.413555
463.400000,-2004.300000,-1693.865000,0.498037,0.571813,0.503946,0.413555
461.447500,-1992.400000,-1693.515000,0.498095,0.571762,0.503988,0.413503
459.495000,-1980.500000,-1693.165000,0.498154,0.571711,0.504031,0.413452
457.542500,-1968.600000,-1692.810000,0.498158,0.571707,0.504034,0.413448
455.590000,-1956.700000,-1692.455000,0.498163,0.571703,0.504037,0.413444
453.640000,-1944.802500,-1692.100000,0.498217,0.571656,0.504076,0.413396
451.690000,-1932.905000,-1691.745000,0.498271,0.571609,0.504115,0.413349
449.737500,-1921.005000,-1691.385000,0.498305,0.571580,0.504140,0.413319
447.785000,-1909.105000,-1691.025000,0.498338,0.571550,0.504164,0.413289
445.835000,-1897.205000,-1690.662500,0.498339,0.571550,0.504164,0.413289
443.885000,-1885.305000,-1690.300000,0.498339,0.571550,0.504164,0.413289
441.935000,-1873.407500,-1689.937500,0.498422,0.571477,0.504224,0.413215
439.985000,-1861.510000,-1689.575000,0.498505,0.571405,0.504285,0.413142
438.032500,-1849.610000,-1689.205000,0.498509,0.571401,0.504288,0.413138
436.080000,-1837.710000,-1688.835000,0.498514,0.571397,0.504291,0.413134
434.130000,-1825.810000,-1688.465000,0.498519,0.571393,0.504294,0.413130
432.180000,-1813.910000,-1688.095000,0.498523,0.571389,0.504298,0.413126
430.232500,-1802.012500,-1687.725000,0.498582,0.571338,0.504340,0.413074
428.285000,-1790.115000,-1687.355000,0.498640,0.571287,0.504382,0.413023
426.337500,-1778.215000,-1686.980000,0.498635,0.571291,0.504379,0.413027
424.390000,-1766.315000,-1686.605000,0.498631,0.571295,0.504376,0.413031
422.440000,-1754.415000,-1686.230000,0.498660,0.571269,0.504397,0.413005
420.490000,-1742.515000,-1685.855000,0.498690,0.571244,0.504418,0.412979
418.540000,-1730.617500,-1685.477500,0.498786,0.571159,0.504488,0.412893
416.590000,-1718.720000,-1685.100000,0.498883,0.571075,0.504558,0.412808
414.645000,-1706.820000,-1684.715000,0.498849,0.571104,0.504533,0.412838
412.700000,-1694.920000,-1684.330000,0.498815,0.571134,0.504509,0.412868
410.752500,-1683.020000,-1683.947500,0.498874,0.571083,0.504551,0.412816
408.805000,-1671.120000,-1683.565000,0.498933,0.571031,0.504594,0.412764
406.857500,-1659.222500,-1683.177500,0.498962,0.571006,0.504615,0.412738
404.910000,-1647.325000,-1682.790000,0.498991,0.570981,0.504636,0.412713
402.962500,-1635.425000,-1682.400000,0.498995,0.570977,0.504639,0.412709
401.015000,-1623.525000,-1682.010000,0.499000,0.570973,0.504642,0.412705
399.070000,-1611.625000,-1681.620000,0.499059,0.570921,0.504685,0.412653
397.125000,-1599.725000,-1681.230000,0.499117,0.570870,0.504727,0.412601
395.180000,-1587.827500,-1680.835000,0.499117,0.570870,0.504727,0.412601
393.235000,-1575.930000,-1680.440000,0.499117,0.570871,0.504727,0.412601
391.290000,-1564.030000,-1680.045000,0.499200,0.570798,0.504787,0.412528
389.345000,-1552.130000,-1679.650000,0.499283,0.570725,0.504847,0.412454
387.397500,-1540.230000,-1679.247500,0.499259,0.570747,0.504829,0.412476
385.450000,-1528.330000,-1678.845000,0.499234,0.570768,0.504812,0.412498
383.505000,-1516.432500,-1678.445000,0.499297,0.570713,0.504857,0.412442
381.560000,-1504.535000,-1678.045000,0.499360,0.570658,0.504902,0.412387
379.617500,-1492.635000,-1677.640000,0.499360,0.570658,0.504902,0.412387
377.675000,-1480.735000,-1677.235000,0.499360,0.570658,0.504902,0.412387
375.732500,-1468.835000,-1676.830000,0.499414,0.570611,0.504942,0.412339
373.790000,-1456.935000,-1676.425000,0.499468,0.570563,0.504981,0.412291
371.845000,-1445.037500,-1676.015000,0.499497,0.570538,0.505002,0.412265
369.900000,-1433.140000,-1675.605000,0.499526,0.570513,0.505022,0.412240
367.955000,-1421.240000,-1675.192500,0.499531,0.570509,0.505026,0.412235
366.010000,-1409.340000,-1674.780000,0.499535,0.570504,0.505029,0.412231
364.067500,-1397.442500,-1674.367500,0.499598,0.570449,0.505075,0.412176
362.125000,-1385.545000,-1673.955000,0.499661,0.570395,0.505120,0.412120
360.185000,-1373.645000,-1673.537500,0.499652,0.570402,0.505113,0.412128
358.245000,-1361.745000,-1673.120000,0.499643,0.570410,0.505107,0.412136
356.300000,-1349.845000,-1672.702500,0.499710,0.570351,0.505156,0.412076
354.355000,-1337.945000,-1672.285000,0.499778,0.570292,0.505205,0.412016
352.415000,-1326.047500,-1671.862500,0.499807,0.570266,0.505226,0.411991
350.475000,-1314.150000,-1671.440000,0.499836,0.570241,0.505247,0.411965
348.535000,-1302.250000,-1671.015000,0.499836,0.570241,0.505247,0.411965
346.595000,-1290.350000,-1670.590000,0.499836,0.570241,0.505247,0.411965
346.599706,-1290.350000,-1670.587059,0.524611,0.549972,0.477640,0.440652
346.604412,-1290.350000,-1670.584118,0.548018,0.528267,0.448786,0.468189
346.609118,-1290.350000,-1670.581176,0.569994,0.505183,0.418762,0.494505
346.613824,-1290.350000,-1670.578235,0.590483,0.480782,0.387644,0.519530
346.618529,-1290.350000,-1670.575294,0.609431,0.455125,0.355515,0.543199
346.623235,-1290.350000,-1670.572353,0.626788,0.428281,0.322458,0.565450
346.627941,-1290.350000,-1670.569412,0.642509,0.400319,0.288559,0.586226
346.632647,-1290.350000,-1670.566471,0.656554,0.371312,0.253908,0.605471
346.637353,-1290.350000,-1670.563529,0.668885,0.341336,0.218594,0.623137
346.642059,-1290.350000,-1670.560588,0.679470,0.310469,0.182709,0.639176
346.646765,-1290.350000,-1670.557647,0.688283,0.278792,0.146347,0.653547
346.651471,-1290.350000,-1670.554706,0.695299,0.246388,0.109604,0.666213
