Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,489.520994,28.750865,927.955047,1.852131,0.654471,-0.806296,-0.647922,-0.942398
2,489.520994,32.832498,921.561189,1.852131,0.654471,-0.806296,-0.647922,-0.942398
3,489.520994,36.914130,915.272318,1.852131,0.654471,-0.806296,-0.647922,-0.942398
4,489.520994,40.995763,909.191697,1.852131,0.654471,-0.806296,-0.647922,-0.942398
5,489.520994,45.077396,903.419170,1.852131,0.654471,-0.806296,-0.647922,-0.942398
6,489.520994,49.159028,898.049521,1.852131,0.654471,-0.806296,-0.647922,-0.942398
7,489.520994,53.240661,893.170920,1.852131,0.654471,-0.806296,-0.647922,-0.942398
8,489.520994,57.322294,888.863473,1.852131,0.654471,-0.806296,-0.647922,-0.942398
9,489.520994,61.403926,885.197909,1.852131,0.654471,-0.806296,-0.647922,-0.942398
10,489.520994,65.485559,882.234416,1.852131,0.654471,-0.806296,-0.647922,-0.942398
11,489.520994,69.567192,880.021655,1.852131,0.654471,-0.806296,-0.647922,-0.942398
12,489.520994,73.648824,878.595958,1.852131,0.654471,-0.806296,-0.647922,-0.942398
13,489.520994,77.730457,877.980736,1.852131,0.654471,-0.806296,-0.647922,-0.942398
14,489.520994,81.812089,878.186091,1.852131,0.654471,-0.806296,-0.647922,-0.942398
15,489.520994,85.893722,879.208651,1.852131,0.654471,-0.806296,-0.647922,-0.942398
16,489.520994,89.975355,881.031625,1.852131,0.654471,-0.806296,-0.647922,-0.942398
17,489.520994,94.056987,883.625081,1.852131,0.654471,-0.806296,-0.647922,-0.942398
18,489.520994,98.138620,886.946433,1.852131,0.654471,-0.806296,-0.647922,-0.942398
19,489.520994,102.220253,890.941146,1.852131,0.654471,-0.806296,-0.647922,-0.942398
20,489.520994,106.301885,895.543626,1.852131,0.654471,-0.806296,-0.647922,-0.942398
21,489.520994,110.383518,900.678300,1.852131,0.654471,-0.806296,-0.647922,-0.942398
22,489.520994,114.465151,906.260858,1.852131,0.654471,-0.806296,-0.647922,-0.942398
23,489.520994,118.546783,912.199634,1.852131,0.654471,-0.806296,-0.647922,-0.942398
24,489.520994,122.628416,918.397113,1.852131,0.654471,-0.806296,-0.647922,-0.942398
25,489.520994,126.710049,924.751533,1.852131,0.654471,-0.806296,-0.647922,-0.942398
26,489.520994,130.791681,931.158555,1.852131,0.654471,-0.806296,-0.647922,-0.942398
27,489.520994,134.873314,937.512976,1.852131,0.654471,-0.806296,-0.647922,-0.942398
28,489.520994,138.954947,943.710455,1.852131,0.654471,-0.806296,-0.647922,-0.942398
29,489.520994,143.036579,949.649231,1.852131,0.654471,-0.806296,-0.647922,-0.942398
30,489.520994,147.118212,955.231789,1.852131,0.654471,-0.806296,-0.647922,-0.942398
31,489.520994,151.199845,960.366464,1.852131,0.654471,-0.806296,-0.647922,-0.942398
32,489.520994,155.281477,964.968945,1.852131,0.654471,-0.806296,-0.647922,-0.942398
33,489.520994,159.363110,968.963658,1.852131,0.654471,-0.806296,-0.647922,-0.942398
34,489.520994,163.444743,972.285011,1.852131,0.654471,-0.806296,-0.647922,-0.942398
35,489.520994,167.526375,974.878467,1.852131,0.654471,-0.806296,-0.647922,-0.942398
36,489.520994,171.608008,976.701442,1.852131,0.654471,-0.806296,-0.647922,-0.942398
37,489.520994,175.689641,977.724002,1.852131,0.654471,-0.806296,-0.647922,-0.942398
38,489.520994,179.771273,977.929358,1.852131,0.654471,-0.806296,-0.647922,-0.942398
39,489.520994,183.852906,977.314137,1.852131,0.654471,-0.806296,-0.647922,-0.942398
40,489.520994,187.934538,975.888441,1.852131,0.654471,-0.806296,-0.647922,-0.942398
41,489.520994,192.016171,973.675680,1.852131,0.654471,-0.806296,-0.647922,-0.942398
42,489.520994,196.097804,970.712187,1.852131,0.654471,-0.806296,-0.647922,-0.942398
43,489.520994,200.179436,967.046624,1.852131,0.654471,-0.806296,-0.647922,-0.942398
44,489.520994,204.261069,962.739178,1.852131,0.654471,-0.806296,-0.647922,-0.942398
45,489.520994,208.342702,957.860577,1.852131,0.654471,-0.806296,-0.647922,-0.942398
46,489.520994,212.424334,952.490929,1.852131,0.654471,-0.806296,-0.647922,-0.942398
47,489.520994,216.505967,946.718402,1.852131,0.654471,-0.806296,-0.647922,-0.942398
48,489.520994,220.587600,940.637781,1.852131,0.654471,-0.806296,-0.647922,-0.942398
49,489.520994,224.669232,934.348910,1.852131,0.654471,-0.806296,-0.647922,-0.942398
50,489.520994,228.750865,927.955052,1.852131,0.654471,-0.806296,-0.647922,-0.942398
