Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,2677.382178,226.524743,1276.100376,4.243610,1.201300,1.866645,-1.522412,-1.902367
2,2685.456113,224.878463,1283.266223,4.266622,1.150400,1.847733,-1.528298,-1.953586
3,2673.841972,222.461098,1282.966219,4.266622,1.150400,1.847733,-1.528298,-1.953522
4,2662.227622,220.048728,1282.666215,4.266622,1.150400,1.847733,-1.528298,-1.952754
5,2650.613481,217.631363,1282.356212,4.266622,1.150400,1.847733,-1.528298,-1.953522
6,2638.999132,215.218994,1282.056208,4.266622,1.150400,1.847733,-1.528298,-1.952689
7,2627.384782,212.806624,1281.746204,4.266622,1.150400,1.847733,-1.528298,-1.952753
8,2615.775637,210.389468,1281.436200,4.266622,1.150400,1.847733,-1.528298,-1.953522
9,2604.156291,207.976889,1281.136197,4.266622,1.150400,1.847733,-1.528298,-1.952689
10,2592.546937,205.564728,1280.826193,4.266622,1.150400,1.847733,-1.528298,-1.952689
11,2580.932587,203.152359,1280.516189,4.266622,1.150400,1.847733,-1.528298,-1.952272
12,2569.323233,200.740198,1280.201186,4.266622,1.150400,1.847733,-1.528298,-1.952338
13,2557.704097,198.322624,1279.886182,4.266622,1.150400,1.847733,-1.528298,-1.952625
14,2546.094534,195.915459,1279.576178,4.266622,1.150400,1.847733,-1.528298,-1.951921
15,2534.480393,193.498094,1279.256174,4.266622,1.150400,1.847733,-1.528298,-1.952625
16,2522.865834,191.090720,1278.946171,4.266622,1.150400,1.847733,-1.528298,-1.951921
17,2511.251693,188.673354,1278.626167,4.266622,1.150400,1.847733,-1.528298,-1.951791
18,2499.642130,186.266189,1278.306163,4.266622,1.150400,1.847733,-1.528298,-1.951922
19,2488.022994,183.848615,1277.986159,4.266622,1.150400,1.847733,-1.528298,-1.951791
20,2476.413431,181.441450,1277.666156,4.266622,1.150400,1.847733,-1.528298,-1.951792
21,2464.798872,179.034076,1277.346152,4.266622,1.150400,1.847733,-1.528298,-1.951922
22,2453.179735,176.616502,1277.026148,4.266622,1.150400,1.847733,-1.528298,-1.950958
23,2441.570172,174.209337,1276.696144,4.266622,1.150400,1.847733,-1.528298,-1.951921
24,2429.956032,171.791972,1276.376141,4.266622,1.150400,1.847733,-1.528298,-1.950959
25,2418.341473,169.384598,1276.046137,4.266622,1.150400,1.847733,-1.528298,-1.950959
26,2406.726914,166.977224,1275.716133,4.266622,1.150400,1.847733,-1.528298,-1.951439
27,2395.117560,164.565063,1275.391129,4.266622,1.150400,1.847733,-1.528298,-1.951025
28,2383.498215,162.152484,1275.061126,4.266622,1.150400,1.847733,-1.528298,-1.950541
29,2371.888652,159.745319,1274.726122,4.266622,1.150400,1.847733,-1.528298,-1.951024
30,2360.274302,157.332950,1274.396118,4.266622,1.150400,1.847733,-1.528298,-1.950958
31,2348.664739,154.925784,1274.066115,4.266622,1.150400,1.847733,-1.528298,-1.950192
32,2337.045394,152.513206,1273.726111,4.266622,1.150400,1.847733,-1.528298,-1.950958
33,2325.435830,150.106041,1273.396107,4.266622,1.150400,1.847733,-1.528298,-1.950126
34,2313.821272,147.698667,1273.056103,4.266622,1.150400,1.847733,-1.528298,-1.950191
35,2302.206922,145.286297,1272.716100,4.266622,1.150400,1.847733,-1.528298,-1.950543
36,2290.592363,142.878923,1272.381096,4.266622,1.150400,1.847733,-1.528298,-1.950125
37,2278.982800,140.471758,1272.041092,4.266622,1.150400,1.847733,-1.528298,-1.949712
38,2267.363246,138.064175,1271.696088,4.266622,1.150400,1.847733,-1.528298,-1.950189
39,2255.753892,135.652015,1271.356085,4.266622,1.150400,1.847733,-1.528298,-1.950126
40,2244.139333,133.244641,1271.016081,4.266622,1.150400,1.847733,-1.528298,-1.949294
41,2232.524775,130.837267,1270.666077,4.266622,1.150400,1.847733,-1.528298,-1.950126
42,2220.910216,128.429893,1270.326073,4.266622,1.150400,1.847733,-1.528298,-1.949294
43,2209.295657,126.022519,1269.976070,4.266622,1.150400,1.847733,-1.528298,-1.949292
44,2197.686094,123.615353,1269.626066,4.266622,1.150400,1.847733,-1.528298,-1.949295
45,2186.066540,121.207771,1269.276062,4.266622,1.150400,1.847733,-1.528298,-1.949292
46,2174.456977,118.800605,1268.926058,4.266622,1.150400,1.847733,-1.528298,-1.949229
47,2162.842209,116.398227,1268.576055,4.266622,1.150400,1.847733,-1.528298,-1.949294
48,2151.227651,113.990853,1268.226051,4.266622,1.150400,1.847733,-1.528298,-1.948877
49,2139.613092,111.583479,1267.871047,4.266622,1.150400,1.847733,-1.528298,-1.948875
50,2128.003529,109.176314,1267.516043,4.266622,1.150400,1.847733,-1.528298,-1.948879
51,2116.383975,106.768731,1267.161040,4.266622,1.150400,1.847733,-1.528298,-1.948875
52,2104.774412,104.361566,1266.806036,4.266622,1.150400,1.847733,-1.528298,-1.948461
53,2093.159853,101.954192,1266.446032,4.266622,1.150400,1.847733,-1.528298,-1.948459
54,2081.550290,99.547027,1266.086028,4.266622,1.150400,1.847733,-1.528298,-1.948399
55,2069.930527,97.144440,1265.726025,4.266622,1.150400,1.847733,-1.528298,-1.948394
56,2058.320755,94.742270,1265.366021,4.266622,1.150400,1.847733,-1.528298,-1.948045
57,2046.706196,92.334896,1265.001017,4.266622,1.150400,1.847733,-1.528298,-1.948045
58,2035.091638,89.927522,1264.636014,4.266622,1.150400,1.847733,-1.528298,-1.947980
59,2023.476870,87.525144,1264.271010,4.266622,1.150400,1.847733,-1.528298,-1.947978
60,2011.867098,85.122974,1263.906006,4.266622,1.150400,1.847733,-1.528298,-1.947631
61,2000.247544,82.715391,1263.536002,4.266622,1.150400,1.847733,-1.528298,-1.947561
62,1988.637772,80.313222,1263.165999,4.266622,1.150400,1.847733,-1.528298,-1.947564
63,1977.023004,77.910844,1262.795995,4.266622,1.150400,1.847733,-1.528298,-1.947626
64,1965.413441,75.503679,1262.425991,4.266622,1.150400,1.847733,-1.528298,-1.947566
65,1953.793678,73.101091,1262.055987,4.266622,1.150400,1.847733,-1.528298,-1.947144
66,1942.183906,70.698922,1261.680984,4.266622,1.150400,1.847733,-1.528298,-1.947147
67,1930.569139,68.296543,1261.305980,4.266622,1.150400,1.847733,-1.528298,-1.947212
68,1918.954580,65.889169,1260.930976,4.266622,1.150400,1.847733,-1.528298,-1.947147
69,1907.339813,63.486791,1260.555972,4.266622,1.150400,1.847733,-1.528298,-1.946728
70,1895.730041,61.084622,1260.175969,4.266622,1.150400,1.847733,-1.528298,-1.947150
71,1884.110277,58.682034,1259.800965,4.266622,1.150400,1.847733,-1.528298,-1.946728
72,1872.500506,56.279865,1259.420961,4.266622,1.150400,1.847733,-1.528298,-1.946315
73,1860.885738,53.877486,1259.035957,4.266622,1.150400,1.847733,-1.528298,-1.946728
74,1849.275966,51.475317,1258.655954,4.266622,1.150400,1.847733,-1.528298,-1.946253
75,1837.655994,49.077725,1258.270950,4.266622,1.150400,1.847733,-1.528298,-1.946376
76,1826.046431,46.670560,1257.885946,4.266622,1.150400,1.847733,-1.528298,-1.946250
77,1814.431455,44.273177,1257.500942,4.266622,1.150400,1.847733,-1.528298,-1.946379
78,1802.816896,41.865803,1257.115939,4.266622,1.150400,1.847733,-1.528298,-1.945833
79,1791.201919,39.468421,1256.725935,4.266622,1.150400,1.847733,-1.528298,-1.945830
80,1779.591939,37.071247,1256.335931,4.266622,1.150400,1.847733,-1.528298,-1.945963
81,1767.977380,34.663873,1255.945927,4.266622,1.150400,1.847733,-1.528298,-1.945833
82,1756.362403,32.266490,1255.555924,4.266622,1.150400,1.847733,-1.528298,-1.945833
83,1744.747427,29.869107,1255.165920,4.266622,1.150400,1.847733,-1.528298,-1.945543
84,1733.137864,27.461942,1254.770916,4.266622,1.150400,1.847733,-1.528298,-1.945417
85,1721.522888,25.064559,1254.375912,4.266622,1.150400,1.847733,-1.528298,-1.945417
86,1709.907911,22.667177,1253.980909,4.266622,1.150400,1.847733,-1.528298,-1.945066
87,1698.293144,20.264798,1253.580905,4.266622,1.150400,1.847733,-1.528298,-1.944997
88,1686.683163,17.867625,1253.180901,4.266622,1.150400,1.847733,-1.528298,-1.945485
89,1675.063400,15.465037,1252.785897,4.266622,1.150400,1.847733,-1.528298,-1.944581
90,1663.453419,13.067863,1252.380894,4.266622,1.150400,1.847733,-1.528298,-1.945001
91,1651.838442,10.670481,1251.980890,4.266622,1.150400,1.847733,-1.528298,-1.945062
92,1640.228670,8.268311,1251.580886,4.266622,1.150400,1.847733,-1.528298,-1.944588
93,1628.608698,5.870719,1251.175883,4.266622,1.150400,1.847733,-1.528298,-1.944581
94,1616.998718,3.473546,1250.770879,4.266622,1.150400,1.847733,-1.528298,-1.944168
95,1605.383741,1.076163,1250.360875,4.266622,1.150400,1.847733,-1.528298,-1.944581
96,1560.602190,17.143910,1241.485140,4.174053,1.208711,1.931036,-1.543575,-1.877822
97,1512.585200,41.205097,1235.750956,4.044358,1.250475,2.052411,-1.566139,-1.821978
98,1500.975219,38.807923,1235.340952,4.044358,1.250475,2.052411,-1.566139,-1.821982
99,1489.360243,36.410541,1234.930948,4.044358,1.250475,2.052411,-1.566139,-1.821562
100,1477.750262,34.013367,1234.515945,4.044358,1.250475,2.052411,-1.566139,-1.821986
101,1466.130290,31.615775,1234.105941,4.044358,1.250475,2.052411,-1.566139,-1.821497
102,1454.520100,29.223597,1233.690937,4.044358,1.250475,2.052411,-1.566139,-1.821497
103,1401.455414,15.433287,1226.074625,4.029407,1.303677,2.166467,-1.563323,-1.777082
104,1351.729126,9.808312,1221.560844,4.008417,1.340231,2.287260,-1.562228,-1.748660
105,1301.778466,10.783741,1218.642920,3.976604,1.371090,2.419190,-1.559813,-1.725871
106,1268.637827,8.570629,1218.209486,4.001965,1.380650,2.495531,-1.562759,-1.727524
107,1219.128063,1.225997,1215.581683,4.011451,1.439290,2.586790,-1.525676,-1.701223
108,1187.488469,11.531313,1217.198433,4.021493,1.439290,2.678463,-1.536333,-1.709349
109,1170.977777,6.447071,1219.465682,4.124151,1.439290,2.678463,-1.542948,-1.727498
110,1153.997440,3.083050,1222.359768,4.226452,1.439290,2.678463,-1.551382,-1.744833
111,1136.744296,1.496962,1225.850491,4.328363,1.439290,2.678463,-1.561540,-1.761176
112,906.610734,184.341720,1230.425069,3.249125,1.429194,0.708588,1.563052,1.516822
113,882.980492,211.156739,1235.011758,3.246505,1.428863,0.813258,1.566285,1.513764
114,863.506177,238.846260,1239.907802,3.249448,1.431544,0.912415,1.568544,1.508183
115,862.586998,248.131907,1243.207148,3.327736,1.481132,0.937044,1.552295,1.459190
116,872.060742,274.675644,1249.024793,3.429898,1.481132,0.937044,1.569123,1.449812
117,791.215157,325.892568,1255.972046,3.125416,1.459434,1.341609,1.558890,1.478446
118,768.116502,352.272323,1261.608865,3.055776,1.477897,1.512929,1.557318,1.456953
119,763.295051,399.748819,1269.551310,3.053931,1.443943,1.616297,1.564995,1.487043
120,762.740612,413.007233,1272.386304,3.053931,1.443943,1.616297,1.564995,1.491672
121,762.185337,426.285629,1275.161298,3.053931,1.443943,1.616297,1.564995,1.496002
122,761.630062,439.564025,1277.876292,3.053931,1.443943,1.616297,1.564995,1.500267
123,761.073952,452.862403,1280.536287,3.053931,1.443943,1.616297,1.564995,1.503662
124,760.517423,466.170773,1283.151281,3.053931,1.443943,1.616297,1.564995,1.508728
125,759.960895,479.479143,1285.696275,3.053931,1.443943,1.616297,1.564995,1.512623
126,759.403531,492.807495,1288.191270,3.053931,1.443943,1.616297,1.564995,1.516742
127,758.845749,506.145839,1290.631264,3.053931,1.443943,1.616297,1.564995,1.520861
128,758.287550,519.494173,1293.016258,3.053931,1.443943,1.616297,1.564995,1.525343
129,757.728932,532.852499,1295.341253,3.053931,1.443943,1.616297,1.564995,1.529462
130,757.169897,546.220817,1297.611247,3.053931,1.443943,1.616297,1.564995,1.533581
131,756.610444,559.599125,1299.826241,3.053931,1.443943,1.616297,1.564995,1.537699
132,756.050574,572.987425,1301.986235,3.053931,1.443943,1.616297,1.564995,1.542180
133,755.490285,586.385716,1304.086230,3.053931,1.443943,1.616297,1.564995,1.546186
134,754.929997,599.784007,1306.131224,3.053931,1.443943,1.616297,1.564995,1.550413
135,754.368873,613.202280,1308.121218,3.053931,1.443943,1.616297,1.564995,1.554787
136,753.807749,626.620554,1310.051212,3.053931,1.443943,1.616297,1.564995,1.558904
137,753.246207,640.048818,1311.926207,3.053931,1.443943,1.616297,1.564995,1.562654
138,752.684247,653.487074,1313.751201,3.053931,1.443943,1.616297,1.564995,1.567037
139,752.122288,666.925330,1315.516195,3.053931,1.443943,1.616297,1.564995,1.571564
140,751.559702,680.378573,1317.221189,3.053931,1.443943,1.616297,1.564995,1.575631
141,750.996906,693.836811,1318.871184,3.053931,1.443943,1.616297,1.564995,1.579699
142,750.433902,707.300045,1320.466178,3.053931,1.443943,1.616297,1.564995,1.584176
143,749.870481,720.773271,1322.001172,3.053931,1.443943,1.616297,1.564995,1.588244
144,749.306850,734.251491,1323.481166,3.053931,1.443943,1.616297,1.564995,1.592314
145,748.743010,747.734708,1324.906161,3.053931,1.443943,1.616297,1.564995,1.596383
146,748.178962,761.222920,1326.276155,3.053931,1.443943,1.616297,1.564995,1.600855
147,747.614496,774.721123,1327.586149,3.053931,1.443943,1.616297,1.564995,1.604890
148,747.050029,788.219327,1328.841143,3.053931,1.443943,1.616297,1.564995,1.609360
149,746.485145,801.727521,1330.036137,3.053931,1.443943,1.616297,1.564995,1.613031
