Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,2690.829903,53.191020,1268.255421,4.778431,1.263319,-1.788311,1.344423,1.292622
2,1976.492726,54.595922,1300.034838,1.527005,1.053006,-1.788311,-1.520609,-1.034482
3,1964.878585,52.178556,1299.734834,1.527005,1.053006,-1.788311,-1.520609,-1.034418
4,1953.264235,49.766187,1299.434830,1.527005,1.053006,-1.788311,-1.520609,-1.033650
5,1941.650094,47.348821,1299.124827,1.527005,1.053006,-1.788311,-1.520609,-1.034418
6,1930.035745,44.936452,1298.824823,1.527005,1.053006,-1.788311,-1.520609,-1.033585
7,1918.421395,42.524082,1298.514819,1.527005,1.053006,-1.788311,-1.520609,-1.033649
8,1906.812250,40.106926,1298.204815,1.527005,1.053006,-1.788311,-1.520609,-1.034418
9,1895.192904,37.694347,1297.904812,1.527005,1.053006,-1.788311,-1.520609,-1.033585
10,1883.583550,35.282187,1297.594808,1.527005,1.053006,-1.788311,-1.520609,-1.033585
11,1871.969200,32.869817,1297.284804,1.527005,1.053006,-1.788311,-1.520609,-1.033168
12,1860.359846,30.457656,1296.969800,1.527005,1.053006,-1.788311,-1.520609,-1.033234
13,1848.740710,28.040082,1296.654797,1.527005,1.053006,-1.788311,-1.520609,-1.033520
14,1837.131147,25.632917,1296.344793,1.527005,1.053006,-1.788311,-1.520609,-1.032817
15,1825.517006,23.215552,1296.024789,1.527005,1.053006,-1.788311,-1.520609,-1.033521
16,1813.902447,20.808178,1295.714785,1.527005,1.053006,-1.788311,-1.520609,-1.032817
17,1802.288306,18.390813,1295.394782,1.527005,1.053006,-1.788311,-1.520609,-1.032687
18,1790.678743,15.983648,1295.074778,1.527005,1.053006,-1.788311,-1.520609,-1.032818
19,1779.059607,13.566073,1294.754774,1.527005,1.053006,-1.788311,-1.520609,-1.032687
20,1767.450044,11.158908,1294.434770,1.527005,1.053006,-1.788311,-1.520609,-1.032688
21,1755.835485,8.751534,1294.114767,1.527005,1.053006,-1.788311,-1.520609,-1.032818
22,1744.216349,6.333960,1293.794763,1.527005,1.053006,-1.788311,-1.520609,-1.031854
23,1732.606785,3.926795,1293.464759,1.527005,1.053006,-1.788311,-1.520609,-1.032817
