Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,2675.275049,230.875514,1276.147045,4.229298,1.200961,-1.261658,1.527450,1.240444
2,2663.769976,228.482727,1275.852041,4.229298,1.200961,-1.261658,1.527450,1.240603
3,2652.155835,226.065362,1275.552037,4.229298,1.200961,-1.261658,1.527450,1.240667
4,2640.541485,223.652992,1275.252034,4.229298,1.200961,-1.261658,1.527450,1.241436
5,2628.927344,221.235627,1274.942030,4.229298,1.200961,-1.261658,1.527450,1.240667
6,2617.312995,218.823257,1274.642026,4.229298,1.200961,-1.261658,1.527450,1.241500
7,2605.698645,216.410888,1274.332022,4.229298,1.200961,-1.261658,1.527450,1.241436
8,2594.089500,213.993732,1274.022019,4.229298,1.200961,-1.261658,1.527450,1.240667
9,2582.470154,211.581153,1273.722015,4.229298,1.200961,-1.261658,1.527450,1.241501
10,2570.860800,209.168992,1273.412011,4.229298,1.200961,-1.261658,1.527450,1.241500
11,2559.246450,206.756623,1273.102008,4.229298,1.200961,-1.261658,1.527450,1.241917
12,2547.637096,204.344462,1272.787004,4.229298,1.200961,-1.261658,1.527450,1.241852
13,2536.017960,201.926888,1272.472000,4.229298,1.200961,-1.261658,1.527450,1.241565
14,2524.408397,199.519723,1272.161996,4.229298,1.200961,-1.261658,1.527450,1.242269
15,2512.794256,197.102357,1271.841993,4.229298,1.200961,-1.261658,1.527450,1.241564
16,2501.179697,194.694984,1271.531989,4.229298,1.200961,-1.261658,1.527450,1.242269
17,2489.565556,192.277618,1271.211985,4.229298,1.200961,-1.261658,1.527450,1.242398
18,2477.955993,189.870453,1270.891981,4.229298,1.200961,-1.261658,1.527450,1.242268
19,2466.336857,187.452879,1270.571978,4.229298,1.200961,-1.261658,1.527450,1.242398
20,2454.727294,185.045714,1270.251974,4.229298,1.200961,-1.261658,1.527450,1.242397
21,2443.112735,182.638340,1269.931970,4.229298,1.200961,-1.261658,1.527450,1.242268
22,2431.493599,180.220766,1269.611966,4.229298,1.200961,-1.261658,1.527450,1.243231
23,2419.884036,177.813601,1269.281963,4.229298,1.200961,-1.261658,1.527450,1.242269
24,2408.269895,175.396235,1268.961959,4.229298,1.200961,-1.261658,1.527450,1.243230
25,2396.655336,172.988861,1268.631955,4.229298,1.200961,-1.261658,1.527450,1.243230
26,2385.040777,170.581487,1268.301951,4.229298,1.200961,-1.261658,1.527450,1.242750
27,2373.431423,168.169327,1267.976948,4.229298,1.200961,-1.261658,1.527450,1.243165
28,2361.812078,165.756748,1267.646944,4.229298,1.200961,-1.261658,1.527450,1.243648
29,2350.202515,163.349583,1267.311940,4.229298,1.200961,-1.261658,1.527450,1.243166
30,2338.588165,160.937214,1266.981936,4.229298,1.200961,-1.261658,1.527450,1.243231
31,2326.978602,158.530048,1266.651933,4.229298,1.200961,-1.261658,1.527450,1.243997
32,2315.359257,156.117470,1266.311929,4.229298,1.200961,-1.261658,1.527450,1.243231
33,2303.749694,153.710305,1265.981925,4.229298,1.200961,-1.261658,1.527450,1.244063
34,2292.135135,151.302931,1265.641922,4.229298,1.200961,-1.261658,1.527450,1.243999
35,2280.520785,148.890561,1265.301918,4.229298,1.200961,-1.261658,1.527450,1.243647
36,2268.906227,146.483187,1264.966914,4.229298,1.200961,-1.261658,1.527450,1.244064
37,2257.296664,144.076022,1264.626910,4.229298,1.200961,-1.261658,1.527450,1.244478
