Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,2699.929588,256.238023,1291.165036,4.199663,1.103900,1.909005,-1.569763,-1.989345
2,2699.962027,252.176316,1295.720428,4.218346,1.076366,1.892456,-1.570511,-2.018033
3,2699.269314,245.303737,1299.635472,4.241781,1.053533,1.872010,-1.566697,-2.043181
4,2687.654964,242.891367,1299.335468,4.241781,1.053533,1.872010,-1.566697,-2.042412
5,2676.040824,240.474002,1299.025465,4.241781,1.053533,1.872010,-1.566697,-2.043181
6,2664.426474,238.061632,1298.725461,4.241781,1.053533,1.872010,-1.566697,-2.042348
7,2652.812124,235.649263,1298.415457,4.241781,1.053533,1.872010,-1.566697,-2.042412
8,2641.202979,233.232106,1298.105454,4.241781,1.053533,1.872010,-1.566697,-2.043181
9,2629.583633,230.819528,1297.805450,4.241781,1.053533,1.872010,-1.566697,-2.042347
10,2617.974279,228.407367,1297.495446,4.241781,1.053533,1.872010,-1.566697,-2.042348
11,2606.359929,225.994997,1297.185442,4.241781,1.053533,1.872010,-1.566697,-2.041931
12,2594.750575,223.582837,1296.870439,4.241781,1.053533,1.872010,-1.566697,-2.041996
13,2583.131439,221.165263,1296.555435,4.241781,1.053533,1.872010,-1.566697,-2.042283
14,2571.521876,218.758097,1296.245431,4.241781,1.053533,1.872010,-1.566697,-2.041579
15,2559.907735,216.340732,1295.925427,4.241781,1.053533,1.872010,-1.566697,-2.042284
16,2548.293176,213.933358,1295.615424,4.241781,1.053533,1.872010,-1.566697,-2.041579
17,2536.679035,211.515993,1295.295420,4.241781,1.053533,1.872010,-1.566697,-2.041450
18,2525.069472,209.108828,1294.975416,4.241781,1.053533,1.872010,-1.566697,-2.041580
19,2513.450336,206.691254,1294.655412,4.241781,1.053533,1.872010,-1.566697,-2.041450
20,2501.840773,204.284089,1294.335409,4.241781,1.053533,1.872010,-1.566697,-2.041451
21,2490.226214,201.876715,1294.015405,4.241781,1.053533,1.872010,-1.566697,-2.041580
22,2478.607078,199.459140,1293.695401,4.241781,1.053533,1.872010,-1.566697,-2.040617
23,2466.997515,197.051975,1293.365397,4.241781,1.053533,1.872010,-1.566697,-2.041579
24,2455.383374,194.634610,1293.045394,4.241781,1.053533,1.872010,-1.566697,-2.040618
25,2443.768815,192.227236,1292.715390,4.241781,1.053533,1.872010,-1.566697,-2.040618
26,2432.154257,189.819862,1292.385386,4.241781,1.053533,1.872010,-1.566697,-2.041098
27,2420.544902,187.407701,1292.060383,4.241781,1.053533,1.872010,-1.566697,-2.040683
28,2408.925557,184.995123,1291.730379,4.241781,1.053533,1.872010,-1.566697,-2.040200
29,2397.315994,182.587958,1291.395375,4.241781,1.053533,1.872010,-1.566697,-2.040682
30,2385.701644,180.175588,1291.065371,4.241781,1.053533,1.872010,-1.566697,-2.040617
31,2374.092081,177.768423,1290.735368,4.241781,1.053533,1.872010,-1.566697,-2.039851
32,2362.472736,175.355845,1290.395364,4.241781,1.053533,1.872010,-1.566697,-2.040617
33,2350.863173,172.948680,1290.065360,4.241781,1.053533,1.872010,-1.566697,-2.039785
34,2339.248614,170.541306,1289.725356,4.241781,1.053533,1.872010,-1.566697,-2.039850
35,2327.634264,168.128936,1289.385353,4.241781,1.053533,1.872010,-1.566697,-2.040201
36,2316.019706,165.721562,1289.050349,4.241781,1.053533,1.872010,-1.566697,-2.039784
37,2304.410143,163.314397,1288.710345,4.241781,1.053533,1.872010,-1.566697,-2.039370
38,2292.790588,160.906814,1288.365341,4.241781,1.053533,1.872010,-1.566697,-2.039848
39,2281.181234,158.494653,1288.025338,4.241781,1.053533,1.872010,-1.566697,-2.039785
40,2269.566676,156.087279,1287.685334,4.241781,1.053533,1.872010,-1.566697,-2.038952
41,2257.952117,153.679905,1287.335330,4.241781,1.053533,1.872010,-1.566697,-2.039785
42,2246.337558,151.272531,1286.995326,4.241781,1.053533,1.872010,-1.566697,-2.038952
43,2234.723000,148.865157,1286.645323,4.241781,1.053533,1.872010,-1.566697,-2.038950
44,2223.113437,146.457992,1286.295319,4.241781,1.053533,1.872010,-1.566697,-2.038954
