Algorithm,AverageTime(ms),SR150(%),OverallSuccessRate(%),AvgJointLimitCost,SuccessfulPoints,TotalPoints,TotalLimitApproaches,TotalVelocityViolations
GA,6.690233,100.000000,100.000000,0.426679,177,177,5,2
ISGA,9.589039,100.000000,100.000000,0.481248,177,177,0,0
DE,12.059288,98.305085,100.000000,0.646349,177,177,15,0
MOEAD,5.223871,100.000000,100.000000,0.549666,177,177,0,2
NSGA,5.511073,100.000000,100.000000,0.467296,177,177,1,5

Algorithm,Joint,AvgMovement(rad),AvgVelocity,MaxVelocity,LimitApproaches,VelocityViolations
GA,Joint1,17.487183,7.201356,9.999388,5,0
GA,Joint2,14.731587,3.405654,9.957463,0,0
GA,Joint3,10.302108,1.238430,9.302453,0,0
GA,Joint4,0.024184,0.023541,0.176887,0,0
GA,Joint5,0.016786,0.017039,0.289990,0,0
GA,Joint6,0.039327,0.070162,5.178377,0,1
GA,Joint7,0.026590,0.032770,2.956462,0,0
GA,Joint8,0.045863,0.089307,5.243381,0,1
ISGA,Joint1,16.779703,7.314866,9.999388,0,0
ISGA,Joint2,14.103978,3.403600,9.884137,0,0
ISGA,Joint3,8.990905,1.177370,9.001508,0,0
ISGA,Joint4,0.023140,0.023297,0.187579,0,0
ISGA,Joint5,0.013893,0.016315,0.298539,0,0
ISGA,Joint6,0.017583,0.056227,2.928882,0,0
ISGA,Joint7,0.014824,0.020603,0.420343,0,0
ISGA,Joint8,0.023143,0.075718,2.867841,0,0
DE,Joint1,17.223439,6.984954,9.999388,15,0
DE,Joint2,18.552065,3.500408,9.898324,0,0
DE,Joint3,12.313130,1.395490,9.821805,0,0
DE,Joint4,0.031252,0.019192,0.259134,0,0
DE,Joint5,0.024524,0.022991,0.277286,0,0
DE,Joint6,0.029954,0.027007,0.829332,0,0
DE,Joint7,0.038472,0.030145,0.667635,0,0
DE,Joint8,0.039357,0.046439,1.126810,0,0
MOEAD,Joint1,17.976356,7.219872,9.999388,0,0
MOEAD,Joint2,14.511826,3.422600,9.898281,0,0
MOEAD,Joint3,9.844860,1.124545,9.784721,0,0
MOEAD,Joint4,0.023452,0.021195,0.197604,0,0
MOEAD,Joint5,0.014454,0.012416,0.279770,0,0
MOEAD,Joint6,0.020893,0.040640,3.346527,0,1
MOEAD,Joint7,0.015864,0.016284,0.338590,0,0
MOEAD,Joint8,0.028975,0.061059,3.307488,0,1
NSGA,Joint1,16.415690,7.163774,9.999388,1,0
NSGA,Joint2,13.018521,3.456104,9.884144,0,0
NSGA,Joint3,7.975773,1.118974,8.634638,0,0
NSGA,Joint4,0.022724,0.022386,0.167281,0,0
NSGA,Joint5,0.008451,0.012059,0.262557,0,0
NSGA,Joint6,0.046610,0.104386,4.921338,0,3
NSGA,Joint7,0.025650,0.045066,2.907017,0,0
NSGA,Joint8,0.052331,0.119454,4.807010,0,2
