Metric,GA,ISGA,DE,MOEAD,NSGA
AverageTime(ms),6.690233,9.589039,12.059288,5.223871,5.511073
SuccessRate150(%),100.000000,100.000000,98.305085,100.000000,100.000000
JointLimitCost,0.426679,0.481248,0.646349,0.549666,0.467296
VelocitySmoothness,34.649556,33.359777,36.978506,34.774038,34.935712
OverallSuccessRate(%),100.000000,100.000000,100.000000,100.000000,100.000000
TotalLimitApproaches,5.000000,0.000000,15.000000,0.000000,1.000000
TotalVelocityViolations,2.000000,0.000000,0.000000,2.000000,5.000000
Joint1_AvgMovement,17.487183,16.779703,17.223439,17.976356,16.415690
Joint1_AvgVelocity,7.201356,7.314866,6.984954,7.219872,7.163774
Joint1_LimitApproaches,5,0,15,0,1
Joint1_VelocityViolations,0,0,0,0,0
Joint2_AvgMovement,14.731587,14.103978,18.552065,14.511826,13.018521
Joint2_AvgVelocity,3.405654,3.403600,3.500408,3.422600,3.456104
Joint2_LimitApproaches,0,0,0,0,0
Joint2_VelocityViolations,0,0,0,0,0
Joint3_AvgMovement,10.302108,8.990905,12.313130,9.844860,7.975773
Joint3_AvgVelocity,1.238430,1.177370,1.395490,1.124545,1.118974
Joint3_LimitApproaches,0,0,0,0,0
Joint3_VelocityViolations,0,0,0,0,0
Joint4_AvgMovement,0.024184,0.023140,0.031252,0.023452,0.022724
Joint4_AvgVelocity,0.023541,0.023297,0.019192,0.021195,0.022386
Joint4_LimitApproaches,0,0,0,0,0
Joint4_VelocityViolations,0,0,0,0,0
Joint5_AvgMovement,0.016786,0.013893,0.024524,0.014454,0.008451
Joint5_AvgVelocity,0.017039,0.016315,0.022991,0.012416,0.012059
Joint5_LimitApproaches,0,0,0,0,0
Joint5_VelocityViolations,0,0,0,0,0
Joint6_AvgMovement,0.039327,0.017583,0.029954,0.020893,0.046610
Joint6_AvgVelocity,0.070162,0.056227,0.027007,0.040640,0.104386
Joint6_LimitApproaches,0,0,0,0,0
Joint6_VelocityViolations,1,0,0,1,3
Joint7_AvgMovement,0.026590,0.014824,0.038472,0.015864,0.025650
Joint7_AvgVelocity,0.032770,0.020603,0.030145,0.016284,0.045066
Joint7_LimitApproaches,0,0,0,0,0
Joint7_VelocityViolations,0,0,0,0,0
Joint8_AvgMovement,0.045863,0.023143,0.039357,0.028975,0.052331
Joint8_AvgVelocity,0.089307,0.075718,0.046439,0.061059,0.119454
Joint8_LimitApproaches,0,0,0,0,0
Joint8_VelocityViolations,1,0,0,1,2
