Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,0,9.080400,0.420946,1,323.301082,2.449744,904.049994,6.850242,905.164411,6.858686,1.749523,0.132566,0.686624,0.052027,-0.631206,-0.047828,-0.619109,-0.046912,-1.072037,-0.081231
GA,1,7.516200,0.420945,1,321.229922,-1.716581,915.934425,9.849840,904.941930,-0.184393,1.749524,0.000008,0.686624,0.000000,-0.631206,0.000000,-0.619109,0.000002,-1.072122,-0.000708
GA,2,7.686700,0.420946,1,319.158702,-1.716709,927.818292,9.849820,904.719602,-0.184275,1.749524,0.000001,0.686624,0.000000,-0.631206,0.000000,-0.619110,-0.000009,-1.072209,-0.000721
GA,3,7.454600,0.420938,1,317.089969,-1.715113,939.699316,9.850132,904.499549,-0.182438,1.749523,-0.000004,0.686624,0.000000,-0.631206,0.000000,-0.619110,0.000005,-1.071987,0.001842
GA,4,8.706500,0.420932,1,315.021272,-1.715037,951.580675,9.850147,904.279629,-0.182322,1.749523,0.000001,0.686624,0.000000,-0.631206,0.000000,-0.619110,-0.000005,-1.071768,0.001817
GA,5,7.544400,0.420935,1,312.955050,-1.712675,963.464591,9.850481,904.054686,-0.186453,1.749523,0.000000,0.686624,0.000000,-0.631206,0.000000,-0.619110,0.000000,-1.071768,0.000000
GA,6,6.259900,0.420939,1,310.888828,-1.712675,975.348507,9.850481,903.829744,-0.186453,1.749523,0.000000,0.686624,0.000000,-0.631206,0.000000,-0.619110,0.000000,-1.071768,0.000000
GA,7,5.666000,0.420939,1,308.822649,-1.712585,987.232817,9.850496,903.604731,-0.186506,1.749524,0.000005,0.686624,0.000000,-0.631206,0.000000,-0.619110,0.000005,-1.071578,0.001570
GA,8,5.313300,0.420941,1,306.756372,-1.712789,999.116228,9.850460,903.379735,-0.186505,1.749523,-0.000007,0.686624,0.000000,-0.631206,0.000000,-0.619109,0.000004,-1.071388,0.001583
GA,9,5.494600,0.420947,1,304.687738,-1.714874,1010.998201,9.850018,903.149769,-0.190639,1.749524,0.000007,0.686624,0.000000,-0.631206,0.000000,-0.619109,-0.000001,-1.071288,0.000826
