Algorithm,Joint,AvgVelocity,VelocityLimit,MaxVelocity,VelocityVariance,VelocityJerk,ViolationCount,OverallSmoothness,TotalViolations
GA,Joint1,7.201356,50.000000,9.999388,13.245248,0.696302,0,34.649556,2
GA,Joint2,3.405654,50.000000,9.957463,18.075751,0.548150,0,34.649556,2
GA,Joint3,1.238430,50.000000,9.302453,3.206203,0.950208,0,34.649556,2
GA,Joint4,0.023541,3.000000,0.176887,0.002857,0.011052,0,34.649556,2
GA,Joint5,0.017039,3.000000,0.289990,0.003412,0.027563,0,34.649556,2
GA,Joint6,0.070162,3.000000,5.178377,0.204824,0.121607,1,34.649556,2
GA,Joint7,0.032770,3.000000,2.956462,0.051220,0.056124,0,34.649556,2
GA,Joint8,0.089307,3.000000,5.243381,0.203943,0.124088,1,34.649556,2
ISGA,Joint1,7.314866,50.000000,9.999388,12.775951,0.647356,0,33.359777,0
ISGA,Joint2,3.403600,50.000000,9.884137,17.857276,0.671357,0,33.359777,0
ISGA,Joint3,1.177370,50.000000,9.001508,2.671377,0.713883,0,33.359777,0
ISGA,Joint4,0.023297,3.000000,0.187579,0.003341,0.011712,0,33.359777,0
ISGA,Joint5,0.016315,3.000000,0.298539,0.003489,0.023723,0,33.359777,0
ISGA,Joint6,0.056227,3.000000,2.928882,0.101316,0.052822,0,33.359777,0
ISGA,Joint7,0.020603,3.000000,0.420343,0.004608,0.020192,0,33.359777,0
ISGA,Joint8,0.075718,3.000000,2.867841,0.094560,0.057551,0,33.359777,0
DE,Joint1,6.984954,50.000000,9.999388,14.572895,0.644650,0,36.978506,0
DE,Joint2,3.500408,50.000000,9.898324,18.678092,0.638561,0,36.978506,0
DE,Joint3,1.395490,50.000000,9.821805,3.712740,0.877977,0,36.978506,0
DE,Joint4,0.019192,3.000000,0.259134,0.002535,0.013466,0,36.978506,0
DE,Joint5,0.022991,3.000000,0.277286,0.004326,0.027759,0,36.978506,0
DE,Joint6,0.027007,3.000000,0.829332,0.012801,0.031967,0,36.978506,0
DE,Joint7,0.030145,3.000000,0.667635,0.007822,0.038926,0,36.978506,0
DE,Joint8,0.046439,3.000000,1.126810,0.014261,0.040269,0,36.978506,0
MOEAD,Joint1,7.219872,50.000000,9.999388,13.410515,0.424555,0,34.774038,2
MOEAD,Joint2,3.422600,50.000000,9.898281,18.407514,0.493221,0,34.774038,2
MOEAD,Joint3,1.124545,50.000000,9.784721,2.914358,0.547583,0,34.774038,2
MOEAD,Joint4,0.021195,3.000000,0.197604,0.002581,0.007086,0,34.774038,2
MOEAD,Joint5,0.012416,3.000000,0.279770,0.002733,0.015302,0,34.774038,2
MOEAD,Joint6,0.040640,3.000000,3.346527,0.075839,0.062619,1,34.774038,2
MOEAD,Joint7,0.016284,3.000000,0.338590,0.003557,0.016243,0,34.774038,2
MOEAD,Joint8,0.061059,3.000000,3.307488,0.071309,0.066466,1,34.774038,2
NSGA,Joint1,7.163774,50.000000,9.999388,13.785993,0.406334,0,34.935712,5
NSGA,Joint2,3.456104,50.000000,9.884144,18.616384,0.539253,0,34.935712,5
NSGA,Joint3,1.118974,50.000000,8.634638,2.354158,0.612366,0,34.935712,5
NSGA,Joint4,0.022386,3.000000,0.167281,0.002711,0.011396,0,34.935712,5
NSGA,Joint5,0.012059,3.000000,0.262557,0.002100,0.016306,0,34.935712,5
NSGA,Joint6,0.104386,3.000000,4.921338,0.325982,0.160545,3,34.935712,5
NSGA,Joint7,0.045066,3.000000,2.907017,0.065825,0.071601,0,34.935712,5
NSGA,Joint8,0.119454,3.000000,4.807010,0.302589,0.158688,2,34.935712,5
