X,Y,Z,
275,-420,2465,
275,-270,2465,
275,-270,2665,
275,-420,2665,
-2725,-420,2665,
-2725,-420,2465,
-2725,-270,2465,
-2725,-270,2665,
-113,7,2950,
-113,7,2450,
113,7,2450,
113,7,2950,
-173,-200,2450,
173,-200,2950,
173,-200,2450,
-173,-200,2950,
-125,-155,5053,
-125,-25,5053,
125,-25,5053,
125,-155,5053,
-150,120,2200,
-150,-230,2200,
135,-230,2200,
135,120,2200,
137.5,120,2162.5,
137.5,-155,2162.5,
137.5,-155,1962.5,
137.5,120,1962.5,
-300,-155,1962.5,
-300,120,1962.5,
-300,120,2162.5,
-300,-155,2162.5,
-324.5,56,1982.5,
-324.5,-158,2182.5,
-324.5,-158,1982.5,
-75.5,-136,2182.5,
-75.5,56,2182.5,
-75.5,-136,1982.5,
-75.5,56,1982.5,
-324.5,56,2182.5,
-431,-69,1914.5,
-431,120,2050.5,
-731,-69,2050.5,
-731,120,1914.5,
-731,120,2050.5,
-431,-69,2050.5,
-431,120,1914.5,
-731,-69,1914.5,
-491,-104,1989.5,
-491,45,2120.5,
-671,-104,2120.5,
-671,45,1989.5,
-671,45,2120.5,
-491,-104,2120.5,
-491,45,1989.5,
-671,-104,1989.5,
-710,-45,2107.5,
-710,45,2107.5,
-710,-45,2017.5,
-710,45,2017.5,
-690,-45,2107.5,
-690,45,2107.5,
-690,-45,2017.5,
-690,45,2017.5,
