PopulationSize,MigrationRate,Fitness
1,0.0000,5.188945e+00
1,0.0101,5.738778e+00
1,0.0202,5.748557e+00
1,0.0303,6.185300e+00
1,0.0404,6.027659e+00
1,0.0505,5.937903e+00
1,0.0606,5.797182e+00
1,0.0707,4.960354e+00
1,0.0808,5.140872e+00
1,0.0909,6.043788e+00
1,0.1010,4.646266e+00
1,0.1111,6.338772e+00
1,0.1212,5.772620e+00
1,0.1313,6.199484e+00
1,0.1414,4.856561e+00
1,0.1515,6.331925e+00
1,0.1616,4.251436e+00
1,0.1717,4.279892e+00
1,0.1818,5.906684e+00
1,0.1919,5.630748e+00
1,0.2020,6.215085e+00
1,0.2121,4.312949e+00
1,0.2222,5.825202e+00
1,0.2323,6.249540e+00
1,0.2424,5.480517e+00
1,0.2525,4.333725e+00
1,0.2626,4.333989e+00
1,0.2727,6.293522e+00
1,0.2828,6.246032e+00
1,0.2929,4.396039e+00
1,0.3030,6.253897e+00
1,0.3131,3.816170e+00
1,0.3232,5.039108e+00
1,0.3333,6.230160e+00
1,0.3434,4.342496e+00
1,0.3535,3.991887e+00
1,0.3636,6.077617e+00
1,0.3737,4.795604e+00
1,0.3838,6.324632e+00
1,0.3939,5.210621e+00
1,0.4040,6.288090e+00
1,0.4141,4.927782e+00
1,0.4242,6.323789e+00
1,0.4343,4.465718e+00
1,0.4444,6.045380e+00
1,0.4545,5.546199e+00
1,0.4646,4.304385e+00
1,0.4747,6.127202e+00
1,0.4848,6.195357e+00
1,0.4949,6.220143e+00
1,0.5051,6.133166e+00
1,0.5152,3.758448e+00
1,0.5253,6.301767e+00
1,0.5354,6.391502e+00
1,0.5455,6.246589e+00
1,0.5556,5.566276e+00
1,0.5657,6.335037e+00
1,0.5758,6.318003e+00
1,0.5859,4.124228e+00
1,0.5960,6.275208e+00
1,0.6061,6.336802e+00
1,0.6162,5.640453e+00
1,0.6263,6.280954e+00
1,0.6364,4.450447e+00
1,0.6465,4.178454e+00
1,0.6566,6.205223e+00
1,0.6667,5.498583e+00
1,0.6768,6.283346e+00
1,0.6869,6.191787e+00
1,0.6970,4.237671e+00
1,0.7071,4.924151e+00
1,0.7172,6.244413e+00
1,0.7273,6.181553e+00
1,0.7374,4.740291e+00
1,0.7475,6.278990e+00
1,0.7576,6.316955e+00
1,0.7677,5.470797e+00
1,0.7778,5.089566e+00
1,0.7879,6.322597e+00
1,0.7980,5.806436e+00
1,0.8081,5.750462e+00
1,0.8182,5.790232e+00
1,0.8283,6.198713e+00
1,0.8384,5.299880e+00
1,0.8485,6.291050e+00
1,0.8586,6.325099e+00
1,0.8687,6.036488e+00
1,0.8788,3.710414e+00
1,0.8889,6.220106e+00
1,0.8990,5.505681e+00
1,0.9091,5.774077e+00
1,0.9192,4.025253e+00
