PopulationSize,MigrationRate,Fitness
1,0.0000,3.601154e+00
1,0.0500,3.242070e+00
1,0.1000,4.704495e+00
1,0.1500,5.404470e+00
1,0.2000,3.979428e+00
1,0.2500,6.957362e+00
1,0.3000,3.770198e+00
1,0.3500,6.758799e+00
1,0.4000,6.575611e+00
1,0.4500,7.034423e+00
1,0.5000,6.631601e+00
1,0.5500,7.300822e+00
1,0.6000,4.117117e+00
1,0.6500,6.950557e+00
1,0.7000,6.928081e+00
1,0.7500,5.719523e+00
1,0.8000,6.556649e+00
1,0.8500,6.746530e+00
1,0.9000,6.012858e+00
1,0.9500,4.979809e+00
2,0.0000,3.654312e+00
2,0.0500,4.344535e+00
2,0.1000,6.999545e+00
2,0.1500,4.934542e+00
2,0.2000,7.024392e+00
2,0.2500,6.999545e+00
2,0.3000,3.077943e+00
2,0.3500,6.999545e+00
2,0.4000,6.416725e+00
2,0.4500,6.999537e+00
2,0.5000,6.965740e+00
2,0.5500,4.348830e+00
2,0.6000,7.003083e+00
2,0.6500,4.769875e+00
2,0.7000,6.999545e+00
2,0.7500,6.999545e+00
2,0.8000,6.952382e+00
2,0.8500,7.015169e+00
2,0.9000,6.990531e+00
2,0.9500,4.240294e+00
3,0.0000,6.331587e+00
3,0.0500,6.999545e+00
3,0.1000,4.645374e+00
3,0.1500,3.819836e+00
3,0.2000,4.379060e+00
3,0.2500,5.661831e+00
3,0.3000,6.999545e+00
3,0.3500,6.999545e+00
3,0.4000,6.893662e+00
3,0.4500,6.999545e+00
3,0.5000,4.281325e+00
3,0.5500,4.088722e+00
3,0.6000,4.300223e+00
3,0.6500,4.715219e+00
3,0.7000,3.971571e+00
3,0.7500,6.439337e+00
3,0.8000,3.185459e+00
3,0.8500,7.013273e+00
3,0.9000,3.530374e+00
3,0.9500,6.705422e+00
4,0.0000,3.744930e+00
4,0.0500,6.482830e+00
4,0.1000,4.596457e+00
4,0.1500,4.990802e+00
4,0.2000,3.028716e+00
4,0.2500,5.767750e+00
4,0.3000,3.140565e+00
4,0.3500,4.088788e+00
4,0.4000,4.253718e+00
4,0.4500,5.506014e+00
4,0.5000,3.855338e+00
4,0.5500,3.525968e+00
4,0.6000,6.796203e+00
4,0.6500,3.906577e+00
4,0.7000,3.872865e+00
4,0.7500,3.953227e+00
4,0.8000,4.413678e+00
4,0.8500,4.885277e+00
4,0.9000,6.074958e+00
4,0.9500,3.360079e+00
5,0.0000,4.819748e+00
5,0.0500,4.758000e+00
5,0.1000,3.400068e+00
5,0.1500,3.690682e+00
5,0.2000,5.152875e+00
5,0.2500,4.855980e+00
5,0.3000,6.999545e+00
5,0.3500,3.983634e+00
5,0.4000,5.352063e+00
5,0.4500,3.048604e+00
5,0.5000,3.573020e+00
5,0.5500,3.453295e+00
5,0.6000,3.290818e+00
5,0.6500,3.738926e+00
5,0.7000,6.672493e+00
5,0.7500,4.810297e+00
5,0.8000,6.797964e+00
5,0.8500,4.126698e+00
5,0.9000,inf
5,0.9500,4.465567e+00
6,0.0000,4.873103e+00
6,0.0500,3.386909e+00
6,0.1000,2.981856e+00
6,0.1500,4.144521e+00
6,0.2000,4.248251e+00
6,0.2500,3.623634e+00
6,0.3000,4.170923e+00
6,0.3500,3.165894e+00
6,0.4000,4.388573e+00
6,0.4500,4.184159e+00
6,0.5000,3.871088e+00
6,0.5500,3.820615e+00
6,0.6000,4.713624e+00
6,0.6500,4.275274e+00
6,0.7000,3.885271e+00
6,0.7500,6.217596e+00
6,0.8000,3.729125e+00
6,0.8500,3.235392e+00
6,0.9000,4.208342e+00
6,0.9500,4.399375e+00
7,0.0000,3.727493e+00
7,0.0500,3.929972e+00
7,0.1000,4.199399e+00
7,0.1500,3.080938e+00
7,0.2000,3.145947e+00
7,0.2500,3.740290e+00
7,0.3000,4.295172e+00
7,0.3500,4.912858e+00
7,0.4000,5.264644e+00
7,0.4500,4.683178e+00
7,0.5000,4.162172e+00
7,0.5500,3.809158e+00
7,0.6000,3.105387e+00
7,0.6500,3.362026e+00
7,0.7000,3.780284e+00
7,0.7500,3.903135e+00
7,0.8000,4.252242e+00
7,0.8500,4.002061e+00
7,0.9000,3.563384e+00
7,0.9500,6.734633e+00
8,0.0000,3.265137e+00
8,0.0500,3.230423e+00
8,0.1000,3.178283e+00
8,0.1500,6.591138e+00
8,0.2000,4.401556e+00
8,0.2500,3.136846e+00
8,0.3000,3.118659e+00
8,0.3500,5.808638e+00
8,0.4000,4.377892e+00
8,0.4500,3.824538e+00
8,0.5000,3.200884e+00
8,0.5500,3.786406e+00
8,0.6000,5.460767e+00
8,0.6500,3.739760e+00
8,0.7000,4.178641e+00
8,0.7500,4.327219e+00
8,0.8000,3.328171e+00
8,0.8500,3.518425e+00
8,0.9000,4.308640e+00
8,0.9500,4.359317e+00
9,0.0000,3.677727e+00
9,0.0500,3.959915e+00
9,0.1000,3.858410e+00
9,0.1500,3.821125e+00
9,0.2000,4.050628e+00
9,0.2500,3.796198e+00
9,0.3000,4.515271e+00
9,0.3500,4.859918e+00
9,0.4000,4.000332e+00
9,0.4500,2.911009e+00
9,0.5000,6.245586e+00
9,0.5500,3.165229e+00
9,0.6000,3.324251e+00
9,0.6500,3.982574e+00
9,0.7000,3.321549e+00
9,0.7500,4.452731e+00
9,0.8000,3.761071e+00
9,0.8500,5.151898e+00
9,0.9000,3.860174e+00
9,0.9500,3.132257e+00
10,0.0000,3.042967e+00
10,0.0500,3.411220e+00
10,0.1000,4.259344e+00
10,0.1500,3.457413e+00
10,0.2000,3.071027e+00
10,0.2500,4.216230e+00
10,0.3000,2.950201e+00
10,0.3500,3.949105e+00
10,0.4000,3.679963e+00
10,0.4500,4.161805e+00
10,0.5000,4.153724e+00
10,0.5500,3.280297e+00
10,0.6000,3.811455e+00
10,0.6500,3.230532e+00
10,0.7000,3.940600e+00
10,0.7500,4.997414e+00
10,0.8000,3.188611e+00
10,0.8500,3.396553e+00
10,0.9000,3.764215e+00
10,0.9500,3.515923e+00
11,0.0000,3.730176e+00
11,0.0500,3.688397e+00
11,0.1000,4.400600e+00
11,0.1500,3.171539e+00
11,0.2000,3.683623e+00
11,0.2500,3.709236e+00
11,0.3000,3.689072e+00
11,0.3500,4.161052e+00
11,0.4000,6.391971e+00
11,0.4500,4.654113e+00
11,0.5000,3.601022e+00
11,0.5500,4.022225e+00
11,0.6000,3.085141e+00
11,0.6500,5.797878e+00
11,0.7000,3.744154e+00
11,0.7500,3.644399e+00
11,0.8000,3.765365e+00
11,0.8500,3.489330e+00
11,0.9000,3.966200e+00
11,0.9500,4.266059e+00
12,0.0000,3.884979e+00
12,0.0500,4.876656e+00
12,0.1000,3.661085e+00
12,0.1500,3.704007e+00
12,0.2000,2.932521e+00
12,0.2500,4.193649e+00
12,0.3000,5.261018e+00
12,0.3500,3.875085e+00
12,0.4000,3.862290e+00
12,0.4500,3.473918e+00
12,0.5000,3.874865e+00
12,0.5500,3.009907e+00
12,0.6000,4.595037e+00
12,0.6500,4.309389e+00
12,0.7000,4.255273e+00
12,0.7500,3.352607e+00
12,0.8000,3.262525e+00
12,0.8500,4.085627e+00
12,0.9000,4.111999e+00
12,0.9500,3.707237e+00
13,0.0000,2.874022e+00
13,0.0500,4.291749e+00
13,0.1000,3.493229e+00
13,0.1500,3.167319e+00
13,0.2000,3.301186e+00
13,0.2500,3.947754e+00
13,0.3000,4.106772e+00
13,0.3500,4.038781e+00
13,0.4000,3.882194e+00
13,0.4500,3.989947e+00
13,0.5000,3.217259e+00
13,0.5500,3.436607e+00
13,0.6000,3.329636e+00
13,0.6500,4.659278e+00
13,0.7000,4.515623e+00
13,0.7500,3.762181e+00
13,0.8000,3.268082e+00
13,0.8500,3.983190e+00
13,0.9000,3.056821e+00
13,0.9500,3.798145e+00
14,0.0000,2.915747e+00
14,0.0500,3.691263e+00
14,0.1000,3.859699e+00
14,0.1500,3.529462e+00
14,0.2000,3.738665e+00
14,0.2500,3.408460e+00
14,0.3000,3.595289e+00
14,0.3500,3.662350e+00
14,0.4000,3.255870e+00
14,0.4500,4.449558e+00
14,0.5000,4.206209e+00
