Metric,GA
AverageTime(ms),1.767376
SuccessRate150(%),100.000000
JointLimitCost,0.514097
VelocitySmoothness,1.822923
OverallSuccessRate(%),100.000000
TotalLimitApproaches,0.000000
TotalVelocityViolations,0.000000
Joint1_AvgMovement,7.338350
Joint1_AvgVelocity,1.795812
Joint1_LimitApproaches,0
Joint1_VelocityViolations,0
Joint2_AvgMovement,12.847788
Joint2_AvgVelocity,9.741206
Joint2_LimitApproaches,0
Joint2_VelocityViolations,0
Joint3_AvgMovement,11.513978
Joint3_AvgVelocity,0.246365
Joint3_LimitApproaches,0
Joint3_VelocityViolations,0
Joint4_AvgMovement,0.022434
Joint4_AvgVelocity,0.003854
Joint4_LimitApproaches,0
Joint4_VelocityViolations,0
Joint5_AvgMovement,0.004565
Joint5_AvgVelocity,0.000409
Joint5_LimitApproaches,0
Joint5_VelocityViolations,0
Joint6_AvgMovement,0.014143
Joint6_AvgVelocity,0.002807
Joint6_LimitApproaches,0
Joint6_VelocityViolations,0
Joint7_AvgMovement,0.007051
Joint7_AvgVelocity,0.002232
Joint7_LimitApproaches,0
Joint7_VelocityViolations,0
Joint8_AvgMovement,0.005447
Joint8_AvgVelocity,0.000487
Joint8_LimitApproaches,0
Joint8_VelocityViolations,0
