Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,0,1.953200,0.517541,1,466.796021,4.177534,106.555364,0.953604,1009.306321,9.032663,1.976888,0.176919,0.406306,0.036362,-1.242249,-0.111174,-0.610429,-0.054630,-0.484779,-0.043385
GA,1,1.783800,0.517434,1,464.706399,-1.734201,118.421639,9.847956,1009.183974,-0.101537,1.976861,-0.000220,0.406306,0.000000,-1.242225,0.000199,-0.610406,0.000188,-0.484779,0.000000
GA,2,1.757500,0.517328,1,462.615236,-1.735967,130.284205,9.847642,1009.061269,-0.101863,1.976828,-0.000281,0.406306,0.000000,-1.242200,0.000213,-0.610376,0.000252,-0.484779,0.000000
GA,3,1.404000,0.517204,1,460.455209,-1.815888,141.980961,9.833206,1008.938875,-0.102893,1.976465,-0.003045,0.406306,0.000000,-1.241900,0.002515,-0.610060,0.002651,-0.484779,0.000000
GA,4,1.283700,0.517081,1,458.294737,-1.816481,153.676171,9.833095,1008.816277,-0.103079,1.976100,-0.003068,0.406306,0.000000,-1.241603,0.002504,-0.609743,0.002667,-0.484779,0.000000
GA,5,1.712700,0.516978,1,456.210891,-1.727290,165.558406,9.849127,1008.688797,-0.105668,1.976100,0.000000,0.406306,0.000000,-1.241603,0.000000,-0.609743,0.000000,-0.484779,0.000000
GA,6,1.541000,0.516877,1,454.127044,-1.727291,177.440640,9.849127,1008.561318,-0.105667,1.976100,0.000000,0.406306,0.000000,-1.241603,0.000000,-0.609743,0.000000,-0.484779,0.000000
GA,7,1.327500,0.516753,1,451.950761,-1.833653,189.107275,9.829861,1008.433936,-0.107327,1.975674,-0.003593,0.406306,0.000000,-1.241252,0.002956,-0.609373,0.003117,-0.484779,0.000000
GA,8,1.306500,0.516630,1,449.775986,-1.831917,200.777261,9.830185,1008.306549,-0.107304,1.975254,-0.003537,0.406306,0.000000,-1.240906,0.002916,-0.609009,0.003072,-0.484779,0.000000
GA,9,1.437800,0.516520,1,447.651502,-1.774500,212.558807,9.840674,1008.173931,-0.110770,1.975055,-0.001666,0.406306,0.000000,-1.240743,0.001358,-0.608834,0.001455,-0.484779,0.000000
GA,10,1.496500,0.516411,1,445.526381,-1.775272,224.338593,9.840535,1008.041359,-0.110747,1.974852,-0.001692,0.406306,0.000000,-1.240578,0.001376,-0.608659,0.001467,-0.484779,0.000000
GA,11,1.390300,0.516305,1,443.410097,-1.765073,236.139361,9.842352,1007.906621,-0.112378,1.974691,-0.001347,0.406306,0.000000,-1.240442,0.001134,-0.608519,0.001165,-0.484779,0.000000
GA,12,1.498500,0.516201,1,441.292557,-1.766571,247.936791,9.842079,1007.771511,-0.112716,1.974523,-0.001399,0.406306,0.000000,-1.240307,0.001131,-0.608374,0.001213,-0.484779,0.000000
GA,13,1.472900,0.516103,1,439.195777,-1.741949,259.788937,9.846449,1007.634018,-0.114225,1.974463,-0.000498,0.406306,0.000000,-1.240257,0.000411,-0.608321,0.000436,-0.484779,0.000000
GA,14,1.397300,0.516006,1,437.099001,-1.741945,271.641088,9.846450,1007.496525,-0.114225,1.974403,-0.000497,0.406306,0.000000,-1.240208,0.000411,-0.608269,0.000436,-0.484779,0.000000
GA,15,1.545900,0.515894,1,434.941755,-1.813284,283.339956,9.833545,1007.358983,-0.115612,1.974040,-0.003052,0.406306,0.000000,-1.239909,0.002513,-0.607952,0.002661,-0.484779,0.000000
GA,16,1.488100,0.515783,1,432.784671,-1.813151,295.038839,9.833572,1007.221652,-0.115435,1.973677,-0.003049,0.406306,0.000000,-1.239609,0.002524,-0.607638,0.002640,-0.484779,0.000000
GA,17,1.468000,0.515683,1,430.661708,-1.773174,306.820929,9.840817,1007.079176,-0.119000,1.973484,-0.001615,0.406306,0.000000,-1.239449,0.001330,-0.607471,0.001396,-0.484779,0.000000
GA,18,1.457900,0.515584,1,428.537717,-1.774343,318.600698,9.840605,1006.936521,-0.119172,1.973286,-0.001655,0.406306,0.000000,-1.239287,0.001355,-0.607298,0.001445,-0.484779,0.000000
GA,19,1.538800,0.515485,1,426.408264,-1.780243,330.370316,9.839515,1006.791604,-0.121152,1.973063,-0.001867,0.406306,0.000000,-1.239101,0.001553,-0.607103,0.001626,-0.484779,0.000000
GA,20,1.616600,0.515387,1,424.278936,-1.780152,342.139867,9.839531,1006.646646,-0.121188,1.972839,-0.001865,0.406306,0.000000,-1.238917,0.001537,-0.606910,0.001614,-0.484779,0.000000
GA,21,1.554500,0.515305,1,422.206611,-1.715801,354.037731,9.850945,1006.499197,-0.122082,1.972870,0.000250,0.406306,0.000000,-1.238942,-0.000205,-0.606937,-0.000218,-0.484779,0.000000
GA,22,1.685300,0.515224,1,420.134115,-1.716001,365.935139,9.850910,1006.351721,-0.122109,1.972899,0.000243,0.406306,0.000000,-1.238967,-0.000204,-0.606962,-0.000213,-0.484779,0.000000
GA,23,1.475800,0.515119,1,417.962285,-1.829537,377.604776,9.830430,1006.204372,-0.124125,1.972478,-0.003543,0.406306,0.000000,-1.238618,0.002941,-0.606598,0.003073,-0.484779,0.000000
GA,24,1.872800,0.515016,1,415.790691,-1.829269,389.274901,9.830478,1006.056813,-0.124298,1.972058,-0.003538,0.406306,0.000000,-1.238270,0.002927,-0.606232,0.003084,-0.484779,0.000000
GA,25,1.682400,0.514927,1,413.670643,-1.770697,401.057679,9.841159,1005.904342,-0.127346,1.971866,-0.001605,0.406306,0.000000,-1.238111,0.001327,-0.606066,0.001387,-0.484779,0.000000
GA,26,1.670300,0.514840,1,411.550415,-1.770879,412.840213,9.841126,1005.751885,-0.127337,1.971673,-0.001612,0.406306,0.000000,-1.237950,0.001344,-0.605898,0.001402,-0.484779,0.000000
GA,27,1.670900,0.514765,1,409.471604,-1.723128,424.722922,9.849585,1005.596916,-0.128454,1.971673,0.000000,0.406306,0.000000,-1.237950,0.000000,-0.605898,0.000000,-0.484779,0.000000
GA,28,1.794100,0.514691,1,407.392792,-1.723128,436.605632,9.849585,1005.441947,-0.128454,1.971673,0.000000,0.406306,0.000000,-1.237950,0.000000,-0.605898,0.000000,-0.484779,0.000000
GA,29,1.554600,0.514608,1,405.270905,-1.772467,448.386435,9.840811,1005.286854,-0.129554,1.971472,-0.001679,0.406306,0.000000,-1.237786,0.001371,-0.605724,0.001453,-0.484779,0.000000
GA,30,1.507000,0.514527,1,403.150085,-1.771198,460.170022,9.841040,1005.131770,-0.129518,1.971276,-0.001636,0.406306,0.000000,-1.237625,0.001349,-0.605553,0.001429,-0.484779,0.000000
GA,31,1.694000,0.514424,1,400.940717,-1.875255,471.741630,9.821684,1004.974213,-0.133730,1.970667,-0.005173,0.406306,0.000000,-1.237119,0.004291,-0.605023,0.004495,-0.484779,0.000000
GA,32,1.919800,0.514324,1,398.731647,-1.875018,483.313192,9.821731,1004.816840,-0.133575,1.970058,-0.005169,0.406306,0.000000,-1.236613,0.004300,-0.604496,0.004473,-0.484779,0.000000
GA,33,1.612100,0.514269,1,396.697221,-1.673780,495.295272,9.857995,1004.652019,-0.135603,1.970254,0.001611,0.406306,0.000000,-1.236774,-0.001328,-0.604667,-0.001406,-0.484779,0.000000
GA,34,1.635200,0.514216,1,394.662625,-1.673921,507.277309,9.857969,1004.487000,-0.135766,1.970449,0.001605,0.406306,0.000000,-1.236935,-0.001324,-0.604834,-0.001375,-0.484779,0.000000
