Point_Index,Method_47_Success_Rate,Method_47_Time_ms,Method_45_Success_Rate,Method_45_Time_ms,Method_Auto_Success_Rate,Method_Auto_Time_ms
1,45.78,64.00,31.74,45.00,70.40,87.00
2,52.07,58.00,98.68,90.00,99.00,89.00
3,71.79,87.00,44.63,65.00,85.37,103.00
4,43.74,69.00,68.30,92.00,76.76,108.00
5,49.71,51.00,60.45,67.00,64.35,70.00
6,65.59,61.00,86.00,78.00,99.00,123.00
7,36.00,46.00,43.31,54.00,50.35,63.00
8,45.19,73.00,51.19,76.00,64.78,99.00
9,61.69,83.00,73.50,95.00,89.10,114.00
10,75.14,89.00,39.11,48.00,86.83,96.00
11,70.18,82.00,80.42,105.00,99.00,120.00
12,90.52,118.00,41.52,60.00,99.00,127.00
13,56.34,53.00,95.58,90.00,98.88,93.00
14,55.60,55.00,73.34,67.00,91.60,78.00
15,55.89,62.00,76.02,83.00,81.18,90.00
16,78.39,99.00,67.40,95.00,99.00,122.00
17,49.65,48.00,74.02,65.00,80.56,74.00
18,48.12,48.00,63.85,71.00,82.13,71.00
19,64.54,75.00,88.10,96.00,99.00,97.00
20,73.09,88.00,76.26,99.00,99.00,122.00
21,52.16,64.00,93.32,81.00,97.80,85.00
22,0.62,40.00,10.62,42.00,10.96,60.00
23,37.33,68.00,61.89,80.00,77.68,100.00
24,52.35,57.00,98.94,83.00,99.00,82.00
25,17.06,56.00,40.59,68.00,40.59,85.00
26,60.08,67.00,30.18,42.00,64.18,74.00
27,39.05,60.00,67.42,64.00,71.28,72.00
28,36.43,45.00,43.57,50.00,52.25,63.00
29,55.37,65.00,97.04,99.00,99.00,105.00
30,58.97,68.00,94.10,101.00,99.00,107.00
31,49.14,48.00,70.16,63.00,71.10,65.00
32,50.25,53.00,75.87,73.00,81.25,77.00
33,77.94,101.00,68.10,87.00,99.00,117.00
34,37.68,50.00,16.13,31.00,38.46,54.00
35,54.33,85.00,62.11,92.00,83.52,139.00
36,43.23,43.00,55.55,54.00,55.85,55.00
37,8.30,33.00,3.38,34.00,9.60,51.00
38,54.36,51.00,94.18,74.00,96.46,77.00
39,4.08,33.00,25.66,49.00,27.14,63.00
40,72.45,91.00,77.46,95.00,99.00,114.00
41,51.10,53.00,95.20,82.00,95.50,83.00
42,37.14,40.00,51.66,66.00,69.64,67.00
43,54.45,59.00,22.82,34.00,70.32,71.00
44,41.11,50.00,38.83,51.00,57.43,72.00
45,64.89,73.00,87.58,103.00,99.00,111.00
46,94.64,105.00,29.10,42.00,99.00,114.00
47,94.17,127.00,30.84,53.00,99.00,132.00
48,86.40,78.00,50.18,53.00,98.78,88.00
49,52.35,47.00,82.66,66.00,87.16,67.00
50,9.00,37.00,35.54,56.00,41.52,71.00
51,48.61,55.00,63.48,67.00,78.98,85.00
52,61.17,70.00,89.96,103.00,99.00,116.00
53,40.97,51.00,38.02,51.00,60.72,73.00
54,20.12,48.00,49.22,74.00,58.92,99.00
55,45.40,61.00,67.81,77.00,83.31,92.00
56,36.12,47.00,28.41,63.00,41.47,63.00
57,0.99,31.00,0.96,29.00,1.77,46.00
58,75.27,94.00,72.88,94.00,99.00,115.00
59,70.17,66.00,68.72,65.00,93.50,87.00
60,4.82,36.00,23.77,57.00,26.29,78.00
61,19.17,39.00,7.19,28.00,19.43,51.00
62,64.82,63.00,44.93,53.00,91.70,83.00
63,70.00,60.00,77.26,66.00,96.78,79.00
64,58.52,63.00,94.18,100.00,99.00,107.00
65,53.03,47.00,65.87,59.00,79.49,70.00
66,76.26,76.00,53.44,59.00,97.78,93.00
67,35.38,44.00,21.05,37.00,54.07,71.00
68,73.56,67.00,60.70,58.00,96.02,89.00
69,40.71,51.00,39.02,52.00,62.04,73.00
70,73.36,94.00,45.27,63.00,87.17,112.00
71,54.46,45.00,97.62,73.00,99.00,76.00
72,7.79,35.00,6.28,34.00,12.83,51.00
73,57.49,48.00,92.06,71.00,96.84,73.00
74,66.91,68.00,45.02,58.00,88.44,85.00
75,79.97,69.00,59.56,59.00,97.40,82.00
76,38.30,52.00,69.65,85.00,72.27,91.00
77,64.81,73.00,87.64,101.00,99.00,109.00
78,3.61,30.00,10.72,39.00,10.72,50.00
79,70.99,61.00,78.88,64.00,98.70,77.00
80,52.44,52.00,98.68,86.00,99.00,88.00
81,25.16,42.00,25.47,49.00,48.23,78.00
82,40.70,59.00,17.54,38.00,52.20,75.00
83,46.60,50.00,55.07,62.00,73.91,77.00
84,48.52,50.00,63.32,65.00,79.82,81.00
85,44.77,58.00,37.52,48.00,68.29,88.00
86,32.98,56.00,64.59,94.00,74.66,115.00
87,55.65,68.00,93.56,86.00,97.98,86.00
88,45.39,43.00,56.09,54.00,69.09,75.00
89,70.61,83.00,80.28,100.00,99.00,114.00
90,67.91,69.00,82.72,89.00,98.64,103.00
91,56.09,62.00,96.18,102.00,99.00,103.00
92,39.38,52.00,16.40,35.00,52.66,70.00
93,40.05,50.00,84.13,94.00,84.15,100.00
94,13.04,35.00,9.19,35.00,16.83,54.00
95,81.84,83.00,56.82,65.00,97.56,100.00
96,1.84,31.00,21.29,54.00,21.91,71.00
97,32.89,47.00,30.25,49.00,34.65,60.00
98,57.99,72.00,13.60,29.00,58.93,80.00
99,57.99,55.00,39.05,65.00,59.83,65.00
100,53.12,45.00,96.88,77.00,98.48,77.00
101,55.55,56.00,97.04,96.00,99.00,98.00
102,52.97,57.00,98.52,93.00,99.00,96.00
103,16.66,44.00,50.75,74.00,58.45,91.00
104,21.02,36.00,17.53,38.00,28.79,56.00
105,91.15,98.00,27.00,44.00,95.82,106.00
106,52.42,45.00,93.90,73.00,97.22,79.00
107,11.58,41.00,32.67,59.00,32.67,77.00
108,69.99,72.00,79.14,77.00,99.00,91.00
109,49.77,43.00,76.27,64.00,76.81,64.00
110,81.54,102.00,61.50,87.00,99.00,126.00
111,62.83,72.00,28.87,40.00,74.19,89.00
112,38.23,47.00,32.90,50.00,47.28,63.00
113,59.33,64.00,93.16,104.00,99.00,108.00
114,27.78,41.00,44.63,59.00,69.09,83.00
115,51.42,52.00,95.64,86.00,96.00,82.00
116,55.26,49.00,96.56,79.00,99.00,97.00
117,78.60,80.00,66.40,72.00,98.96,102.00
118,37.48,40.00,46.21,52.00,50.55,58.00
119,6.58,32.00,3.27,27.00,9.85,48.00
120,36.47,46.00,80.19,88.00,80.19,95.00
121,50.43,53.00,79.77,74.00,80.93,76.00
122,51.31,56.00,61.71,60.00,84.63,78.00
123,88.92,122.00,44.76,63.00,99.00,127.00
124,78.15,91.00,45.16,63.00,90.48,104.00
125,40.15,55.00,36.57,49.00,55.63,68.00
126,10.43,39.00,29.96,55.00,40.37,77.00
127,65.42,67.00,86.34,92.00,98.98,103.00
128,65.34,72.00,86.92,100.00,99.00,111.00
129,47.13,52.00,90.54,95.00,91.08,96.00
130,48.98,50.00,68.87,68.00,72.17,78.00
131,12.36,37.00,2.66,28.00,14.88,53.00
132,26.94,61.00,56.98,90.00,57.42,96.00
133,50.06,51.00,91.20,89.00,99.00,94.00
134,44.10,52.00,45.85,60.00,53.41,71.00
135,52.24,50.00,96.84,82.00,98.90,85.00
136,21.47,41.00,33.46,49.00,50.19,69.00
137,92.09,97.00,32.70,42.00,97.72,100.00
138,42.17,45.00,31.07,46.00,44.21,59.00
139,61.57,79.00,52.44,70.00,82.59,102.00
140,25.72,53.00,52.68,82.00,53.46,96.00
141,39.83,60.00,26.37,39.00,46.53,74.00
142,72.10,71.00,55.64,55.00,92.64,84.00
143,16.50,38.00,48.35,67.00,54.73,79.00
144,41.67,47.00,84.32,79.00,95.62,91.00
145,43.07,45.00,44.03,51.00,61.21,66.00
146,51.38,54.00,85.33,76.00,94.79,83.00
147,89.36,110.00,39.18,57.00,97.58,120.00
148,2.54,34.00,0.38,32.00,2.62,49.00
149,56.69,58.00,96.00,100.00,99.00,106.00
150,51.71,45.00,95.98,72.00,96.32,72.00
151,50.13,44.00,92.12,71.00,93.28,72.00
152,38.03,42.00,37.34,45.00,55.06,64.00
153,45.03,48.00,45.50,51.00,55.32,57.00
154,61.01,68.00,92.04,102.00,99.00,109.00
155,52.15,47.00,96.46,74.00,97.44,75.00
156,1.96,49.00,18.58,52.00,19.40,67.00
157,58.73,57.00,94.16,91.00,99.00,96.00
158,89.49,91.00,40.56,47.00,98.24,95.00
159,20.01,45.00,55.98,88.00,62.63,98.00
160,51.20,45.00,93.50,73.00,99.00,79.00
161,80.84,104.00,62.52,83.00,98.94,129.00
162,65.24,74.00,86.76,100.00,99.00,119.00
163,51.83,50.00,98.98,84.00,99.00,102.00
164,16.36,43.00,33.12,50.00,33.66,67.00
165,63.95,88.00,42.42,64.00,75.24,104.00
166,5.26,29.00,8.28,38.00,13.54,54.00
167,72.91,88.00,76.48,95.00,99.00,116.00
168,27.94,36.00,27.55,41.00,52.01,59.00
169,32.14,47.00,69.04,83.00,73.67,90.00
170,91.07,118.00,39.82,59.00,99.00,127.00
171,36.14,53.00,62.28,66.00,85.94,90.00
172,67.51,76.00,79.74,94.00,96.80,101.00
173,81.58,105.00,41.99,60.00,93.75,121.00
174,26.22,50.00,59.96,73.00,70.16,91.00
175,62.28,65.00,7.49,21.00,63.74,67.00
