Metric,GA,IMGA,MOEAD,NSGA
AverageTime(ms),1.814904,1.924475,1.767755,1.845795
SuccessRate150(%),100,100,100,100
JointLimitCost,0.561773,0.566672,0.563908,0.549552
VelocitySmoothness,33.274155,36.866931,28.09769,29.31531
OverallSuccessRate(%),100,100,100,100
TotalLimitApproaches,2,1,0,6
TotalVelocityViolations,0,0,0,0
Joint1_AvgMovement,10.028105,10.295047,9.857107,10.008253
Joint1_AvgVelocity,4.432362,4.671381,4.031717,4.348364
Joint1_LimitApproaches,1,1,0,6
Joint1_VelocityViolations,0,0,0,0
Joint2_AvgMovement,10.798894,10.10583,11.828208,11.13188
Joint2_AvgVelocity,6.801957,6.377639,7.376043,7.153404
Joint2_LimitApproaches,1,0,0,0
Joint2_VelocityViolations,0,0,0,0
Joint3_AvgMovement,5.486514,5.24543,7.004468,4.869371
Joint3_AvgVelocity,0.874439,0.773291,1.094359,0.757419
Joint3_LimitApproaches,0,0,0,0
Joint3_VelocityViolations,0,0,0,0
Joint4_AvgMovement,0.015203,0.013603,0.016318,0.015732
Joint4_AvgVelocity,0.026843,0.016755,0.036133,0.029967
Joint4_LimitApproaches,0,0,0,0
Joint4_VelocityViolations,0,0,0,0
Joint5_AvgMovement,0.00647,0.005147,0.01084,0.004897
Joint5_AvgVelocity,0.010647,0.007735,0.017054,0.006312
Joint5_LimitApproaches,0,0,0,0
Joint5_VelocityViolations,0,0,0,0
Joint6_AvgMovement,0.014239,0.013354,0.016232,0.007819
Joint6_AvgVelocity,0.040835,0.032112,0.036733,0.014875
Joint6_LimitApproaches,0,0,0,0
Joint6_VelocityViolations,0,0,0,0
Joint7_AvgMovement,0.010571,0.009229,0.012922,0.010683
Joint7_AvgVelocity,0.038756,0.025545,0.045088,0.054629
Joint7_LimitApproaches,0,0,0,0
Joint7_VelocityViolations,0,0,0,0
Joint8_AvgMovement,0.011968,0.008848,0.016739,0.007133
Joint8_AvgVelocity,0.028573,0.019936,0.034088,0.014481
Joint8_LimitApproaches,0,0,0,0
Joint8_VelocityViolations,0,0,0,0
