Algorithm,Joint,AvgVelocity,VelocityLimit,MaxVelocity,VelocityVariance,VelocityJerk,ViolationCount,OverallSmoothness,TotalViolations
GA,Joint1,4.432362,50.000000,9.978200,14.157131,0.448792,0,33.274155,0
GA,Joint2,6.801957,50.000000,9.884153,16.087872,0.423783,0,33.274155,0
GA,Joint3,0.874439,50.000000,9.650693,3.010471,0.692604,0,33.274155,0
GA,Joint4,0.026843,3.000000,0.164980,0.002067,0.013743,0,33.274155,0
GA,Joint5,0.010647,3.000000,0.277891,0.002132,0.017468,0,33.274155,0
GA,Joint6,0.040835,3.000000,1.758339,0.020101,0.049449,0,33.274155,0
GA,Joint7,0.038756,3.000000,1.357286,0.016715,0.036840,0,33.274155,0
GA,Joint8,0.028573,3.000000,1.730503,0.021604,0.050701,0,33.274155,0
ISGA,Joint1,4.671381,50.000000,9.998840,14.720098,0.500240,0,36.866931,0
ISGA,Joint2,6.377639,50.000000,9.884274,19.751636,0.284361,0,36.866931,0
ISGA,Joint3,0.773291,50.000000,9.552680,2.380281,0.501790,0,36.866931,0
ISGA,Joint4,0.016755,3.000000,0.209411,0.001450,0.013363,0,36.866931,0
ISGA,Joint5,0.007735,3.000000,0.271575,0.001490,0.012518,0,36.866931,0
ISGA,Joint6,0.032112,3.000000,1.684117,0.018687,0.038610,0,36.866931,0
ISGA,Joint7,0.025545,3.000000,1.312242,0.011391,0.029127,0,36.866931,0
ISGA,Joint8,0.019936,3.000000,1.658690,0.018487,0.037569,0,36.866931,0
MOEAD,Joint1,4.031717,50.000000,9.996667,10.804688,0.804739,0,28.097690,0
MOEAD,Joint2,7.376043,50.000000,9.943291,12.642104,0.791106,0,28.097690,0
MOEAD,Joint3,1.094359,50.000000,9.805985,4.632557,1.028212,0,28.097690,0
MOEAD,Joint4,0.036133,3.000000,0.199685,0.003892,0.020688,0,28.097690,0
MOEAD,Joint5,0.017054,3.000000,0.307865,0.003642,0.026906,0,28.097690,0
MOEAD,Joint6,0.036733,3.000000,1.686285,0.018273,0.045797,0,28.097690,0
MOEAD,Joint7,0.045088,3.000000,0.748854,0.009926,0.030516,0,28.097690,0
MOEAD,Joint8,0.034088,3.000000,1.688157,0.020401,0.054281,0,28.097690,0
NSGA,Joint1,4.348364,50.000000,9.999374,12.529310,0.416762,0,29.315310,0
NSGA,Joint2,7.153404,50.000000,9.884156,14.570076,0.379661,0,29.315310,0
NSGA,Joint3,0.757419,50.000000,9.615724,2.202115,0.517612,0,29.315310,0
NSGA,Joint4,0.029967,3.000000,0.222747,0.003355,0.010256,0,29.315310,0
NSGA,Joint5,0.006312,3.000000,0.301388,0.001430,0.012300,0,29.315310,0
NSGA,Joint6,0.014875,3.000000,0.413298,0.001648,0.013114,0,29.315310,0
NSGA,Joint7,0.054629,3.000000,1.323364,0.032047,0.016645,0,29.315310,0
NSGA,Joint8,0.014481,3.000000,0.446149,0.002528,0.016961,0,29.315310,0
