Metric,GA
AverageTime(ms),1.667922
SuccessRate150(%),100.000000
JointLimitCost,0.546243
VelocitySmoothness,12.278860
OverallSuccessRate(%),100.000000
TotalLimitApproaches,1.000000
TotalVelocityViolations,0.000000
Joint1_AvgMovement,22.669739
Joint1_AvgVelocity,2.029586
Joint1_LimitApproaches,0
Joint1_VelocityViolations,0
Joint2_AvgMovement,39.089564
Joint2_AvgVelocity,7.187350
Joint2_LimitApproaches,1
Joint2_VelocityViolations,0
Joint3_AvgMovement,26.453441
Joint3_AvgVelocity,5.651527
Joint3_LimitApproaches,0
Joint3_VelocityViolations,0
Joint4_AvgMovement,0.059112
Joint4_AvgVelocity,0.033006
Joint4_LimitApproaches,0
Joint4_VelocityViolations,0
Joint5_AvgMovement,0.010475
Joint5_AvgVelocity,0.006092
Joint5_LimitApproaches,0
Joint5_VelocityViolations,0
Joint6_AvgMovement,0.026965
Joint6_AvgVelocity,0.007591
Joint6_LimitApproaches,0
Joint6_VelocityViolations,0
Joint7_AvgMovement,0.017750
Joint7_AvgVelocity,0.003542
Joint7_LimitApproaches,0
Joint7_VelocityViolations,0
Joint8_AvgMovement,0.013741
Joint8_AvgVelocity,0.008454
Joint8_LimitApproaches,0
Joint8_VelocityViolations,0
