Algorithm,PointIndex,ComputationTime(ms),JointLimitCost,Success,Joint1,Vel1,Joint2,Vel2,Joint3,Vel3,Joint4,Vel4,Joint5,Vel5,Joint6,Vel6,Joint7,Vel7,Joint8,Vel8
GA,0,2.304400,0.531071,1,861.946964,6.853896,824.973093,6.559893,396.347627,3.151615,2.583973,0.205468,0.395177,0.031423,-1.238065,-0.098447,-0.861983,-0.068542,-0.510468,-0.040591
GA,1,2.302200,0.541086,1,848.922350,-2.490806,859.735726,6.647950,433.093363,7.027196,2.590128,0.011771,0.266139,-0.246770,-1.355384,-0.224359,-0.840705,0.040692,-0.340108,0.325794
GA,2,1.862100,0.541028,1,841.629403,-3.182727,872.542202,5.588895,450.639270,7.657237,2.582094,-0.035064,0.266139,0.000000,-1.355384,0.000000,-0.840710,-0.000022,-0.340109,-0.000003
GA,3,1.613500,0.540826,1,839.198117,-0.675929,884.524839,3.331330,484.466844,9.404507,2.573277,-0.024511,0.266139,0.000000,-1.355384,0.000000,-0.840708,0.000006,-0.340109,-0.000002
GA,4,1.566200,0.540729,1,841.357479,0.754763,900.075045,5.435268,508.384258,8.359860,2.564529,-0.030578,0.266139,0.000000,-1.355384,0.000000,-0.840708,-0.000001,-0.340108,0.000005
GA,5,1.756900,0.540878,1,845.933244,2.015619,922.066526,9.687223,505.099505,-1.446930,2.556071,-0.037259,0.266139,0.000000,-1.355384,0.000000,-0.840707,0.000006,-0.340108,-0.000001
GA,6,1.877200,0.541231,1,849.428512,0.947562,950.712443,7.765862,482.124838,-6.228395,2.547031,-0.024506,0.266139,0.000000,-1.355384,0.000000,-0.840710,-0.000009,-0.340109,-0.000003
GA,7,1.777900,0.541534,1,849.843008,0.108254,984.874582,8.922171,464.838401,-4.514721,2.538991,-0.020999,0.266139,0.000000,-1.355384,0.000000,-0.840709,0.000002,-0.340108,0.000002
GA,8,1.729800,0.541619,1,844.845953,-1.363200,1020.214826,9.640845,473.193602,2.279305,2.530292,-0.023731,0.266139,0.000000,-1.355384,0.000000,-0.840705,0.000012,-0.340109,-0.000001
GA,9,1.887000,0.541515,1,835.180832,-2.118789,1053.059107,7.200126,503.337835,6.608221,2.521903,-0.018389,0.266139,0.000000,-1.355384,0.000000,-0.840707,-0.000004,-0.340108,0.000001
GA,10,1.729000,0.543046,1,828.107335,-1.613332,1084.551453,7.182812,533.010405,6.767755,2.525949,0.009228,0.261134,-0.011416,-1.365293,-0.022600,-0.851650,-0.024959,-0.330151,0.022712
GA,11,1.709200,0.541650,1,809.973489,-7.637916,1099.800569,6.422877,534.501949,0.628233,2.504510,-0.090303,0.266139,0.021083,-1.355384,0.041736,-0.840709,0.046083,-0.340108,-0.041939
GA,12,1.602400,0.542033,1,800.664643,-3.432742,1114.133901,5.285579,513.447978,-7.763890,2.496170,-0.030753,0.266139,0.000000,-1.355384,0.000000,-0.840707,0.000005,-0.340108,0.000000
