x,y,z,qx,qy,qz,qw
-88.482102,-1097.559662,-1475.243239,0.757005,0.062566,0.060231,0.647612
-84.400469,-1097.559662,-1468.849381,0.757005,0.062566,0.060231,0.647612
-80.318837,-1097.559662,-1462.560510,0.757005,0.062566,0.060231,0.647612
-76.237204,-1097.559662,-1456.479889,0.757005,0.062566,0.060231,0.647612
-72.155571,-1097.559662,-1450.707362,0.757005,0.062566,0.060231,0.647612
-68.073939,-1097.559662,-1445.337713,0.757005,0.062566,0.060231,0.647612
-63.992306,-1097.559662,-1440.459112,0.757005,0.062566,0.060231,0.647612
-59.910673,-1097.559662,-1436.151665,0.757005,0.062566,0.060231,0.647612
-55.829041,-1097.559662,-1432.486101,0.757005,0.062566,0.060231,0.647612
-51.747408,-1097.559662,-1429.522608,0.757005,0.062566,0.060231,0.647612
-47.665775,-1097.559662,-1427.309847,0.757005,0.062566,0.060231,0.647612
-43.584143,-1097.559662,-1425.884150,0.757005,0.062566,0.060231,0.647612
-39.502510,-1097.559662,-1425.268928,0.757005,0.062566,0.060231,0.647612
-35.420878,-1097.559662,-1425.474283,0.757005,0.062566,0.060231,0.647612
-31.339245,-1097.559662,-1426.496843,0.757005,0.062566,0.060231,0.647612
-27.257612,-1097.559662,-1428.319817,0.757005,0.062566,0.060231,0.647612
-23.175980,-1097.559662,-1430.913273,0.757005,0.062566,0.060231,0.647612
-19.094347,-1097.559662,-1434.234625,0.757005,0.062566,0.060231,0.647612
-15.012714,-1097.559662,-1438.229338,0.757005,0.062566,0.060231,0.647612
-10.931082,-1097.559662,-1442.831818,0.757005,0.062566,0.060231,0.647612
-6.849449,-1097.559662,-1447.966492,0.757005,0.062566,0.060231,0.647612
-2.767816,-1097.559662,-1453.549050,0.757005,0.062566,0.060231,0.647612
1.313816,-1097.559662,-1459.487826,0.757005,0.062566,0.060231,0.647612
5.395449,-1097.559662,-1465.685305,0.757005,0.062566,0.060231,0.647612
9.477082,-1097.559662,-1472.039725,0.757005,0.062566,0.060231,0.647612
13.558714,-1097.559662,-1478.446747,0.757005,0.062566,0.060231,0.647612
17.640347,-1097.559662,-1484.801168,0.757005,0.062566,0.060231,0.647612
21.721980,-1097.559662,-1490.998647,0.757005,0.062566,0.060231,0.647612
25.803612,-1097.559662,-1496.937423,0.757005,0.062566,0.060231,0.647612
29.885245,-1097.559662,-1502.519981,0.757005,0.062566,0.060231,0.647612
33.966878,-1097.559662,-1507.654656,0.757005,0.062566,0.060231,0.647612
38.048510,-1097.559662,-1512.257137,0.757005,0.062566,0.060231,0.647612
42.130143,-1097.559662,-1516.251850,0.757005,0.062566,0.060231,0.647612
46.211776,-1097.559662,-1519.573203,0.757005,0.062566,0.060231,0.647612
50.293408,-1097.559662,-1522.166659,0.757005,0.062566,0.060231,0.647612
54.375041,-1097.559662,-1523.989634,0.757005,0.062566,0.060231,0.647612
58.456674,-1097.559662,-1525.012194,0.757005,0.062566,0.060231,0.647612
62.538306,-1097.559662,-1525.217550,0.757005,0.062566,0.060231,0.647612
66.619939,-1097.559662,-1524.602329,0.757005,0.062566,0.060231,0.647612
70.701571,-1097.559662,-1523.176633,0.757005,0.062566,0.060231,0.647612
74.783204,-1097.559662,-1520.963872,0.757005,0.062566,0.060231,0.647612
78.864837,-1097.559662,-1518.000379,0.757005,0.062566,0.060231,0.647612
82.946469,-1097.559662,-1514.334816,0.757005,0.062566,0.060231,0.647612
87.028102,-1097.559662,-1510.027370,0.757005,0.062566,0.060231,0.647612
91.109735,-1097.559662,-1505.148769,0.757005,0.062566,0.060231,0.647612
95.191367,-1097.559662,-1499.779121,0.757005,0.062566,0.060231,0.647612
99.273000,-1097.559662,-1494.006594,0.757005,0.062566,0.060231,0.647612
103.354633,-1097.559662,-1487.925973,0.757005,0.062566,0.060231,0.647612
107.436265,-1097.559662,-1481.637102,0.757005,0.062566,0.060231,0.647612
111.517898,-1097.559662,-1475.243244,0.757005,0.062566,0.060231,0.647612
