Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,Elapsed_ms
1,2077.590501,105.627148,1263.821705,1.676317,1.304442,1.228999,1.506248,1.849727,231.348
2,2672.548,63.040,1265.709,4.740,1.283,1.386,-1.359,-1.831,259.999
3,2699.595,52.706,1279.250,4.760,1.175,1.391,-1.333,-1.939,475.458
4,2694.743,7.668,1283.880,4.878,1.143,-1.853,1.280,1.182,361.019
5,2661.110,3.802,1274.566,4.893,1.204,1.257,-1.292,-1.898,385.771
6,2579.801,15.012,1254.595,4.890,1.397,1.214,-1.357,-1.709,279.196
7,2566.447,13.802,1253.953,4.887,1.403,1.217,-1.359,-1.704,2.993
8,2554.838,11.385,1253.643,4.887,1.403,1.217,-1.359,-1.705,2.873
9,2543.219,8.972,1253.343,4.887,1.403,1.217,-1.359,-1.704,3.000
10,2531.609,6.560,1253.033,4.887,1.403,1.217,-1.359,-1.704,3.000
11,2519.995,4.148,1252.723,4.887,1.403,1.217,-1.359,-1.704,3.095
12,2508.386,1.736,1252.408,4.887,1.403,1.217,-1.359,-1.704,2.585
13,2486.025,2.700,1250.367,4.881,1.432,1.217,-1.370,-1.676,2.769
14,2474.416,0.293,1250.057,4.881,1.432,1.217,-1.370,-1.675,2.727
15,2475.935,0.574,1251.700,4.862,1.399,1.241,-1.362,-1.709,2.501
16,2473.486,1.610,1252.984,4.845,1.376,1.263,-1.358,-1.731,2.523
17,2465.925,5.569,1253.322,4.820,1.367,1.290,-1.360,-1.741,2.847
18,2454.315,3.161,1253.002,4.820,1.367,1.290,-1.360,-1.741,2.454
19,2442.696,0.744,1252.682,4.820,1.367,1.290,-1.360,-1.741,2.577
20,2423.060,21.415,1250.516,4.738,1.393,1.367,-1.381,-1.720,2.272
21,2411.445,19.008,1250.196,4.738,1.393,1.367,-1.381,-1.720,2.303
22,2399.826,16.590,1249.876,4.738,1.393,1.367,-1.381,-1.719,2.238
23,2388.217,14.183,1249.546,4.738,1.393,1.367,-1.381,-1.720,2.362
24,2376.602,11.766,1249.226,4.738,1.393,1.367,-1.381,-1.719,2.466
25,2364.988,9.358,1248.896,4.738,1.393,1.367,-1.381,-1.719,2.775
26,2353.373,6.951,1248.566,4.738,1.393,1.367,-1.381,-1.719,2.149
27,2341.764,4.539,1248.241,4.738,1.393,1.367,-1.381,-1.719,2.256
28,2330.145,2.126,1247.911,4.738,1.393,1.367,-1.381,-1.719,4.131
29,2304.197,18.023,1245.302,4.667,1.430,1.430,-1.399,-1.683,3.912
30,2292.582,15.611,1244.972,4.667,1.430,1.430,-1.399,-1.683,2.494
31,2280.973,13.204,1244.642,4.667,1.430,1.430,-1.399,-1.682,2.097
32,2269.354,10.791,1244.302,4.667,1.430,1.430,-1.399,-1.683,3.400
33,2257.744,8.384,1243.972,4.667,1.430,1.430,-1.399,-1.682,3.474
34,2246.129,5.977,1243.632,4.667,1.430,1.430,-1.399,-1.682,2.063
35,2234.515,3.564,1243.292,4.667,1.430,1.430,-1.399,-1.683,2.405
36,2222.900,1.157,1242.957,4.667,1.430,1.430,-1.399,-1.682,2.070
37,2197.899,23.432,1241.232,4.562,1.459,1.529,-1.414,-1.654,2.861
38,2186.279,21.024,1240.887,4.562,1.459,1.529,-1.414,-1.655,2.001
39,2174.670,18.612,1240.547,4.562,1.459,1.529,-1.414,-1.654,1.868
40,2163.055,16.205,1240.207,4.562,1.459,1.529,-1.414,-1.654,2.759
41,2151.441,13.797,1239.857,4.562,1.459,1.529,-1.414,-1.654,2.264
42,2139.826,11.390,1239.517,4.562,1.459,1.529,-1.414,-1.654,1.914
43,2128.212,8.983,1239.167,4.562,1.459,1.529,-1.414,-1.654,2.046
44,2116.602,6.575,1238.817,4.562,1.459,1.529,-1.414,-1.654,2.410
45,2104.982,4.168,1238.467,4.562,1.459,1.529,-1.414,-1.654,2.126
46,2093.373,1.761,1238.117,4.562,1.459,1.529,-1.414,-1.654,2.075
47,2075.708,24.394,1237.671,4.456,1.462,1.635,-1.426,-1.651,3.329
48,2064.093,21.987,1237.321,4.456,1.462,1.635,-1.426,-1.651,2.193
49,2052.479,19.579,1236.966,4.456,1.462,1.635,-1.426,-1.651,2.020
50,2040.869,17.172,1236.611,4.456,1.462,1.635,-1.426,-1.651,1.880
51,2029.250,14.765,1236.256,4.456,1.462,1.635,-1.426,-1.651,1.609
52,2017.640,12.358,1235.901,4.456,1.462,1.635,-1.426,-1.650,2.165
53,2006.026,9.950,1235.541,4.456,1.462,1.635,-1.426,-1.650,1.946
54,1994.416,7.543,1235.181,4.456,1.462,1.635,-1.426,-1.650,2.188
55,1982.796,5.140,1234.821,4.456,1.462,1.635,-1.426,-1.650,2.176
56,1971.186,2.738,1234.461,4.456,1.462,1.635,-1.426,-1.650,1.835
57,1959.572,0.331,1234.096,4.456,1.462,1.635,-1.426,-1.650,2.178
58,2122.809,40.218,1302.390,4.464,0.951,1.691,-1.471,-2.163,1.902
59,2111.194,37.816,1302.025,4.464,0.951,1.691,-1.471,-2.163,2.142
60,2099.584,35.414,1301.660,4.464,0.951,1.691,-1.471,-2.162,2.471
61,2087.965,33.006,1301.290,4.464,0.951,1.691,-1.471,-2.162,2.399
62,2076.355,30.604,1300.920,4.464,0.951,1.691,-1.471,-2.162,2.671
63,2064.740,28.202,1300.550,4.464,0.951,1.691,-1.471,-2.162,2.061
64,2053.131,25.794,1300.180,4.464,0.951,1.691,-1.471,-2.162,2.611
65,2041.511,23.392,1299.810,4.464,0.951,1.691,-1.471,-2.162,2.406
66,2029.901,20.990,1299.435,4.464,0.951,1.691,-1.471,-2.162,2.161
67,2018.286,18.587,1299.060,4.464,0.951,1.691,-1.471,-2.162,2.738
68,2006.672,16.180,1298.685,4.464,0.951,1.691,-1.471,-2.162,2.124
69,1995.057,13.777,1298.310,4.464,0.951,1.691,-1.471,-2.161,2.093
70,1983.447,11.375,1297.930,4.464,0.951,1.691,-1.471,-2.162,2.442
71,1971.827,8.973,1297.555,4.464,0.951,1.691,-1.471,-2.161,2.681
72,1960.218,6.571,1297.175,4.464,0.951,1.691,-1.471,-2.161,2.562
73,1948.603,4.168,1296.790,4.464,0.951,1.691,-1.471,-2.161,2.241
74,1936.993,1.766,1296.410,4.464,0.951,1.691,-1.471,-2.161,1.869
75,1890.003,22.981,1278.294,4.384,1.036,1.750,-1.502,-2.070,3.769
76,1878.393,20.574,1277.909,4.384,1.036,1.750,-1.502,-2.070,2.236
77,1866.778,18.176,1277.524,4.384,1.036,1.750,-1.502,-2.070,1.719
78,1855.164,15.769,1277.139,4.384,1.036,1.750,-1.502,-2.069,1.701
79,1843.549,13.371,1276.749,4.384,1.036,1.750,-1.502,-2.069,1.829
80,1831.939,10.974,1276.359,4.384,1.036,1.750,-1.502,-2.070,2.915
81,1820.324,8.567,1275.969,4.384,1.036,1.750,-1.502,-2.069,2.224
82,1808.709,6.169,1275.579,4.384,1.036,1.750,-1.502,-2.069,1.788
83,1797.094,3.772,1275.189,4.384,1.036,1.750,-1.502,-2.069,2.073
84,1785.485,1.365,1274.794,4.384,1.036,1.750,-1.502,-2.069,2.403
85,1749.635,5.013,1262.967,4.348,1.098,1.778,-1.507,-2.005,1.960
86,1738.020,2.616,1262.572,4.348,1.098,1.778,-1.507,-2.004,1.977
87,1726.405,0.213,1262.172,4.348,1.098,1.778,-1.507,-2.004,1.921
88,1704.303,10.504,1259.288,4.305,1.113,1.815,-1.522,-1.986,1.878
89,1692.683,8.101,1258.893,4.305,1.113,1.815,-1.522,-1.985,1.911
90,1681.073,5.704,1258.488,4.305,1.113,1.815,-1.522,-1.986,3.108
91,1669.458,3.307,1258.088,4.305,1.113,1.815,-1.522,-1.986,2.064
92,1657.848,0.904,1257.688,4.305,1.113,1.815,-1.522,-1.985,1.678
93,1629.357,5.784,1251.462,4.268,1.149,1.847,-1.528,-1.946,2.558
94,1617.747,3.387,1251.057,4.268,1.149,1.847,-1.528,-1.946,2.546
95,1606.132,0.989,1250.647,4.268,1.149,1.847,-1.528,-1.946,1.929
96,1578.799,20.657,1248.607,4.192,1.159,1.916,-1.554,-1.927,1.480
97,1567.180,18.254,1248.197,4.192,1.159,1.916,-1.554,-1.927,1.579
98,1555.570,15.857,1247.787,4.192,1.159,1.916,-1.554,-1.927,1.743
99,1543.955,13.459,1247.377,4.192,1.159,1.916,-1.554,-1.926,1.678
100,1532.345,11.062,1246.962,4.192,1.159,1.916,-1.554,-1.927,1.756
101,1520.725,8.665,1246.552,4.192,1.159,1.916,-1.554,-1.926,1.641
102,1509.115,6.272,1246.137,4.192,1.159,1.916,-1.554,-1.926,1.785
103,1444.458,0.130,1234.212,4.149,1.232,2.052,-1.569,-1.857,101.099
104,1376.189,0.372,1224.970,4.085,1.304,2.213,-1.570,-1.789,113.590
105,1322.123,0.157,1220.525,4.052,1.348,2.345,-1.566,-1.754,17.572
106,1271.391,9.286,1218.711,4.007,1.374,2.491,-1.568,-1.732,13.673
107,1222.251,8.545,1216.594,3.998,1.420,2.601,-1.543,-1.709,1.514
108,1187.509,16.825,1217.667,4.005,1.430,2.694,-1.545,-1.711,1.075
109,1171.539,11.713,1219.934,4.108,1.430,2.694,-1.552,-1.730,0.979
110,1155.091,8.268,1222.828,4.210,1.430,2.694,-1.560,-1.747,1.133
111,1138.358,6.549,1226.319,4.312,1.430,2.694,-1.571,-1.763,0.901
112,1053.634,102.199,1229.110,3.939,1.456,-3.117,-1.570,-1.715,130.485
113,1025.595,126.859,1233.139,3.930,1.469,-3.007,-1.569,-1.718,1.202
114,999.724,154.020,1237.684,3.917,1.483,-2.893,-1.569,-1.722,77.279
115,894.487,239.542,1243.189,3.469,1.482,-2.345,-1.562,-1.691,128.759
116,875.643,273.363,1249.006,3.446,1.482,-2.221,-1.570,-1.693,1.362
117,680.500,287.521,1255.128,2.630,1.482,-1.306,-1.510,-1.686,129.884
118,607.465,276.928,1262.165,2.292,1.463,-0.868,-1.482,-1.695,136.811
119,524.954,288.218,1278.104,2.052,1.323,-0.536,-1.357,-1.656,160.211
120,495.736,294.518,1287.459,1.990,1.261,-0.481,-1.294,-1.635,2.476
121,495.181,307.797,1290.234,1.990,1.261,-0.481,-1.294,-1.631,2.442
122,494.626,321.075,1292.949,1.990,1.261,-0.481,-1.294,-1.627,2.399
123,494.070,334.374,1295.609,1.990,1.261,-0.481,-1.294,-1.623,2.411
124,493.513,347.682,1298.224,1.990,1.261,-0.481,-1.294,-1.618,2.569
125,492.957,360.990,1300.769,1.990,1.261,-0.481,-1.294,-1.614,2.709
126,492.399,374.319,1303.264,1.990,1.261,-0.481,-1.294,-1.610,2.650
127,491.841,387.657,1305.704,1.990,1.261,-0.481,-1.294,-1.606,2.556
128,491.283,401.005,1308.089,1.990,1.261,-0.481,-1.294,-1.601,2.588
129,490.725,414.364,1310.414,1.990,1.261,-0.481,-1.294,-1.597,2.472
130,490.166,427.732,1312.684,1.990,1.261,-0.481,-1.294,-1.593,2.693
131,489.606,441.110,1314.899,1.990,1.261,-0.481,-1.294,-1.589,2.735
132,489.046,454.499,1317.059,1.990,1.261,-0.481,-1.294,-1.585,2.672
133,488.486,467.897,1319.159,1.990,1.261,-0.481,-1.294,-1.581,2.717
134,487.926,481.295,1321.204,1.990,1.261,-0.481,-1.294,-1.576,2.609
135,487.365,494.713,1323.194,1.990,1.261,-0.481,-1.294,-1.572,2.611
136,486.803,508.132,1325.124,1.990,1.261,-0.481,-1.294,-1.568,2.579
137,486.242,521.560,1326.999,1.990,1.261,-0.481,-1.294,-1.564,2.748
138,485.680,534.998,1328.824,1.990,1.261,-0.481,-1.294,-1.560,2.176
139,485.118,548.437,1330.589,1.990,1.261,-0.481,-1.294,-1.555,3.414
140,484.555,561.890,1332.294,1.990,1.261,-0.481,-1.294,-1.551,3.679
141,483.993,575.348,1333.944,1.990,1.261,-0.481,-1.294,-1.547,3.795
142,483.430,588.811,1335.539,1.990,1.261,-0.481,-1.294,-1.543,2.984
143,482.866,602.284,1337.074,1.990,1.261,-0.481,-1.294,-1.539,3.153
144,482.302,615.763,1338.554,1.990,1.261,-0.481,-1.294,-1.534,2.883
145,481.739,629.246,1339.979,1.990,1.261,-0.481,-1.294,-1.530,2.594
146,481.175,642.734,1341.349,1.990,1.261,-0.481,-1.294,-1.526,2.917
147,480.610,656.232,1342.659,1.990,1.261,-0.481,-1.294,-1.522,2.794
148,480.046,669.731,1343.914,1.990,1.261,-0.481,-1.294,-1.517,2.798
149,479.481,683.239,1345.109,1.990,1.261,-0.481,-1.294,-1.514,2.668
150,478.916,696.747,1346.254,1.990,1.261,-0.481,-1.294,-1.509,3.249
151,478.351,710.265,1347.334,1.990,1.261,-0.481,-1.294,-1.505,4.089
152,477.785,723.783,1348.364,1.990,1.261,-0.481,-1.294,-1.501,5.132
153,477.220,737.306,1349.334,1.990,1.261,-0.481,-1.294,-1.496,4.540
154,476.654,750.835,1350.244,1.990,1.261,-0.481,-1.294,-1.493,3.122
155,476.088,764.368,1351.104,1.990,1.261,-0.481,-1.294,-1.488,3.184
156,475.522,777.901,1351.904,1.990,1.261,-0.481,-1.294,-1.484,3.275
157,474.956,791.439,1352.649,1.990,1.261,-0.481,-1.294,-1.479,3.465
158,474.390,804.982,1353.329,1.990,1.261,-0.481,-1.294,-1.476,4.985
159,473.823,818.526,1353.959,1.990,1.261,-0.481,-1.294,-1.472,4.047
160,473.257,832.074,1354.534,1.990,1.261,-0.481,-1.294,-1.467,2.734
