# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
1,SUCCESS_CARTESIAN,100,0.928586,3,0.316029,1.220007,1.832913,0.312866,0.116872,1.342441,0.08326,1.430905,-1.550625
2,SUCCESS_CARTESIAN,100,0.678,3,0.339308,1.210866,1.833058,0.302539,0.089258,1.347008,0.096496,1.41801,-1.547812
3,SUCCESS_CARTESIAN,100,0.64353,3,0.278833,1.196141,1.831723,0.292569,0.080796,1.34725,0.091642,1.409725,-1.548917
4,SUCCESS_CARTESIAN,100,0.648145,3,0.372234,1.189149,1.828468,0.282817,0.045023,1.344806,0.112347,1.403415,-1.543608
5,SUCCESS_CARTESIAN,100,1.279303,3,0.270464,1.176038,1.822682,0.273666,0.030767,1.335529,0.112696,1.404313,-1.542336
6,SUCCESS_CARTESIAN,100,1.521538,3,0.263291,1.159693,1.821688,0.263294,0.028544,1.34014,0.10206,1.391604,-1.545413
7,SUCCESS_CARTESIAN,100,1.20144,3,0.260729,1.143422,1.816034,0.253922,0.025818,1.333484,0.091711,1.389994,-1.547239
8,SUCCESS_CARTESIAN,100,1.400747,3,0.310154,1.133237,1.809809,0.244571,0.002448,1.326793,0.100494,1.387857,-1.544173
9,SUCCESS_CARTESIAN,100,1.563352,3,0.260403,1.116941,1.804954,0.234799,0.000436,1.324865,0.089563,1.381385,-1.546791
10,SUCCESS_CARTESIAN,100,1.349956,3,0.276736,1.100066,1.798661,0.225286,0.000602,1.320345,0.076589,1.377424,-1.549805
11,SUCCESS_CARTESIAN,100,1.148121,3,0.265388,1.08346,1.790083,0.216269,0.000078,1.310929,0.064213,1.378214,-1.552468
12,SUCCESS_CARTESIAN,100,0.988399,3,0.270742,1.066753,1.786348,0.205878,0.000143,1.315962,0.051494,1.364464,-1.556311
13,SUCCESS_CARTESIAN,100,0.75634,3,0.269615,1.049672,1.776276,0.197064,0.001701,1.305091,0.037257,1.36648,-1.559828
14,SUCCESS_CARTESIAN,100,0.64125,3,0.260605,1.033644,1.767067,0.187942,0.000034,1.297853,0.026032,1.364706,-1.562888
15,SUCCESS_CARTESIAN,100,0.651027,3,0.26316,1.017148,1.758169,0.178642,0.000214,1.29276,0.013159,1.36066,-1.566697
16,SUCCESS_CARTESIAN,100,0.734545,3,0.257187,1.000781,1.749309,0.169233,0.000293,1.289071,0.000403,1.355068,-1.570669
17,SUCCESS_CARTESIAN,100,0.689324,3,0.268643,0.983794,1.738595,0.160277,0.002699,1.281598,-0.014421,1.353113,-1.575499
18,SUCCESS_CARTESIAN,100,0.693882,3,0.264929,0.967006,1.729832,0.150646,0.004781,1.28076,-0.028969,1.344345,-1.580321
19,SUCCESS_CARTESIAN,100,0.696484,3,0.253671,0.951978,1.721059,0.140919,0.001539,1.281204,-0.038794,1.334197,-1.583601
20,SUCCESS_CARTESIAN,100,0.686523,3,0.257758,0.93648,1.710898,0.131514,0.000195,1.27913,-0.050322,1.326407,-1.587615
21,SUCCESS_CARTESIAN,100,0.694478,3,0.25415,0.92075,1.701209,0.12188,0.000006,1.279626,-0.062937,1.31589,-1.591924
22,SUCCESS_CARTESIAN,100,0.694076,3,0.254877,0.905086,1.687887,0.113256,0.000007,1.271452,-0.075599,1.313853,-1.597009
23,SUCCESS_CARTESIAN,100,0.586602,3,0.282833,0.889459,1.675702,0.104216,0.00032,1.267653,-0.088617,1.307287,-1.602082
24,SUCCESS_CARTESIAN,100,0.890281,3,0.425576,0.874146,1.648991,0.1,0.000078,1.22489,-0.100161,1.339325,-1.611218
25,SUCCESS_CARTESIAN,100,0.762497,3,0.525933,0.855033,1.613619,0.100085,0.011041,1.158018,-0.120571,1.394532,-1.628726
26,SUCCESS_CARTESIAN,100,0.763684,3,0.535758,0.83807,1.581831,0.100077,0.01548,1.10105,-0.13552,1.43968,-1.644753
27,SUCCESS_CARTESIAN,100,0.973835,3,0.45517,0.813066,1.552493,0.100034,0.040674,1.050423,-0.167605,1.476438,-1.671897
28,SUCCESS_CARTESIAN,100,0.920158,3,0.4487,0.813861,1.524006,0.100009,0.000664,1.004216,-0.146379,1.513589,-1.66691
29,SUCCESS_CARTESIAN,100,0.87552,3,0.619849,0.778137,1.497444,0.1,0.051187,0.961438,-0.198731,1.538857,-1.710816
30,SUCCESS_CARTESIAN,100,0.791019,3,0.408327,0.758484,1.471379,0.100027,0.061877,0.921352,-0.218618,1.564215,-1.734799
31,SUCCESS_CARTESIAN,100,0.94663,3,0.66058,0.696858,1.451069,0.100061,0.168319,0.883607,-0.312861,1.57,-1.818336
32,SUCCESS_CARTESIAN,100,0.928986,3,0.608264,0.64143,1.434652,0.100012,0.258108,0.848236,-0.391108,1.5689,-1.895477
33,SUCCESS_CARTESIAN,100,0.865102,3,0.524152,0.595669,1.418899,0.100068,0.324734,0.814191,-0.449139,1.566637,-1.961029
34,SUCCESS_CARTESIAN,100,0.812745,3,0.434751,0.564363,1.400143,0.1,0.358251,0.782172,-0.481238,1.569135,-2.007331
35,SUCCESS_CARTESIAN,100,0.96642,3,0.436977,0.534563,1.381539,0.100046,0.388462,0.751109,-0.509723,1.569998,-2.052656
36,SUCCESS_CARTESIAN,100,1.000538,3,0.416066,0.50726,1.36268,0.10001,0.413474,0.721595,-0.533441,1.569785,-2.095233
37,SUCCESS_CARTESIAN,100,0.982715,3,0.450194,0.475619,1.346424,0.100024,0.448676,0.69305,-0.562426,1.563195,-2.145133
38,SUCCESS_CARTESIAN,100,1.513348,3,0.386398,0.453406,1.326288,0.1,0.463311,0.665697,-0.57706,1.562676,-2.182075
39,SUCCESS_CARTESIAN,100,0.997499,3,0.398519,0.434522,1.30474,0.100003,0.471216,0.63923,-0.586833,1.563583,-2.214924
40,SUCCESS_CARTESIAN,100,0.965607,3,0.410019,0.414897,1.283789,0.10002,0.481544,0.613643,-0.597344,1.562081,-2.249681
41,SUCCESS_CARTESIAN,100,0.914083,3,0.376549,0.403568,1.258735,0.1,0.474512,0.589064,-0.597556,1.567323,-2.27274
42,SUCCESS_CARTESIAN,100,1.002745,3,0.362255,0.3871,1.236461,0.100005,0.479603,0.56523,-0.604117,1.565967,-2.304301
43,SUCCESS_CARTESIAN,100,0.899114,3,0.373738,0.369901,1.214672,0.10007,0.487029,0.542012,-0.611297,1.562537,-2.33784
44,SUCCESS_CARTESIAN,100,0.88307,3,0.345488,0.357075,1.190779,0.100006,0.485976,0.519954,-0.61362,1.561964,-2.365447
45,SUCCESS_CARTESIAN,100,0.82102,3,0.339877,0.345428,1.166305,0.100037,0.483262,0.498352,-0.614793,1.561607,-2.392233
46,SUCCESS_CARTESIAN,100,0.860761,3,0.359741,0.334799,1.141429,0.1,0.479345,0.477674,-0.61512,1.560884,-2.41824
47,SUCCESS_CARTESIAN,100,0.922078,3,0.411624,0.315547,1.120756,0.100728,0.493948,0.455466,-0.623115,1.551559,-2.45931
48,SUCCESS_CARTESIAN,100,0.778125,3,0.335223,0.307678,1.094081,0.101604,0.485563,0.433558,-0.620684,1.553713,-2.484178
49,SUCCESS_CARTESIAN,100,0.798475,3,0.349785,0.301084,1.067804,0.100661,0.476326,0.417604,-0.617875,1.55133,-2.505564
50,SUCCESS_CARTESIAN,100,0.785562,3,0.341085,0.290863,1.043148,0.100332,0.475152,0.400525,-0.617967,1.545416,-2.53432
51,SUCCESS_CARTESIAN,100,0.743784,3,0.366268,0.282459,1.017527,0.100153,0.471058,0.383675,-0.616633,1.540692,-2.56151
52,SUCCESS_CARTESIAN,100,0.800964,3,0.368365,0.272764,0.991766,0.101968,0.469723,0.36189,-0.615847,1.538357,-2.594443
53,SUCCESS_CARTESIAN,100,1.061919,3,0.394612,0.258433,0.970057,0.1,0.479881,0.351392,-0.618427,1.520402,-2.630518
54,SUCCESS_CARTESIAN,100,1.406352,3,0.410863,0.245568,0.945803,0.102659,0.486329,0.328638,-0.618679,1.514246,-2.671834
55,SUCCESS_CARTESIAN,100,1.158689,3,0.384387,0.233004,0.923164,0.101065,0.49438,0.318374,-0.619002,1.496867,-2.708132
56,SUCCESS_CARTESIAN,100,1.002731,3,0.381666,0.223634,0.898268,0.101073,0.496278,0.304328,-0.616943,1.485821,-2.74287
57,SUCCESS_CARTESIAN,100,1.508538,3,0.551414,0.19165,0.885004,0.105342,0.543856,0.2793,-0.622769,1.458202,-2.820942
58,SUCCESS_CARTESIAN,100,3.667414,3,0.379766,0.184137,0.860185,0.102637,0.544435,0.274025,-0.618925,1.440596,-2.851833
59,SUCCESS_CARTESIAN,100,1.212251,3,0.391903,0.175543,0.836053,0.1,0.54805,0.269204,-0.615192,1.42084,-2.885988
60,SUCCESS_CARTESIAN,100,0.840655,3,0.429043,0.164086,0.812832,0.100379,0.557557,0.25685,-0.61097,1.40394,-2.930428
61,SUCCESS_CARTESIAN,100,0.731716,3,0.429228,0.159851,0.784715,0.102699,0.552497,0.239938,-0.603938,1.398841,-2.966932
62,SUCCESS_CARTESIAN,100,0.805132,3,0.381975,0.157527,0.756602,0.101561,0.545375,0.233085,-0.597491,1.386548,-2.996988
63,SUCCESS_CARTESIAN,100,0.788936,3,0.368665,0.154595,0.729012,0.100366,0.540414,0.22707,-0.591151,1.372292,-3.029406
64,SUCCESS_CARTESIAN,100,0.806904,3,0.386267,0.152972,0.700047,0.102038,0.533024,0.214051,-0.583699,1.365119,-3.06483
65,SUCCESS_CARTESIAN,100,0.791176,3,0.499084,0.13787,0.678788,0.106251,0.553474,0.194958,-0.57576,1.34814,-3.128045
66,SUCCESS_CARTESIAN,100,0.827367,3,0.381263,0.147541,0.644656,0.102659,0.526075,0.197494,-0.569487,1.338557,-3.139918
67,SUCCESS_CARTESIAN,100,0.903684,3,0.450506,0.168414,0.604238,0.103348,0.477038,0.1893,-0.562423,1.349046,-3.139997
68,SUCCESS_CARTESIAN,100,0.810185,3,0.433434,0.189031,0.565959,0.102221,0.430912,0.186689,-0.556692,1.352841,-3.139997
69,SUCCESS_CARTESIAN,100,0.839701,3,0.429569,0.20986,0.529239,0.1,0.386325,0.187731,-0.55205,1.35233,-3.139834
70,SUCCESS_CARTESIAN,100,0.959349,3,0.471148,0.235684,0.491089,0.102803,0.333535,0.176103,-0.546659,1.366477,-3.139823
71,SUCCESS_CARTESIAN,100,1.543097,3,0.451033,0.260488,0.455419,0.103446,0.284656,0.170998,-0.542762,1.372751,-3.13997
72,SUCCESS_CARTESIAN,100,1.811083,3,0.417154,0.282719,0.422581,0.100152,0.242187,0.17713,-0.54077,1.365889,-3.139989
73,SUCCESS_CARTESIAN,100,1.664173,3,0.439502,0.308536,0.38954,0.100353,0.194278,0.1747,-0.538616,1.368936,-3.139999
74,SUCCESS_CARTESIAN,100,1.237568,3,0.446548,0.334751,0.357951,0.1,0.146913,0.174511,-0.537458,1.369658,-3.139364
75,SUCCESS_CARTESIAN,100,0.944559,3,0.438662,0.361246,0.327639,0.100011,0.100122,0.174103,-0.537039,1.370214,-3.139299
76,SUCCESS_CARTESIAN,100,0.918885,3,0.437792,0.388148,0.298502,0.100809,0.053568,0.172352,-0.537231,1.37181,-3.139989
77,SUCCESS_CARTESIAN,100,0.98042,3,0.458341,0.41762,0.270282,0.103841,0.003403,0.165419,-0.537676,1.379741,-3.14
78,SUCCESS_JOINT_SPACE,100,102.758042,44,7.285339,0.497525,0.239663,0.164824,6.153808,0.005076,-0.528607,1.552224,3.132788
79,SUCCESS_CARTESIAN,100,2.990902,3,0.392609,0.497344,0.216189,0.168279,6.153289,0,-0.533341,1.543134,3.094793
80,SUCCESS_CARTESIAN,100,2.030948,3,0.360993,0.515819,0.191803,0.169553,6.124415,0,-0.536186,1.53467,3.080901
81,SUCCESS_CARTESIAN,100,2.6388,3,0.430434,0.544299,0.169904,0.17099,6.078576,0.000303,-0.540205,1.534848,3.082319
82,SUCCESS_CARTESIAN,100,2.34795,3,0.326024,0.557644,0.145601,0.172892,6.059823,0.000117,-0.543937,1.521725,3.060901
83,SUCCESS_CARTESIAN,100,3.628028,3,0.385978,0.581582,0.12425,0.172715,6.022888,0.006103,-0.549119,1.512989,3.059046
84,SUCCESS_CARTESIAN,100,3.033932,3,0.36789,0.593667,0.100249,0.174111,6.007578,0.008677,-0.553771,1.496145,3.037809
85,SUCCESS_CARTESIAN,100,1.442655,3,0.388823,0.597629,0.074039,0.178016,6.007489,0.005367,-0.557394,1.476418,3.001444
86,SUCCESS_CARTESIAN,100,0.960202,3,0.378418,0.613132,0.051272,0.182963,5.987407,0.000016,-0.56245,1.469129,2.981997
