# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7,,
1,SUCCESS_CARTESIAN,100,0.831969,3,0.273074,1.727841,1.999974,0.435381,4.954625,0.710838,-1.876904,-1.361057,2.456331,4.159845,0.725752508
2,SUCCESS_CARTESIAN,100,0.746343,3,0.27929,1.709345,1.999946,0.423743,4.953886,0.716745,-1.889761,-1.363243,2.448889,3.731715,0.903010033
3,SUCCESS_CARTESIAN,100,0.758915,3,0.276934,1.690819,1.997311,0.412636,4.957397,0.72078,-1.90566,-1.368797,2.442103,3.794575,
4,SUCCESS_CARTESIAN,100,0.670269,3,0.257348,1.676802,1.997572,0.405583,4.951957,0.710676,-1.91888,-1.372596,2.451037,3.351345,
5,SUCCESS_CARTESIAN,100,1.019821,3,0.274644,1.661142,1.994837,0.397373,4.952343,0.704622,-1.934814,-1.379273,2.454353,5.099105,
6,SUCCESS_CARTESIAN,100,5.496617,3,0.268506,1.644609,1.995557,0.387046,4.945355,0.705875,-1.94505,-1.37809,2.452611,27.483085,
7,SUCCESS_CARTESIAN,100,2.234188,3,0.262806,1.628543,1.994656,0.377532,4.94042,0.704329,-1.957078,-1.379323,2.452882,11.17094,
8,SUCCESS_CARTESIAN,100,4.320913,3,0.264446,1.611863,1.995436,0.366721,4.931478,0.707275,-1.965993,-1.37597,2.450045,21.604565,
9,SUCCESS_CARTESIAN,100,1.572515,3,0.271226,1.597709,1.997322,0.35842,4.91829,0.701599,-1.974074,-1.372941,2.456594,7.862575,
10,SUCCESS_CARTESIAN,100,1.242705,3,0.253058,1.582153,1.999452,0.348376,4.904294,0.701965,-1.980698,-1.366996,2.45775,6.213525,
11,SUCCESS_CARTESIAN,100,1.004368,3,0.257138,1.566232,1.998897,0.338428,4.894866,0.702058,-1.990143,-1.364336,2.457756,5.02184,
12,SUCCESS_CARTESIAN,100,0.896769,3,0.257577,1.551976,1.997866,0.330416,4.884867,0.695572,-2.000623,-1.363989,2.464048,4.483845,
13,SUCCESS_CARTESIAN,100,0.881428,3,0.256582,1.536328,1.995019,0.321023,4.878088,0.693904,-2.012139,-1.363926,2.464746,4.40714,
14,SUCCESS_CARTESIAN,100,0.784905,3,0.25866,1.52032,1.994017,0.310725,4.866802,0.695417,-2.020585,-1.359359,2.46398,3.924525,
