Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
2,1664.812747,1994.408827,379.756356,5.002451,0.92476,-1.862659,-1.329251,2.236734
3,1699.164563,1977.156532,419.44694,5.004724,0.731807,-1.918252,-1.394305,2.421722
4,1721.065867,1961.616038,465.187774,5.009418,0.549247,-1.958979,-1.468858,2.58933
5,1702.59684,1964.392251,451.039411,5.001974,0.562194,-1.967703,-1.464245,2.576074
6,1694.665064,1964.718224,454.478739,4.992498,0.521139,-1.980513,-1.479168,2.613385
7,1653.43558,1965.176079,407.638265,4.99975,0.636838,-1.986528,-1.443982,2.500539
8,1659.25847,1956.900478,433.201588,4.996789,0.525231,-2.009447,-1.493548,2.599689
9,1646.444691,1968.172792,423.24449,4.967548,0.525231,-2.009447,-1.476842,2.606116
10,1633.307266,1979.334137,413.295847,4.937804,0.525231,-2.009447,-1.459775,2.61286
11,1619.829269,1990.397181,403.358983,4.907519,0.525231,-2.009447,-1.442328,2.619942
12,1608.108294,1964.767729,410.398494,4.943072,0.474502,-2.043479,-1.499145,2.64738
13,1588.928795,1954.463459,397.944241,4.952669,0.482044,-2.060977,-1.509709,2.631591
14,1547.308252,1958.313108,344.524139,4.945459,0.616111,-2.060814,-1.44661,2.510861
15,1533.889024,1965.725898,334.667985,4.917459,0.616111,-2.060814,-1.431086,2.517315
16,1520.211132,1972.993308,324.840512,4.888958,0.616111,-2.060814,-1.415255,2.524076
17,1548.905796,1957.34883,401.364908,4.889135,0.358964,-2.09551,-1.54722,2.744151
18,1536.14785,1971.446136,391.605166,4.848977,0.358964,-2.09551,-1.522564,2.756667
19,1520.044329,1962.107196,382.304318,4.850533,0.357788,-2.10958,-1.532339,2.750543
20,1446.16358,1957.622733,269.883853,4.857671,0.668575,-2.097224,-1.384934,2.472664
21,1432.128835,1962.4893,260.252081,4.828825,0.668575,-2.097224,-1.36923,2.479916
22,1417.830115,1967.23094,250.670135,4.799384,0.668575,-2.097224,-1.353214,2.487522
23,1403.246843,1971.859165,241.141662,4.769306,0.668575,-2.097224,-1.336871,2.495505
24,1388.355824,1976.385704,231.670355,4.738552,0.668575,-2.097224,-1.320185,2.503891
25,1373.130938,1980.822455,222.259949,4.707073,0.668575,-2.097224,-1.303136,2.512706
26,1357.542793,1985.181424,212.91423,4.67482,0.668575,-2.097224,-1.285706,2.521983
27,1341.558315,1989.474647,203.637035,4.641739,0.668575,-2.097224,-1.267872,2.531754
28,1325.140267,1993.714114,194.432258,4.60777,0.668575,-2.097224,-1.249609,2.542056
29,1308.246682,1997.91166,185.303849,4.572846,0.668575,-2.097224,-1.230889,2.552934
30,1303.325524,1947.962511,183.937578,4.646977,0.643134,-2.15642,-1.299186,2.538713
31,1287.387332,1952.041303,174.974008,4.611049,0.643134,-2.15642,-1.280216,2.550215
32,1270.905053,1956.162674,166.099042,4.574014,0.643134,-2.15642,-1.260744,2.562385
33,1253.818312,1960.341182,157.316895,4.535785,0.643134,-2.15642,-1.240731,2.575282
34,1236.058417,1964.590964,148.63186,4.496259,0.643134,-2.15642,-1.220135,2.588973
35,1217.546864,1968.92559,140.048303,4.455322,0.643134,-2.15642,-1.198902,2.603534
36,1198.193425,1973.357923,131.570673,4.412844,0.643134,-2.15642,-1.176973,2.619055
37,1177.893649,1977.89999,123.203496,4.368671,0.643134,-2.15642,-1.154273,2.635643
38,1188.09528,1973.812026,155.007248,4.360457,0.517343,-2.212123,-1.229084,2.744904
39,1165.577202,1978.163052,145.02097,4.315508,0.522951,-2.213747,-1.203509,2.758275
40,1148.821306,1929.937964,113.220168,4.366735,0.596666,-2.225803,-1.202034,2.66046
41,1131.140804,1923.402164,104.046568,4.341726,0.600781,-2.233582,-1.191008,2.663638
42,1143.446752,1913.610307,140.244428,4.342742,0.466714,-2.287277,-1.285956,2.764126
43,1131.783423,1894.049047,132.639846,4.343685,0.466714,-2.304504,-1.29635,2.75365
44,1106.993289,1905.781888,125.17981,4.280945,0.466714,-2.304504,-1.264832,2.782554
45,1096.565029,1898.065542,130.342958,4.261423,0.430379,-2.324595,-1.287264,2.81214
46,1083.260882,1878.671287,119.651686,4.258208,0.440616,-2.338438,-1.289182,2.794893
47,1070.291828,1865.238727,115.316082,4.244603,0.432913,-2.353612,-1.296962,2.797296
48,1040.285697,1879.550633,108.487056,4.170682,0.432913,-2.353612,-1.261134,2.833954
49,1045.289909,1861.958117,139.396602,4.178911,0.326695,-2.391181,-1.355563,2.890657
50,1004.090545,1887.574665,132.915732,4.077702,0.326695,-2.391181,-1.304048,2.947486
51,943.916989,1925.015956,126.61729,3.938359,0.326695,-2.391181,-1.229162,3.033194
52,959.807679,1873.395938,117.350255,4.007195,0.335456,-2.410275,-1.282203,2.96035
53,949.907458,1849.306629,106.996388,4.007979,0.347817,-2.422857,-1.288608,2.934066
54,940.442204,1832.826541,111.889311,3.998133,0.318347,-2.441666,-1.320273,2.942986
55,952.270839,1785.516919,107.656698,4.05382,0.314813,-2.465188,-1.371944,2.883612
56,905.836796,1806.481762,102.354763,3.949008,0.314813,-2.465188,-1.3252,2.942557
57,859.842325,1826.051091,115.215134,3.84672,0.265649,-2.476714,-1.319806,3.031667
58,877.131867,1784.52821,124.518531,3.899137,0.227302,-2.498683,-1.398861,2.991026
59,862.913856,1760.955056,103.113952,3.88868,0.272727,-2.505844,-1.37388,2.947254
60,836.380106,1756.778647,107.22765,3.83836,0.249583,-2.516392,-1.381707,2.975777
61,823.097903,1738.97207,107.432899,3.820746,0.237757,-2.528599,-1.399734,2.970225
62,796.278039,1733.525689,116.744078,3.770556,0.202157,-2.539534,-1.419864,3.003508
63,805.46707,1702.335502,137.618435,3.796912,0.136768,-2.55703,-1.507945,2.988806
64,767.826057,1700.712946,139.182544,3.726847,0.12356,-2.563095,-1.500633,3.022927
65,765.698838,1668.435786,111.337179,3.736743,0.189138,-2.571716,-1.470836,2.946797
66,764.360196,1641.483763,113.445874,3.741895,0.175747,-2.58431,-1.50461,2.916572
67,759.559253,1617.487671,118.789709,3.738446,0.154492,0.545749,1.54078,-0.245426
68,735.733549,1604.314376,116.413849,3.696424,0.154492,0.540001,1.539454,-0.245426
69,711.343733,1590.386055,114.309431,3.653543,0.154492,0.534845,1.538267,-0.245426
70,686.434965,1575.622788,112.479418,3.609869,0.154492,0.530312,1.537225,-0.245426
71,661.066681,1559.946309,110.926422,3.565485,0.154492,0.526427,1.536334,-0.245426
72,635.312657,1543.282424,109.652682,3.520482,0.154492,0.523214,1.535598,-0.245426
73,609.26052,1525.563537,108.660049,3.474963,0.154492,0.520694,1.535022,-0.245426
74,583.010666,1506.731142,107.949978,3.42904,0.154492,0.518882,1.534608,-0.245426
75,556.674586,1486.738153,107.523514,3.382833,0.154492,0.51779,1.534358,-0.245426
