Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
2,1689.929502,1998.388441,398.603131,4.978142,0.846566,-1.863043,-1.337033,2.318336
3,1721.494892,1996.422123,439.048416,4.954927,0.66463,-1.90032,-1.380615,2.499036
4,1742.190513,1985.69097,490.009073,4.955201,0.474504,-1.942011,-1.452633,2.676782
5,1728.516442,1983.377292,486.991392,4.954765,0.454131,-1.956894,-1.467333,2.692326
6,1724.278221,1980.696035,505.742835,4.950065,0.371825,-1.974319,-1.503074,2.766134
7,1696.291615,1983.565161,468.377373,4.944878,0.4503,-1.979224,-1.475676,2.691419
8,1683.125211,1997.819641,458.41513,4.912028,0.4503,-1.979224,-1.45602,2.699185
9,1670.166542,1984.765678,461.107503,4.927376,0.413739,-2.001357,-1.491283,2.722759
10,1657.071049,1999.583049,451.15886,4.892151,0.413739,-2.001357,-1.469776,2.731788
11,1629.495475,1959.207738,434.732007,4.960156,0.43242,-2.039231,-1.52502,2.683094
12,1613.04198,1950.001614,427.693407,4.967281,0.424102,-2.055746,-1.541725,2.682103
13,1570.576449,1946.550605,370.569069,4.975771,0.565031,-2.066585,-1.488054,2.548806
14,1548.105745,1945.60892,350.071094,4.969114,0.598383,-2.075019,-1.47214,2.517218
15,1515.740704,1943.202602,317.979531,4.969138,0.67087,-2.082633,-1.441066,2.448819
16,1510.246689,1937.339067,321.751521,4.961456,0.626081,-2.098038,-1.4619,2.486337
17,1440.955822,1941.248677,251.782067,4.965824,0.838903,-2.08649,-1.361105,2.293678
18,1510.06514,1913.00049,358.199963,4.962534,0.454466,-2.136672,-1.562343,2.620955
19,1498.123017,1922.201406,348.479329,4.929062,0.454466,-2.136672,-1.543091,2.630358
20,1485.784504,1931.524721,338.801341,4.894718,0.454466,-2.136672,-1.523302,2.640293
21,1473.009188,1941.000576,329.169569,4.859428,0.454466,-2.136672,-1.502935,2.650808
22,1459.750362,1950.662017,319.587623,4.823106,0.454466,-2.136672,-1.481939,2.661955
23,1357.15603,1952.252652,193.881512,4.818151,0.838903,-2.08649,-1.28289,2.324279
24,1342.726468,1953.264473,184.410204,4.792044,0.838903,-2.08649,-1.269153,2.330194
25,1403.137641,1936.196952,269.11162,4.791571,0.520021,-2.16257,-1.441374,2.603094
26,1419.554482,1924.082034,330.973401,4.7878,0.315195,-2.187768,-1.562254,2.766534
27,1377.735403,1915.485454,258.898941,4.784871,0.494764,-2.193116,-1.462734,2.613948
28,1363.881895,1922.973388,249.694164,4.747205,0.494764,-2.193116,-1.441891,2.626342
29,1349.43021,1930.711068,240.565755,4.708276,0.494764,-2.193116,-1.420375,2.639518
30,1309.834472,1920.507191,191.409656,4.70152,0.618845,-2.187376,-1.34924,2.53368
31,1302.324839,1903.503134,192.460952,4.707479,0.586932,-2.212249,-1.376942,2.550795
32,1287.628922,1908.224248,183.585985,4.670419,0.586932,-2.212249,-1.357452,2.562981
33,1272.361028,1913.091478,174.803839,4.632161,0.586932,-2.212249,-1.337421,2.575895
34,1256.451854,1918.126654,166.118804,4.592605,0.586932,-2.212249,-1.316804,2.589604
35,1239.821968,1923.352018,157.535247,4.551635,0.586932,-2.212249,-1.295549,2.604186
36,1222.379839,1928.790271,149.057616,4.509119,0.586932,-2.212249,-1.273595,2.619731
37,1204.01924,1934.4647,140.69044,4.464905,0.586932,-2.212249,-1.250867,2.636346
38,1184.615781,1940.399458,132.438331,4.41881,0.586932,-2.212249,-1.227276,2.654155
39,1164.022104,1946.620088,124.305987,4.370617,0.586932,-2.212249,-1.20271,2.673315
40,1142.061016,1953.154509,116.298192,4.320059,0.586932,-2.212249,-1.177028,2.694015
41,1118.515263,1960.034794,108.419815,4.2668,0.586932,-2.212249,-1.150046,2.716498
42,1093.111537,1967.300452,100.675815,4.210407,0.586932,-2.212249,-1.121518,2.74108
43,1104.829697,1936.212889,118.173294,4.251464,0.50971,-2.268163,-1.206691,2.775767
44,1095.702904,1912.078228,111.00457,4.261345,0.508834,-2.28854,-1.223925,2.761426
45,1100.934549,1899.407303,140.577886,4.262688,0.401014,-2.330862,-1.308271,2.833482
46,1072.580646,1906.774018,127.404404,4.203563,0.418235,-2.330862,-1.268774,2.847648
47,1042.239818,1914.094349,115.096425,4.141339,0.433548,-2.330862,-1.229307,2.865362
48,1012.945516,1913.826652,100.08755,4.090379,0.45734,-2.330862,-1.192148,2.869032
49,953.880861,1956.968567,101.609681,3.941615,0.433548,-2.330862,-1.124788,2.976928
50,956.416237,1948.878593,143.208279,3.93966,0.298305,0.757057,1.234734,-0.073517
51,987.858521,1868.943032,117.391446,4.065703,0.352377,0.741839,1.291899,-0.219257
52,935.017586,1897.523335,111.281045,3.945388,0.352377,0.741839,1.23058,-0.147869
53,956.909476,1842.050745,109.020243,4.025986,0.342172,0.715199,1.303998,-0.216944
54,900.953965,1869.9066,103.302828,3.901575,0.342172,0.715199,1.242792,-0.142342
55,939.057505,1805.233467,114.355133,4.011852,0.296377,0.680182,1.361181,-0.214343
56,943.284766,1764.517351,105.015801,4.048991,0.307476,0.660967,1.389986,-0.270785
57,936.350435,1745.319239,111.623376,4.043146,0.275432,0.643506,1.427468,-0.269058
58,938.419137,1726.135439,156.216258,4.046343,0.142637,0.622145,1.552644,-0.217575
59,883.314053,1755.571074,151.579016,3.920958,0.142637,0.622145,1.49769,-0.142937
60,813.474886,1788.047429,169.877445,3.773396,0.082659,0.614947,1.480422,-0.015239
61,811.775512,1756.902014,145.426063,3.78598,0.136225,0.607377,1.463393,-0.084358
62,799.481041,1730.597962,114.500412,3.778085,0.208172,0.60197,1.419081,-0.147676
63,795.84369,1710.485996,143.270016,3.775123,0.121809,0.585726,1.508481,-0.126461
64,773.261059,1695.887982,131.907629,3.739316,0.142825,0.578408,1.491259,-0.139605
65,789.979819,1655.689863,134.51842,3.783917,0.127515,0.56282,1.547827,-0.201065
66,729.281777,1666.892869,131.609893,3.666901,0.127515,0.56282,1.50607,-0.136407
67,705.987424,1651.537972,129.768315,3.628455,0.125392,0.556113,1.508502,-0.137295
68,678.54901,1634.764098,112.666804,3.583925,0.164454,0.552085,1.473225,-0.155503
69,653.125737,1618.263734,110.562386,3.541457,0.164454,0.546787,1.472719,-0.155503
70,627.249123,1600.859989,108.732373,3.498142,0.164454,0.54213,1.472272,-0.155503
71,600.986146,1582.47874,107.179377,3.454063,0.164454,0.538139,1.471887,-0.155503
72,574.417779,1563.051167,105.905637,3.409309,0.164454,0.53484,1.471569,-0.155503
73,547.638275,1542.516225,104.913004,3.363984,0.164454,0.532251,1.471318,-0.155503
74,520.753877,1520.823046,104.202933,3.3182,0.164454,0.530391,1.471138,-0.155503
75,493.880944,1497.93311,103.776469,3.272077,0.164454,0.529269,1.471029,-0.155503
76,467.143578,1473.822055,103.634245,3.225739,0.164454,0.528895,1.470992,-0.155503
77,440.670841,1448.480987,103.776469,3.179315,0.164454,0.529269,1.471029,-0.155503
78,414.593718,1421.917218,104.202931,3.132933,0.164454,0.530391,1.471138,-0.155503
79,389.04198,1394.154349,104.913001,3.08672,0.164454,0.532251,1.471318,-0.155503
80,364.141133,1365.231736,105.905634,3.040799,0.164454,0.53484,1.471569,-0.155503
81,340.009614,1335.20336,107.179374,2.995286,0.164454,0.538139,1.471887,-0.155503
