Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,961.538993,1910.293266,353.946730,0.980199,1.102340,-0.702279,1.562876,-1.887636
2,1054.713435,1989.446648,304.699717,0.999263,1.475632,-0.770761,1.270915,-1.641789
3,1442.060586,1992.010893,295.200474,5.256263,1.464178,-1.959880,-1.233973,1.676831
4,1458.942682,1996.158535,289.167165,5.173292,1.391905,-1.916753,-1.242629,1.752308
5,1443.605581,1998.079267,279.209203,5.158220,1.391905,-1.916753,-1.234259,1.752926
6,1428.250635,1999.548676,269.246541,5.143108,1.391905,-1.916753,-1.225804,1.753568
7,1399.298068,1991.609941,257.852198,5.180722,1.414403,-1.959880,-1.217399,1.728490
8,1384.033935,1991.918700,247.889954,5.165753,1.414403,-1.959880,-1.208808,1.729082
9,1451.616804,1944.503996,266.016009,5.172294,1.153249,-2.056721,-1.316929,1.975454
10,1437.458684,1945.997156,256.067366,5.154640,1.153249,-2.056721,-1.307507,1.977158
11,1423.279408,1947.093653,246.130501,5.136860,1.153249,-2.056721,-1.297980,1.978928
12,1409.083025,1947.796900,236.208756,5.118946,1.153249,-2.056721,-1.288347,1.980767
13,1394.873375,1948.110528,226.305490,5.100885,1.153249,-2.056721,-1.278607,1.982677
14,1380.654075,1948.038395,216.424080,5.082667,1.153249,-2.056721,-1.268758,1.984661
15,1366.428505,1947.584578,206.567927,5.064281,1.153249,-2.056721,-1.258797,1.986723
16,1352.199793,1946.753377,196.740453,5.045715,1.153249,-2.056721,-1.248724,1.988865
17,1337.970794,1945.549315,186.945107,5.026957,1.153249,-2.056721,-1.238537,1.991092
18,1323.744078,1943.977134,177.185365,5.007994,1.153249,-2.056721,-1.228234,1.993406
19,1309.521902,1942.041797,167.464731,4.988813,1.153249,-2.056721,-1.217814,1.995812
20,1295.306192,1939.748482,157.786743,4.969400,1.153249,-2.056721,-1.207275,1.998314
21,1281.098521,1937.102582,148.154971,4.949741,1.153249,-2.056721,-1.196615,2.000916
22,1173.038730,1950.531805,110.489873,4.946065,1.414403,-1.959880,-1.078692,1.740179
23,1158.350024,1944.439758,100.961400,4.929261,1.414403,-1.959880,-1.068656,1.741221
24,1224.306388,1915.708957,114.603745,4.929179,1.186680,-2.077672,-1.161722,1.969241
25,1210.339898,1911.222606,105.193339,4.908961,1.186680,-2.077672,-1.150769,1.971976
26,1210.207442,1918.787309,100.817120,4.847219,1.153249,-2.056721,-1.141474,2.015585
27,1337.716739,1887.679084,202.854568,4.846375,0.671195,0.938761,1.400697,-0.702279
28,1323.595538,1881.376220,193.649791,4.833545,0.671195,0.929135,1.395830,-0.702279
29,1309.564373,1874.707073,184.521382,4.820560,0.671195,0.919400,1.390931,-0.702279
30,1295.626737,1867.681011,175.473353,4.807403,0.671195,0.909557,1.386001,-0.702279
31,1281.785771,1860.307870,166.509783,4.794060,0.671195,0.899608,1.381039,-0.702279
32,1249.302441,1811.580083,140.932353,4.867760,0.728513,0.849818,1.390106,-0.790647
33,1260.501848,1817.630453,159.627047,4.819202,0.635578,0.847508,1.425816,-0.702279
34,1254.484929,1772.825225,167.775110,4.874173,0.581720,0.797833,1.498861,-0.702279
35,1242.132107,1765.565916,159.191553,4.857585,0.581720,0.788857,1.492388,-0.702279
36,1234.098171,1734.525413,162.926599,4.884034,0.543818,0.756673,1.538606,-0.702279
37,1222.371792,1727.194321,154.559423,4.866149,0.543818,0.747903,1.531677,-0.702279
38,1221.237838,1752.204271,158.532598,4.784700,0.506729,0.767426,1.514352,-0.636899
39,1202.736762,1773.999813,138.174970,4.710991,0.543818,0.784945,1.448148,-0.628348
40,1190.063767,1765.438278,130.167175,4.693291,0.543818,0.774854,1.442610,-0.628348
41,1177.455636,1756.663541,122.288798,4.675211,0.543818,0.764692,1.437074,-0.628348
42,1164.907288,1747.691329,114.544798,4.656724,0.543818,0.754468,1.431542,-0.628348
43,1137.835284,1826.588959,106.273487,4.467869,0.545865,0.812064,1.322490,-0.524349
44,1134.391145,1781.123147,102.673564,4.519382,0.534052,0.772516,1.369473,-0.558610
45,1129.249120,1744.994046,100.929292,4.551664,0.517164,0.739527,1.407829,-0.579851
46,1125.774805,1706.292812,102.634211,4.587909,0.490607,0.704362,1.455461,-0.599910
47,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
48,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
49,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
50,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
51,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
52,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
53,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
54,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
55,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
56,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
57,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
58,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
59,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
60,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
61,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
62,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
63,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
64,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
65,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
66,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
67,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
68,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
69,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
70,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
71,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
72,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
73,1026.148575,1958.902914,145.780092,4.058149,0.346448,0.801403,1.234044,-0.153115
