Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
2,1680.429822,1999.999787,390.400401,4.980265,0.879687,1.284728,1.328911,-0.856327
3,1726.632037,1983.873201,449.795723,4.976478,0.629276,1.223359,1.408577,-0.614487
4,1736.053838,1984.054423,479.595516,4.960946,0.505482,1.200625,1.446135,-0.495749
5,1716.419397,1985.070242,464.112886,4.957141,0.522133,1.190976,1.443862,-0.513552
6,1700.188538,1983.141908,455.463189,4.95627,0.518162,1.17748,1.451386,-0.513095
7,1684.515687,1986.060626,445.499095,4.945415,0.518162,1.168921,1.449356,-0.513095
8,1668.826592,1988.511491,435.536851,4.934552,0.518162,1.160282,1.447291,-0.513095
9,1653.127192,1990.49749,425.579754,4.923675,0.518162,1.15156,1.44519,-0.513095
10,1637.423323,1992.021822,415.631111,4.912779,0.518162,1.142755,1.443053,-0.513095
11,1621.720715,1993.087906,405.694246,4.901857,0.518162,1.133865,1.44088,-0.513095
12,1606.024985,1993.699386,395.772501,4.890902,0.518162,1.124889,1.43867,-0.513095
13,1590.341634,1993.860133,385.869235,4.879908,0.518162,1.115825,1.436424,-0.513095
14,1574.676037,1993.574255,375.987825,4.868868,0.518162,1.106672,1.434142,-0.513095
15,1559.033443,1992.846101,366.131672,4.857776,0.518162,1.097429,1.431821,-0.513095
16,1543.418962,1991.680266,356.304198,4.846622,0.518162,1.088095,1.429464,-0.513095
17,1527.83756,1990.081604,346.508852,4.835401,0.518162,1.078668,1.427069,-0.513095
18,1512.746106,1976.083483,340.14938,4.846335,0.507918,1.058297,1.446542,-0.513552
19,1499.465695,1967.000047,335.771038,4.846778,0.491941,1.042021,1.461058,-0.505087
20,1506.29586,1959.496868,376.508652,4.838756,0.346931,1.021927,1.536433,-0.382697
21,1468.084126,1950.048599,317.157723,4.844081,0.489868,1.013791,1.472515,-0.513552
22,1453.284715,1945.004685,308.272992,4.834917,0.487796,1.002721,1.472915,-0.513552
23,1438.431402,1941.605462,298.74452,4.821893,0.487796,0.993309,1.469385,-0.513552
24,1423.62715,1937.808711,289.273212,4.808761,0.487796,0.983788,1.465838,-0.513552
25,1408.87585,1933.621925,279.862806,4.795509,0.487796,0.97416,1.462274,-0.513552
26,1394.181092,1929.05295,270.517087,4.782124,0.487796,0.964424,1.458692,-0.513552
27,1379.546144,1924.109995,261.239892,4.768594,0.487796,0.954582,1.455092,-0.513552
28,1364.973924,1918.801647,252.035115,4.754905,0.487796,0.944634,1.451472,-0.513552
29,1350.142471,1914.853681,242.209491,4.737859,0.489868,0.936077,1.444341,-0.513552
30,1336.027432,1907.125092,233.858678,4.726992,0.487796,0.924427,1.444174,-0.513552
31,1324.597,1887.599343,230.875486,4.737156,0.470109,0.902845,1.468458,-0.512926
32,1311.153938,1877.531591,223.410824,4.729027,0.465961,0.889695,1.471774,-0.513552
33,1297.168618,1870.943619,214.628677,4.713676,0.465961,0.879539,1.46761,-0.513552
34,1283.247171,1864.049517,205.943642,4.698081,0.465961,0.869286,1.463436,-0.513552
35,1269.389257,1856.860947,197.360085,4.682222,0.465961,0.858939,1.459253,-0.513552
36,1255.593838,1849.390047,188.882455,4.666079,0.465961,0.848501,1.45506,-0.513552
37,1241.859107,1841.649429,180.515279,4.649633,0.465961,0.837978,1.450858,-0.513552
38,1228.182423,1833.652178,172.26317,4.63286,0.465961,0.827375,1.446648,-0.513552
39,1214.560229,1825.41184,164.130826,4.615737,0.465961,0.816697,1.442431,-0.513552
40,1200.98797,1816.942409,156.12303,4.598241,0.465961,0.805951,1.438208,-0.513552
41,1187.459997,1808.258299,148.244654,4.580345,0.465961,0.795144,1.43398,-0.513552
42,1173.969477,1799.374305,140.500654,4.562022,0.465961,0.784284,1.429749,-0.513552
43,1160.508278,1790.305558,132.896072,4.543245,0.465961,0.77338,1.425518,-0.513552
44,1147.066865,1781.067457,125.436036,4.523983,0.465961,0.762442,1.421288,-0.513552
45,1133.634185,1771.675584,118.125752,4.504206,0.465961,0.75148,1.417062,-0.513552
46,1120.197541,1762.145595,110.970506,4.483881,0.465961,0.740506,1.412844,-0.513552
47,1092.279046,1796.797355,101.861688,4.376641,0.472181,0.75846,1.351899,-0.460144
48,1083.314736,1781.736886,101.916175,4.367243,0.451997,0.740541,1.370494,-0.453653
49,1094.406113,1708.205612,106.630895,4.470157,0.419073,0.686565,1.46573,-0.518758
50,1076.261173,1716.196569,100.150025,4.4139,0.419073,0.686565,1.442312,-0.495612
51,1070.552188,1723.55165,127.237743,4.36581,0.324976,0.676746,1.497507,-0.419015
52,1046.979311,1752.572222,142.619237,4.27192,0.266003,0.679496,1.499092,-0.33112
53,1016.451319,1771.076537,136.70251,4.189925,0.266003,0.679496,1.462783,-0.289254
54,979.387852,1792.44101,130.985094,4.097001,0.266003,0.679496,1.420882,-0.239164
55,931.388241,1818.983799,125.472618,3.984618,0.266003,0.679496,1.368353,-0.174049
56,848.623032,1865.343221,120.170682,3.803885,0.266003,0.679496,1.275845,-0.054952
57,808.934037,1861.513322,106.09032,3.737211,0.290556,0.674675,1.234892,-0.039844
58,848.632652,1802.966809,104.51602,3.840136,0.281555,0.655046,1.321135,-0.137563
59,844.771173,1776.760489,102.325457,3.846227,0.274877,0.640505,1.347805,-0.162083
60,876.856912,1717.238671,101.388047,3.93791,0.265433,0.614648,1.424774,-0.254606
61,807.69125,1753.333405,115.593831,3.78402,0.215774,0.613953,1.397103,-0.128821
62,780.573629,1745.662819,121.370486,3.735995,0.189777,0.603312,1.410844,-0.102715
63,764.21155,1729.886541,129.742916,3.71091,0.157665,0.591534,1.443357,-0.09333
64,754.407706,1702.433476,104.935095,3.705638,0.214781,0.585818,1.412934,-0.151555
65,728.4039,1691.909644,112.496317,3.659994,0.186042,0.57641,1.432535,-0.129305
66,704.144545,1681.233711,135.904485,3.616849,0.116159,0.565379,1.489099,-0.088224
67,646.472534,1675.90032,111.570394,3.516976,0.173699,0.565115,1.408975,-0.069184
68,583.841558,1670.583221,117.262204,3.407982,0.152239,0.558405,1.391826,0
69,580.411008,1647.229344,139.619599,3.406014,0.08756,0.548247,1.468298,0
70,575.1794,1622.689016,161.82697,3.400872,0.02436,0.541439,1.542373,0
71,547.819783,1602.032549,160.273974,3.356465,0.02436,0.537455,1.54244,0
72,520.27469,1580.233428,159.000233,3.311441,0.02436,0.534161,1.542496,0
73,492.649383,1557.243026,158.0076,3.265903,0.02436,0.531576,1.542539,0
74,465.05963,1533.024684,157.297529,3.219965,0.02436,0.529718,1.54257,0
75,437.62952,1507.55561,156.871066,3.173749,0.02436,0.528599,1.542588,0
76,410.488771,1480.82833,156.728841,3.12738,0.02436,0.528225,1.542594,0
77,383.769936,1452.851592,156.871066,3.080987,0.02436,0.528599,1.542588,0
78,357.60491,1423.65064,157.297528,3.034698,0.02436,0.529718,1.54257,0
79,332.12213,1393.266851,158.007598,2.988639,0.02436,0.531576,1.542539,0
80,307.443438,1361.756741,159.000231,2.942931,0.02436,0.534161,1.542496,0
81,283.681483,1329.190422,160.273971,2.897689,0.02436,0.537455,1.54244,0
82,260.937543,1295.649625,161.826966,2.853019,0.02436,0.541439,1.542373,0
83,239.299891,1261.22541,163.656978,2.809016,0.02436,0.546089,1.542293,0
84,218.842742,1226.015719,165.761395,2.765765,0.02436,0.551378,1.5422,0
85,199.625774,1190.122903,168.137255,2.723337,0.02436,0.557277,1.542096,0
86,207.023879,1162.765432,135.904478,2.728044,0.116159,0.565379,1.489099,-0.088224
87,243.11355,1149.55334,138.813004,2.787313,0.116159,0.565379,1.543064,-0.172288
88,251.764408,1124.0432,133.989711,2.793949,0.137306,0.568127,1.551212,-0.222341
89,258.538111,1097.463259,128.007661,2.79617,0.162278,0.570698,1.553771,-0.269754
90,237.308482,1060.198364,124.116975,2.745484,0.182442,0.581127,1.531949,-0.269933
91,251.65736,1038.422215,128.04192,2.761467,0.182442,0.581127,1.562722,-0.313119
