Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
2,1460.224216,1999.534355,304.873491,5.229643,1.470947,-1.917472,-1.235715,1.671423
3,1476.717792,1999.969313,299.015719,5.163538,1.393408,-1.892359,-1.246272,1.751733
4,1496.940552,1994.156601,297.300264,5.123429,1.296791,-1.898861,-1.26352,1.850672
5,1468.894151,1999.592184,283.964704,5.11593,1.331732,-1.895869,-1.245786,1.816043
6,1531.160433,1964.706872,306.265436,5.113031,1.090546,-1.974627,-1.327831,2.050237
7,1516.741785,1968.360522,296.301342,5.094802,1.090546,-1.974627,-1.318361,2.05211
8,1502.266177,1971.61441,286.339099,5.07646,1.090546,-1.974627,-1.308784,2.054056
9,1487.737434,1974.471409,276.382001,5.057993,1.090546,-1.974627,-1.2991,2.056076
10,1473.159151,1976.934601,266.433358,5.039392,1.090546,-1.974627,-1.289305,2.058175
11,1458.53468,1979.007276,256.496494,5.020646,1.090546,-1.974627,-1.279399,2.060356
12,1443.867113,1980.692932,246.574749,5.001743,1.090546,-1.974627,-1.269379,2.062622
13,1429.159267,1981.995269,236.671482,4.982673,1.090546,-1.974627,-1.259243,2.064977
14,1414.413667,1982.918187,226.790072,4.963422,1.090546,-1.974627,-1.248988,2.067425
15,1308.430556,1999.98686,183.098519,4.961099,1.349829,-1.893822,-1.151421,1.807178
16,1272.928377,1998.351703,169.37047,4.959063,1.402811,-1.884144,-1.128017,1.751872
17,1250.766469,1993.980108,158.54559,4.952763,1.419828,-1.885578,-1.114763,1.734251
18,1229.02307,1987.897184,147.950271,4.950624,1.435186,-1.891561,-1.102306,1.718077
19,1350.694988,1944.665776,187.607379,4.953846,1.037663,-2.063493,-1.25805,2.111707
20,1363.696218,1927.669756,197.679566,4.955943,0.943097,-2.106034,-1.304427,2.194556
21,1349.991761,1927.604262,188.047795,4.933299,0.943097,-2.106034,-1.292466,2.198669
22,1336.226536,1927.260308,178.465849,4.910311,0.943097,-2.106034,-1.280346,2.202954
23,1322.396785,1926.64512,168.937376,4.886957,0.943097,-2.106034,-1.268065,2.207421
24,1308.497928,1925.766086,159.466068,4.863218,0.943097,-2.106034,-1.255619,2.212078
25,1294.524499,1924.630733,150.055662,4.839072,0.943097,-2.106034,-1.243005,2.216934
26,1280.47008,1923.246689,140.709943,4.814496,0.943097,-2.106034,-1.230221,2.222
27,1266.327223,1921.621647,131.432749,4.789467,0.943097,-2.106034,-1.217262,2.227286
28,1252.087371,1919.763319,122.227972,4.76396,0.943097,-2.106034,-1.204127,2.232803
29,1237.740773,1917.679378,113.099563,4.737948,0.943097,-2.106034,-1.190811,2.238563
30,1223.276396,1915.37739,104.051534,4.711405,0.943097,-2.106034,-1.177313,2.244579
31,1216.779299,1874.121755,101.641287,4.774489,0.914374,-2.176308,-1.224575,2.245485
32,1215.55758,1822.640927,106.450275,4.85506,0.857585,-2.261422,-1.299528,2.256115
33,1223.779553,1820.029928,116.825561,4.822457,0.78381,-2.273994,-1.33059,2.323497
34,1213.394357,1807.693616,111.33212,4.815375,0.77205,-2.289911,-1.335847,2.32957
35,1202.035753,1847.404831,102.596906,4.697916,0.772606,-2.240681,-1.272759,2.378658
36,1222.457549,1836.525936,134.165945,4.68841,0.634649,-2.281631,-1.358477,2.48648
37,1222.036504,1825.058282,144.569209,4.679102,0.574754,-2.303784,-1.397046,2.52902
38,1207.891473,1828.852916,136.3171,4.638963,0.574754,-2.303784,-1.377311,2.54295
39,1193.051591,1832.898904,128.184756,4.597406,0.574754,-2.303784,-1.357043,2.557729
40,1177.425761,1837.215209,120.17696,4.554315,0.574754,-2.303784,-1.336197,2.573438
41,1160.909944,1841.819469,112.298584,4.509555,0.574754,-2.303784,-1.314721,2.590169
42,1143.384647,1846.727699,104.554584,4.462971,0.574754,-2.303784,-1.292552,2.608029
43,1133.563767,1860.479145,115.002726,4.403926,0.519269,-2.312183,-1.300302,2.676218
