Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
2,1762.067787,1999.846178,480.403631,4.939146,0.563691,1.245827,1.394951,-0.538792
3,1724.308082,1988.417132,445.177933,4.968988,0.644351,1.22987,1.397821,-0.626819
4,1690.540581,1988.617708,414.841213,4.974822,0.713109,1.223933,1.383745,-0.696581
5,1675.623276,1992.983336,405.554744,4.961659,0.710781,1.216911,1.379469,-0.693217
6,1677.18055,1994.883522,416.983712,4.944728,0.638859,1.199807,1.397349,-0.622639
7,1652.197676,1994.803144,396.210067,4.943318,0.674685,1.192231,1.3881,-0.658854
8,1672.047577,1982.881171,443.47963,4.943484,0.494324,1.153789,1.464028,-0.494286
9,1656.155956,1986.655308,432.363104,4.929513,0.497784,1.146746,1.458183,-0.496472
10,1642.619374,1998.917252,422.414461,4.898208,0.497784,1.146746,1.439881,-0.489078
11,1632.436572,1979.56174,430.981585,4.922561,0.443289,1.117961,1.489689,-0.453087
12,1619.230877,1992.625828,421.05984,4.888534,0.443289,1.117961,1.469316,-0.444277
13,1513.260106,1999.660098,290.657139,4.895619,0.840811,1.165763,1.312102,-0.817189
14,1497.409967,1993.671075,281.433668,4.895137,0.838226,1.149784,1.314706,-0.816805
15,1475.559256,1985.262941,267.255857,4.901345,0.85535,1.133903,1.312973,-0.837005
16,1459.17152,1979.376163,257.287462,4.898826,0.855914,1.11988,1.312658,-0.839238
17,1445.373347,1971.283869,249.780159,4.899052,0.846801,1.101655,1.318228,-0.833487
18,1431.457325,1964.485491,241.866083,4.895536,0.839517,1.086339,1.320914,-0.828533
19,1413.144781,1957.285701,230.041933,4.893673,0.847823,1.073362,1.317237,-0.838467
20,1397.46366,1947.500956,220.803363,4.895388,0.846082,1.055619,1.320266,-0.840585
21,1381.082395,1941.887629,210.170079,4.887322,0.850056,1.045556,1.314759,-0.844669
22,1362.643037,1928.236806,198.902982,4.896625,0.856784,1.024426,1.317507,-0.857277
23,1348.895081,1928.930553,189.37451,4.871711,0.856784,1.024426,1.304394,-0.851994
24,1335.032038,1929.39911,179.903202,4.846357,0.856784,1.024426,1.291087,-0.846479
25,1321.044948,1929.650801,170.492796,4.820538,0.856784,1.024426,1.277581,-0.84072
26,1334.357052,1917.970685,188.444589,4.813985,0.75336,0.987697,1.330833,-0.751598
27,1298.423219,1950.252732,156.373605,4.721186,0.838916,1.048502,1.232737,-0.795712
28,1283.420857,1950.414437,147.168828,4.693015,0.838916,1.048502,1.218152,-0.788688
29,1268.207483,1950.395096,138.040419,4.664228,0.838916,1.048502,1.203327,-0.781335
30,1252.763994,1950.202011,128.992391,4.634791,0.838916,1.048502,1.188253,-0.773633
31,1237.069143,1949.842029,120.02882,4.604664,0.838916,1.048502,1.172924,-0.765561
32,1221.09936,1949.321392,111.153854,4.573808,0.838916,1.048502,1.157331,-0.757097
33,1204.828549,1948.645567,102.371707,4.542179,0.838916,1.048502,1.141464,-0.748217
34,1188.323361,1999.01123,106.016955,4.402351,0.791711,1.088047,1.083483,-0.652942
35,1230.045235,1997.405394,169.338027,4.408874,0.550168,0.97394,1.218818,-0.432631
36,1217.826885,1936.462101,144.846827,4.492725,0.600264,0.939352,1.254741,-0.524635
37,1201.983414,1928.675008,135.71431,4.474858,0.602701,0.929615,1.248039,-0.523763
38,1183.020046,1933.933639,127.462201,4.429956,0.602701,0.929615,1.22524,-0.50673
39,1162.964772,1939.427723,119.329857,4.383115,0.602701,0.929615,1.201571,-0.488462
40,1141.66358,1945.177121,111.322061,4.334108,0.602701,0.929615,1.176919,-0.468799
41,1141.398409,1928.74418,121.868637,4.339323,0.545107,0.892252,1.224034,-0.429953
42,1154.625181,1917.291433,165.894453,4.34384,0.392643,0.839269,1.335782,-0.320736
43,1137.33296,1897.431882,145.974312,4.341571,0.427894,0.829948,1.321039,-0.356862
44,1126.419373,1875.131816,137.676788,4.346831,0.430311,0.812292,1.33313,-0.373132
45,1110.318633,1858.352587,123.29535,4.338372,0.45083,0.801248,1.323538,-0.394553
46,1085.506628,1870.088375,116.140104,4.274229,0.45083,0.801248,1.292474,-0.364796
47,1057.56974,1882.995723,109.145255,4.204834,0.45083,0.801248,1.258758,-0.331345
48,1025.578236,1897.395034,102.316229,4.128542,0.45083,0.801248,1.2214,-0.292946
49,958.318807,1952.765182,102.236222,3.9528,0.431737,0.808733,1.13339,-0.170961
50,961.651918,1941.641765,139.271591,3.955358,0.309133,0.758737,1.237167,-0.092917
51,978.048064,1892.526774,138.017256,4.021876,0.295265,0.736505,1.306111,-0.147442
52,1002.904376,1818.489253,121.970751,4.131765,0.322641,0.711049,1.369698,-0.26376
53,993.382373,1795.155647,113.744041,4.132132,0.329041,0.696044,1.379008,-0.286531
54,985.159962,1768.881885,104.023987,4.137375,0.340164,0.680326,1.387436,-0.316828
55,983.186278,1736.885486,100.631086,4.156482,0.334268,0.659411,1.416976,-0.347797
56,985.904897,1699.711228,101.955896,4.186949,0.315914,0.634599,1.462573,-0.381703
57,960.563265,1707.113039,101.814066,4.123033,0.302292,0.630981,1.451467,-0.34725
58,986.029742,1635.426061,109.966019,4.224795,0.266696,0.589845,1.550523,-0.431783
59,978.747145,1611.897914,105.940147,4.222985,0.265033,0.573007,1.564329,-0.456089
60,963.331849,1603.86498,102.990804,4.189666,0.261076,0.564175,1.56394,-0.454653
61,925.157173,1629.120979,100.845845,4.08481,0.255586,0.572087,1.528557,-0.394769
62,928.599774,1593.101977,102.340885,4.109673,0.24091,0.549889,1.568955,-0.436995
63,901.804461,1597.627145,101.246789,4.045136,0.233933,0.548395,1.557633,-0.410745
64,878.926598,1596.546584,106.922027,3.992144,0.209447,0.544035,1.568043,-0.385775
65,844.710169,1601.870309,103.752884,3.917133,0.209447,0.544035,1.547274,-0.355861
66,807.645752,1605.544712,100.844358,3.839872,0.209447,0.544035,1.526254,-0.324744
67,714.719935,1644.005045,113.184251,3.647989,0.1694,0.556258,1.481326,-0.177053
68,690.032584,1628.818052,110.808391,3.606381,0.1694,0.550374,1.48061,-0.177053
69,664.826538,1612.821761,108.703972,3.563866,0.1694,0.545096,1.479965,-0.177053
70,639.15277,1595.938462,106.87396,3.520511,0.1694,0.540457,1.479398,-0.177053
71,613.076426,1578.093034,105.320964,3.476396,0.1694,0.536481,1.478911,-0.177053
72,586.676728,1559.215363,104.047223,3.431615,0.1694,0.533194,1.478507,-0.177053
73,560.046319,1539.242829,103.05459,3.386268,0.1694,0.530615,1.47819,-0.177053
74,533.290017,1518.122727,102.344519,3.340469,0.1694,0.528761,1.477962,-0.177053
75,506.522991,1495.814477,101.918056,3.294336,0.1694,0.527644,1.477825,-0.177053
76,479.86843,1472.29148,101.775831,3.247995,0.1694,0.527271,1.477779,-0.177053
77,453.454784,1447.542486,101.918055,3.201574,0.1694,0.527644,1.477825,-0.177053
78,427.412752,1421.572385,102.344518,3.155201,0.1694,0.528761,1.477962,-0.177053
79,401.872146,1394.402366,103.054588,3.109004,0.1694,0.530615,1.47819,-0.177053
80,376.958835,1366.069436,104.04722,3.063105,0.1694,0.533194,1.478507,-0.177053
81,381.711202,1340.704464,112.857796,3.068273,0.149364,0.530763,1.5216,-0.210001
82,355.819833,1311.254212,114.613907,3.019181,0.148825,0.535135,1.520599,-0.206038
83,357.56839,1283.000243,107.149156,3.017194,0.173542,0.535346,1.521478,-0.254469
84,285.810748,1242.329149,110.808385,2.884683,0.1694,0.550373,1.48061,-0.177053
85,265.609439,1209.190403,113.184244,2.841833,0.1694,0.556258,1.481326,-0.177053
86,220.806021,1163.615255,106.436345,2.750635,0.194465,0.568532,1.43502,-0.149463
87,211.495491,1131.153246,106.649989,2.724409,0.201679,0.574848,1.437559,-0.166109
88,214.280301,1105.142737,113.082158,2.721262,0.192945,0.578203,1.465592,-0.192203
89,218.91829,1079.428822,117.289686,2.720523,0.190855,0.581679,1.489233,-0.222819
90,224.971561,1053.870095,119.345669,2.72139,0.195191,0.585004,1.508275,-0.257181
91,227.720021,1027.85456,126.244585,2.715921,0.187241,0.588721,1.534,-0.278434
92,230.871796,1000.345151,125.376922,2.709253,0.200709,0.593061,1.541123,-0.309553
93,238.352551,975.566126,127.935346,2.710665,0.205657,0.595571,1.559635,-0.341448
94,233.658848,945.171544,130.996121,2.687903,0.209886,0.602776,1.565274,-0.352371
95,223.959605,911.547486,132.862366,2.653992,0.217938,0.612662,1.561246,-0.355702
96,167.382692,839.570187,111.882897,2.513344,0.28862,0.646978,1.445191,-0.312296
97,193.769332,837.700521,146.716254,2.561716,0.20863,0.638596,1.558253,-0.326172
98,175.537083,796.244647,153.773494,2.505618,0.204487,0.653925,1.549175,-0.303008
99,165.644617,757.98397,156.132659,2.463749,0.213498,0.667018,1.537307,-0.29853
100,102.294711,669.833324,175.747158,2.293615,0.176848,0.697334,1.480084,-0.167435
101,101.035378,635.115144,181.857557,2.265405,0.176848,0.708569,1.481108,-0.167435
102,100.711717,600.791826,188.155999,2.237966,0.176848,0.719901,1.482131,-0.167435
103,101.2854,566.889257,194.636869,2.211266,0.176848,0.73131,1.483151,-0.167435
104,102.718986,533.429908,201.294586,2.185276,0.176848,0.742778,1.484166,-0.167435
105,104.97611,500.433178,208.123612,2.159962,0.176848,0.754289,1.485174,-0.167435
106,108.021621,467.915732,215.11846,2.135296,0.176848,0.765827,1.486175,-0.167435
