# Incremental Trajectory Planning Results with Retry Mechanism,,,,,,,,,,,,,
# Total Waypoints: 300,,,,,,,,,,,,,
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
1,SUCCESS_CARTESIAN,100,0.777945,3,0.251853,1.184297,1.795307,0.325563,0.211398,1.224713,3.135823,-1.549451,1.568687
2,SUCCESS_CARTESIAN,100,0.626256,3,0.247883,1.169759,1.79269,0.316098,0.202462,1.221064,3.131657,-1.545019,1.567124
3,SUCCESS_CARTESIAN,100,1.074331,3,0.243244,1.155269,1.789612,0.306626,0.193539,1.217423,3.127505,-1.540491,1.565527
4,SUCCESS_CARTESIAN,100,2.766666,3,0.248925,1.140831,1.786073,0.297149,0.184626,1.213791,3.123367,-1.535866,1.563892
5,SUCCESS_CARTESIAN,100,1.966036,3,0.251022,1.126451,1.782074,0.287671,0.175721,1.210167,3.119239,-1.531142,1.56222
6,SUCCESS_CARTESIAN,100,0.916664,3,0.249669,1.112136,1.777614,0.278196,0.166819,1.206551,3.11512,-1.526319,1.560508
7,SUCCESS_CARTESIAN,100,0.661604,3,0.249332,1.097892,1.772695,0.268725,0.157919,1.202942,3.111007,-1.521396,1.558755
8,SUCCESS_CARTESIAN,100,0.623616,3,0.249173,1.083725,1.767316,0.259264,0.149018,1.19934,3.106899,-1.516372,1.556959
9,SUCCESS_CARTESIAN,100,0.569997,3,0.249,1.069642,1.76148,0.249815,0.140111,1.195744,3.102793,-1.511245,1.555119
10,SUCCESS_CARTESIAN,100,0.558078,3,0.247976,1.055648,1.755186,0.240381,0.131197,1.192154,3.098688,-1.506014,1.553233
11,SUCCESS_CARTESIAN,100,0.619003,3,0.246532,1.041751,1.748436,0.230967,0.122273,1.18857,3.09458,-1.500679,1.551298
12,SUCCESS_CARTESIAN,100,0.553201,3,0.243102,1.027956,1.741231,0.221574,0.113334,1.184991,3.090468,-1.495239,1.549312
13,SUCCESS_CARTESIAN,100,0.551779,3,0.242707,1.014275,1.733565,0.212209,0.104379,1.181417,3.086346,-1.48969,1.547283
14,SUCCESS_CARTESIAN,100,0.555122,3,0.240176,1.000706,1.725454,0.202872,0.095402,1.177847,3.082219,-1.484034,1.545189
15,SUCCESS_CARTESIAN,100,0.565016,3,0.237774,0.987258,1.716891,0.193567,0.0864,1.174281,3.078081,-1.47827,1.543037
16,SUCCESS_CARTESIAN,100,0.588294,3,0.23768,0.97394,1.707879,0.184298,0.077371,1.170719,3.07393,-1.472396,1.540824
17,SUCCESS_CARTESIAN,100,0.612357,3,0.237711,0.960757,1.69842,0.175069,0.06831,1.167159,3.069763,-1.466411,1.538548
18,SUCCESS_CARTESIAN,100,0.560042,3,0.235411,0.947717,1.688516,0.165882,0.059213,1.163603,3.065579,-1.460314,1.536204
19,SUCCESS_CARTESIAN,100,0.593668,3,0.235348,0.934826,1.678168,0.156743,0.050077,1.160049,3.061374,-1.454104,1.53379
20,SUCCESS_CARTESIAN,100,0.639991,3,0.234807,0.922092,1.66738,0.147654,0.040898,1.156498,3.057148,-1.44778,1.531302
21,SUCCESS_CARTESIAN,100,0.636976,3,0.2337,0.90952,1.656153,0.138618,0.031671,1.152949,3.052896,-1.44134,1.528737
22,SUCCESS_CARTESIAN,100,0.62032,3,0.227595,0.89712,1.64449,0.12964,0.022392,1.149403,3.048617,-1.434785,1.526089
