算法名称,AT(ms),SR5(%),SR10(%),J1(mm),J2(mm),J3(mm),J4(°),J5(°),J6(°),J7(°),J8(°),极限逼近次数,关节突变次数,速度突变次数
ISGA,12.003,76,78,36.582,42.787,14.346,11.021,2.86,7.999,5.906,7.194,67,24,101
ISGA,10.701,83.333,87.667,37.585,40.413,13.659,10.34,2.246,5.612,4.84,5.552,78,21,123
ISGA,13.316,80.333,85,40.562,47.921,14.993,9.853,2.461,6.665,5.813,5.763,84,27,112
ISGA,15.289,79,80.333,42.383,53.213,17.534,9.388,2.662,6.243,5.65,7.295,50,29,74
ISGA,6.326,84,85.667,35.311,32.373,10.997,8.983,2.002,4.813,3.672,5.329,96,13,94
ISGA,11.239,83.333,85.333,45.273,40.869,14.996,8.855,2.425,7.552,5.364,7.972,54,27,94
ISGA,12.513,72.667,74,39.193,34.843,11.393,8.61,1.953,7.574,5.136,5.572,65,14,79
ISGA,13.221,75.667,78.333,42.38,44.853,18.838,8.318,2.518,6.512,5.286,7.661,37,25,86
ISGA,12.372,75.667,77,39.849,44.786,16.211,8.307,1.779,7.006,6.028,7.452,48,16,71
ISGA,9.986,78.667,80.333,36.578,38.755,12.477,8.179,1.948,4.222,3.71,4.074,42,16,76
ISGA,11.809,78.333,82.333,37.388,45.745,12.078,8.076,1.868,5.71,4.29,6.379,57,24,96
NSGA,11.146,88.667,92,40.269,25.16,10.56,8.062,1.406,5.845,3.85,5.822,110,15,107
ISGA,12.634,74.333,75.333,38.63,33.565,13.375,7.929,2.565,7.424,5.669,7.46,92,17,77
ISGA,18.194,74.667,76.333,41.223,44.604,17.369,7.885,1.846,4.07,4.299,5.094,58,20,48
MOEAD,5.993,94.667,97.333,28.144,30.997,11.516,7.832,1.783,3.629,1.815,2.271,130,11,80
NSGA,19.936,85.333,90.667,47.08,39.904,14.812,7.581,2.325,5.451,4.922,6.361,97,28,101
ISGA,15.873,83.333,86,37.52,40.582,13.915,7.558,2.009,4.737,4.336,5.393,53,24,88
ISGA,14.011,83.667,87,34.125,43.745,15.616,7.488,2.283,6.068,5.148,5.03,100,23,80
ISGA,7.122,66.333,67.667,31.971,39.326,11.628,7.453,2.193,3.932,3.039,4.756,39,14,68
ISGA,11.324,76,78.667,44.625,44.442,17.147,7.444,2.617,6.808,5.39,8.474,60,21,97
NSGA,15.136,88,91.333,38.733,35.975,14.028,7.41,1.632,3.54,3.392,3.898,74,12,56
ISGA,11.086,75.667,77,31.742,44.444,11.73,7.375,1.783,8.562,8.046,8.855,54,14,66
NSGA,18.707,84.333,87.667,38.085,34.673,14.823,7.374,2.107,5.672,4.619,5.436,106,26,113
