# Incremental Trajectory Planning Results with Retry Mechanism
# Total Waypoints: 450
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
0,SUCCESS_JOINT_SPACE,100.000000,114.122017,32,3.543467,0.720219,0.731477,1.625084,3.029016,0.058243,-1.567704,-1.492908,-0.267016
1,SUCCESS_CARTESIAN,100.000000,1.421790,3,0.243961,0.710932,0.741411,1.627782,3.014528,0.059198,-1.565750,-1.485673,-0.265274
2,SUCCESS_CARTESIAN,100.000000,0.858568,3,0.237408,0.711757,0.754845,1.630238,3.016921,0.060036,-1.565823,-1.488067,-0.261772
3,SUCCESS_CARTESIAN,100.000000,1.024250,3,0.236811,0.711195,0.768028,1.631454,3.016889,0.063977,-1.565494,-1.488056,-0.261462
4,SUCCESS_CARTESIAN,100.000000,0.841065,3,0.233432,0.708776,0.781055,1.633584,3.013645,0.065373,-1.565165,-1.484827,-0.259486
5,SUCCESS_CARTESIAN,100.000000,0.872380,3,0.241765,0.707775,0.794355,1.636950,3.012883,0.063396,-1.565287,-1.484055,-0.252440
6,SUCCESS_CARTESIAN,100.000000,0.722505,3,0.237801,0.706786,0.807591,1.639237,3.012127,0.064075,-1.565178,-1.483305,-0.249231
7,SUCCESS_CARTESIAN,100.000000,2.726410,3,0.236396,0.705569,0.820855,1.642071,3.010986,0.063184,-1.565184,-1.482161,-0.244223
8,SUCCESS_CARTESIAN,100.000000,0.688419,3,0.233817,0.702986,0.833886,1.643880,3.007455,0.064853,-1.564795,-1.478639,-0.241804
9,SUCCESS_CARTESIAN,100.000000,1.082398,3,0.242113,0.703372,0.847390,1.646770,3.009104,0.063515,-1.565035,-1.480284,-0.235966
10,SUCCESS_CARTESIAN,100.000000,1.400643,3,0.235351,0.702148,0.860546,1.647395,3.007921,0.067987,-1.564548,-1.479131,-0.236344
11,SUCCESS_CARTESIAN,100.000000,1.463527,3,0.240445,0.703938,0.874195,1.649223,3.011998,0.069150,-1.564725,-1.483206,-0.233368
12,SUCCESS_CARTESIAN,100.000000,1.733379,3,0.236674,0.700174,0.887116,1.651007,3.006419,0.070284,-1.564230,-1.477648,-0.230423
13,SUCCESS_CARTESIAN,100.000000,1.398415,3,0.235681,0.697888,0.900352,1.654384,3.003434,0.067083,-1.564327,-1.474648,-0.222746
14,SUCCESS_CARTESIAN,100.000000,2.464077,3,0.242710,0.691938,0.912994,1.656711,2.994052,0.066489,-1.563750,-1.465275,-0.218207
15,SUCCESS_CARTESIAN,100.000000,2.106851,3,0.266650,0.685218,0.925242,1.655988,2.983256,0.073768,-1.562178,-1.454572,-0.221389
16,SUCCESS_CARTESIAN,100.000000,0.960564,3,0.234745,0.681540,0.938030,1.656368,2.977777,0.078007,-1.561250,-1.449147,-0.221333
17,SUCCESS_CARTESIAN,100.000000,0.924620,3,0.234856,0.680880,0.951126,1.654664,2.977518,0.087578,-1.560057,-1.448986,-0.226861
18,SUCCESS_CARTESIAN,100.000000,1.065080,3,0.231743,0.678616,0.963958,1.653199,2.974449,0.096380,-1.558681,-1.446031,-0.232015
19,SUCCESS_CARTESIAN,100.000000,0.867159,3,0.242976,0.673506,0.976516,1.654078,2.966453,0.098874,-1.557566,-1.438106,-0.230249
20,SUCCESS_CARTESIAN,100.000000,0.995874,3,0.234578,0.671213,0.989609,1.655489,2.963405,0.099808,-1.557132,-1.435086,-0.226705
21,SUCCESS_CARTESIAN,100.000000,0.871716,3,0.231064,0.667773,1.002329,1.655186,2.958290,0.105104,-1.555864,-1.430068,-0.228050
22,SUCCESS_CARTESIAN,100.000000,1.206526,3,0.234296,0.663242,1.014984,1.656366,2.951296,0.106348,-1.554927,-1.423138,-0.225355
23,SUCCESS_CARTESIAN,100.000000,5.542485,3,0.240458,0.658751,1.027771,1.658831,2.944411,0.104052,-1.554536,-1.416255,-0.218668
24,SUCCESS_CARTESIAN,100.000000,1.523500,3,0.240036,0.659644,1.041726,1.662222,2.947041,0.099154,-1.555567,-1.418794,-0.209603
25,SUCCESS_CARTESIAN,100.000000,1.002765,3,0.245905,0.661401,1.055720,1.664337,2.951144,0.097480,-1.556232,-1.422853,-0.203778
26,SUCCESS_CARTESIAN,100.000000,0.994007,3,0.235025,0.657931,1.068450,1.663942,2.945970,0.102280,-1.554976,-1.417777,-0.204642
27,SUCCESS_CARTESIAN,100.000000,0.868422,3,0.239847,0.659023,1.082554,1.668197,2.948981,0.094670,-1.556441,-1.420658,-0.192428
28,SUCCESS_CARTESIAN,100.000000,0.796955,3,0.241954,0.660083,1.096430,1.670170,2.951858,0.092923,-1.556978,-1.423498,-0.186585
29,SUCCESS_CARTESIAN,100.000000,0.735034,3,0.235895,0.654391,1.108823,1.670425,2.942804,0.095559,-1.555703,-1.414524,-0.184914
30,SUCCESS_CARTESIAN,100.000000,0.710290,3,0.239280,0.654254,1.122108,1.668591,2.943452,0.103548,-1.554514,-1.415294,-0.189319
31,SUCCESS_CARTESIAN,100.000000,1.171351,3,0.238191,0.652191,1.135253,1.669164,2.940791,0.105060,-1.553991,-1.412672,-0.186059
32,SUCCESS_CARTESIAN,100.000000,1.779556,3,0.243332,0.653298,1.149036,1.669573,2.943715,0.106828,-1.554030,-1.415610,-0.184127
33,SUCCESS_CARTESIAN,100.000000,5.024051,3,0.232993,0.652657,1.162262,1.668152,2.943486,0.113304,-1.552989,-1.415494,-0.186248
34,SUCCESS_CARTESIAN,100.000000,5.551362,3,0.256384,0.650440,1.175220,1.667170,2.940493,0.118458,-1.551823,-1.412615,-0.187082
35,SUCCESS_CARTESIAN,100.000000,2.308009,3,0.240188,0.648546,1.188588,1.669012,2.938189,0.115997,-1.551940,-1.410282,-0.180935
36,SUCCESS_CARTESIAN,100.000000,1.096004,3,0.242101,0.648455,1.202258,1.670203,2.939040,0.115122,-1.552181,-1.411112,-0.175620
37,SUCCESS_CARTESIAN,100.000000,0.868025,3,0.242574,0.648423,1.215992,1.671787,2.940015,0.113053,-1.552626,-1.412040,-0.169439
38,SUCCESS_CARTESIAN,100.000000,0.850214,3,0.257696,0.646735,1.229703,1.676169,2.938176,0.103449,-1.553970,-1.410045,-0.154943
39,SUCCESS_CARTESIAN,100.000000,0.837357,3,0.245264,0.648398,1.243621,1.676098,2.942078,0.105432,-1.554070,-1.413960,-0.153205
40,SUCCESS_CARTESIAN,100.000000,0.812652,3,0.231756,0.642518,1.256119,1.677240,2.932724,0.104080,-1.553287,-1.404633,-0.147931
41,SUCCESS_CARTESIAN,100.000000,0.781955,3,0.237917,0.640915,1.269439,1.677740,2.930890,0.104277,-1.553057,-1.402813,-0.143746
42,SUCCESS_CARTESIAN,100.000000,0.968894,3,0.283348,0.633703,1.281052,1.674072,2.918956,0.115323,-1.549769,-1.391167,-0.150773
43,SUCCESS_CARTESIAN,100.000000,0.885860,3,0.248237,0.634233,1.294369,1.670671,2.920718,0.125508,-1.548160,-1.393140,-0.157377
44,SUCCESS_CARTESIAN,100.000000,0.934849,3,0.246181,0.635008,1.308452,1.672849,2.923182,0.120831,-1.549294,-1.395481,-0.148163
45,SUCCESS_CARTESIAN,100.000000,0.719996,3,0.227426,0.630242,1.321041,1.673071,2.915730,0.121154,-1.548309,-1.388092,-0.144604
46,SUCCESS_CARTESIAN,100.000000,0.727535,3,0.234139,0.628702,1.334354,1.673234,2.913996,0.121488,-1.548030,-1.386379,-0.140555
47,SUCCESS_CARTESIAN,100.000000,0.707042,3,0.236315,0.627901,1.347722,1.672384,2.913528,0.124343,-1.547439,-1.385977,-0.139417
48,SUCCESS_CARTESIAN,100.000000,0.660217,3,0.238603,0.626394,1.361046,1.672441,2.911851,0.124661,-1.547160,-1.384320,-0.135361
49,SUCCESS_CARTESIAN,100.000000,0.691902,3,0.240658,0.627808,1.375000,1.672094,2.915347,0.125884,-1.547384,-1.387826,-0.132477
50,SUCCESS_CARTESIAN,100.000000,0.674777,3,0.243276,0.630404,1.389101,1.670801,2.920890,0.129460,-1.547463,-1.393401,-0.131918
51,SUCCESS_CARTESIAN,100.000000,0.793332,3,0.238524,0.623164,1.400928,1.669385,2.908961,0.133222,-1.545151,-1.381670,-0.131247
52,SUCCESS_CARTESIAN,100.000000,0.985877,3,0.249689,0.620106,1.414073,1.670668,2.904601,0.129666,-1.545247,-1.377259,-0.124055
53,SUCCESS_CARTESIAN,100.000000,0.761554,3,0.226168,0.613548,1.426012,1.669541,2.893862,0.132361,-1.543241,-1.366686,-0.123039
54,SUCCESS_CARTESIAN,100.000000,0.846299,3,0.238715,0.611578,1.439272,1.669805,2.891381,0.131216,-1.543149,-1.364195,-0.117515
55,SUCCESS_CARTESIAN,100.000000,0.837314,3,0.238516,0.607797,1.452122,1.670477,2.885688,0.128848,-1.542872,-1.358483,-0.110839
56,SUCCESS_CARTESIAN,100.000000,1.136172,3,0.264154,0.606255,1.465418,1.670161,2.883941,0.128932,-1.542619,-1.356758,-0.106914
57,SUCCESS_CARTESIAN,100.000000,1.062690,3,0.269567,0.597808,1.476531,1.667617,2.869670,0.134767,-1.539337,-1.342792,-0.109641
58,SUCCESS_CARTESIAN,100.000000,1.051758,3,0.228483,0.595449,1.489462,1.666382,2.866391,0.137003,-1.538347,-1.339615,-0.107256
59,SUCCESS_CARTESIAN,100.000000,1.122422,3,0.247921,0.597951,1.504072,1.667340,2.872001,0.133263,-1.540013,-1.345053,-0.099174
60,SUCCESS_CARTESIAN,100.000000,1.037070,3,0.226087,0.593737,1.516538,1.666392,2.865414,0.134425,-1.538813,-1.338567,-0.096536
61,SUCCESS_CARTESIAN,100.000000,0.993179,3,0.221820,0.589150,1.528935,1.665861,2.858173,0.134333,-1.537811,-1.331391,-0.092239
62,SUCCESS_CARTESIAN,100.000000,0.882848,3,0.236126,0.587259,1.541737,1.662778,2.855611,0.140845,-1.535842,-1.329075,-0.094981
63,SUCCESS_CARTESIAN,100.000000,0.789198,3,0.232077,0.584583,1.554580,1.661594,2.851762,0.142184,-1.534930,-1.325315,-0.092066
64,SUCCESS_CARTESIAN,100.000000,0.824429,3,0.238535,0.585123,1.568334,1.660107,2.853706,0.144162,-1.534735,-1.327309,-0.089985
65,SUCCESS_CARTESIAN,100.000000,0.791233,3,0.274753,0.574055,1.578419,1.657790,2.834548,0.148201,-1.530714,-1.308521,-0.090808
66,SUCCESS_CARTESIAN,100.000000,0.903873,3,0.230846,0.572335,1.591446,1.656092,2.832376,0.150449,-1.529763,-1.306468,-0.089179
67,SUCCESS_CARTESIAN,100.000000,0.783588,3,0.242068,0.569903,1.604312,1.654799,2.828945,0.151481,-1.528927,-1.303121,-0.085984
