Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,450.994700,454.432013,1360.212810,2.305765,0.854143,-0.916412,-1.083241,-1.233048
2,495.073043,661.392920,1577.306409,2.613101,0.192843,-1.469730,-1.093881,-0.423275
3,507.412528,684.291268,1591.363983,2.640860,0.162754,-1.490900,-1.118376,-0.382667
4,506.857253,697.569664,1594.078978,2.640860,0.162754,-1.490900,-1.118376,-0.378402
5,506.301143,710.868043,1596.738972,2.640860,0.162754,-1.490900,-1.118376,-0.375007
6,505.744614,724.176413,1599.353966,2.640860,0.162754,-1.490900,-1.118376,-0.369942
7,505.188086,737.484783,1601.898961,2.640860,0.162754,-1.490900,-1.118376,-0.366046
8,504.630722,750.813135,1604.393955,2.640860,0.162754,-1.490900,-1.118376,-0.361927
9,504.072940,764.151478,1606.833949,2.640860,0.162754,-1.490900,-1.118376,-0.357808
10,503.514741,777.499813,1609.218943,2.640860,0.162754,-1.490900,-1.118376,-0.353326
11,502.956124,790.858139,1611.543938,2.640860,0.162754,-1.490900,-1.118376,-0.349207
12,502.397088,804.226456,1613.813932,2.640860,0.162754,-1.490900,-1.118376,-0.345088
13,501.837636,817.604765,1616.028926,2.640860,0.162754,-1.490900,-1.118376,-0.340970
14,501.277765,830.993064,1618.188921,2.640860,0.162754,-1.490900,-1.118376,-0.336489
15,500.717476,844.391355,1620.288915,2.640860,0.162754,-1.490900,-1.118376,-0.332483
16,500.157188,857.789646,1622.333909,2.640860,0.162754,-1.490900,-1.118376,-0.328256
17,499.596064,871.207920,1624.323903,2.640860,0.162754,-1.490900,-1.118376,-0.323882
18,499.034940,884.626193,1626.253898,2.640860,0.162754,-1.490900,-1.118376,-0.319765
19,498.473398,898.054458,1628.128892,2.640860,0.162754,-1.490900,-1.118376,-0.316015
20,497.911439,911.492714,1629.953886,2.640860,0.162754,-1.490900,-1.118376,-0.311632
21,497.349479,924.930970,1631.718880,2.640860,0.162754,-1.490900,-1.118376,-0.307105
22,496.786893,938.384213,1633.423875,2.640860,0.162754,-1.490900,-1.118376,-0.303038
23,496.224098,951.842451,1635.073869,2.640860,0.162754,-1.490900,-1.118376,-0.298970
24,495.661094,965.305685,1636.668863,2.640860,0.162754,-1.490900,-1.118376,-0.294493
25,495.097672,978.778910,1638.203857,2.640860,0.162754,-1.490900,-1.118376,-0.290425
26,494.534041,992.257131,1639.683852,2.640860,0.162754,-1.490900,-1.118376,-0.286356
27,493.970201,1005.740348,1641.108846,2.640860,0.162754,-1.490900,-1.118376,-0.282286
28,493.406153,1019.228560,1642.478840,2.640860,0.162754,-1.490900,-1.118376,-0.277814
29,492.841687,1032.726763,1643.788834,2.640860,0.162754,-1.490900,-1.118376,-0.273779
30,492.277220,1046.224966,1645.043828,2.640860,0.162754,-1.490900,-1.118376,-0.269309
31,491.712336,1059.733161,1646.238823,2.640860,0.162754,-1.490900,-1.118376,-0.265639
32,491.147452,1073.241355,1647.383817,2.640860,0.162754,-1.490900,-1.118376,-0.260805
33,490.582151,1086.759541,1648.463811,2.640860,0.162754,-1.490900,-1.118376,-0.257131
34,490.016849,1100.277727,1649.493805,2.640860,0.162754,-1.490900,-1.118376,-0.252695
35,489.451338,1113.800908,1650.463799,2.640860,0.162754,-1.490900,-1.118376,-0.248258
36,488.885619,1127.329085,1651.373794,2.640860,0.162754,-1.490900,-1.118376,-0.244558
37,488.319690,1140.862258,1652.233788,2.640860,0.162754,-1.490900,-1.118376,-0.240145
38,487.753762,1154.395430,1653.033782,2.640860,0.162754,-1.490900,-1.118376,-0.236077
39,487.187624,1167.933598,1653.778776,2.640860,0.162754,-1.490900,-1.118376,-0.231275
40,486.621278,1181.476762,1654.458770,2.640860,0.162754,-1.490900,-1.118376,-0.227595
41,486.054932,1195.019926,1655.088765,2.640860,0.162754,-1.490900,-1.118376,-0.223530
42,485.488377,1208.568085,1655.663759,2.640860,0.162754,-1.490900,-1.118376,-0.219112
43,484.921822,1222.116245,1656.178753,2.640860,0.162754,-1.490900,-1.118376,-0.214693
44,484.355267,1235.664404,1656.633747,2.640860,0.162754,-1.490900,-1.118376,-0.210987
45,483.788294,1249.222555,1657.038741,2.640860,0.162754,-1.490900,-1.118376,-0.206579
46,483.221530,1262.775709,1657.383736,2.640860,0.162754,-1.490900,-1.118376,-0.202526
47,482.654767,1276.328864,1657.673730,2.640860,0.162754,-1.490900,-1.118376,-0.198098
48,482.087794,1289.887015,1657.903724,2.640860,0.162754,-1.490900,-1.118376,-0.194046
49,481.520821,1303.445165,1658.078718,2.640860,0.162754,-1.490900,-1.118376,-0.189625
50,480.953849,1317.003316,1658.193712,2.640860,0.162754,-1.490900,-1.118376,-0.185572
51,480.386876,1330.561466,1658.253707,2.640860,0.162754,-1.490900,-1.118376,-0.181519
52,479.819903,1344.119617,1658.258701,2.640860,0.162754,-1.490900,-1.118376,-0.176729
53,479.252931,1357.677767,1658.198695,2.640860,0.162754,-1.490900,-1.118376,-0.173045
54,478.685958,1371.235917,1658.088689,2.640860,0.162754,-1.490900,-1.118376,-0.168992
55,478.118986,1384.794068,1657.923683,2.640860,0.162754,-1.490900,-1.118376,-0.164572
56,477.552013,1398.352218,1657.698678,2.640860,0.162754,-1.490900,-1.118376,-0.160152
57,476.985041,1411.910368,1657.413672,2.640860,0.162754,-1.490900,-1.118376,-0.156092
58,476.418277,1425.463523,1657.073666,2.640860,0.162754,-1.490900,-1.118376,-0.152408
59,475.851513,1439.016677,1656.683660,2.640860,0.162754,-1.490900,-1.118376,-0.147621
60,475.284750,1452.569832,1656.228654,2.640860,0.162754,-1.490900,-1.118376,-0.143558
61,474.718195,1466.117991,1655.718649,2.640860,0.162754,-1.490900,-1.118376,-0.139508
62,474.151641,1479.666150,1655.153643,2.640860,0.162754,-1.490900,-1.118376,-0.135075
63,473.585295,1493.209313,1654.528637,2.640860,0.162754,-1.490900,-1.118376,-0.131027
64,473.018950,1506.752476,1653.848631,2.640860,0.162754,-1.490900,-1.118376,-0.126593
65,472.452813,1520.290644,1653.108625,2.640860,0.162754,-1.490900,-1.118376,-0.122546
66,471.886676,1533.828811,1652.313620,2.640860,0.162754,-1.490900,-1.118376,-0.118456
67,471.320957,1547.356987,1651.463614,2.640860,0.162754,-1.490900,-1.118376,-0.114411
68,470.755239,1560.885164,1650.558608,2.640860,0.162754,-1.490900,-1.118376,-0.110001
69,470.189520,1574.413340,1649.593602,2.640860,0.162754,-1.490900,-1.118376,-0.105905
70,469.624219,1587.931525,1648.573596,2.640860,0.162754,-1.490900,-1.118376,-0.101497
71,469.058918,1601.449710,1647.493591,2.640860,0.162754,-1.490900,-1.118376,-0.097398
72,468.494035,1614.957903,1646.358585,2.640860,0.162754,-1.490900,-1.118376,-0.093359
73,467.929152,1628.466097,1645.168579,2.640860,0.162754,-1.490900,-1.118376,-0.088890
74,467.364687,1641.964299,1643.918573,2.640860,0.162754,-1.490900,-1.118376,-0.084855
75,466.800221,1655.462501,1642.613567,2.640860,0.162754,-1.490900,-1.118376,-0.080382
76,466.236174,1668.950712,1641.248562,2.640860,0.162754,-1.490900,-1.118376,-0.076717
77,465.672127,1682.438923,1639.833556,2.640860,0.162754,-1.490900,-1.118376,-0.071877
78,465.108497,1695.917143,1638.353550,2.640860,0.162754,-1.490900,-1.118376,-0.068499
79,464.545285,1709.385371,1636.828544,2.640860,0.162754,-1.490900,-1.118376,-0.063741
80,463.982074,1722.853600,1635.238539,2.640860,0.162754,-1.490900,-1.118376,-0.059629
81,463.419280,1736.311837,1633.593533,2.640860,0.162754,-1.490900,-1.118376,-0.055150
82,462.856904,1749.760082,1631.888527,2.640860,0.162754,-1.490900,-1.118376,-0.051496
83,462.294528,1763.208328,1630.133521,2.640860,0.162754,-1.490900,-1.118376,-0.047017
84,461.732570,1776.646582,1628.318516,2.640860,0.162754,-1.490900,-1.118376,-0.042902
85,461.171030,1790.074846,1626.448510,2.640860,0.162754,-1.490900,-1.118376,-0.038420
86,460.609907,1803.493117,1624.518504,2.640860,0.162754,-1.490900,-1.118376,-0.034721
87,460.048994,1816.906394,1622.538498,2.640860,0.162754,-1.490900,-1.118376,-0.029930
88,459.488289,1830.314674,1620.493493,2.640860,0.162754,-1.490900,-1.118376,-0.026120
89,458.928211,1843.707968,1618.398487,2.640860,0.162754,-1.490900,-1.118376,-0.022059
90,458.368342,1857.096266,1616.248481,2.640860,0.162754,-1.490900,-1.118376,-0.017577
91,457.808891,1870.474572,1614.038475,2.640860,0.162754,-1.490900,-1.118376,-0.013458
92,457.249858,1883.842888,1611.773470,2.640860,0.162754,-1.490900,-1.118376,-0.009339
93,456.691243,1897.201212,1609.453464,2.640860,0.162754,-1.490900,-1.118376,-0.004857
94,456.133045,1910.549545,1607.073458,2.640860,0.162754,-1.490900,-1.118376,-0.001166
95,455.575056,1923.892882,1604.643452,2.640860,0.162754,-1.490900,-1.118376,0.003382
96,455.017695,1937.221232,1602.153447,2.640860,0.162754,-1.490900,-1.118376,0.007501
97,454.460751,1950.539591,1599.608441,2.640860,0.162754,-1.490900,-1.118376,0.011691
98,453.904433,1963.842963,1597.008435,2.640860,0.162754,-1.490900,-1.118376,0.015739
99,453.348325,1977.141339,1594.353430,2.640860,0.162754,-1.490900,-1.118376,0.020291
100,452.792843,1990.424729,1591.638424,2.640860,0.162754,-1.490900,-1.118376,0.024410
101,476.200983,1955.113213,1446.701882,2.636447,0.564717,-1.309518,-1.183640,-0.406540
102,475.646337,1968.376620,1443.876876,2.636447,0.564717,-1.309518,-1.183640,-0.406540
103,460.207031,1992.456902,1435.111786,2.599856,0.571753,-1.232903,-1.064283,-0.448376
104,551.837276,1883.573245,1285.660980,2.602959,1.159832,-0.927698,-1.276148,-1.045074
105,588.793825,1933.424642,1279.560561,2.697723,1.159832,-0.927698,-1.257587,-1.052338
106,630.770478,1979.573138,1273.759527,2.793001,1.159832,-0.927698,-1.239917,-1.061260
107,678.414002,1993.712177,1257.716434,2.870453,1.236260,-0.888691,-1.265058,-1.139750
108,711.410534,1964.153989,1236.858583,2.865716,1.403991,-0.749929,-1.345987,-1.296954
109,757.826582,1998.512191,1232.303266,2.966065,1.403991,-0.749929,-1.332705,-1.310720
110,761.673912,1997.913498,1225.238977,2.866317,1.461761,-0.537599,-1.350367,-1.383912
111,741.991485,1997.313817,1221.197008,2.649878,1.476282,-0.212591,-1.341780,-1.436394
