Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,443.127274,429.534544,1351.621663,2.251777,0.889183,-0.848881,-1.078650,-1.288719
2,448.704170,633.200887,1586.029411,2.518686,0.169566,-1.460416,-0.999074,-0.407884
3,442.588328,648.763285,1636.622375,2.513203,0.043262,-1.542060,-0.984822,-0.253446
4,478.518519,614.864793,1450.636401,2.516626,0.568687,-1.229432,-1.088286,-0.850704
5,545.640216,673.591023,1459.054479,2.672532,0.550852,-1.336842,-1.209925,-0.787574
6,545.083688,686.899393,1461.669474,2.672532,0.550852,-1.336842,-1.209925,-0.782509
7,544.527159,700.207762,1464.214468,2.672532,0.550852,-1.336842,-1.209925,-0.778614
8,543.969795,713.536115,1466.709462,2.672532,0.550852,-1.336842,-1.209925,-0.774494
9,543.412014,726.874458,1469.149457,2.672532,0.550852,-1.336842,-1.209925,-0.770375
10,542.853814,740.222793,1471.534451,2.672532,0.550852,-1.336842,-1.209925,-0.765893
11,542.295197,753.581119,1473.859445,2.672532,0.550852,-1.336842,-1.209925,-0.761774
12,541.736162,766.949436,1476.129439,2.672532,0.550852,-1.336842,-1.209925,-0.757656
13,541.176709,780.327744,1478.344434,2.672532,0.550852,-1.336842,-1.209925,-0.753538
14,540.616838,793.716044,1480.504428,2.672532,0.550852,-1.336842,-1.209925,-0.749056
15,540.056550,807.114335,1482.604422,2.672532,0.550852,-1.336842,-1.209925,-0.745051
16,539.496261,820.512626,1484.649416,2.672532,0.550852,-1.336842,-1.209925,-0.740824
17,538.935137,833.930900,1486.639411,2.672532,0.550852,-1.336842,-1.209925,-0.736449
18,538.374013,847.349173,1488.569405,2.672532,0.550852,-1.336842,-1.209925,-0.732333
19,537.812472,860.777438,1490.444399,2.672532,0.550852,-1.336842,-1.209925,-0.728582
20,537.250512,874.215694,1492.269393,2.672532,0.550852,-1.336842,-1.209925,-0.724199
21,536.688552,887.653950,1494.034388,2.672532,0.550852,-1.336842,-1.209925,-0.719673
22,536.125966,901.107192,1495.739382,2.672532,0.550852,-1.336842,-1.209925,-0.715606
23,535.563171,914.565431,1497.389376,2.672532,0.550852,-1.336842,-1.209925,-0.711537
24,535.000167,928.028665,1498.984370,2.672532,0.550852,-1.336842,-1.209925,-0.707061
25,534.436745,941.501890,1500.519365,2.672532,0.550852,-1.336842,-1.209925,-0.702992
26,533.873114,954.980111,1501.999359,2.672532,0.550852,-1.336842,-1.209925,-0.698923
27,533.309275,968.463327,1503.424353,2.672532,0.550852,-1.336842,-1.209925,-0.694854
28,532.745226,981.951539,1504.794347,2.672532,0.550852,-1.336842,-1.209925,-0.690381
29,532.180760,995.449743,1506.104342,2.672532,0.550852,-1.336842,-1.209925,-0.686347
30,531.616294,1008.947946,1507.359336,2.672532,0.550852,-1.336842,-1.209925,-0.681877
31,531.051410,1022.456141,1508.554330,2.672532,0.550852,-1.336842,-1.209925,-0.678206
32,530.486526,1035.964335,1509.699324,2.672532,0.550852,-1.336842,-1.209925,-0.673372
33,529.921224,1049.482521,1510.779318,2.672532,0.550852,-1.336842,-1.209925,-0.669699
34,529.355922,1063.000707,1511.809313,2.672532,0.550852,-1.336842,-1.209925,-0.665262
35,528.790412,1076.523888,1512.779307,2.672532,0.550852,-1.336842,-1.209925,-0.660826
36,528.224692,1090.052065,1513.689301,2.672532,0.550852,-1.336842,-1.209925,-0.657125
37,527.658764,1103.585237,1514.549295,2.672532,0.550852,-1.336842,-1.209925,-0.652712
38,527.092835,1117.118410,1515.349289,2.672532,0.550852,-1.336842,-1.209925,-0.648645
39,526.526698,1130.656578,1516.094284,2.672532,0.550852,-1.336842,-1.209925,-0.643842
40,525.960352,1144.199742,1516.774278,2.672532,0.550852,-1.336842,-1.209925,-0.640162
41,525.394006,1157.742906,1517.404272,2.672532,0.550852,-1.336842,-1.209925,-0.636097
42,524.827451,1171.291065,1517.979266,2.672532,0.550852,-1.336842,-1.209925,-0.631679
43,524.260895,1184.839224,1518.494260,2.672532,0.550852,-1.336842,-1.209925,-0.627260
44,523.694341,1198.387384,1518.949255,2.672532,0.550852,-1.336842,-1.209925,-0.623555
45,523.127368,1211.945534,1519.354249,2.672532,0.550852,-1.336842,-1.209925,-0.619146
46,522.560604,1225.498689,1519.699243,2.672532,0.550852,-1.336842,-1.209925,-0.615094
