Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,450.110310,450.110310,1358.288852,2.297285,0.861865,-0.904962,-1.083595,-1.243800
2,465.430682,651.005675,1636.072193,2.559978,0.037417,-1.548386,-1.031394,-0.249458
3,463.591217,663.583023,1642.584831,2.557467,0.027602,-1.554167,-1.028694,-0.233739
4,463.035942,676.861419,1645.299825,2.557467,0.027602,-1.554167,-1.028694,-0.229474
5,462.479831,690.159798,1647.959820,2.557467,0.027602,-1.554167,-1.028694,-0.226079
6,461.923303,703.468168,1650.574814,2.557467,0.027602,-1.554167,-1.028694,-0.221013
7,461.366774,716.776538,1653.119808,2.557467,0.027602,-1.554167,-1.028694,-0.217118
8,460.809411,730.104890,1655.614803,2.557467,0.027602,-1.554167,-1.028694,-0.212999
9,460.251629,743.443233,1658.054797,2.557467,0.027602,-1.554167,-1.028694,-0.208880
10,459.693429,756.791568,1660.439791,2.557467,0.027602,-1.554167,-1.028694,-0.204398
11,459.134812,770.149894,1662.764785,2.557467,0.027602,-1.554167,-1.028694,-0.200279
12,458.575777,783.518211,1665.034780,2.557467,0.027602,-1.554167,-1.028694,-0.196160
13,458.016324,796.896520,1667.249774,2.557467,0.027602,-1.554167,-1.028694,-0.192042
14,457.456453,810.284819,1669.409768,2.557467,0.027602,-1.554167,-1.028694,-0.187561
15,456.896165,823.683110,1671.509762,2.557467,0.027602,-1.554167,-1.028694,-0.183555
16,456.335877,837.081401,1673.554757,2.557467,0.027602,-1.554167,-1.028694,-0.179328
17,455.774752,850.499675,1675.544751,2.557467,0.027602,-1.554167,-1.028694,-0.174954
18,455.213628,863.917948,1677.474745,2.557467,0.027602,-1.554167,-1.028694,-0.170837
19,454.652087,877.346213,1679.349739,2.557467,0.027602,-1.554167,-1.028694,-0.167087
20,454.090127,890.784469,1681.174734,2.557467,0.027602,-1.554167,-1.028694,-0.162704
21,453.528167,904.222725,1682.939728,2.557467,0.027602,-1.554167,-1.028694,-0.158177
22,452.965581,917.675968,1684.644722,2.557467,0.027602,-1.554167,-1.028694,-0.154110
23,452.402786,931.134206,1686.294716,2.557467,0.027602,-1.554167,-1.028694,-0.150042
24,451.839782,944.597440,1687.889711,2.557467,0.027602,-1.554167,-1.028694,-0.145565
25,451.276360,958.070665,1689.424705,2.557467,0.027602,-1.554167,-1.028694,-0.141497
26,450.712730,971.548886,1690.904699,2.557467,0.027602,-1.554167,-1.028694,-0.137428
27,450.148890,985.032103,1692.329693,2.557467,0.027602,-1.554167,-1.028694,-0.133358
28,449.584841,998.520315,1693.699688,2.557467,0.027602,-1.554167,-1.028694,-0.128886
29,449.020375,1012.018518,1695.009682,2.557467,0.027602,-1.554167,-1.028694,-0.124851
30,448.455909,1025.516721,1696.264676,2.557467,0.027602,-1.554167,-1.028694,-0.120381
31,447.891025,1039.024916,1697.459670,2.557467,0.027602,-1.554167,-1.028694,-0.116711
32,447.326141,1052.533110,1698.604664,2.557467,0.027602,-1.554167,-1.028694,-0.111876
33,446.760839,1066.051296,1699.684659,2.557467,0.027602,-1.554167,-1.028694,-0.108203
