Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,450.110310,450.110310,1358.288852,2.297285,0.861865,-0.904962,-1.083595,-1.243800
2,477.480700,658.652313,1634.665505,2.584554,0.041112,-1.547527,-1.056030,-0.253083
3,476.411621,671.766670,1641.090708,2.583654,0.031525,-1.552912,-1.054933,-0.237759
4,475.557502,684.798349,1642.286180,2.582992,0.035516,-1.550619,-1.054348,-0.238096
5,474.227429,697.609807,1644.890344,2.581418,0.035663,-1.550461,-1.052778,-0.234906
6,473.670900,710.918177,1647.505338,2.581418,0.035663,-1.550461,-1.052778,-0.229841
7,473.114372,724.226546,1650.050333,2.581418,0.035663,-1.550461,-1.052778,-0.225945
8,472.557008,737.554899,1652.545327,2.581418,0.035663,-1.550461,-1.052778,-0.221826
9,471.999226,750.893242,1654.985321,2.581418,0.035663,-1.550461,-1.052778,-0.217707
10,471.441027,764.241577,1657.370316,2.581418,0.035663,-1.550461,-1.052778,-0.213225
11,470.882409,777.599903,1659.695310,2.581418,0.035663,-1.550461,-1.052778,-0.209106
12,470.323374,790.968220,1661.965304,2.581418,0.035663,-1.550461,-1.052778,-0.204988
13,469.763921,804.346529,1664.180298,2.581418,0.035663,-1.550461,-1.052778,-0.200869
14,469.204051,817.734828,1666.340293,2.581418,0.035663,-1.550461,-1.052778,-0.196388
15,468.643762,831.133119,1668.440287,2.581418,0.035663,-1.550461,-1.052778,-0.192382
16,468.083474,844.531410,1670.485281,2.581418,0.035663,-1.550461,-1.052778,-0.188156
17,467.522350,857.949684,1672.475275,2.581418,0.035663,-1.550461,-1.052778,-0.183781
18,466.961226,871.367957,1674.405270,2.581418,0.035663,-1.550461,-1.052778,-0.179664
19,466.399684,884.796222,1676.280264,2.581418,0.035663,-1.550461,-1.052778,-0.175914
20,465.837724,898.234478,1678.105258,2.581418,0.035663,-1.550461,-1.052778,-0.171531
21,465.275765,911.672734,1679.870252,2.581418,0.035663,-1.550461,-1.052778,-0.167004
22,464.713179,925.125976,1681.575247,2.581418,0.035663,-1.550461,-1.052778,-0.162937
23,464.150383,938.584215,1683.225241,2.581418,0.035663,-1.550461,-1.052778,-0.158869
24,463.587379,952.047449,1684.820235,2.581418,0.035663,-1.550461,-1.052778,-0.154392
25,463.023958,965.520674,1686.355229,2.581418,0.035663,-1.550461,-1.052778,-0.150324
26,462.460327,978.998895,1687.835224,2.581418,0.035663,-1.550461,-1.052778,-0.146255
27,461.896487,992.482111,1689.260218,2.581418,0.035663,-1.550461,-1.052778,-0.142185
28,461.332439,1005.970324,1690.630212,2.581418,0.035663,-1.550461,-1.052778,-0.137713
29,460.767973,1019.468527,1691.940206,2.581418,0.035663,-1.550461,-1.052778,-0.133678
30,460.203506,1032.966730,1693.195200,2.581418,0.035663,-1.550461,-1.052778,-0.129209
31,459.638622,1046.474925,1694.390195,2.581418,0.035663,-1.550461,-1.052778,-0.125538
32,459.073738,1059.983119,1695.535189,2.581418,0.035663,-1.550461,-1.052778,-0.120704
33,458.508436,1073.501305,1696.615183,2.581418,0.035663,-1.550461,-1.052778,-0.117031
34,457.943135,1087.019491,1697.645177,2.581418,0.035663,-1.550461,-1.052778,-0.112594
35,457.377624,1100.542672,1698.615172,2.581418,0.035663,-1.550461,-1.052778,-0.108158
36,456.811904,1114.070849,1699.525166,2.581418,0.035663,-1.550461,-1.052778,-0.104457
37,456.245976,1127.604022,1700.385160,2.581418,0.035663,-1.550461,-1.052778,-0.100044
38,455.680048,1141.137194,1701.185154,2.581418,0.035663,-1.550461,-1.052778,-0.095976
39,455.113910,1154.675362,1701.930148,2.581418,0.035663,-1.550461,-1.052778,-0.091174
40,454.547564,1168.218526,1702.610143,2.581418,0.035663,-1.550461,-1.052778,-0.087494
41,453.981218,1181.761690,1703.240137,2.581418,0.035663,-1.550461,-1.052778,-0.083429
42,453.414663,1195.309849,1703.815131,2.581418,0.035663,-1.550461,-1.052778,-0.079011
43,452.848108,1208.858009,1704.330125,2.581418,0.035663,-1.550461,-1.052778,-0.074592
44,452.281553,1222.406168,1704.785119,2.581418,0.035663,-1.550461,-1.052778,-0.070887
45,451.714580,1235.964318,1705.190114,2.581418,0.035663,-1.550461,-1.052778,-0.066478
46,451.147816,1249.517473,1705.535108,2.581418,0.035663,-1.550461,-1.052778,-0.062425
47,450.581053,1263.070628,1705.825102,2.581418,0.035663,-1.550461,-1.052778,-0.057998
48,450.014080,1276.628779,1706.055096,2.581418,0.035663,-1.550461,-1.052778,-0.053946
49,449.447107,1290.186929,1706.230090,2.581418,0.035663,-1.550461,-1.052778,-0.049525
50,448.880135,1303.745080,1706.345084,2.581418,0.035663,-1.550461,-1.052778,-0.045472
51,448.313162,1317.303230,1706.405079,2.581418,0.035663,-1.550461,-1.052778,-0.041419
52,447.746189,1330.861380,1706.410073,2.581418,0.035663,-1.550461,-1.052778,-0.036629
53,447.179217,1344.419531,1706.350067,2.581418,0.035663,-1.550461,-1.052778,-0.032944
54,446.612244,1357.977681,1706.240061,2.581418,0.035663,-1.550461,-1.052778,-0.028892
55,446.045272,1371.535831,1706.075055,2.581418,0.035663,-1.550461,-1.052778,-0.024471
56,445.478299,1385.093982,1705.850050,2.581418,0.035663,-1.550461,-1.052778,-0.020051
57,444.911327,1398.652132,1705.565044,2.581418,0.035663,-1.550461,-1.052778,-0.015991
58,444.344563,1412.205287,1705.225038,2.581418,0.035663,-1.550461,-1.052778,-0.012308
59,443.777799,1425.758441,1704.835032,2.581418,0.035663,-1.550461,-1.052778,-0.007521
60,443.211036,1439.311596,1704.380026,2.581418,0.035663,-1.550461,-1.052778,-0.003457
61,442.644481,1452.859755,1703.870021,2.581418,0.035663,-1.550461,-1.052778,0.000592
62,442.077927,1466.407914,1703.305015,2.581418,0.035663,-1.550461,-1.052778,0.005026
63,441.511581,1479.951077,1702.680009,2.581418,0.035663,-1.550461,-1.052778,0.009074
64,440.945235,1493.494240,1702.000003,2.581418,0.035663,-1.550461,-1.052778,0.013508
65,440.379099,1507.032408,1701.259997,2.581418,0.035663,-1.550461,-1.052778,0.017554
66,439.812962,1520.570575,1700.464992,2.581418,0.035663,-1.550461,-1.052778,0.021645
67,439.247243,1534.098751,1699.614986,2.581418,0.035663,-1.550461,-1.052778,0.025690
68,438.681525,1547.626928,1698.709980,2.581418,0.035663,-1.550461,-1.052778,0.030100
69,438.115806,1561.155104,1697.744974,2.581418,0.035663,-1.550461,-1.052778,0.034196
70,437.550505,1574.673289,1696.724968,2.581418,0.035663,-1.550461,-1.052778,0.038604
71,436.985204,1588.191474,1695.644963,2.581418,0.035663,-1.550461,-1.052778,0.042703
72,436.420321,1601.699667,1694.509957,2.581418,0.035663,-1.550461,-1.052778,0.046741
73,435.855438,1615.207861,1693.319951,2.581418,0.035663,-1.550461,-1.052778,0.051211
74,435.290972,1628.706063,1692.069945,2.581418,0.035663,-1.550461,-1.052778,0.055246
75,434.726507,1642.204265,1690.764940,2.581418,0.035663,-1.550461,-1.052778,0.059718
76,434.162460,1655.692476,1689.399934,2.581418,0.035663,-1.550461,-1.052778,0.063383
77,433.598413,1669.180687,1687.984928,2.581418,0.035663,-1.550461,-1.052778,0.068224
78,433.034783,1682.658907,1686.504922,2.581418,0.035663,-1.550461,-1.052778,0.071601
79,432.471571,1696.127135,1684.979916,2.581418,0.035663,-1.550461,-1.052778,0.076360
80,431.908360,1709.595363,1683.389911,2.581418,0.035663,-1.550461,-1.052778,0.080471
81,431.345566,1723.053600,1681.744905,2.581418,0.035663,-1.550461,-1.052778,0.084950
82,430.783190,1736.501846,1680.039899,2.581418,0.035663,-1.550461,-1.052778,0.088605
83,430.220814,1749.950092,1678.284893,2.581418,0.035663,-1.550461,-1.052778,0.093084
84,429.658856,1763.388346,1676.469888,2.581418,0.035663,-1.550461,-1.052778,0.097199
85,429.097316,1776.816610,1674.599882,2.581418,0.035663,-1.550461,-1.052778,0.101681
86,428.536193,1790.234881,1672.669876,2.581418,0.035663,-1.550461,-1.052778,0.105380
87,427.975280,1803.648158,1670.689870,2.581418,0.035663,-1.550461,-1.052778,0.110171
88,427.414575,1817.056438,1668.644865,2.581418,0.035663,-1.550461,-1.052778,0.113981
89,426.854497,1830.449732,1666.549859,2.581418,0.035663,-1.550461,-1.052778,0.118042
90,426.294628,1843.838030,1664.399853,2.581418,0.035663,-1.550461,-1.052778,0.122524
91,425.735177,1857.216336,1662.189847,2.581418,0.035663,-1.550461,-1.052778,0.126643
92,425.176144,1870.584652,1659.924842,2.581418,0.035663,-1.550461,-1.052778,0.130762
93,424.617529,1883.942976,1657.604836,2.581418,0.035663,-1.550461,-1.052778,0.135244
94,424.059331,1897.291309,1655.224830,2.581418,0.035663,-1.550461,-1.052778,0.138935
95,423.501342,1910.634646,1652.794825,2.581418,0.035663,-1.550461,-1.052778,0.143483
96,422.943981,1923.962996,1650.304819,2.581418,0.035663,-1.550461,-1.052778,0.147602
97,422.387036,1937.281355,1647.759813,2.581418,0.035663,-1.550461,-1.052778,0.151792
98,421.830719,1950.584727,1645.159807,2.581418,0.035663,-1.550461,-1.052778,0.155840
99,421.274611,1963.883103,1642.504802,2.581418,0.035663,-1.550461,-1.052778,0.160392
100,420.719129,1977.166493,1639.789796,2.581418,0.035663,-1.550461,-1.052778,0.164511
101,420.164065,1990.439891,1637.019790,2.581418,0.035663,-1.550461,-1.052778,0.168628
102,413.115023,1999.519633,1633.060327,2.568115,0.038642,-1.548078,-1.039552,0.164856
103,335.914070,1974.311042,1624.257215,2.398975,0.044677,-1.551601,-0.769579,0.160942
104,392.486434,1952.959463,1404.981656,2.400709,0.647957,-0.951306,-0.867858,-0.663649
105,392.573304,1983.448506,1402.110477,2.385016,0.637369,-0.850415,-0.774542,-0.728607
106,442.341439,1978.123004,1336.919636,2.388831,0.849517,-0.613741,-0.870410,-0.996341
