Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8
1,449.786832,447.280084,1356.897009,2.292065,0.867495,-0.897541,-1.084433,-1.251173
2,411.824682,496.089104,1412.902433,2.296072,0.672772,-0.996936,-0.972701,-1.060055
3,407.463079,511.397202,1421.040975,2.294069,0.654898,-1.005492,-0.961733,-1.038477
4,406.907804,524.675598,1423.755969,2.294069,0.654898,-1.005492,-0.961733,-1.034212
5,406.351693,537.973977,1426.415963,2.294069,0.654898,-1.005492,-0.961733,-1.030817
6,405.795165,551.282347,1429.030958,2.294069,0.654898,-1.005492,-0.961733,-1.025752
7,405.238637,564.590716,1431.575952,2.294069,0.654898,-1.005492,-0.961733,-1.021856
8,404.681273,577.919069,1434.070946,2.294069,0.654898,-1.005492,-0.961733,-1.017737
9,404.123491,591.257412,1436.510940,2.294069,0.654898,-1.005492,-0.961733,-1.013618
10,403.565291,604.605747,1438.895935,2.294069,0.654898,-1.005492,-0.961733,-1.009136
11,403.006674,617.964073,1441.220929,2.294069,0.654898,-1.005492,-0.961733,-1.005017
12,402.447639,631.332390,1443.490923,2.294069,0.654898,-1.005492,-0.961733,-1.000898
13,401.888186,644.710699,1445.705918,2.294069,0.654898,-1.005492,-0.961733,-0.996780
14,401.328315,658.098998,1447.865912,2.294069,0.654898,-1.005492,-0.961733,-0.992299
15,400.768027,671.497289,1449.965906,2.294069,0.654898,-1.005492,-0.961733,-0.988293
16,400.207739,684.895580,1452.010900,2.294069,0.654898,-1.005492,-0.961733,-0.984066
17,399.646615,698.313854,1454.000895,2.294069,0.654898,-1.005492,-0.961733,-0.979692
18,399.085491,711.732127,1455.930889,2.294069,0.654898,-1.005492,-0.961733,-0.975575
19,398.523949,725.160392,1457.805883,2.294069,0.654898,-1.005492,-0.961733,-0.971825
20,397.961989,738.598648,1459.630877,2.294069,0.654898,-1.005492,-0.961733,-0.967442
21,397.400030,752.036904,1461.395872,2.294069,0.654898,-1.005492,-0.961733,-0.962915
22,396.837443,765.490146,1463.100866,2.294069,0.654898,-1.005492,-0.961733,-0.958848
23,396.274648,778.948385,1464.750860,2.294069,0.654898,-1.005492,-0.961733,-0.954780
24,395.711644,792.411619,1466.345854,2.294069,0.654898,-1.005492,-0.961733,-0.950303
25,395.148222,805.884844,1467.880849,2.294069,0.654898,-1.005492,-0.961733,-0.946235
26,394.584592,819.363065,1469.360843,2.294069,0.654898,-1.005492,-0.961733,-0.942166
27,394.020752,832.846281,1470.785837,2.294069,0.654898,-1.005492,-0.961733,-0.938096
28,393.456703,846.334493,1472.155831,2.294069,0.654898,-1.005492,-0.961733,-0.933624
29,392.892237,859.832697,1473.465825,2.294069,0.654898,-1.005492,-0.961733,-0.929589
30,392.327771,873.330900,1474.720820,2.294069,0.654898,-1.005492,-0.961733,-0.925119
31,391.762887,886.839095,1475.915814,2.294069,0.654898,-1.005492,-0.961733,-0.921449
32,391.198003,900.347289,1477.060808,2.294069,0.654898,-1.005492,-0.961733,-0.916615
33,390.632701,913.865475,1478.140802,2.294069,0.654898,-1.005492,-0.961733,-0.912942
34,390.067399,927.383661,1479.170796,2.294069,0.654898,-1.005492,-0.961733,-0.908505
35,389.501889,940.906842,1480.140791,2.294069,0.654898,-1.005492,-0.961733,-0.904068
36,388.936169,954.435019,1481.050785,2.294069,0.654898,-1.005492,-0.961733,-0.900368
37,388.370241,967.968191,1481.910779,2.294069,0.654898,-1.005492,-0.961733,-0.895955
38,387.804312,981.501364,1482.710773,2.294069,0.654898,-1.005492,-0.961733,-0.891887
39,387.238175,995.039532,1483.455768,2.294069,0.654898,-1.005492,-0.961733,-0.887085
40,386.671829,1008.582696,1484.135762,2.294069,0.654898,-1.005492,-0.961733,-0.883405
