# Incremental Trajectory Planning Results with Retry Mechanism
# Total Waypoints: 450
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
0,SUCCESS_CARTESIAN,100.000000,46.756836,181,5.298283,0.255144,0.229714,1.466893,1.715496,0.493832,-0.378855,-0.525142,-1.449562
1,SUCCESS_CARTESIAN,100.000000,3.204684,3,0.230778,0.254509,0.242000,1.469617,1.713679,0.494164,-0.375214,-0.524861,-1.448144
2,SUCCESS_CARTESIAN,100.000000,3.109125,3,0.229365,0.253871,0.254336,1.472296,1.711914,0.494451,-0.371697,-0.524562,-1.446911
3,SUCCESS_CARTESIAN,100.000000,3.940165,3,0.228926,0.253233,0.266678,1.474920,1.710161,0.494722,-0.368209,-0.524257,-1.445715
4,SUCCESS_CARTESIAN,100.000000,1.036717,3,0.225240,0.252588,0.279127,1.477526,1.708565,0.494883,-0.365082,-0.523904,-1.445055
5,SUCCESS_CARTESIAN,100.000000,0.769518,3,0.228618,0.251956,0.291418,1.480023,1.706664,0.495233,-0.361256,-0.523636,-1.443365
6,SUCCESS_CARTESIAN,100.000000,0.825562,3,0.227276,0.251314,0.303826,1.482500,1.704976,0.495438,-0.357921,-0.523306,-1.442395
7,SUCCESS_CARTESIAN,100.000000,0.735081,3,0.228581,0.250674,0.316232,1.484920,1.703246,0.495662,-0.354490,-0.522984,-1.441287
8,SUCCESS_CARTESIAN,100.000000,0.727244,3,0.228597,0.250034,0.328647,1.487287,1.701515,0.495877,-0.351059,-0.522661,-1.440178
9,SUCCESS_CARTESIAN,100.000000,0.623794,3,0.230362,0.249396,0.341035,1.489589,1.699717,0.496126,-0.347475,-0.522354,-1.438844
10,SUCCESS_CARTESIAN,100.000000,0.783680,3,0.228628,0.248755,0.353470,1.491847,1.697985,0.496326,-0.344043,-0.522026,-1.437733
11,SUCCESS_CARTESIAN,100.000000,0.654699,3,0.228644,0.248114,0.365914,1.494053,1.696253,0.496518,-0.340610,-0.521696,-1.436622
12,SUCCESS_CARTESIAN,100.000000,0.620742,3,0.228660,0.247472,0.378369,1.496206,1.694520,0.496703,-0.337177,-0.521363,-1.435511
