# Incremental Trajectory Planning Results with Retry Mechanism
# Total Waypoints: 450
Point_Index,Status,Completion(%),Planning_Time(ms),Output_Points,Exec_Time(s),J0,J1,J2,J3,J4,J5,J6,J7
0,SUCCESS_JOINT_SPACE,100.000000,123.847196,62,5.637696,0.770637,0.385827,1.267395,3.078494,1.483584,1.591578,1.567743,1.456088
1,SUCCESS_CARTESIAN,100.000000,2.522708,3,0.230418,0.769814,0.398394,1.270767,3.078665,1.483800,1.591843,1.568972,1.451911
2,SUCCESS_CARTESIAN,100.000000,15.313573,3,0.237949,0.769251,0.411672,1.273542,3.078629,1.483800,1.591879,1.568968,1.456242
3,SUCCESS_CARTESIAN,100.000000,3.631903,3,0.237275,0.768687,0.424950,1.276257,3.078594,1.483800,1.591914,1.568965,1.460507
4,SUCCESS_CARTESIAN,100.000000,4.536816,3,0.238032,0.768123,0.438248,1.278917,3.078559,1.483800,1.591949,1.568962,1.463903
5,SUCCESS_CARTESIAN,100.000000,1.204192,3,0.238045,0.767558,0.451555,1.281532,3.078522,1.483800,1.591986,1.568959,1.468967
6,SUCCESS_CARTESIAN,100.000000,1.038681,3,0.233671,0.766993,0.464864,1.284077,3.078486,1.483800,1.592021,1.568956,1.472863
7,SUCCESS_CARTESIAN,100.000000,0.812028,3,0.237741,0.766428,0.478191,1.286572,3.078450,1.483800,1.592057,1.568953,1.476982
8,SUCCESS_CARTESIAN,100.000000,0.759936,3,0.237757,0.765861,0.491529,1.289012,3.078414,1.483800,1.592093,1.568950,1.481101
9,SUCCESS_CARTESIAN,100.000000,0.730447,3,0.240684,0.765295,0.504877,1.291397,3.078378,1.483800,1.592129,1.568947,1.485583
10,SUCCESS_CARTESIAN,100.000000,0.740948,3,0.237789,0.764728,0.518235,1.293722,3.078342,1.483800,1.592165,1.568943,1.489702
11,SUCCESS_CARTESIAN,100.000000,0.820886,3,0.237804,0.764160,0.531603,1.295992,3.078305,1.483800,1.592202,1.568940,1.493821
12,SUCCESS_CARTESIAN,100.000000,0.802919,3,0.237820,0.763593,0.544980,1.298207,3.078269,1.483800,1.592238,1.568937,1.497939
13,SUCCESS_CARTESIAN,100.000000,0.729848,3,0.240746,0.763024,0.558368,1.300367,3.078232,1.483800,1.592275,1.568934,1.502420
14,SUCCESS_CARTESIAN,100.000000,0.845889,3,0.235800,0.762455,0.571766,1.302467,3.078196,1.483800,1.592311,1.568931,1.506426
15,SUCCESS_CARTESIAN,100.000000,1.021193,3,0.236665,0.761887,0.585164,1.304512,3.078159,1.483800,1.592347,1.568928,1.510652
16,SUCCESS_CARTESIAN,100.000000,2.464479,3,0.238713,0.761317,0.598581,1.306502,3.078122,1.483800,1.592384,1.568924,1.515027
17,SUCCESS_CARTESIAN,100.000000,7.927126,3,0.238374,0.760747,0.611999,1.308432,3.078085,1.483800,1.592421,1.568921,1.519143
18,SUCCESS_CARTESIAN,100.000000,5.755211,3,0.239434,0.760177,0.625427,1.310307,3.078049,1.483800,1.592457,1.568918,1.522894
19,SUCCESS_CARTESIAN,100.000000,4.070063,3,0.238743,0.759607,0.638864,1.312132,3.078011,1.483800,1.592494,1.568915,1.527276
20,SUCCESS_CARTESIAN,100.000000,1.817989,3,0.241530,0.759036,0.652302,1.313897,3.077974,1.483800,1.592532,1.568912,1.531803
21,SUCCESS_CARTESIAN,100.000000,1.664749,3,0.237745,0.758465,0.665755,1.315602,3.077937,1.483800,1.592569,1.568908,1.535870
22,SUCCESS_CARTESIAN,100.000000,1.418942,3,0.237753,0.757894,0.679213,1.317252,3.077900,1.483800,1.592606,1.568905,1.539938
23,SUCCESS_CARTESIAN,100.000000,1.185948,3,0.240161,0.757322,0.692675,1.318847,3.077862,1.483800,1.592643,1.568902,1.544415
24,SUCCESS_CARTESIAN,100.000000,1.143499,3,0.237777,0.756750,0.706148,1.320382,3.077825,1.483800,1.592680,1.568899,1.548483
25,SUCCESS_CARTESIAN,100.000000,1.011284,3,0.234183,0.756178,0.719626,1.321862,3.077787,1.483800,1.592718,1.568895,1.552552
26,SUCCESS_CARTESIAN,100.000000,1.007497,3,0.235703,0.755605,0.733108,1.323287,3.077750,1.483800,1.592755,1.568892,1.556622
27,SUCCESS_CARTESIAN,100.000000,1.067144,3,0.240026,0.755032,0.746596,1.324657,3.077712,1.483800,1.592793,1.568889,1.561094
28,SUCCESS_CARTESIAN,100.000000,0.896600,3,0.236112,0.754459,0.760094,1.325967,3.077674,1.483800,1.592830,1.568885,1.565129
29,SUCCESS_CARTESIAN,100.000000,0.831414,3,0.236988,0.753886,0.773591,1.327222,3.077636,1.483800,1.592868,1.568882,1.569598
30,SUCCESS_CARTESIAN,100.000000,0.803338,3,0.241349,0.753312,0.787099,1.328417,3.077599,1.483800,1.592906,1.568879,1.573269
31,SUCCESS_CARTESIAN,100.000000,0.784447,3,0.238039,0.752738,0.800606,1.329562,3.077560,1.483800,1.592944,1.568876,1.578102
32,SUCCESS_CARTESIAN,100.000000,0.766678,3,0.235554,0.752164,0.814124,1.330642,3.077522,1.483800,1.592981,1.568872,1.581776
33,SUCCESS_CARTESIAN,100.000000,0.777697,3,0.238703,0.751590,0.827642,1.331672,3.077484,1.483800,1.593020,1.568869,1.586213
34,SUCCESS_CARTESIAN,100.000000,0.872197,3,0.241381,0.751016,0.841164,1.332642,3.077446,1.483800,1.593058,1.568866,1.590649
35,SUCCESS_CARTESIAN,100.000000,0.891321,3,0.239556,0.750441,0.854692,1.333552,3.077408,1.483800,1.593096,1.568862,1.594350
36,SUCCESS_CARTESIAN,100.000000,0.789344,3,0.239563,0.749867,0.868224,1.334412,3.077369,1.483800,1.593134,1.568859,1.598762
37,SUCCESS_CARTESIAN,100.000000,0.749828,3,0.239563,0.749292,0.881757,1.335212,3.077331,1.483800,1.593172,1.568856,1.602830
38,SUCCESS_CARTESIAN,100.000000,0.839752,3,0.239570,0.748717,0.895295,1.335957,3.077292,1.483800,1.593211,1.568852,1.607632
39,SUCCESS_CARTESIAN,100.000000,6.912706,3,0.239579,0.748141,0.908837,1.336637,3.077254,1.483800,1.593249,1.568849,1.611313
