Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,LimitCost
0,608.934288,284.415672,981.436812,2.398374,0.487442,-1.436014,-0.998286,-0.471695,0.526426
1,636.104693,257.123297,910.345548,2.388197,0.713703,-1.291699,-1.036792,-0.734162,0.571400
2,622.804010,269.698122,920.069064,2.372669,0.680002,-1.299407,-1.016169,-0.700019,0.560301
3,620.449818,281.313845,919.946528,2.371904,0.680002,-1.298826,-1.015595,-0.700019,0.560135
4,618.095514,292.928699,919.823958,2.371137,0.680002,-1.298246,-1.015021,-0.700019,0.559970
5,616.011668,304.810934,919.696478,2.371137,0.680002,-1.298246,-1.015021,-0.700019,0.559878
6,613.927821,316.693168,919.568999,2.371137,0.680002,-1.298246,-1.015021,-0.700019,0.559788
7,611.522303,328.262704,919.441880,2.370233,0.680002,-1.297557,-1.014346,-0.700019,0.559615
8,609.124956,339.839985,919.314333,2.369352,0.680002,-1.296888,-1.013686,-0.700019,0.559444
9,606.894558,351.576967,919.181939,2.368932,0.680002,-1.296568,-1.013372,-0.700019,0.559319
10,604.664864,363.314625,919.049152,2.368515,0.680002,-1.296254,-1.013059,-0.700019,0.559195
11,602.460802,375.077278,918.914455,2.368169,0.680002,-1.295989,-1.012801,-0.700019,0.559080
12,600.256400,386.839306,918.779333,2.367823,0.680002,-1.295727,-1.012542,-0.700019,0.558965
13,598.127955,398.678154,918.641849,2.367697,0.680002,-1.295631,-1.012447,-0.700019,0.558873
14,595.999534,410.517014,918.504365,2.367571,0.680002,-1.295535,-1.012353,-0.700019,0.558783
15,593.651195,422.135911,918.366855,2.366812,0.680002,-1.294956,-1.011784,-0.700019,0.558634
16,591.303688,433.755189,918.229342,2.366054,0.680002,-1.294381,-1.011217,-0.700019,0.558488
17,589.079293,445.494712,918.086873,2.365650,0.680002,-1.294073,-1.010916,-0.700019,0.558376
18,586.851254,457.230551,917.944433,2.365235,0.680002,-1.293756,-1.010605,-0.700019,0.558265
19,584.605273,468.951559,917.799333,2.364771,0.680002,-1.293402,-1.010257,-0.700019,0.558150
20,582.358218,480.670852,917.654590,2.364302,0.680002,-1.293043,-1.009908,-0.700019,0.558037
21,580.302806,492.576614,917.506929,2.364368,0.680002,-1.293096,-1.009957,-0.700019,0.557976
22,578.244551,504.479251,917.359658,2.364426,0.680002,-1.293138,-1.010001,-0.700019,0.557916
23,575.853399,516.056903,917.212126,2.363550,0.680002,-1.292471,-1.009346,-0.700019,0.557769
24,573.463423,527.635220,917.064591,2.362677,0.680002,-1.291803,-1.008692,-0.700019,0.557625
25,571.243560,539.375970,916.912119,2.362277,0.680002,-1.291498,-1.008394,-0.700019,0.557527
26,569.022499,551.115608,916.759679,2.361874,0.680002,-1.291190,-1.008093,-0.700019,0.557430
27,566.943688,562.998317,916.604710,2.361874,0.680002,-1.291190,-1.008093,-0.700019,0.557372
28,564.864876,574.881027,916.449741,2.361874,0.680002,-1.291190,-1.008093,-0.700019,0.557317
29,562.639222,586.618179,916.294838,2.361457,0.680002,-1.290871,-1.007782,-0.700019,0.557224
30,560.419037,598.361165,916.139543,2.361057,0.680002,-1.290567,-1.007481,-0.700019,0.557134
31,557.895204,609.800177,915.981994,2.359794,0.680002,-1.289601,-1.006537,-0.700019,0.556964
32,555.370924,621.237270,915.824829,2.358528,0.680002,-1.288629,-1.005593,-0.700019,0.556797
33,553.437260,633.262170,915.659804,2.358934,0.680002,-1.288941,-1.005897,-0.700019,0.556788
34,551.502481,645.286063,915.494811,2.359336,0.680002,-1.289248,-1.006195,-0.700019,0.556780
35,549.164852,656.908755,915.332247,2.358593,0.680002,-1.288681,-1.005641,-0.700019,0.556667
36,546.829025,668.533252,915.169711,2.357855,0.680002,-1.288116,-1.005089,-0.700019,0.556556
37,544.590224,680.254204,915.002453,2.357400,0.680002,-1.287764,-1.004750,-0.700019,0.556473
38,542.351177,691.974554,914.834771,2.356943,0.680002,-1.287416,-1.004409,-0.700019,0.556391
39,540.274885,703.857520,914.664807,2.356943,0.680002,-1.287416,-1.004409,-0.700019,0.556355
40,538.198593,715.740486,914.494844,2.356943,0.680002,-1.287416,-1.004409,-0.700019,0.556320
41,535.841908,727.343210,914.324993,2.356145,0.680002,-1.286803,-1.003813,-0.700019,0.556211
42,533.487610,738.947728,914.155106,2.355351,0.680002,-1.286193,-1.003222,-0.700019,0.556105
43,531.391497,750.811103,913.979941,2.355295,0.680002,-1.286152,-1.003179,-0.700019,0.556070
44,529.288949,762.667669,913.805198,2.355220,0.680002,-1.286092,-1.003124,-0.700019,0.556035
45,526.960682,774.292994,913.630086,2.354494,0.680002,-1.285535,-1.002582,-0.700019,0.555940
46,524.635476,785.921208,913.454971,2.353776,0.680002,-1.284985,-1.002046,-0.700019,0.555848
47,522.399594,797.643828,913.275247,2.353320,0.680002,-1.284631,-1.001706,-0.700019,0.555783
48,520.164373,809.367119,913.095131,2.352865,0.680002,-1.284282,-1.001366,-0.700019,0.555718
49,518.090597,821.250303,912.912672,2.352865,0.680002,-1.284282,-1.001366,-0.700019,0.555699
50,516.016820,833.133487,912.730214,2.352865,0.680002,-1.284282,-1.001366,-0.700019,0.555681
