Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,LimitCost
0,512.464280,188.401497,1005.551400,2.147739,0.417060,-1.349997,-0.764059,-0.434169,0.513993
1,517.427771,187.382068,979.103139,2.134727,0.494022,-1.264190,-0.772847,-0.545471,0.519852
2,496.749448,201.792817,1015.221118,2.120611,0.388771,-1.363396,-0.733658,-0.401325,0.513740
3,491.731628,194.892230,999.009683,2.088441,0.434856,-1.291986,-0.716122,-0.479306,0.514534
4,489.516306,206.536336,998.887113,2.087944,0.434856,-1.291635,-0.715689,-0.479306,0.514402
5,487.432460,218.418571,998.759633,2.087944,0.434856,-1.291635,-0.715689,-0.479306,0.514303
6,485.348613,230.300805,998.632154,2.087944,0.434856,-1.291635,-0.715689,-0.479306,0.514205
7,483.107427,241.905839,998.505035,2.087360,0.434856,-1.291216,-0.715181,-0.479306,0.514069
8,480.870050,253.517851,998.377488,2.086790,0.434856,-1.290813,-0.714684,-0.479306,0.513936
9,478.715243,265.270368,998.245093,2.086517,0.434856,-1.290617,-0.714445,-0.479306,0.513823
10,476.560661,277.023584,998.112307,2.086245,0.434856,-1.290428,-0.714208,-0.479306,0.513712
11,474.419797,288.800925,997.977609,2.086023,0.434856,-1.290267,-0.714016,-0.479306,0.513605
12,472.277538,300.575502,997.842488,2.085797,0.434856,-1.290108,-0.713819,-0.479306,0.513499
13,470.171783,312.419202,997.705004,2.085715,0.434856,-1.290050,-0.713747,-0.479306,0.513404
14,468.066037,324.262912,997.567520,2.085633,0.434856,-1.289992,-0.713676,-0.479306,0.513311
15,465.854634,335.910966,997.430010,2.085140,0.434856,-1.289640,-0.713245,-0.479306,0.513191
16,463.644000,347.560222,997.292497,2.084649,0.434856,-1.289292,-0.712818,-0.479306,0.513073
17,461.492353,359.315419,997.150027,2.084386,0.434856,-1.289105,-0.712590,-0.479306,0.512972
18,459.338534,371.066552,997.007588,2.084115,0.434856,-1.288909,-0.712353,-0.479306,0.512871
19,457.176342,382.805982,996.862488,2.083814,0.434856,-1.288696,-0.712090,-0.479306,0.512770
20,455.013470,394.543298,996.717745,2.083508,0.434856,-1.288475,-0.711824,-0.479306,0.512670
21,452.946165,406.446628,996.570083,2.083552,0.434856,-1.288509,-0.711863,-0.479306,0.512595
22,450.877491,418.346912,996.422813,2.083589,0.434856,-1.288533,-0.711895,-0.479306,0.512521
23,448.643848,429.959021,996.275281,2.083021,0.434856,-1.288128,-0.711401,-0.479306,0.512408
24,446.410261,441.570765,996.127746,2.082451,0.434856,-1.287720,-0.710903,-0.479306,0.512296
25,444.261951,453.326976,995.975274,2.082191,0.434856,-1.287534,-0.710677,-0.479306,0.512207
26,442.113182,465.082489,995.822833,2.081928,0.434856,-1.287345,-0.710448,-0.479306,0.512120
27,440.034371,476.965198,995.667864,2.081928,0.434856,-1.287345,-0.710448,-0.479306,0.512051
28,437.955559,488.847908,995.512895,2.081928,0.434856,-1.287345,-0.710448,-0.479306,0.511985
29,435.803913,500.600234,995.357992,2.081655,0.434856,-1.287149,-0.710211,-0.479306,0.511901
30,433.654986,512.358171,995.202698,2.081392,0.434856,-1.286964,-0.709981,-0.479306,0.511820
31,431.356342,523.845589,995.045149,2.080567,0.434856,-1.286372,-0.709262,-0.479306,0.511702
32,429.057747,535.331837,994.887983,2.079740,0.434856,-1.285775,-0.708544,-0.479306,0.511586
33,427.052265,547.341849,994.722959,2.080007,0.434856,-1.285968,-0.708777,-0.479306,0.511546
34,425.045949,559.350373,994.557966,2.080270,0.434856,-1.286156,-0.709004,-0.479306,0.511507
35,422.840115,571.000938,994.395402,2.079783,0.434856,-1.285809,-0.708581,-0.479306,0.511419
36,420.635338,582.653554,994.232866,2.079300,0.434856,-1.285461,-0.708160,-0.479306,0.511333
37,418.478095,594.393267,994.065608,2.079004,0.434856,-1.285245,-0.707903,-0.479306,0.511261
38,416.319527,606.130258,993.897926,2.078703,0.434856,-1.285031,-0.707641,-0.479306,0.511191
39,414.243235,618.013224,993.727962,2.078703,0.434856,-1.285031,-0.707641,-0.479306,0.511143
40,412.166943,629.896190,993.557999,2.078703,0.434856,-1.285031,-0.707641,-0.479306,0.511097
41,409.952130,641.530106,993.388148,2.078181,0.434856,-1.284654,-0.707187,-0.479306,0.511017
42,407.737869,653.164405,993.218261,2.077660,0.434856,-1.284277,-0.706734,-0.479306,0.510938
43,405.651727,665.030038,993.043096,2.077623,0.434856,-1.284253,-0.706702,-0.479306,0.510895
44,403.562523,676.889502,992.868353,2.077574,0.434856,-1.284214,-0.706659,-0.479306,0.510852
45,401.362339,688.542156,992.693241,2.077096,0.434856,-1.283871,-0.706243,-0.479306,0.510781
46,399.164095,700.198397,992.518126,2.076626,0.434856,-1.283534,-0.705835,-0.479306,0.510713
47,397.008855,711.938733,992.338402,2.076327,0.434856,-1.283314,-0.705574,-0.479306,0.510659
48,394.853381,723.678834,992.158286,2.076027,0.434856,-1.283098,-0.705312,-0.479306,0.510605
49,392.779605,735.562018,991.975827,2.076027,0.434856,-1.283098,-0.705312,-0.479306,0.510575
50,390.705828,747.445202,991.793369,2.076027,0.434856,-1.283098,-0.705312,-0.479306,0.510545
51,388.437932,758.974420,991.610796,2.075291,0.434856,-1.282567,-0.704674,-0.479306,0.510468
52,386.172038,770.506891,991.428216,2.074562,0.434856,-1.282040,-0.704040,-0.479306,0.510392
53,384.086435,782.373283,991.238442,2.074527,0.434856,-1.282012,-0.704009,-0.479306,0.510366
54,381.998869,794.236062,991.048277,2.074484,0.434856,-1.281983,-0.703971,-0.479306,0.510341
55,379.915246,806.101730,990.858538,2.074447,0.434856,-1.281952,-0.703938,-0.479306,0.510317
56,377.828948,817.962068,990.668377,2.074399,0.434856,-1.281921,-0.703897,-0.479306,0.510295
57,375.624111,829.600315,990.478439,2.073891,0.434856,-1.281552,-0.703457,-0.479306,0.510243
58,373.419640,841.238937,990.288499,2.073385,0.434856,-1.281184,-0.703017,-0.479306,0.510193
59,371.358032,853.139553,990.093750,2.073421,0.434856,-1.281207,-0.703048,-0.479306,0.510182
60,369.297633,865.042994,989.898609,2.073463,0.434856,-1.281241,-0.703085,-0.479306,0.510173
61,367.155528,876.801792,989.703694,2.073202,0.434856,-1.281050,-0.702857,-0.479306,0.510144
