Index,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6,Joint7,Joint8,LimitCost
0,518.348706,186.909430,993.192341,2.151350,0.452831,-1.316445,-0.775663,-0.483012,0.515414
1,516.251618,198.768915,993.070017,2.151305,0.452831,-1.316413,-0.775624,-0.483012,0.515310
2,514.152187,210.624784,992.947301,2.151253,0.452831,-1.316380,-0.775578,-0.483012,0.515206
3,511.898692,222.242130,992.824765,2.150674,0.452831,-1.315993,-0.775074,-0.483012,0.515065
4,509.644211,233.857166,992.702195,2.150092,0.452831,-1.315604,-0.774567,-0.483012,0.514924
5,507.560365,245.739401,992.574715,2.150092,0.452831,-1.315604,-0.774567,-0.483012,0.514828
6,505.476518,257.621635,992.447236,2.150092,0.452831,-1.315604,-0.774567,-0.483012,0.514732
7,503.188985,269.191928,992.320116,2.149405,0.452831,-1.315140,-0.773970,-0.483012,0.514587
8,500.906931,280.770712,992.192570,2.148737,0.452831,-1.314693,-0.773390,-0.483012,0.514445
9,498.730544,292.507050,992.060175,2.148416,0.452831,-1.314476,-0.773109,-0.483012,0.514329
10,496.555002,304.244891,991.927389,2.148098,0.452831,-1.314267,-0.772833,-0.483012,0.514215
11,494.396570,316.008927,991.792691,2.147838,0.452831,-1.314089,-0.772607,-0.483012,0.514107
12,492.236755,327.770536,991.657570,2.147572,0.452831,-1.313913,-0.772377,-0.483012,0.514000
13,490.124610,339.609452,991.520085,2.147477,0.452831,-1.313848,-0.772293,-0.483012,0.513906
14,488.012479,351.448381,991.382601,2.147381,0.452831,-1.313784,-0.772210,-0.483012,0.513814
15,485.762554,363.067647,991.245091,2.146802,0.452831,-1.313394,-0.771705,-0.483012,0.513687
16,483.513823,374.688487,991.107579,2.146228,0.452831,-1.313009,-0.771207,-0.483012,0.513563
17,481.341794,386.428440,990.965109,2.145920,0.452831,-1.312802,-0.770940,-0.483012,0.513459
18,479.166816,398.163655,990.822669,2.145602,0.452831,-1.312586,-0.770663,-0.483012,0.513356
19,476.981361,409.885731,990.677569,2.145250,0.452831,-1.312349,-0.770356,-0.483012,0.513252
20,474.794683,421.605074,990.532826,2.144892,0.452831,-1.312105,-0.770045,-0.483012,0.513150
21,472.730941,433.511220,990.385165,2.144944,0.452831,-1.312143,-0.770090,-0.483012,0.513079
22,470.664979,445.413401,990.237894,2.144987,0.452831,-1.312170,-0.770128,-0.483012,0.513009
23,468.387470,456.992691,990.090363,2.144321,0.452831,-1.311722,-0.769550,-0.483012,0.512889
24,466.109955,468.571468,989.942827,2.143654,0.452831,-1.311271,-0.768969,-0.483012,0.512769
25,463.941626,480.312659,989.790355,2.143350,0.452831,-1.311065,-0.768705,-0.483012,0.512678
26,461.772633,492.052918,989.637915,2.143043,0.452831,-1.310856,-0.768438,-0.483012,0.512589
27,459.693822,503.935627,989.482946,2.143043,0.452831,-1.310856,-0.768438,-0.483012,0.512524
28,457.615010,515.818337,989.327977,2.143043,0.452831,-1.310856,-0.768438,-0.483012,0.512461
29,455.442335,527.554847,989.173074,2.142723,0.452831,-1.310639,-0.768161,-0.483012,0.512376
30,453.273554,539.298062,989.017779,2.142417,0.452831,-1.310436,-0.767894,-0.483012,0.512293
31,450.911807,550.738012,988.860231,2.141452,0.452831,-1.309782,-0.767055,-0.483012,0.512163
32,448.549967,562.176424,988.703065,2.140485,0.452831,-1.309122,-0.766217,-0.483012,0.512035
33,446.564896,574.201894,988.538041,2.140797,0.452831,-1.309336,-0.766489,-0.483012,0.512003
34,444.578536,586.225376,988.373047,2.141104,0.452831,-1.309543,-0.766753,-0.483012,0.511973
35,442.335787,597.848271,988.210483,2.140536,0.452831,-1.309159,-0.766261,-0.483012,0.511880
36,440.094286,609.473204,988.047947,2.139971,0.452831,-1.308776,-0.765769,-0.483012,0.511788
37,437.914400,621.195643,987.880690,2.139626,0.452831,-1.308538,-0.765469,-0.483012,0.511714
38,435.733219,632.915699,987.713008,2.139275,0.452831,-1.308301,-0.765165,-0.483012,0.511642
39,433.656927,644.798665,987.543044,2.139275,0.452831,-1.308301,-0.765165,-0.483012,0.511597
40,431.580635,656.681631,987.373081,2.139275,0.452831,-1.308301,-0.765165,-0.483012,0.511555
41,429.326263,668.285610,987.203229,2.138665,0.452831,-1.307885,-0.764636,-0.483012,0.511468
42,427.072599,679.890068,987.033343,2.138056,0.452831,-1.307469,-0.764107,-0.483012,0.511383
43,424.983869,691.753877,986.858177,2.138014,0.452831,-1.307443,-0.764071,-0.483012,0.511342
44,422.890751,703.610228,986.683434,2.137956,0.452831,-1.307401,-0.764020,-0.483012,0.511302
45,420.654736,715.235857,986.508323,2.137399,0.452831,-1.307022,-0.763537,-0.483012,0.511226
46,418.421328,726.865571,986.333207,2.136851,0.452831,-1.306650,-0.763062,-0.483012,0.511153
47,416.243404,738.588523,986.153483,2.136502,0.452831,-1.306408,-0.762758,-0.483012,0.511096
48,414.065567,750.311737,985.973368,2.136152,0.452831,-1.306170,-0.762454,-0.483012,0.511041
49,411.991791,762.194921,985.790909,2.136152,0.452831,-1.306170,-0.762454,-0.483012,0.511014
50,409.918014,774.078105,985.608451,2.136152,0.452831,-1.306170,-0.762454,-0.483012,0.510988
51,407.595291,785.565826,985.425877,2.135295,0.452831,-1.305586,-0.761711,-0.483012,0.510900
52,405.275172,797.057150,985.243297,2.134446,0.452831,-1.305005,-0.760974,-0.483012,0.510814
53,403.186785,808.921297,985.053523,2.134404,0.452831,-1.304974,-0.760938,-0.483012,0.510791
54,401.096174,820.781882,984.863359,2.134355,0.452831,-1.304942,-0.760894,-0.483012,0.510769
55,399.009537,832.645059,984.673620,2.134311,0.452831,-1.304909,-0.760855,-0.483012,0.510748
56,396.919917,844.503055,984.483458,2.134256,0.452831,-1.304874,-0.760808,-0.483012,0.510729
57,394.677385,856.112602,984.293521,2.133665,0.452831,-1.304468,-0.760296,-0.483012,0.510671
