x,y,z,qx,qy,qz,qw
0.033405,-1.40745,1.198235,0.70571,-0.044389,-0.052569,0.705152
0.070565,-1.412585,1.1978,0.705441,-0.048479,-0.04848,0.705445
0.10773,-1.417715,1.1978,0.705148,-0.052568,-0.044389,0.705714
0.144895,-1.42285,1.198235,0.704832,-0.056656,-0.040296,0.705959
0.18205,-1.42798,1.199105,0.704491,-0.060743,-0.036201,0.706181
0.21919,-1.43311,1.20041,0.704127,-0.064827,-0.032106,0.706379
0.25632,-1.438235,1.20215,0.703734,-0.068964,-0.027954,0.706556
0.29342,-1.44336,1.20433,0.703331,-0.072956,-0.023944,0.706703
0.330495,-1.44848,1.206935,0.70289,-0.077088,-0.01979,0.706832
0.36754,-1.453595,1.20998,0.70243,-0.081179,-0.015675,0.706935
0.404545,-1.458705,1.21346,0.701951,-0.085221,-0.011606,0.707013
0.44151,-1.46381,1.21737,0.701441,-0.089316,-0.007479,0.707069
0.478425,-1.468905,1.221715,0.700914,-0.093367,-0.003395,0.7071
0.515285,-1.474,1.22649,0.700363,-0.09741,0.000686,0.707108
0.552095,-1.47908,1.231695,0.699779,-0.10152,0.004838,0.707092
0.588835,-1.484155,1.237335,0.699179,-0.105575,0.008937,0.707052
0.62551,-1.48922,1.243405,0.698563,-0.10958,0.012988,0.706989
0.66212,-1.494275,1.2499,0.69791,-0.113659,0.017118,0.706901
0.698645,-1.49932,1.256825,0.697234,-0.117737,0.02125,0.706789
0.735085,-1.50435,1.26418,0.696554,-0.121698,0.025267,0.706657
0.77145,-1.509375,1.271955,0.695825,-0.125797,0.029427,0.706496
0.807715,-1.51438,1.28016,0.695081,-0.129844,0.033538,0.706313
0.84388,-1.519375,1.28879,0.694316,-0.133876,0.037637,0.706106
0.87995,-1.52436,1.297845,0.693538,-0.137851,0.04168,0.705879
0.91591,-1.529325,1.307315,0.692728,-0.141865,0.045768,0.705626
0.95176,-1.53427,1.317205,0.691883,-0.145928,0.049908,0.705345
0.987495,-1.539205,1.32752,0.691022,-0.149955,0.054016,0.705042
1.02311,-1.544125,1.338255,0.69015,-0.153918,0.05806,0.704721
1.058595,-1.549025,1.3494,0.689249,-0.157903,0.062131,0.704374
1.093955,-1.55391,1.36096,0.688304,-0.161971,0.06629,0.703994
1.129175,-1.558775,1.37294,0.687367,-0.165904,0.070314,0.703604
1.164255,-1.56362,1.385325,0.686386,-0.169916,0.074423,0.703181
1.199195,-1.568445,1.398125,0.685387,-0.173902,0.078508,0.702737
1.233975,-1.573245,1.41133,0.684378,-0.177832,0.08254,0.702275
1.26861,-1.578025,1.42494,0.683323,-0.181845,0.086659,0.701778
1.303085,-1.58279,1.43896,0.68226,-0.185791,0.090713,0.701266
1.337395,-1.587525,1.45338,0.681165,-0.189768,0.094803,0.700725
1.37154,-1.59224,1.468205,0.680072,-0.193649,0.098797,0.700173
1.40551,-1.596935,1.48342,0.678919,-0.197653,0.102921,0.699578
1.439305,-1.6016,1.49904,0.677763,-0.20158,0.106969,0.698971
1.47291,-1.60624,1.51505,0.676602,-0.205444,0.110956,0.698349
1.50634,-1.610855,1.53145,0.675364,-0.209479,0.115122,0.697674
1.53957,-1.615445,1.54825,0.674152,-0.213346,0.119118,0.697003
1.57261,-1.62001,1.565435,0.672917,-0.21721,0.123115,0.696308
1.60545,-1.624545,1.583,0.67164,-0.221127,0.12717,0.695579
1.638085,-1.62905,1.60095,0.670334,-0.225055,0.131239,0.694823
1.67051,-1.63353,1.619285,0.669017,-0.228942,0.13527,0.694049
1.702725,-1.637975,1.638,0.66769,-0.232782,0.139255,0.693261
1.73472,-1.642395,1.657085,0.666313,-0.236694,0.143319,0.692432
1.766495,-1.646785,1.67655,0.664946,-0.24051,0.147286,0.691599
1.798045,-1.65114,1.69638,0.663548,-0.244338,0.15127,0.690739
1.829365,-1.655465,1.716575,0.662096,-0.248246,0.15534,0.689835
1.860445,-1.659755,1.73714,0.662096,-0.248246,0.15534,0.689835
1.86044,-1.659755,1.73714,-0.579394,0.664894,0.355402,-0.309691
