PopulationSize,MigrationRate,Fitness
1,0.00 ,5.19E+00
1,0.01 ,5.74E+00
1,0.02 ,5.75E+00
1,0.03 ,6.19E+00
1,0.04 ,6.03E+00
1,0.05 ,5.94E+00
1,0.06 ,5.80E+00
1,0.07 ,4.96E+00
1,0.08 ,5.14E+00
1,0.09 ,6.04E+00
1,0.10 ,4.65E+00
1,0.11 ,6.34E+00
1,0.12 ,5.77E+00
1,0.13 ,6.20E+00
1,0.14 ,4.86E+00
1,0.15 ,6.33E+00
1,0.16 ,4.25E+00
1,0.17 ,4.28E+00
1,0.18 ,5.91E+00
1,0.19 ,5.63E+00
1,0.20 ,6.22E+00
1,0.21 ,4.31E+00
1,0.22 ,5.83E+00
1,0.23 ,6.25E+00
1,0.24 ,5.48E+00
1,0.25 ,4.33E+00
1,0.26 ,4.33E+00
1,0.27 ,6.29E+00
1,0.28 ,6.25E+00
1,0.29 ,4.40E+00
1,0.30 ,6.25E+00
1,0.31 ,3.82E+00
1,0.32 ,5.04E+00
1,0.33 ,6.23E+00
1,0.34 ,4.34E+00
1,0.35 ,3.99E+00
1,0.36 ,6.08E+00
1,0.37 ,4.80E+00
1,0.38 ,6.32E+00
1,0.39 ,5.21E+00
1,0.40 ,6.29E+00
1,0.41 ,4.93E+00
1,0.42 ,6.32E+00
1,0.43 ,4.47E+00
1,0.44 ,6.05E+00
1,0.45 ,5.55E+00
1,0.46 ,4.30E+00
1,0.47 ,6.13E+00
1,0.48 ,6.20E+00
1,0.49 ,6.22E+00
1,0.51 ,6.13E+00
1,0.52 ,3.76E+00
1,0.53 ,6.30E+00
1,0.54 ,6.39E+00
1,0.55 ,6.25E+00
1,0.56 ,5.57E+00
1,0.57 ,6.34E+00
1,0.58 ,6.32E+00
1,0.59 ,4.12E+00
1,0.60 ,6.28E+00
1,0.61 ,6.34E+00
1,0.62 ,5.64E+00
1,0.63 ,6.28E+00
1,0.64 ,4.45E+00
1,0.65 ,4.18E+00
1,0.66 ,6.21E+00
1,0.67 ,5.50E+00
1,0.68 ,6.28E+00
1,0.69 ,6.19E+00
1,0.70 ,4.24E+00
1,0.71 ,4.92E+00
1,0.72 ,6.24E+00
1,0.73 ,6.18E+00
1,0.74 ,4.74E+00
1,0.75 ,6.28E+00
1,0.76 ,6.32E+00
1,0.77 ,5.47E+00
1,0.78 ,5.09E+00
1,0.79 ,6.32E+00
1,0.80 ,5.81E+00
1,0.81 ,5.75E+00
1,0.82 ,5.79E+00
1,0.83 ,6.20E+00
1,0.84 ,5.30E+00
1,0.85 ,6.29E+00
1,0.86 ,6.33E+00
1,0.87 ,6.04E+00
1,0.88 ,3.71E+00
1,0.89 ,6.22E+00
1,0.90 ,5.51E+00
1,0.91 ,5.77E+00
1,0.92 ,4.03E+00
1,0.93 ,6.17E+00
1,0.94 ,6.21E+00
1,0.95 ,6.18E+00
1,0.96 ,5.11E+00
1,0.97 ,4.35E+00
1,0.98 ,6.13E+00
1,0.99 ,4.15E+00
1,1.00 ,6.16E+00
2,0.00 ,6.32E+00
2,0.01 ,4.09E+00
2,0.02 ,6.32E+00
2,0.03 ,5.30E+00
2,0.04 ,3.87E+00
2,0.05 ,6.04E+00
2,0.06 ,3.87E+00
2,0.07 ,5.58E+00
2,0.08 ,6.14E+00
2,0.09 ,4.07E+00
2,0.10 ,5.95E+00
2,0.11 ,6.07E+00
2,0.12 ,6.32E+00
2,0.13 ,5.24E+00
2,0.14 ,6.32E+00
2,0.15 ,6.32E+00
2,0.16 ,4.25E+00
2,0.17 ,5.55E+00
2,0.18 ,6.01E+00
2,0.19 ,5.32E+00
2,0.20 ,6.25E+00
2,0.21 ,5.67E+00
2,0.22 ,6.04E+00
2,0.23 ,4.91E+00
2,0.24 ,6.32E+00
2,0.25 ,6.32E+00
2,0.26 ,5.76E+00
2,0.27 ,4.63E+00
2,0.28 ,6.32E+00
2,0.29 ,4.91E+00
2,0.30 ,3.31E+00
2,0.31 ,4.75E+00
2,0.32 ,4.99E+00
2,0.33 ,3.90E+00
2,0.34 ,6.32E+00
2,0.35 ,6.32E+00
